TITLE     = "u-velocity normalized by centerline u-velocity at x=40.0, diagonal cut (y=z)"
VARIABLES = "2z/D","u/u_CL"
ZONE T="FUN3D, grid 1 diagonal cut"
    0.850000015E-05    0.189647921E-06
    0.170000003E-04    0.100543366E-05
    0.258523996E-04    0.230064847E-05
    0.347048008E-04    0.430270166E-05
    0.439241994E-04    0.688624186E-05
    0.531436017E-04    0.102505992E-04
    0.627453992E-04    0.143039551E-04
    0.723470002E-04    0.192145744E-04
    0.823467999E-04    0.249316490E-04
    0.923464031E-04    0.315870347E-04
    0.102760801E-03    0.391782014E-04
    0.113175200E-03    0.477948634E-04
    0.124021200E-03    0.574898113E-04
    0.134867398E-03    0.683035905E-04
    0.146163206E-03    0.803528528E-04
    0.157458999E-03    0.936224460E-04
    0.169223000E-03    0.108300490E-03
    0.180987205E-03    0.124308819E-03
    0.193239000E-03    0.141915763E-03
    0.205489996E-03    0.160972573E-03
    0.218250003E-03    0.181838012E-03
    0.231009995E-03    0.204281634E-03
    0.244299998E-03    0.228765755E-03
    0.257587992E-03    0.254967774E-03
    0.271427998E-03    0.283464324E-03
    0.285268005E-03    0.313831639E-03
    0.299681997E-03    0.346772285E-03
    0.314094010E-03    0.381745835E-03
    0.329105998E-03    0.419603952E-03
    0.344116008E-03    0.459672912E-03
    0.359750004E-03    0.502961862E-03
    0.375383999E-03    0.548657030E-03
    0.391665992E-03    0.597942562E-03
    0.407948013E-03    0.649844413E-03
    0.424903992E-03    0.705741986E-03
    0.441860000E-03    0.764489174E-03
    0.459520001E-03    0.827672542E-03
    0.477180001E-03    0.893953489E-03
    0.495571992E-03    0.965163519E-03
    0.513963983E-03    0.103973644E-02
    0.533117971E-03    0.111977221E-02
    0.552272017E-03    0.120346842E-02
    0.572221994E-03    0.129321090E-02
    0.592169992E-03    0.138693163E-02
    0.612945994E-03    0.148733729E-02
    0.633720017E-03    0.159206847E-02
    0.655358017E-03    0.170418737E-02
    0.676993979E-03    0.182100502E-02
    0.699528027E-03    0.194597489E-02
    0.722062017E-03    0.207605446E-02
    0.745530007E-03    0.221512327E-02
    0.768999977E-03    0.235974556E-02
    0.793439976E-03    0.251427269E-02
    0.817882013E-03    0.267483131E-02
    0.843335991E-03    0.284629827E-02
    0.868790026E-03    0.302433362E-02
    0.895300007E-03    0.321435346E-02
    0.921809988E-03    0.341148977E-02
    0.949419977E-03    0.362180942E-02
    0.977028045E-03    0.383988745E-02
    0.100578205E-02    0.407246128E-02
    0.103453605E-02    0.431346381E-02
    0.106448203E-02    0.457036309E-02
    0.109442801E-02    0.483639026E-02
    0.112561404E-02    0.511991791E-02
    0.115680206E-02    0.541333295E-02
    0.118928205E-02    0.572593976E-02
    0.122176204E-02    0.604933826E-02
    0.125559000E-02    0.639373623E-02
    0.128941599E-02    0.674985908E-02
    0.132464594E-02    0.712899491E-02
    0.135987601E-02    0.752087543E-02
    0.139656605E-02    0.793798547E-02
    0.143325597E-02    0.836892053E-02
    0.147146604E-02    0.882747676E-02
    0.150967797E-02    0.930108223E-02
    0.154947396E-02    0.980487559E-02
    0.158926798E-02    0.103250314E-01
    0.163071405E-02    0.108782612E-01
    0.167216000E-02    0.114492541E-01
    0.171532400E-02    0.120564131E-01
    0.175848603E-02    0.126828523E-01
    0.180344004E-02    0.133488392E-01
    0.184839405E-02    0.140357977E-01
    0.189521001E-02    0.147659825E-01
    0.194202794E-02    0.155189447E-01
    0.199078605E-02    0.163191576E-01
    0.203954009E-02    0.171441324E-01
    0.209031999E-02    0.180207323E-01
    0.214109989E-02    0.189241935E-01
    0.219397992E-02    0.198840331E-01
    0.224687997E-02    0.208731275E-01
    0.230194000E-02    0.219237339E-01
    0.235702004E-02    0.230061319E-01
    0.241437997E-02    0.241557006E-01
    0.247173989E-02    0.253397748E-01
    0.253148004E-02    0.265971124E-01
    0.259121996E-02    0.278919619E-01
    0.265343999E-02    0.292668417E-01
    0.271566003E-02    0.306822900E-01
    0.278046005E-02    0.321846567E-01
    0.284524006E-02    0.337316506E-01
    0.291271997E-02    0.353731401E-01
    0.298021990E-02    0.370627567E-01
    0.305048004E-02    0.388553329E-01
    0.312075997E-02    0.407001115E-01
    0.319396006E-02    0.426568948E-01
    0.326715992E-02    0.446699634E-01
    0.334338006E-02    0.468043722E-01
    0.341961999E-02    0.490000248E-01
    0.349900010E-02    0.513263457E-01
    0.357837998E-02    0.537185818E-01
    0.366106001E-02    0.562519841E-01
    0.374374003E-02    0.588565543E-01
    0.382985990E-02    0.616119169E-01
    0.391595997E-02    0.644431040E-01
    0.400563981E-02    0.674353018E-01
    0.409532012E-02    0.705085695E-01
    0.418872014E-02    0.737515986E-01
    0.428210013E-02    0.770800784E-01
    0.437938003E-02    0.805858895E-01
    0.447663991E-02    0.841812491E-01
    0.457793986E-02    0.879594833E-01
    0.467923982E-02    0.918298736E-01
    0.478474004E-02    0.958857685E-01
    0.489023980E-02    0.100035287E+00
    0.500012003E-02    0.104367971E+00
    0.510997977E-02    0.108794279E+00
    0.522442022E-02    0.113397054E+00
    0.533884019E-02    0.118090235E+00
    0.545802014E-02    0.122946747E+00
    0.557720009E-02    0.127888724E+00
    0.570130022E-02    0.132975072E+00
    0.582541991E-02    0.138138130E+00
    0.595468003E-02    0.143419892E+00
    0.608394016E-02    0.148767859E+00
    0.621856004E-02    0.154203623E+00
    0.635317992E-02    0.159692183E+00
    0.649337983E-02    0.165234089E+00
    0.663358020E-02    0.170813665E+00
    0.677959994E-02    0.176410124E+00
    0.692562014E-02    0.182029054E+00
    0.707767997E-02    0.187627852E+00
    0.722973980E-02    0.193234533E+00
    0.738812005E-02    0.198787540E+00
    0.754647981E-02    0.204334125E+00
    0.771141984E-02    0.209797904E+00
    0.787635986E-02    0.215242997E+00
    0.804814044E-02    0.220581934E+00
    0.821992010E-02    0.225892276E+00
    0.839881972E-02    0.231078655E+00
    0.857769977E-02    0.236229181E+00
    0.876402017E-02    0.241244346E+00
    0.895033963E-02    0.246218711E+00
    0.914437976E-02    0.251051873E+00
    0.933841988E-02    0.255841613E+00
    0.954050012E-02    0.260488719E+00
    0.974258035E-02    0.265091479E+00
    0.995303970E-02    0.269554228E+00
    0.101635205E-01    0.273973256E+00
    0.103826998E-01    0.278258115E+00
    0.106018800E-01    0.282500953E+00
    0.108301602E-01    0.286617249E+00
    0.110584404E-01    0.290693849E+00
    0.112961801E-01    0.294651717E+00
    0.115339197E-01    0.298574626E+00
    0.117815202E-01    0.302392513E+00
    0.120291198E-01    0.306172490E+00
    0.122869797E-01    0.309859127E+00
    0.125448396E-01    0.313513726E+00
    0.128133800E-01    0.317080766E+00
    0.130819399E-01    0.320621580E+00
    0.133616198E-01    0.324086577E+00
    0.136413202E-01    0.327528208E+00
    0.139325997E-01    0.330902755E+00
    0.142238801E-01    0.334256917E+00
    0.145272398E-01    0.337552756E+00
    0.148305995E-01    0.340833992E+00
    0.151465395E-01    0.344062686E+00
    0.154624600E-01    0.347276866E+00
    0.157915000E-01    0.350450188E+00
    0.161205400E-01    0.353611797E+00
    0.164632201E-01    0.356735527E+00
    0.168059003E-01    0.359853476E+00
    0.171627794E-01    0.362939268E+00
    0.175196603E-01    0.366019249E+00
    0.178913400E-01    0.369075894E+00
    0.182630196E-01    0.372126728E+00
    0.186500996E-01    0.375160039E+00
    0.190372001E-01    0.378190428E+00
    0.194403399E-01    0.381203353E+00
    0.198434796E-01    0.384216249E+00
    0.202633999E-01    0.387217492E+00
    0.206831992E-01    0.390221655E+00
    0.211203992E-01    0.393214107E+00
    0.215575993E-01    0.396212429E+00
    0.220129993E-01    0.399201989E+00
    0.224683993E-01    0.402197391E+00
    0.229428001E-01    0.405186951E+00
    0.234169997E-01    0.408182353E+00
    0.239109993E-01    0.411177754E+00
    0.244047996E-01    0.414176077E+00
    0.249192007E-01    0.417177319E+00
    0.254335999E-01    0.420184374E+00
    0.259693991E-01    0.423191458E+00
