TITLE     = "u-velocity normalized by centerline u-velocity at x=40.0, vertical cut (y=0.5)"
VARIABLES = "2z/D","u/u_CL"
ZONE T="FUN3D, grid 1 vertical cut"
    0.850000015E-05    0.972178066E-03
    0.258523996E-04    0.295678387E-02
    0.439241994E-04    0.502361031E-02
    0.627453992E-04    0.717609841E-02
    0.823467999E-04    0.941777788E-02
    0.102760801E-03    0.117523819E-01
    0.124021200E-03    0.141837308E-01
    0.146163206E-03    0.167158805E-01
    0.169223000E-03    0.193529986E-01
    0.193239000E-03    0.220994037E-01
    0.218250003E-03    0.249597058E-01
    0.244299998E-03    0.279385969E-01
    0.271427998E-03    0.310410392E-01
    0.299681997E-03    0.342721045E-01
    0.329105998E-03    0.376370437E-01
    0.359750004E-03    0.411416925E-01
    0.391665992E-03    0.447915867E-01
    0.424903992E-03    0.485925674E-01
    0.459520001E-03    0.525513403E-01
    0.495571992E-03    0.566743165E-01
    0.533117971E-03    0.609679185E-01
    0.572221994E-03    0.654391423E-01
    0.612945994E-03    0.700955763E-01
    0.655358017E-03    0.749445111E-01
    0.699528027E-03    0.799935237E-01
    0.745530007E-03    0.852504894E-01
    0.793439976E-03    0.907235891E-01
    0.843335991E-03    0.964212641E-01
    0.895300007E-03    0.102351688E+00
    0.949419977E-03    0.108523041E+00
    0.100578205E-02    0.114944331E+00
    0.106448203E-02    0.121623173E+00
    0.112561404E-02    0.128568008E+00
    0.118928205E-02    0.135786429E+00
    0.125559000E-02    0.143285424E+00
    0.132464594E-02    0.151070848E+00
    0.139656605E-02    0.159147352E+00
    0.147146604E-02    0.167518705E+00
    0.154947396E-02    0.176185831E+00
    0.163071405E-02    0.185147539E+00
    0.171532400E-02    0.194398850E+00
    0.180344004E-02    0.203931645E+00
    0.189521001E-02    0.213732749E+00
    0.199078605E-02    0.223783523E+00
    0.209031999E-02    0.234059468E+00
    0.219397992E-02    0.244529679E+00
    0.230194000E-02    0.255155593E+00
    0.241437997E-02    0.265892386E+00
    0.253148004E-02    0.276688069E+00
    0.265343999E-02    0.287485242E+00
    0.278046005E-02    0.298221707E+00
    0.291271997E-02    0.308838308E+00
    0.305048004E-02    0.319265336E+00
    0.319396006E-02    0.329453200E+00
    0.334338006E-02    0.339340657E+00
    0.349900010E-02    0.348892689E+00
    0.366106001E-02    0.358068466E+00
    0.382985990E-02    0.366850495E+00
    0.400563981E-02    0.375224203E+00
    0.418872014E-02    0.383189559E+00
    0.437938003E-02    0.390755385E+00
    0.457793986E-02    0.397933245E+00
    0.478474004E-02    0.404743612E+00
    0.500012003E-02    0.411209852E+00
    0.522442022E-02    0.417358160E+00
    0.545802014E-02    0.423214793E+00
    0.570130022E-02    0.428803086E+00
    0.595468003E-02    0.434155136E+00
    0.621856004E-02    0.439288437E+00
    0.649337983E-02    0.444229245E+00
    0.677959994E-02    0.448997974E+00
    0.707767997E-02    0.453612119E+00
    0.738812005E-02    0.458094984E+00
    0.771141984E-02    0.462455392E+00
    0.804814044E-02    0.466713726E+00
    0.839881972E-02    0.470875770E+00
    0.876402017E-02    0.474959075E+00
    0.914437976E-02    0.478972375E+00
    0.954050012E-02    0.482921541E+00
    0.995303970E-02    0.486818194E+00
    0.103826998E-01    0.490665227E+00
    0.108301602E-01    0.494474411E+00
    0.112961801E-01    0.498245597E+00
    0.117815202E-01    0.501987696E+00
    0.122869797E-01    0.505700588E+00
    0.128133800E-01    0.509393036E+00
    0.133616198E-01    0.513065100E+00
    0.139325997E-01    0.516719699E+00
    0.145272398E-01    0.520359695E+00
    0.151465395E-01    0.523990929E+00
    0.157915000E-01    0.527610421E+00
    0.164632201E-01    0.531221271E+00
    0.171627794E-01    0.534826219E+00
    0.178913400E-01    0.538425386E+00
    0.186500996E-01    0.542021632E+00
    0.194403399E-01    0.545614958E+00
    0.202633999E-01    0.549208283E+00
    0.211203992E-01    0.552801549E+00
    0.220129993E-01    0.556394875E+00
    0.229428001E-01    0.559988201E+00
    0.239109993E-01    0.563584447E+00
    0.249192007E-01    0.567183614E+00
    0.259693991E-01    0.570788562E+00
    0.270632002E-01    0.574396431E+00
    0.282022003E-01    0.578010202E+00
    0.293883998E-01    0.581629753E+00
    0.306237992E-01    0.585258067E+00
    0.319104008E-01    0.588892162E+00
    0.332503989E-01    0.592532158E+00
    0.346460007E-01    0.596183836E+00
    0.360994004E-01    0.599844217E+00
    0.376131982E-01    0.603516340E+00
    0.391895995E-01    0.607197106E+00
    0.408313982E-01    0.610892534E+00
    0.425411984E-01    0.614599526E+00
    0.443219989E-01    0.618318319E+00
    0.461766012E-01    0.622051597E+00
    0.481080003E-01    0.625802457E+00
    0.501196012E-01    0.629567802E+00
    0.522143990E-01    0.633350730E+00
    0.543962009E-01    0.637154043E+00
    0.566685982E-01    0.640971899E+00
    0.590349995E-01    0.644813120E+00
    0.614995994E-01    0.648674786E+00
    0.640664026E-01    0.652559757E+00
    0.667394027E-01    0.656468093E+00
    0.695234016E-01    0.660399735E+00
    0.724230036E-01    0.664360583E+00
    0.754425973E-01    0.668347657E+00
    0.785873979E-01    0.672360897E+00
    0.818625987E-01    0.676406324E+00
    0.852736011E-01    0.680483818E+00
    0.888260007E-01    0.684593320E+00
    0.925258025E-01    0.688740790E+00
    0.963788033E-01    0.692920387E+00
    0.100391597E+00    0.697140753E+00
    0.104570799E+00    0.701399088E+00
    0.108923398E+00    0.705698252E+00
    0.113456197E+00    0.710038185E+00
    0.118177198E+00    0.714424849E+00
    0.123093598E+00    0.718858123E+00
    0.128214195E+00    0.723341107E+00
