TITLE     = "u-velocity normalized by centerline u-velocity at x=50.0, diagonal cut (y=z)"
VARIABLES = "u/u_CL","2z/D"
ZONE T="USM3D, grid 1 diagonal cut"
    0.000000000E+00    0.392202485E-09
    0.974262258E-07    0.392241706E-05
    0.211212364E-06    0.850000000E-05
    0.552570777E-06    0.130775829E-04
    0.844849455E-06    0.170000000E-04
    0.138974495E-05    0.210850405E-04
    0.202601100E-05    0.258528867E-04
    0.292982585E-05    0.306197795E-04
    0.370383275E-05    0.347048200E-04
    0.478467403E-05    0.389592212E-04
    0.604665141E-05    0.439242400E-04
    0.760938444E-05    0.488892588E-04
    0.894782416E-05    0.531436600E-04
    0.106478829E-04    0.575744500E-04
    0.126327207E-04    0.627453200E-04
    0.149515447E-04    0.679161900E-04
    0.169376818E-04    0.723469800E-04
    0.193444796E-04    0.769614729E-04
    0.221543097E-04    0.823467300E-04
    0.253325079E-04    0.877319871E-04
    0.253329724E-04    0.877324485E-04
    0.280554724E-04    0.923464800E-04
    0.312632875E-04    0.971522854E-04
    0.350081254E-04    0.102760810E-03
    0.391581461E-04    0.108369335E-03
    0.391587505E-04    0.108369815E-03
    0.427138586E-04    0.113175140E-03
    0.468251774E-04    0.118180190E-03
    0.516246324E-04    0.124021240E-03
    0.568693022E-04    0.129862290E-03
    0.613620140E-04    0.134867340E-03
    0.664887384E-04    0.140079900E-03
    0.724733904E-04    0.146163120E-03
    0.789459245E-04    0.152246340E-03
    0.844906030E-04    0.157458900E-03
    0.907551149E-04    0.162887571E-03
    0.980677962E-04    0.169223000E-03
    0.105913660E-03    0.175558429E-03
    0.105915554E-03    0.175560238E-03
    0.112636454E-03    0.180987100E-03
    0.120172760E-03    0.186640849E-03
    0.128969809E-03    0.193239610E-03
    0.138350867E-03    0.199837051E-03
    0.146387029E-03    0.205490800E-03
    0.146387437E-03    0.205491389E-03
    0.146388294E-03    0.205491954E-03
    0.155342324E-03    0.211378948E-03
    0.165795109E-03    0.218250600E-03
    0.176885984E-03    0.225122252E-03
    0.186387538E-03    0.231010400E-03
    0.196921809E-03    0.237142661E-03
    0.209217960E-03    0.244299200E-03
    0.222210963E-03    0.251455739E-03
    0.233342257E-03    0.257588000E-03
    0.245632100E-03    0.263974526E-03
    0.259977227E-03    0.271427800E-03
    0.275082991E-03    0.278881074E-03
    0.288024507E-03    0.285267600E-03
    0.302262871E-03    0.291918866E-03
    0.318882150E-03    0.299681100E-03
    0.336331355E-03    0.307443334E-03
    0.351280748E-03    0.314094600E-03
    0.367678947E-03    0.321021681E-03
    0.386818903E-03    0.329105800E-03
    0.406864116E-03    0.337189919E-03
    0.424037886E-03    0.344117000E-03
    0.442827427E-03    0.351331202E-03
    0.464758287E-03    0.359751242E-03
    0.487676169E-03    0.368169598E-03
    0.507311270E-03    0.375383800E-03
    0.528745193E-03    0.382897167E-03
    0.553762226E-03    0.391665500E-03
    0.579855299E-03    0.400433833E-03
    0.602211062E-03    0.407947200E-03
    0.626566642E-03    0.415772053E-03
    0.654993413E-03    0.424904813E-03
    0.684592873E-03    0.434035747E-03
    0.709953084E-03    0.441860600E-03
    0.737533525E-03    0.450009860E-03
    0.769723869E-03    0.459520300E-03
    0.803191825E-03    0.469030740E-03
    0.831866904E-03    0.477180000E-03
    0.863003777E-03    0.485667141E-03
    0.899344633E-03    0.495572890E-03
    0.937077498E-03    0.505476659E-03
    0.969406950E-03    0.513963800E-03
    0.100446281E-02    0.522802805E-03
    0.104537732E-02    0.533118200E-03
    0.108780798E-02    0.543433595E-03
    0.112416295E-02    0.552272600E-03
    0.116353427E-02    0.561478051E-03
    0.120948499E-02    0.572221100E-03
    0.125708676E-02    0.582964149E-03
    0.129787278E-02    0.592169600E-03
    0.134199284E-02    0.601756726E-03
    0.139348547E-02    0.612945200E-03
    0.144677598E-02    0.624133674E-03
    0.149243657E-02    0.633720800E-03
    0.154177866E-02    0.643705382E-03
    0.159936524E-02    0.655358865E-03
    0.165890963E-02    0.667010018E-03
    0.170992916E-02    0.676994600E-03
    0.176501040E-02    0.687393158E-03
    0.182929455E-02    0.699529813E-03
    0.189571014E-02    0.711664042E-03
    0.195261463E-02    0.722062600E-03
    0.195261756E-02    0.722063683E-03
    0.195262344E-02    0.722064722E-03
    0.201400283E-02    0.732892301E-03
    0.208564382E-02    0.745530900E-03
    0.215960472E-02    0.758169499E-03
    0.222297790E-02    0.768999200E-03
    0.229128390E-02    0.780277856E-03
    0.237100121E-02    0.793440400E-03
    0.245323549E-02    0.806602944E-03
    0.245324731E-02    0.806604071E-03
    0.252371369E-02    0.817881600E-03
    0.259960989E-02    0.829627901E-03
    0.259962246E-02    0.829630642E-03
    0.268819296E-02    0.843337571E-03
    0.277951180E-02    0.857044499E-03
    0.277953392E-02    0.857048414E-03
