TITLE     = "u-velocity normalized by centerline u-velocity at x=50.0, vertical cut (y=0.5)"
VARIABLES = "u/u_CL","2z/D"
ZONE T="USM3D, grid 1 vertical cut"
    0.000000000E+00    0.000000000E+00
    0.209859945E-02    0.170000003E-04
    0.428441912E-02    0.347048190E-04
    0.656099105E-02    0.531436599E-04
    0.893209316E-02    0.723469784E-04
    0.114016626E-01    0.923464831E-04
    0.139738005E-01    0.113175142E-03
    0.166527797E-01    0.134867339E-03
    0.194430556E-01    0.157458897E-03
    0.223492682E-01    0.180987103E-03
    0.253762528E-01    0.205490796E-03
    0.285290405E-01    0.231010403E-03
    0.318128802E-01    0.257587992E-03
    0.352332406E-01    0.285267597E-03
    0.387958102E-01    0.314094592E-03
    0.425064750E-01    0.344116997E-03
    0.463714488E-01    0.375383795E-03
    0.503970869E-01    0.407947198E-03
    0.545900911E-01    0.441860611E-03
    0.589573495E-01    0.477180001E-03
    0.635060668E-01    0.513963809E-03
    0.682435855E-01    0.552272599E-03
    0.731776804E-01    0.592169585E-03
    0.783162042E-01    0.633720774E-03
    0.836673528E-01    0.676994619E-03
    0.892394707E-01    0.722062599E-03
    0.950410739E-01    0.768999220E-03
    0.101080872E+00    0.817881606E-03
    0.107367575E+00    0.868790783E-03
    0.113909922E+00    0.921810628E-03
    0.120716512E+00    0.977028627E-03
    0.127795741E+00    0.103453605E-02
    0.135155573E+00    0.109442754E-02
    0.142803326E+00    0.115680217E-02
    0.150745436E+00    0.122176285E-02
    0.158987105E+00    0.128941680E-02
    0.167531952E+00    0.135987555E-02
    0.176381379E+00    0.143325585E-02
    0.185534328E+00    0.150967820E-02
    0.194986314E+00    0.158926903E-02
    0.204728812E+00    0.167215965E-02
    0.214748666E+00    0.175848685E-02
    0.225027084E+00    0.184839324E-02
    0.235539034E+00    0.194202701E-02
    0.246252582E+00    0.203954196E-02
    0.257128596E+00    0.214110198E-02
    0.268120587E+00    0.224687206E-02
    0.279175460E+00    0.235702610E-02
    0.290234178E+00    0.247174804E-02
    0.301233679E+00    0.259122602E-02
    0.312109053E+00    0.271565793E-02
    0.322796315E+00    0.284524797E-02
    0.333235025E+00    0.298020989E-02
    0.343371659E+00    0.312076998E-02
    0.353160948E+00    0.326715596E-02
    0.362568617E+00    0.341960997E-02
    0.371571332E+00    0.357838604E-02
    0.380157113E+00    0.374374609E-02
    0.388324559E+00    0.391595997E-02
    0.396080673E+00    0.409531593E-02
    0.403439879E+00    0.428210618E-02
    0.410422713E+00    0.447663991E-02
    0.417052537E+00    0.467923982E-02
    0.423355639E+00    0.489023980E-02
    0.429359108E+00    0.510998815E-02
    0.435089946E+00    0.533884810E-02
    0.440574169E+00    0.557719404E-02
    0.445837587E+00    0.582542410E-02
    0.450902790E+00    0.608394388E-02
    0.455792248E+00    0.635318179E-02
    0.460525662E+00    0.663358392E-02
    0.465120822E+00    0.692560989E-02
    0.469594568E+00    0.722974399E-02
    0.473961234E+00    0.754648820E-02
    0.478233814E+00    0.787636172E-02
    0.482424557E+00    0.821991358E-02
    0.486543208E+00    0.857771002E-02
    0.490599066E+00    0.895033777E-02
    0.494600594E+00    0.933841802E-02
    0.498554707E+00    0.974258594E-02
    0.502467871E+00    0.101635102E-01
    0.506345749E+00    0.106018856E-01
    0.510193109E+00    0.110584376E-01
    0.514014483E+00    0.115339179E-01
    0.517813921E+00    0.120291104E-01
    0.521594703E+00    0.125448341E-01
    0.525359571E+00    0.130819399E-01
    0.529111505E+00    0.136413118E-01
    0.532853007E+00    0.142238783E-01
    0.536585987E+00    0.148305958E-01
    0.540312529E+00    0.154624684E-01
    0.544034243E+00    0.161205381E-01
    0.547752798E+00    0.168058891E-01
    0.551469326E+00    0.175196584E-01
    0.555185318E+00    0.182630178E-01
    0.558901906E+00    0.190371983E-01
    0.562620163E+00    0.198434740E-01
    0.566340804E+00    0.206831805E-01
    0.570065379E+00    0.215576999E-01
    0.573794246E+00    0.224684794E-01
    0.577528357E+00    0.234170202E-01
    0.581268668E+00    0.244048797E-01
    0.585015774E+00    0.254337005E-01
    0.588770628E+00    0.265051592E-01
    0.592533648E+00    0.276210606E-01
    0.596305489E+00    0.287832208E-01
    0.600087524E+00    0.299935602E-01
    0.603879571E+00    0.312541015E-01
    0.607682824E+00    0.325668789E-01
    0.611498117E+00    0.339341015E-01
    0.615325689E+00    0.353580005E-01
    0.619166851E+00    0.368409194E-01
    0.623021603E+00    0.383853391E-01
    0.626891136E+00    0.399937816E-01
    0.630776226E+00    0.416689217E-01
    0.634677529E+00    0.434135012E-01
    0.638595760E+00    0.452303998E-01
    0.642531693E+00    0.471226387E-01
    0.646486104E+00    0.490933396E-01
    0.650459945E+00    0.511457398E-01
    0.654454052E+00    0.532832183E-01
    0.658468962E+00    0.555093214E-01
    0.662505925E+00    0.578277186E-01
    0.666565418E+00    0.602422394E-01
    0.670648575E+00    0.627568811E-01
    0.674756527E+00    0.653757602E-01
    0.678889573E+00    0.681032166E-01
    0.683049440E+00    0.709437579E-01
    0.687236547E+00    0.739020631E-01
    0.691451967E+00    0.769830197E-01
    0.695696533E+00    0.801917166E-01
    0.699971497E+00    0.835334435E-01
    0.704277992E+00    0.870137215E-01
    0.708616614E+00    0.906382799E-01
    0.712988853E+00    0.944131166E-01
    0.717395663E+00    0.983444601E-01
    0.721837997E+00    0.102438800E+00
    0.726316989E+00    0.106702879E+00
    0.730833888E+00    0.111143760E+00
    0.735389888E+00    0.115768738E+00
    0.739985764E+00    0.120585479E+00
    0.744622707E+00    0.125601917E+00
    0.749302328E+00    0.130826339E+00
    0.754025280E+00    0.136267364E+00
    0.758793294E+00    0.141933963E+00
    0.763607025E+00    0.147835493E+00
    0.768467843E+00    0.153981715E+00
    0.773376942E+00    0.160382763E+00
    0.778335512E+00    0.167049199E+00
    0.783344328E+00    0.173991993E+00
    0.788404942E+00    0.181222662E+00
    0.793518364E+00    0.188753098E+00
    0.798685372E+00    0.196595758E+00
    0.803906977E+00    0.204763606E+00
    0.809184015E+00    0.213269994E+00
    0.814516902E+00    0.222129196E+00
    0.819906712E+00    0.231355593E+00
    0.825353503E+00    0.240964398E+00
    0.830857396E+00    0.250971794E+00
    0.836418688E+00    0.261393994E+00
    0.842036486E+00    0.272248387E+00
    0.847710609E+00    0.283552587E+00
    0.853439748E+00    0.295325607E+00
    0.859221876E+00    0.307586789E+00
    0.865055621E+00    0.320356190E+00
    0.870937765E+00    0.333655208E+00
    0.876864850E+00    0.347505391E+00
    0.882832468E+00    0.361929804E+00
    0.888835609E+00    0.376952410E+00
    0.894867837E+00    0.392597586E+00
    0.900921524E+00    0.408891588E+00
    0.906988025E+00    0.425861210E+00
    0.913057029E+00    0.443534195E+00
    0.919116199E+00    0.461940199E+00
    0.925152063E+00    0.481108993E+00
    0.931148350E+00    0.501072586E+00
    0.937087297E+00    0.521863997E+00
    0.942948580E+00    0.543517411E+00
    0.948709726E+00    0.566068411E+00
    0.954345107E+00    0.589554429E+00
    0.959826529E+00    0.614014208E+00
    0.965123892E+00    0.639487982E+00
    0.970203638E+00    0.666018009E+00
    0.975030065E+00    0.693647981E+00
    0.979565322E+00    0.722423375E+00
    0.983768821E+00    0.752391815E+00
    0.987599433E+00    0.783602774E+00
    0.991013169E+00    0.816107809E+00
    0.993965149E+00    0.849960387E+00
    0.996407747E+00    0.885216415E+00
    0.998287380E+00    0.921934426E+00
    0.999536872E+00    0.960174382E+00
    0.100000000E+01    0.100000000E+01
ZONE T="USM3D, grid 2 vertical cut"
    0.000000000E+00    0.000000000E+00
    0.438551372E-02    0.347048190E-04
    0.914315693E-02    0.723469784E-04
    0.143041378E-01    0.113175142E-03
    0.199027620E-01    0.157458897E-03
    0.259762779E-01    0.205490796E-03
    0.325651020E-01    0.257587992E-03
    0.397130810E-01    0.314094592E-03
    0.474677272E-01    0.375383795E-03
    0.558804385E-01    0.441860611E-03
    0.650067031E-01    0.513963809E-03
    0.749060884E-01    0.592169585E-03
    0.856421962E-01    0.676994619E-03
    0.972820669E-01    0.768999220E-03
    0.109895326E+00    0.868790783E-03
    0.123552099E+00    0.977028627E-03
    0.138319731E+00    0.109442754E-02
    0.154257506E+00    0.122176285E-02
    0.171408117E+00    0.135987555E-02
    0.189785272E+00    0.150967820E-02
    0.209356531E+00    0.167215965E-02
    0.230021507E+00    0.184839324E-02
    0.251588643E+00    0.203954196E-02
    0.273757070E+00    0.224687206E-02
    0.296115726E+00    0.247174804E-02
    0.318172962E+00    0.271565793E-02
    0.339420289E+00    0.298020989E-02
    0.359417141E+00    0.326715596E-02
    0.377864093E+00    0.357838604E-02
    0.394635916E+00    0.391595997E-02
    0.409764528E+00    0.428210618E-02
    0.423393041E+00    0.467923982E-02
    0.435722172E+00    0.510998815E-02
    0.446966946E+00    0.557719404E-02
    0.457330733E+00    0.608394388E-02
    0.466992229E+00    0.663358392E-02
    0.476101816E+00    0.722974399E-02
    0.484781593E+00    0.787636172E-02
    0.493129641E+00    0.857771002E-02
    0.501223147E+00    0.933841802E-02
    0.509122670E+00    0.101635102E-01
    0.516875744E+00    0.110584376E-01
    0.524518728E+00    0.120291104E-01
    0.532080710E+00    0.130819399E-01
    0.539584160E+00    0.142238783E-01
    0.547046423E+00    0.154624684E-01
    0.554481685E+00    0.168058891E-01
    0.561901152E+00    0.182630178E-01
    0.569313943E+00    0.198434740E-01
    0.576727927E+00    0.215576999E-01
    0.584149659E+00    0.234170202E-01
    0.591584861E+00    0.254337005E-01
    0.599039316E+00    0.276210606E-01
    0.606518507E+00    0.299935602E-01
    0.614026785E+00    0.325668789E-01
    0.621570229E+00    0.353580005E-01
    0.629153728E+00    0.383853391E-01
    0.636783004E+00    0.416689217E-01
    0.644464195E+00    0.452303998E-01
    0.652203381E+00    0.490933396E-01
    0.660007358E+00    0.532832183E-01
    0.667883396E+00    0.578277186E-01
    0.675839126E+00    0.627568811E-01
    0.683882892E+00    0.681032166E-01
    0.692023218E+00    0.739020631E-01
    0.700268984E+00    0.801917166E-01
    0.708630025E+00    0.870137215E-01
    0.717116058E+00    0.944131166E-01
    0.725737691E+00    0.102438800E+00
    0.734505177E+00    0.111143760E+00
    0.743429482E+00    0.120585479E+00
    0.752521932E+00    0.130826339E+00
    0.761793077E+00    0.141933963E+00
    0.771254241E+00    0.153981715E+00
    0.780915499E+00    0.167049199E+00
    0.790787816E+00    0.181222662E+00
    0.800880134E+00    0.196595758E+00
    0.811200857E+00    0.213269994E+00
    0.821755886E+00    0.231355593E+00
    0.832549632E+00    0.250971794E+00
    0.843582213E+00    0.272248387E+00
    0.854848981E+00    0.295325607E+00
    0.866338253E+00    0.320356190E+00
    0.878030241E+00    0.347505391E+00
    0.889892221E+00    0.376952410E+00
    0.901877165E+00    0.408891588E+00
    0.913918555E+00    0.443534195E+00
    0.925925374E+00    0.481108993E+00
    0.937777638E+00    0.521863997E+00
    0.949320614E+00    0.566068411E+00
    0.960359991E+00    0.614014208E+00
    0.970659196E+00    0.666018009E+00
    0.979940116E+00    0.722423375E+00
    0.987889886E+00    0.783602774E+00
    0.994169474E+00    0.849960387E+00
    0.998405576E+00    0.921934426E+00
    0.100000000E+01    0.100000000E+01
ZONE T="USM3D, grid 3 vertical cut"
    0.000000000E+00    0.000000000E+00
    0.954471342E-02    0.723469784E-04
    0.207779743E-01    0.157458897E-03
    0.339975730E-01    0.257587992E-03
    0.495556369E-01    0.375383795E-03
    0.678647235E-01    0.513963809E-03
    0.894021615E-01    0.676994619E-03
    0.114703692E+00    0.868790783E-03
    0.144325808E+00    0.109442754E-02
    0.178733051E+00    0.135987555E-02
    0.218029767E+00    0.167215965E-02
    0.261457771E+00    0.203954196E-02
    0.306805015E+00    0.247174804E-02
    0.350469202E+00    0.298020989E-02
    0.388973653E+00    0.357838604E-02
    0.420865923E+00    0.428210618E-02
    0.446876258E+00    0.510998815E-02
    0.468621075E+00    0.608394388E-02
    0.487585694E+00    0.722974399E-02
    0.504831254E+00    0.857771002E-02
    0.521044791E+00    0.101635102E-01
    0.536650717E+00    0.120291104E-01
    0.551907659E+00    0.142238783E-01
    0.566972137E+00    0.168058891E-01
    0.581941068E+00    0.198434740E-01
    0.596876860E+00    0.234170202E-01
    0.611824811E+00    0.276210606E-01
    0.626820683E+00    0.325668789E-01
    0.641898871E+00    0.383853391E-01
    0.657095849E+00    0.452303998E-01
    0.672452986E+00    0.532832183E-01
    0.688019812E+00    0.627568811E-01
    0.703854799E+00    0.739020631E-01
    0.720027149E+00    0.870137215E-01
    0.736616194E+00    0.102438800E+00
    0.753712237E+00    0.120585479E+00
    0.771412492E+00    0.141933963E+00
    0.789818227E+00    0.167049199E+00
    0.809026122E+00    0.196595758E+00
    0.829117000E+00    0.231355593E+00
    0.850137174E+00    0.272248387E+00
    0.872065365E+00    0.320356190E+00
    0.894760787E+00    0.376952410E+00
    0.917884767E+00    0.443534195E+00
    0.940790892E+00    0.521863997E+00
    0.962389052E+00    0.614014208E+00
    0.981038809E+00    0.722423375E+00
    0.994567394E+00    0.849960387E+00
    0.100000000E+01    0.100000000E+01
