#SA model results
VARIABLES = "x","cf"
ZONE T="CFL3D"
 9.997505546E-01 2.136733150E-03
 9.994956851E-01 8.279326139E-04
 9.992352128E-01 9.922359604E-04
 9.989690781E-01 1.181426574E-03
 9.986971617E-01 1.305135898E-03
 9.984192848E-01 1.397821470E-03
 9.981353879E-01 1.460152911E-03
 9.978453517E-01 1.503340085E-03
 9.975489378E-01 1.533778268E-03
 9.972460866E-01 1.557352603E-03
 9.969367385E-01 1.577606425E-03
 9.966205955E-01 1.596653135E-03
 9.962975979E-01 1.615426154E-03
 9.959676266E-01 1.634197892E-03
 9.956305623E-01 1.652902574E-03
 9.952861071E-01 1.671371283E-03
 9.949342608E-01 1.689449768E-03
 9.945747852E-01 1.707045245E-03
 9.942075610E-01 1.724127913E-03
 9.938323498E-01 1.740714186E-03
 9.934490919E-01 1.756845624E-03
 9.930576086E-01 1.772572286E-03
 9.926576614E-01 1.787943183E-03
 9.922491312E-01 1.803000690E-03
 9.918317795E-01 1.817779965E-03
 9.914054871E-01 1.832310110E-03
 9.909700155E-01 1.846615924E-03
 9.905252457E-01 1.860718592E-03
 9.900709391E-01 1.874637674E-03
 9.896069169E-01 1.888391562E-03
 9.891329408E-01 1.901997137E-03
 9.886488914E-01 1.915470813E-03
 9.881544709E-01 1.928828191E-03
 9.876495004E-01 1.942084054E-03
 9.871338010E-01 1.955252374E-03
 9.866071343E-01 1.968347002E-03
 9.860692620E-01 1.981380396E-03
 9.855199456E-01 1.994365593E-03
 9.849590063E-01 2.007314470E-03
 9.843862057E-01 2.020238899E-03
 9.838012457E-01 2.033150988E-03
 9.832039475E-01 2.046062378E-03
 9.825940728E-01 2.058984479E-03
 9.819713235E-01 2.071929863E-03
 9.813354611E-01 2.084910404E-03
 9.806861877E-01 2.097939374E-03
 9.800233245E-01 2.111031208E-03
 9.793465734E-01 2.124201972E-03
 9.786556363E-01 2.137470525E-03
 9.779502153E-01 2.150861081E-03
 9.772301316E-01 2.164403675E-03
 9.764949679E-01 2.178138588E-03
 9.757445455E-01 2.192119136E-03
 9.749785066E-01 2.206414705E-03
 9.741965532E-01 2.221117495E-03
 9.733983874E-01 2.236334840E-03
 9.725837111E-01 2.252220642E-03
 9.717522264E-01 2.268859651E-03
 9.709035754E-01 2.286627656E-03
 9.700374603E-01 2.305827336E-03
