#SA model results
VARIABLES = "x","cp"
ZONE T="CFL3D"
 1.000000000E+00 1.651332825E-01
 9.997505546E-01 1.752008051E-01
 9.994956851E-01 1.830516160E-01
 9.992352128E-01 1.812659353E-01
 9.989690781E-01 1.810042411E-01
 9.986971617E-01 1.800036579E-01
 9.984192848E-01 1.792339683E-01
 9.981353879E-01 1.783257276E-01
 9.978453517E-01 1.774021089E-01
 9.975489378E-01 1.764169037E-01
 9.972460866E-01 1.753855199E-01
 9.969367385E-01 1.743541360E-01
 9.966205955E-01 1.733073592E-01
 9.962975979E-01 1.722759902E-01
 9.959676266E-01 1.712446064E-01
 9.956305623E-01 1.702286154E-01
 9.952861071E-01 1.692126244E-01
 9.949342608E-01 1.682120264E-01
 9.945747852E-01 1.672114432E-01
 9.942075610E-01 1.662108451E-01
 9.938323498E-01 1.652256399E-01
 9.934490919E-01 1.642250419E-01
 9.930576086E-01 1.632244587E-01
 9.926576614E-01 1.622238606E-01
 9.922491312E-01 1.612232625E-01
 9.918317795E-01 1.602226645E-01
 9.914054871E-01 1.592220813E-01
 9.909700155E-01 1.582060903E-01
 9.905252457E-01 1.571900994E-01
 9.900709391E-01 1.561741084E-01
 9.896069169E-01 1.551581174E-01
 9.891329408E-01 1.541267335E-01
 9.886488914E-01 1.530953497E-01
 9.881544709E-01 1.520639807E-01
 9.876495004E-01 1.510172039E-01
 9.871338010E-01 1.499704272E-01
 9.866071343E-01 1.489236504E-01
 9.860692620E-01 1.478614807E-01
 9.855199456E-01 1.467993110E-01
 9.849590063E-01 1.457217485E-01
 9.843862057E-01 1.446441859E-01
 9.838012457E-01 1.435512304E-01
 9.832039475E-01 1.424582750E-01
 9.825940728E-01 1.413653046E-01
 9.819713235E-01 1.402569562E-01
 9.813354611E-01 1.391332150E-01
 9.806861877E-01 1.380094737E-01
 9.800233245E-01 1.368857324E-01
 9.793465734E-01 1.357465833E-01
 9.786556363E-01 1.346074492E-01
 9.779502153E-01 1.334683150E-01
 9.772301316E-01 1.323137730E-01
 9.764949679E-01 1.311592460E-01
 9.757445455E-01 1.299893260E-01
 9.749785066E-01 1.288347840E-01
 9.741965532E-01 1.276802570E-01
 9.733983874E-01 1.265103370E-01
 9.725837111E-01 1.253711879E-01
 9.717522264E-01 1.242320538E-01
 9.709035754E-01 1.231083125E-01
 9.700374603E-01 1.220153496E-01
 9.691535234E-01 1.210147589E-01
 9.682514668E-01 1.200911328E-01
 9.673308730E-01 1.191982925E-01
 9.663915038E-01 1.183670312E-01
 9.654329419E-01 1.175819486E-01
