# CFD data extracted (using Tecplot) by interpolating from original grid onto fixed set of points
# SA model
VARIABLES = "X","Y","u/Uref"
ZONE T="CFL3D, x=1.01"
 1.009999990E+00 -2.000000000E+01 9.993984103E-01
 1.009999990E+00 -1.935783958E+01 9.993738532E-01
 1.009999990E+00 -1.873642540E+01 9.993582368E-01
 1.009999990E+00 -1.813489723E+01 9.993380308E-01
 1.009999990E+00 -1.755247307E+01 9.993173480E-01
 1.009999990E+00 -1.698842812E+01 9.992959499E-01
 1.009999990E+00 -1.644208908E+01 9.992740750E-01
 1.009999990E+00 -1.591282177E+01 9.992514253E-01
 1.009999990E+00 -1.540002155E+01 9.992282391E-01
 1.009999990E+00 -1.490311527E+01 9.992042184E-01
 1.009999990E+00 -1.442155170E+01 9.991796613E-01
 1.009999990E+00 -1.395480156E+01 9.991542697E-01
 1.009999990E+00 -1.350235271E+01 9.991281629E-01
 1.009999990E+00 -1.306371021E+01 9.991013408E-01
 1.009999990E+00 -1.263839531E+01 9.990736842E-01
 1.009999990E+00 -1.222593880E+01 9.990451932E-01
 1.009999990E+00 -1.182589436E+01 9.990159273E-01
 1.009999990E+00 -1.143781471E+01 9.989857674E-01
 1.009999990E+00 -1.106141567E+01 9.989545941E-01
 1.009999990E+00 -1.069646168E+01 9.989227057E-01
 1.009999990E+00 -1.034272861E+01 9.988897443E-01
 1.009999990E+00 -9.999948502E+00 9.988560677E-01
 1.009999990E+00 -9.667881966E+00 9.988214374E-01
 1.009999990E+00 -9.346258163E+00 9.987857342E-01
 1.009999990E+00 -9.034824371E+00 9.987493753E-01
 1.009999990E+00 -8.733310699E+00 9.987118840E-01
 1.009999990E+00 -8.441459656E+00 9.986734986E-01
 1.009999990E+00 -8.159008026E+00 9.986342192E-01
 1.009999990E+00 -7.885692596E+00 9.985940456E-01
 1.009999990E+00 -7.621260166E+00 9.985528588E-01
 1.009999990E+00 -7.365450859E+00 9.985108376E-01
 1.009999990E+00 -7.118018627E+00 9.984678030E-01
 1.009999990E+00 -6.878712177E+00 9.984238744E-01
 1.009999990E+00 -6.647291660E+00 9.983791113E-01
 1.009999990E+00 -6.423519135E+00 9.983334541E-01
 1.009999990E+00 -6.207160950E+00 9.982869029E-01
 1.009999990E+00 -5.997991562E+00 9.982394576E-01
 1.009999990E+00 -5.795789719E+00 9.981911778E-01
 1.009999990E+00 -5.600339890E+00 9.981421828E-01
 1.009999990E+00 -5.411433220E+00 9.980922937E-01
 1.009999990E+00 -5.228827953E+00 9.980416894E-01
 1.009999990E+00 -5.052223682E+00 9.979904294E-01
 1.009999990E+00 -4.881423950E+00 9.979383349E-01
 1.009999990E+00 -4.716265202E+00 9.978857636E-01
 1.009999990E+00 -4.556583405E+00 9.978324771E-01
 1.009999990E+00 -4.402204514E+00 9.977786541E-01
 1.009999990E+00 -4.252981186E+00 9.977243543E-01
 1.009999990E+00 -4.108750820E+00 9.976696372E-01
 1.009999990E+00 -3.969357491E+00 9.976145029E-01
 1.009999990E+00 -3.834659100E+00 9.975591302E-01
 1.009999990E+00 -3.704500675E+00 9.975034595E-01
 1.009999990E+00 -3.578741312E+00 9.974477887E-01
 1.009999990E+00 -3.457240820E+00 9.973919392E-01
 1.009999990E+00 -3.339855671E+00 9.973362088E-01
 1.009999990E+00 -3.226454258E+00 9.972805381E-01
 1.009999990E+00 -3.116902113E+00 9.972250462E-01
 1.009999990E+00 -3.011067867E+00 9.971698523E-01
 1.009999990E+00 -2.908826351E+00 9.971150160E-01
 1.009999990E+00 -2.810053110E+00 9.970605969E-01
 1.009999990E+00 -2.714627981E+00 9.970065951E-01
 1.009999990E+00 -2.622434855E+00 9.969531894E-01
 1.009999990E+00 -2.533361197E+00 9.969003797E-01
 1.009999990E+00 -2.447297573E+00 9.968482256E-01
 1.009999990E+00 -2.364140272E+00 9.967967868E-01
 1.009999990E+00 -2.283789158E+00 9.967460036E-01
 1.009999990E+00 -2.206146479E+00 9.966959357E-01
 1.009999990E+00 -2.131122589E+00 9.966465831E-01
 1.009999990E+00 -2.058630943E+00 9.965978265E-01
 1.009999990E+00 -1.988584638E+00 9.965497851E-01
 1.009999990E+00 -1.920913339E+00 9.965022206E-01
 1.009999990E+00 -1.855541468E+00 9.964549541E-01
 1.009999990E+00 -1.792391539E+00 9.964078665E-01
 1.009999990E+00 -1.731388450E+00 9.963607192E-01
 1.009999990E+00 -1.672460914E+00 9.963135123E-01
 1.009999990E+00 -1.615538955E+00 9.962657094E-01
 1.009999990E+00 -1.560554504E+00 9.962171912E-01
 1.009999990E+00 -1.507442951E+00 9.961674809E-01
 1.009999990E+00 -1.456141472E+00 9.961160421E-01
 1.009999990E+00 -1.406588554E+00 9.960625768E-01
 1.009999990E+00 -1.358725309E+00 9.960065484E-01
 1.009999990E+00 -1.312495232E+00 9.959472418E-01
 1.009999990E+00 -1.267842770E+00 9.958842397E-01
 1.009999990E+00 -1.224714160E+00 9.958167672E-01
 1.009999990E+00 -1.183058500E+00 9.957441092E-01
 1.009999990E+00 -1.142825365E+00 9.956656098E-01
 1.009999990E+00 -1.103965998E+00 9.955804944E-01
 1.009999990E+00 -1.066433787E+00 9.954879284E-01
 1.009999990E+00 -1.030183315E+00 9.953871965E-01
