# CFD data extracted (using Tecplot) by interpolating from original grid onto fixed set of points
# SST model
VARIABLES = "X","Y","uv/Uref^2"
ZONE T="CFL3D, x=1.01"
 1.009999990E+00 -2.000000000E+01 3.087992102E-13
 1.009999990E+00 -1.935783958E+01 2.936372391E-13
 1.009999990E+00 -1.873642540E+01 2.981283297E-13
 1.009999990E+00 -1.813489723E+01 3.302586882E-13
 1.009999990E+00 -1.755247307E+01 3.505395572E-13
 1.009999990E+00 -1.698842812E+01 3.724381914E-13
 1.009999990E+00 -1.644208908E+01 3.957770255E-13
 1.009999990E+00 -1.591282177E+01 4.205787194E-13
 1.009999990E+00 -1.540002155E+01 4.467785462E-13
 1.009999990E+00 -1.490311527E+01 4.745125733E-13
 1.009999990E+00 -1.442155170E+01 5.038906575E-13
 1.009999990E+00 -1.395480156E+01 5.350163671E-13
 1.009999990E+00 -1.350235271E+01 5.679890694E-13
 1.009999990E+00 -1.306371021E+01 6.029099203E-13
 1.009999990E+00 -1.263839531E+01 6.398961222E-13
 1.009999990E+00 -1.222593880E+01 6.790455242E-13
 1.009999990E+00 -1.182589436E+01 7.204407427E-13
 1.009999990E+00 -1.143781471E+01 7.642684771E-13
 1.009999990E+00 -1.106141567E+01 8.107082171E-13
 1.009999990E+00 -1.069646168E+01 8.598371581E-13
 1.009999990E+00 -1.034272861E+01 9.116925964E-13
 1.009999990E+00 -9.999948502E+00 9.664501187E-13
 1.009999990E+00 -9.667881966E+00 1.024202207E-12
 1.009999990E+00 -9.346258163E+00 1.085075172E-12
 1.009999990E+00 -9.034824371E+00 1.149193696E-12
 1.009999990E+00 -8.733310699E+00 1.216671295E-12
 1.009999990E+00 -8.441459656E+00 1.287614546E-12
 1.009999990E+00 -8.159008026E+00 1.362128401E-12
 1.009999990E+00 -7.885692596E+00 1.440311520E-12
 1.009999990E+00 -7.621260166E+00 1.522252376E-12
 1.009999990E+00 -7.365450859E+00 1.608024477E-12
 1.009999990E+00 -7.118018627E+00 1.697665012E-12
 1.009999990E+00 -6.878712177E+00 1.791548247E-12
 1.009999990E+00 -6.647291660E+00 1.893837517E-12
 1.009999990E+00 -6.423519135E+00 0.000000000E+00
 1.009999990E+00 -6.207160950E+00 2.100803038E-12
 1.009999990E+00 -5.997991562E+00 2.208213430E-12
 1.009999990E+00 -5.795789719E+00 2.321120076E-12
 1.009999990E+00 -5.600339890E+00 2.438738664E-12
 1.009999990E+00 -5.411433220E+00 2.561067894E-12
 1.009999990E+00 -5.228827953E+00 2.686567115E-12
 1.009999990E+00 -5.052223682E+00 2.813990794E-12
 1.009999990E+00 -4.881423950E+00 2.946189299E-12
 1.009999990E+00 -4.716265202E+00 3.081556494E-12
 1.009999990E+00 -4.556583405E+00 3.219651542E-12
 1.009999990E+00 -4.402204514E+00 3.360095188E-12
 1.009999990E+00 -4.252981186E+00 3.502474352E-12
 1.009999990E+00 -4.108750820E+00 3.646397420E-12
 1.009999990E+00 -3.969357491E+00 3.791320122E-12
 1.009999990E+00 -3.834659100E+00 3.936671735E-12
 1.009999990E+00 -3.704500675E+00 4.081943984E-12
 1.009999990E+00 -3.578741312E+00 4.226419128E-12
 1.009999990E+00 -3.457240820E+00 4.369512564E-12
 1.009999990E+00 -3.339855671E+00 4.510527368E-12
 1.009999990E+00 -3.226454258E+00 4.648866795E-12
 1.009999990E+00 -3.116902113E+00 4.783945375E-12
 1.009999990E+00 -3.011067867E+00 4.915087001E-12
 1.009999990E+00 -2.908826351E+00 5.041874036E-12
 1.009999990E+00 -2.810053110E+00 5.163976451E-12
 1.009999990E+00 -2.714627981E+00 5.281202125E-12
 1.009999990E+00 -2.622434855E+00 5.393485571E-12
 1.009999990E+00 -2.533361197E+00 5.501149449E-12
 1.009999990E+00 -2.447297573E+00 5.604902393E-12
 1.009999990E+00 -2.364140272E+00 5.705907101E-12
 1.009999990E+00 -2.283789158E+00 5.805604261E-12
 1.009999990E+00 -2.206146479E+00 5.906013092E-12
 1.009999990E+00 -2.131122589E+00 6.011006796E-12
 1.009999990E+00 -2.058630943E+00 6.117540502E-12
 1.009999990E+00 -1.988584638E+00 6.230556002E-12
 1.009999990E+00 -1.920913339E+00 6.378298063E-12
 1.009999990E+00 -1.855541468E+00 6.555815352E-12
 1.009999990E+00 -1.792391539E+00 6.752095411E-12
 1.009999990E+00 -1.731388450E+00 6.986241446E-12
 1.009999990E+00 -1.672460914E+00 7.272866771E-12
 1.009999990E+00 -1.615538955E+00 7.627878364E-12
 1.009999990E+00 -1.560554504E+00 8.063276609E-12
 1.009999990E+00 -1.507442951E+00 8.596014525E-12
 1.009999990E+00 -1.456141472E+00 9.245199224E-12
 1.009999990E+00 -1.406588554E+00 1.002847892E-11
 1.009999990E+00 -1.358725309E+00 1.096984569E-11
 1.009999990E+00 -1.312495232E+00 1.209385456E-11
 1.009999990E+00 -1.267842770E+00 1.342741456E-11
 1.009999990E+00 -1.224714160E+00 1.499960919E-11
 1.009999990E+00 -1.183058500E+00 1.684108929E-11
 1.009999990E+00 -1.142825365E+00 1.898474260E-11
 1.009999990E+00 -1.103965998E+00 2.146566258E-11
 1.009999990E+00 -1.066433787E+00 2.432038425E-11
 1.009999990E+00 -1.030183315E+00 2.758728836E-11
 1.009999990E+00 -9.951701760E-01 3.130701254E-11
 1.009999990E+00 -9.613518715E-01 3.552022912E-11
 1.009999990E+00 -9.286869764E-01 4.027308001E-11
 1.009999990E+00 -8.971354365E-01 4.561117456E-11
 1.009999990E+00 -8.666585088E-01 5.158262359E-11
 1.009999990E+00 -8.372187614E-01 5.823919125E-11
 1.009999990E+00 -8.087800145E-01 6.563644767E-11
 1.009999990E+00 -7.813075185E-01 7.382815193E-11
 1.009999990E+00 -7.547675371E-01 8.283741748E-11
 1.009999990E+00 -7.291278839E-01 9.262597633E-11
 1.009999990E+00 -7.043573856E-01 1.031057462E-10
 1.009999990E+00 -6.804260612E-01 1.141937517E-10
 1.009999990E+00 -6.573053598E-01 1.258055049E-10
 1.009999990E+00 -6.349676251E-01 1.379550502E-10
 1.009999990E+00 -6.133861542E-01 1.503509955E-10
 1.009999990E+00 -5.925353169E-01 1.631085683E-10
 1.009999990E+00 -5.723937154E-01 1.766394531E-10
 1.009999990E+00 -5.529382825E-01 1.903977948E-10
 1.009999990E+00 -5.341456532E-01 2.040882463E-10
 1.009999990E+00 -5.159932971E-01 2.177412278E-10
 1.009999990E+00 -4.984593987E-01 2.313835373E-10
 1.009999990E+00 -4.815229774E-01 2.449366265E-10
 1.009999990E+00 -4.651636481E-01 2.582549452E-10
 1.009999990E+00 -4.493618011E-01 2.711945946E-10
 1.009999990E+00 -4.340984523E-01 2.836361701E-10
 1.009999990E+00 -4.193552732E-01 2.954761991E-10
 1.009999990E+00 -4.051145911E-01 3.066253640E-10
 1.009999990E+00 -3.913592696E-01 3.170057550E-10
 1.009999990E+00 -3.780727983E-01 3.265517301E-10
 1.009999990E+00 -3.652392030E-01 3.352165490E-10
 1.009999990E+00 -3.528430760E-01 3.429690143E-10
 1.009999990E+00 -3.408695161E-01 3.497902523E-10
 1.009999990E+00 -3.293041289E-01 3.556854811E-10
 1.009999990E+00 -3.181329966E-01 3.606711596E-10
 1.009999990E+00 -3.073426485E-01 3.647766811E-10
 1.009999990E+00 -2.969201505E-01 3.680434568E-10
 1.009999990E+00 -2.868529260E-01 3.705211693E-10
 1.009999990E+00 -2.771288455E-01 3.722718522E-10
 1.009999990E+00 -2.677361369E-01 3.733580667E-10
 1.009999990E+00 -2.586635351E-01 3.738475085E-10
 1.009999990E+00 -2.499000579E-01 3.738078735E-10
 1.009999990E+00 -2.414351106E-01 3.733090503E-10
 1.009999990E+00 -2.332584411E-01 3.724210940E-10
 1.009999990E+00 -2.253601849E-01 3.712053998E-10
 1.009999990E+00 -2.177307606E-01 3.697267770E-10
 1.009999990E+00 -2.103609294E-01 3.680437344E-10
 1.009999990E+00 -2.032417506E-01 3.662096182E-10
 1.009999990E+00 -1.963646263E-01 3.642769142E-10
 1.009999990E+00 -1.897211969E-01 3.622895872E-10
 1.009999990E+00 -1.833034307E-01 3.602872722E-10
 1.009999990E+00 -1.771035492E-01 3.583119912E-10
 1.009999990E+00 -1.711140722E-01 3.563996875E-10
 1.009999990E+00 -1.653277576E-01 3.545799765E-10
 1.009999990E+00 -1.597376317E-01 3.528877746E-10
 1.009999990E+00 -1.543369889E-01 3.513461466E-10
 1.009999990E+00 -1.491193026E-01 3.499755485E-10
 1.009999990E+00 -1.440783441E-01 3.488259126E-10
 1.009999990E+00 -1.392080635E-01 3.478733412E-10
 1.009999990E+00 -1.345026344E-01 3.471453680E-10
 1.009999990E+00 -1.299564689E-01 3.466037735E-10
 1.009999990E+00 -1.255641431E-01 3.449945329E-10
 1.009999990E+00 -1.213204339E-01 3.426882944E-10
 1.009999990E+00 -1.172202975E-01 3.404945215E-10
 1.009999990E+00 -1.132588461E-01 0.000000000E+00
 1.009999990E+00 -1.094313934E-01 3.333207599E-10
 1.009999990E+00 -1.057334840E-01 3.296532769E-10
 1.009999990E+00 -1.021610349E-01 3.256457326E-10
 1.009999990E+00 -9.870979190E-02 3.213003752E-10
 1.009999990E+00 -9.537564218E-02 3.167320295E-10
 1.009999990E+00 -9.215459973E-02 3.122056780E-10
 1.009999990E+00 -8.904282004E-02 3.076899013E-10
 1.009999990E+00 -8.603659272E-02 3.031365436E-10
 1.009999990E+00 -8.313232660E-02 2.986124403E-10
 1.009999990E+00 -8.032655716E-02 2.941272781E-10
 1.009999990E+00 -7.761594653E-02 2.896544671E-10
 1.009999990E+00 -7.499725372E-02 2.851791303E-10
 1.009999990E+00 -7.246736437E-02 2.806606614E-10
 1.009999990E+00 -7.002326101E-02 2.760125184E-10
 1.009999990E+00 -6.766202301E-02 2.710034419E-10
 1.009999990E+00 -6.538084894E-02 2.651502629E-10
 1.009999990E+00 -6.317700446E-02 2.578411928E-10
 1.009999990E+00 -6.104788184E-02 2.488022288E-10
 1.009999990E+00 -5.899093673E-02 2.384887288E-10
 1.009999990E+00 -5.700372905E-02 2.276455274E-10
 1.009999990E+00 -5.508388579E-02 2.167744872E-10
 1.009999990E+00 -5.322912708E-02 2.061425891E-10
 1.009999990E+00 -5.143724382E-02 1.958731927E-10
 1.009999990E+00 -4.970610887E-02 1.860323701E-10
 1.009999990E+00 -4.803365469E-02 1.766483626E-10
 1.009999990E+00 -4.641790316E-02 1.677329386E-10
 1.009999990E+00 -4.485693574E-02 1.592881521E-10
 1.009999990E+00 -4.334890097E-02 1.513043996E-10
 1.009999990E+00 -4.189200699E-02 1.437738123E-10
 1.009999990E+00 -4.048452526E-02 1.366767255E-10
 1.009999990E+00 -3.912478313E-02 1.300010238E-10
 1.009999990E+00 -3.781116754E-02 1.237224906E-10
 1.009999990E+00 -3.654212132E-02 1.178281916E-10
 1.009999990E+00 -3.531615436E-02 1.122926127E-10
 1.009999990E+00 -3.413181379E-02 1.071024588E-10
 1.009999990E+00 -3.298769146E-02 1.022336937E-10
 1.009999990E+00 -3.188243136E-02 9.768316017E-11
 1.009999990E+00 -3.081471846E-02 9.353373631E-11
 1.009999990E+00 -2.978328243E-02 9.082263414E-11
 1.009999990E+00 -2.878691442E-02 9.878069890E-11
 1.009999990E+00 -2.782441489E-02 1.921294929E-10
 1.009999990E+00 -2.689462155E-02 9.051230876E-10
 1.009999990E+00 -2.599640377E-02 5.723449714E-09
 1.009999990E+00 -2.512866817E-02 3.393998327E-08
 1.009999990E+00 -2.429035865E-02 1.748867504E-07
 1.009999990E+00 -2.348043397E-02 7.191488862E-07
 1.009999990E+00 -2.269789018E-02 2.503876885E-06
 1.009999990E+00 -2.194175869E-02 8.599607099E-06
 1.009999990E+00 -2.121111006E-02 2.869610034E-05
 1.009999990E+00 -2.050504647E-02 7.815915160E-05
 1.009999990E+00 -1.982271671E-02 1.631268678E-04
 1.009999990E+00 -1.916330121E-02 2.711871348E-04
 1.009999990E+00 -1.852601953E-02 3.837801632E-04
 1.009999990E+00 -1.791011542E-02 4.918646300E-04
 1.009999990E+00 -1.731486619E-02 5.946073215E-04
 1.009999990E+00 -1.673957519E-02 6.936481805E-04
 1.009999990E+00 -1.618356816E-02 7.910537533E-04
 1.009999990E+00 -1.564619876E-02 8.901096880E-04
 1.009999990E+00 -1.512684394E-02 9.955733549E-04
 1.009999990E+00 -1.462490298E-02 1.098169014E-03
 1.009999990E+00 -1.413979195E-02 1.167206676E-03
 1.009999990E+00 -1.367094647E-02 1.227453351E-03
 1.009999990E+00 -1.321781985E-02 1.286005136E-03
 1.009999990E+00 -1.277988404E-02 1.341501484E-03
 1.009999990E+00 -1.235662960E-02 1.392942504E-03
 1.009999990E+00 -1.194756292E-02 1.439888612E-03
 1.009999990E+00 -1.155220717E-02 1.482363557E-03
 1.009999990E+00 -1.117010135E-02 1.520692487E-03
 1.009999990E+00 -1.080079935E-02 1.555501833E-03
 1.009999990E+00 -1.044387184E-02 1.587350504E-03
 1.009999990E+00 -1.009890065E-02 1.616408117E-03
 1.009999990E+00 -9.765485302E-03 1.638659625E-03
 1.009999990E+00 -9.443235584E-03 1.649702666E-03
 1.009999990E+00 -9.131776169E-03 1.662409399E-03
 1.009999990E+00 -8.830745704E-03 1.674245810E-03
 1.009999990E+00 -8.539792150E-03 1.684698276E-03
 1.009999990E+00 -8.258575574E-03 1.693757134E-03
 1.009999990E+00 -7.986768149E-03 1.701459987E-03
 1.009999990E+00 -7.724053692E-03 1.707877265E-03
 1.009999990E+00 -7.470124401E-03 1.713093719E-03
 1.009999990E+00 -7.224685047E-03 1.717198524E-03
 1.009999990E+00 -6.987449713E-03 1.720262691E-03
 1.009999990E+00 -6.758141331E-03 1.722360146E-03
 1.009999990E+00 -6.536493078E-03 1.723559690E-03
 1.009999990E+00 -6.322246511E-03 1.723927911E-03
 1.009999990E+00 -6.115152966E-03 1.723528258E-03
 1.009999990E+00 -5.914971232E-03 1.722423360E-03
