# CFD data extracted (using Tecplot) by interpolating from original grid onto fixed set of points
# SST model
VARIABLES = "X","Y","u/Uref"
ZONE T="CFL3D, x=1.01"
 1.009999990E+00 -2.000000000E+01 9.994120598E-01
 1.009999990E+00 -1.935783958E+01 9.993882775E-01
 1.009999990E+00 -1.873642540E+01 9.993728995E-01
 1.009999990E+00 -1.813489723E+01 9.993531704E-01
 1.009999990E+00 -1.755247307E+01 9.993329644E-01
 1.009999990E+00 -1.698842812E+01 9.993121624E-01
 1.009999990E+00 -1.644208908E+01 9.992908239E-01
 1.009999990E+00 -1.591282177E+01 9.992688298E-01
 1.009999990E+00 -1.540002155E+01 9.992461205E-01
 1.009999990E+00 -1.490311527E+01 9.992228150E-01
 1.009999990E+00 -1.442155170E+01 9.991987348E-01
 1.009999990E+00 -1.395480156E+01 9.991739988E-01
 1.009999990E+00 -1.350235271E+01 9.991486669E-01
 1.009999990E+00 -1.306371021E+01 9.991224408E-01
 1.009999990E+00 -1.263839531E+01 9.990954399E-01
 1.009999990E+00 -1.222593880E+01 9.990676641E-01
 1.009999990E+00 -1.182589436E+01 9.990391135E-01
 1.009999990E+00 -1.143781471E+01 9.990097284E-01
 1.009999990E+00 -1.106141567E+01 9.989794493E-01
 1.009999990E+00 -1.069646168E+01 9.989483953E-01
 1.009999990E+00 -1.034272861E+01 9.989164472E-01
 1.009999990E+00 -9.999948502E+00 9.988836050E-01
 1.009999990E+00 -9.667881966E+00 9.988499284E-01
 1.009999990E+00 -9.346258163E+00 9.988152981E-01
 1.009999990E+00 -9.034824371E+00 9.987797737E-01
 1.009999990E+00 -8.733310699E+00 9.987434745E-01
 1.009999990E+00 -8.441459656E+00 9.987061620E-01
 1.009999990E+00 -8.159008026E+00 9.986680150E-01
 1.009999990E+00 -7.885692596E+00 9.986289144E-01
 1.009999990E+00 -7.621260166E+00 9.985889792E-01
 1.009999990E+00 -7.365450859E+00 9.985481501E-01
 1.009999990E+00 -7.118018627E+00 9.985064864E-01
 1.009999990E+00 -6.878712177E+00 9.984639883E-01
 1.009999990E+00 -6.647291660E+00 9.984205365E-01
 1.009999990E+00 -6.423519135E+00 9.983763695E-01
 1.009999990E+00 -6.207160950E+00 9.983311892E-01
 1.009999990E+00 -5.997991562E+00 9.982853532E-01
 1.009999990E+00 -5.795789719E+00 9.982386827E-01
 1.009999990E+00 -5.600339890E+00 9.981912374E-01
 1.009999990E+00 -5.411433220E+00 9.981431365E-01
 1.009999990E+00 -5.228827953E+00 9.980942607E-01
 1.009999990E+00 -5.052223682E+00 9.980447292E-01
 1.009999990E+00 -4.881423950E+00 9.979946613E-01
 1.009999990E+00 -4.716265202E+00 9.979439378E-01
 1.009999990E+00 -4.556583405E+00 9.978926182E-01
 1.009999990E+00 -4.402204514E+00 9.978408813E-01
 1.009999990E+00 -4.252981186E+00 9.977887273E-01
 1.009999990E+00 -4.108750820E+00 9.977361560E-01
 1.009999990E+00 -3.969357491E+00 9.976833463E-01
 1.009999990E+00 -3.834659100E+00 9.976302981E-01
 1.009999990E+00 -3.704500675E+00 9.975771308E-01
 1.009999990E+00 -3.578741312E+00 9.975239038E-01
 1.009999990E+00 -3.457240820E+00 9.974707365E-01
 1.009999990E+00 -3.339855671E+00 9.974176288E-01
 1.009999990E+00 -3.226454258E+00 9.973646402E-01
 1.009999990E+00 -3.116902113E+00 9.973120093E-01
 1.009999990E+00 -3.011067867E+00 9.972596765E-01
 1.009999990E+00 -2.908826351E+00 9.972078204E-01
 1.009999990E+00 -2.810053110E+00 9.971564412E-01
 1.009999990E+00 -2.714627981E+00 9.971055984E-01
 1.009999990E+00 -2.622434855E+00 9.970555305E-01
 1.009999990E+00 -2.533361197E+00 9.970061183E-01
 1.009999990E+00 -2.447297573E+00 9.969574213E-01
 1.009999990E+00 -2.364140272E+00 9.969094992E-01
 1.009999990E+00 -2.283789158E+00 9.968623519E-01
 1.009999990E+00 -2.206146479E+00 9.968159795E-01
 1.009999990E+00 -2.131122589E+00 9.967703819E-01
 1.009999990E+00 -2.058630943E+00 9.967255592E-01
 1.009999990E+00 -1.988584638E+00 9.966815114E-01
 1.009999990E+00 -1.920913339E+00 9.966381192E-01
 1.009999990E+00 -1.855541468E+00 9.965950251E-01
 1.009999990E+00 -1.792391539E+00 9.965521097E-01
 1.009999990E+00 -1.731388450E+00 9.965094328E-01
 1.009999990E+00 -1.672460914E+00 9.964665771E-01
 1.009999990E+00 -1.615538955E+00 9.964233041E-01
 1.009999990E+00 -1.560554504E+00 9.963794351E-01
 1.009999990E+00 -1.507442951E+00 9.963344336E-01
 1.009999990E+00 -1.456141472E+00 9.962877631E-01
 1.009999990E+00 -1.406588554E+00 9.962391853E-01
 1.009999990E+00 -1.358725309E+00 9.961881042E-01
 1.009999990E+00 -1.312495232E+00 9.961338639E-01
 1.009999990E+00 -1.267842770E+00 9.960759282E-01
 1.009999990E+00 -1.224714160E+00 9.960136414E-01
 1.009999990E+00 -1.183058500E+00 9.959462881E-01
 1.009999990E+00 -1.142825365E+00 9.958730936E-01
 1.009999990E+00 -1.103965998E+00 9.957934022E-01
 1.009999990E+00 -1.066433787E+00 9.957062602E-01
 1.009999990E+00 -1.030183315E+00 9.956109524E-01
 1.009999990E+00 -9.951701760E-01 9.955067039E-01
 1.009999990E+00 -9.613518715E-01 9.953926802E-01
 1.009999990E+00 -9.286869764E-01 9.952679276E-01
 1.009999990E+00 -8.971354365E-01 9.951316714E-01
 1.009999990E+00 -8.666585088E-01 9.949831963E-01
 1.009999990E+00 -8.372187614E-01 9.948215485E-01
 1.009999990E+00 -8.087800145E-01 9.946461320E-01
 1.009999990E+00 -7.813075185E-01 9.944561124E-01
 1.009999990E+00 -7.547675371E-01 9.942508340E-01
 1.009999990E+00 -7.291278839E-01 9.940297604E-01
 1.009999990E+00 -7.043573856E-01 9.937922359E-01
 1.009999990E+00 -6.804260612E-01 9.935377836E-01
 1.009999990E+00 -6.573053598E-01 9.932659864E-01
 1.009999990E+00 -6.349676251E-01 9.929763675E-01
 1.009999990E+00 -6.133861542E-01 9.926688671E-01
 1.009999990E+00 -5.925353169E-01 9.923439622E-01
 1.009999990E+00 -5.723937154E-01 9.920003414E-01
 1.009999990E+00 -5.529382825E-01 9.916372895E-01
 1.009999990E+00 -5.341456532E-01 9.912554026E-01
 1.009999990E+00 -5.159932971E-01 9.908554554E-01
 1.009999990E+00 -4.984593987E-01 9.904378057E-01
 1.009999990E+00 -4.815229774E-01 9.900023341E-01
 1.009999990E+00 -4.651636481E-01 9.895491600E-01
 1.009999990E+00 -4.493618011E-01 9.890785813E-01
 1.009999990E+00 -4.340984523E-01 9.885909557E-01
 1.009999990E+00 -4.193552732E-01 9.880867004E-01
 1.009999990E+00 -4.051145911E-01 9.875662923E-01
 1.009999990E+00 -3.913592696E-01 9.870302081E-01
 1.009999990E+00 -3.780727983E-01 9.864789844E-01
 1.009999990E+00 -3.652392030E-01 9.859130979E-01
 1.009999990E+00 -3.528430760E-01 9.853332639E-01
 1.009999990E+00 -3.408695161E-01 9.847400188E-01
 1.009999990E+00 -3.293041289E-01 9.841338992E-01
 1.009999990E+00 -3.181329966E-01 9.835154414E-01
 1.009999990E+00 -3.073426485E-01 9.828853011E-01
 1.009999990E+00 -2.969201505E-01 9.822442532E-01
 1.009999990E+00 -2.868529260E-01 9.815927148E-01
 1.009999990E+00 -2.771288455E-01 9.809313416E-01
 1.009999990E+00 -2.677361369E-01 9.802606702E-01
 1.009999990E+00 -2.586635351E-01 9.795812964E-01
 1.009999990E+00 -2.499000579E-01 9.788938165E-01
 1.009999990E+00 -2.414351106E-01 9.781987667E-01
 1.009999990E+00 -2.332584411E-01 9.774966240E-01
 1.009999990E+00 -2.253601849E-01 9.767880440E-01
 1.009999990E+00 -2.177307606E-01 9.760733843E-01
 1.009999990E+00 -2.103609294E-01 9.753531814E-01
 1.009999990E+00 -2.032417506E-01 9.746279120E-01
 1.009999990E+00 -1.963646263E-01 9.738979340E-01
 1.009999990E+00 -1.897211969E-01 9.731638432E-01
 1.009999990E+00 -1.833034307E-01 9.724258780E-01
 1.009999990E+00 -1.771035492E-01 9.716845751E-01
 1.009999990E+00 -1.711140722E-01 9.709402919E-01
 1.009999990E+00 -1.653277576E-01 9.701932669E-01
 1.009999990E+00 -1.597376317E-01 9.694440365E-01
 1.009999990E+00 -1.543369889E-01 9.686927199E-01
 1.009999990E+00 -1.491193026E-01 9.679397345E-01
 1.009999990E+00 -1.440783441E-01 9.671853781E-01
 1.009999990E+00 -1.392080635E-01 9.664300084E-01
 1.009999990E+00 -1.345026344E-01 9.656737447E-01
 1.009999990E+00 -1.299564689E-01 9.649170041E-01
 1.009999990E+00 -1.255641431E-01 9.641600251E-01
 1.009999990E+00 -1.213204339E-01 9.634027481E-01
 1.009999990E+00 -1.172202975E-01 9.626464844E-01
 1.009999990E+00 -1.132588461E-01 9.618917108E-01
 1.009999990E+00 -1.094313934E-01 9.611346722E-01
 1.009999990E+00 -1.057334840E-01 9.603794813E-01
 1.009999990E+00 -1.021610349E-01 9.596257210E-01
 1.009999990E+00 -9.870979190E-02 9.588723183E-01
 1.009999990E+00 -9.537564218E-02 9.581206441E-01
 1.009999990E+00 -9.215459973E-02 9.573709965E-01
 1.009999990E+00 -8.904282004E-02 9.566231370E-01
 1.009999990E+00 -8.603659272E-02 9.558773637E-01
 1.009999990E+00 -8.313232660E-02 9.551339746E-01
 1.009999990E+00 -8.032655716E-02 9.543927908E-01
 1.009999990E+00 -7.761594653E-02 9.536539912E-01
 1.009999990E+00 -7.499725372E-02 9.529176354E-01
 1.009999990E+00 -7.246736437E-02 9.521839023E-01
 1.009999990E+00 -7.002326101E-02 9.514527917E-01
 1.009999990E+00 -6.766202301E-02 9.507246017E-01
 1.009999990E+00 -6.538084894E-02 9.499993324E-01
 1.009999990E+00 -6.317700446E-02 9.492771626E-01
 1.009999990E+00 -6.104788184E-02 9.485580325E-01
 1.009999990E+00 -5.899093673E-02 9.478422403E-01
 1.009999990E+00 -5.700372905E-02 9.471298456E-01
 1.009999990E+00 -5.508388579E-02 9.464207292E-01
