#SA model results
VARIABLES = "x","cf"
ZONE T="CFL3D"
 9.997505546E-01 2.135885414E-03
 9.994956851E-01 8.270243998E-04
 9.992352128E-01 9.914202383E-04
 9.989690781E-01 1.180691994E-03
 9.986971617E-01 1.304458245E-03
 9.984192848E-01 1.397189219E-03
 9.981353879E-01 1.459555700E-03
 9.978453517E-01 1.502771047E-03
 9.975489378E-01 1.533232280E-03
 9.972460866E-01 1.556826173E-03
 9.969367385E-01 1.577097108E-03
 9.966205955E-01 1.596159302E-03
 9.962975979E-01 1.614946406E-03
 9.959676266E-01 1.633731299E-03
 9.956305623E-01 1.652448322E-03
 9.952861071E-01 1.670928556E-03
 9.949342608E-01 1.689017983E-03
 9.945747852E-01 1.706623822E-03
 9.942075610E-01 1.723716385E-03
 9.938323498E-01 1.740312087E-03
 9.934490919E-01 1.756452373E-03
 9.930576086E-01 1.772187650E-03
 9.926576614E-01 1.787566696E-03
 9.922491312E-01 1.802632003E-03
 9.918317795E-01 1.817418844E-03
 9.914054871E-01 1.831956324E-03
 9.909700155E-01 1.846269122E-03
 9.905252457E-01 1.860378776E-03
 9.900709391E-01 1.874304609E-03
 9.896069169E-01 1.888065017E-03
 9.891329408E-01 1.901676995E-03
 9.886488914E-01 1.915156958E-03
 9.881544709E-01 1.928520389E-03
 9.876495004E-01 1.941782306E-03
 9.871338010E-01 1.954956679E-03
 9.866071343E-01 1.968056895E-03
 9.860692620E-01 1.981096109E-03
 9.855199456E-01 1.994086895E-03
 9.849590063E-01 2.007041359E-03
 9.843862057E-01 2.019971609E-03
 9.838012457E-01 2.032889053E-03
 9.832039475E-01 2.045805799E-03
 9.825940728E-01 2.058733488E-03
 9.819713235E-01 2.071683994E-03
 9.813354611E-01 2.084669890E-03
 9.806861877E-01 2.097704448E-03
 9.800233245E-01 2.110801404E-03
 9.793465734E-01 2.123977290E-03
 9.786556363E-01 2.137251198E-03
 9.779502153E-01 2.150646877E-03
 9.772301316E-01 2.164194826E-03
 9.764949679E-01 2.177934861E-03
 9.757445455E-01 2.191920765E-03
 9.749785066E-01 2.206221456E-03
 9.741965532E-01 2.220929135E-03
 9.733983874E-01 2.236151602E-03
 9.725837111E-01 2.252042526E-03
 9.717522264E-01 2.268686425E-03
 9.709035754E-01 2.286459552E-03
 9.700374603E-01 2.305664122E-03
 9.691535234E-01 2.325104084E-03
 9.682514668E-01 2.343438100E-03
 9.673308730E-01 2.360684797E-03
 9.663915038E-01 2.377044410E-03
 9.654329419E-01 2.392457798E-03
 9.644548297E-01 2.406898187E-03
 9.634568691E-01 2.420325298E-03
 9.624387026E-01 2.432675334E-03
 9.613999128E-01 2.443835372E-03
 9.603402019E-01 2.453626599E-03
 9.592591524E-01 2.461783122E-03
 9.581564069E-01 2.467944752E-03
 9.570315480E-01 2.471614396E-03
 9.558842778E-01 2.472255612E-03
 9.547141790E-01 2.469053725E-03
 9.535208941E-01 2.461821306E-03
 9.523039460E-01 2.448278945E-03
 9.510630965E-01 2.434286056E-03
 9.497979283E-01 2.433995949E-03
 9.485079646E-01 2.441874007E-03
 9.471927285E-01 2.441817196E-03
 9.458519220E-01 2.433616202E-03
 9.444850683E-01 2.429598477E-03
 9.430918097E-01 2.436493291E-03
 9.416716695E-01 2.448457759E-03
 9.402241707E-01 2.459123731E-03
 9.387488365E-01 2.468256978E-03
 9.372453690E-01 2.477673348E-03
 9.357131720E-01 2.487391233E-03
 9.341518283E-01 2.496815752E-03
 9.325609803E-01 2.505982295E-03
 9.309400916E-01 2.514909720E-03
 9.292888045E-01 2.523636213E-03
 9.276065230E-01 2.532178769E-03
 9.258929491E-01 2.540537855E-03
 9.241474867E-01 2.548685065E-03
 9.223697782E-01 2.556568710E-03
 9.205593467E-01 2.564053750E-03
 9.187157154E-01 2.571607940E-03
 9.168384075E-01 2.579144202E-03
 9.149270058E-01 2.584988717E-03
 9.129810929E-01 2.589626238E-03
 9.110001326E-01 2.596000675E-03
 9.089837074E-01 2.605050104E-03
 9.069313407E-01 2.615357516E-03
 9.048426151E-01 2.625802532E-03
 9.027169943E-01 2.636086661E-03
 9.005540609E-01 2.645924687E-03
 8.983533382E-01 2.655272372E-03
 8.961144090E-01 2.664457308E-03
 8.938368559E-01 2.673574956E-03
 8.915202022E-01 2.682572929E-03
 8.891639709E-01 2.691487782E-03
 8.867678642E-01 2.700336510E-03
 8.843312860E-01 2.709128661E-03
 8.818539381E-01 2.717866795E-03
 8.793354034E-01 2.726552077E-03
 8.767752051E-01 2.735185204E-03
 8.741729856E-01 2.743767574E-03
 8.715283871E-01 2.752301050E-03
 8.688409328E-01 2.760787029E-03
 8.661103249E-01 2.769225510E-03
 8.633361459E-01 2.777617192E-03
 8.605180979E-01 2.785959281E-03
 8.576557636E-01 2.794256900E-03
 8.547489047E-01 2.802492818E-03
 8.517971039E-01 2.810790669E-03
 8.488000631E-01 2.819265472E-03
 8.457575440E-01 2.827713499E-03
 8.426691890E-01 2.836002968E-03
 8.395348191E-01 2.844179980E-03
 8.363540173E-01 2.852255711E-03
 8.331267238E-01 2.860236447E-03
 8.298526406E-01 2.868132666E-03
 8.265314698E-01 2.875955077E-03
 8.231631517E-01 2.883714158E-03
 8.197475076E-01 2.891417593E-03
 8.162842989E-01 2.899073064E-03
 8.127734661E-01 2.906684531E-03
 8.092148304E-01 2.914266894E-03
 8.056083322E-01 2.921809675E-03
 8.019539118E-01 2.929521725E-03
 7.982515097E-01 2.937587444E-03
 7.945011258E-01 2.945722779E-03
 7.907026410E-01 2.953751944E-03
 7.868561745E-01 2.961737337E-03
 7.829617262E-01 2.969684312E-03
 7.790193558E-01 2.977597062E-03
 7.750291824E-01 2.985485131E-03
 7.709913254E-01 2.993360162E-03
 7.669059038E-01 3.001231933E-03
 7.627730966E-01 3.009111853E-03
 7.585930824E-01 3.017001087E-03
 7.543661594E-01 3.024939215E-03
 7.500925064E-01 3.033040790E-03
 7.457724214E-01 3.041310003E-03
 7.414062619E-01 3.049639985E-03
 7.369942665E-01 3.058011644E-03
 7.325369120E-01 3.066445468E-03
 7.280345559E-01 3.074938664E-03
 7.234875560E-01 3.083493095E-03
 7.188965082E-01 3.092112718E-03
 7.142618299E-01 3.100802423E-03
 7.095840573E-01 3.109566867E-03
 7.048637271E-01 3.118410008E-03
 7.001014352E-01 3.127336502E-03
 6.952978373E-01 3.136350773E-03
 6.904534698E-01 3.145457478E-03
 6.855691671E-01 3.154661274E-03
 6.806454659E-01 3.163969144E-03
 6.756832600E-01 3.173387377E-03
 6.706832051E-01 3.182929242E-03
 6.656461954E-01 3.192592179E-03
 6.605730057E-01 3.202428576E-03
 6.554644704E-01 3.212284762E-03
 6.503215432E-01 3.221765393E-03
 6.451451778E-01 3.231276060E-03
 6.399362087E-01 3.241614206E-03
 6.346957088E-01 3.252794733E-03
 6.294246316E-01 3.264612285E-03
 6.241239905E-01 3.277025186E-03
 6.187948585E-01 3.289967775E-03
 6.134383082E-01 3.303339938E-03
 6.080553532E-01 3.317140276E-03
 6.026471853E-01 3.330388106E-03
 5.972149372E-01 3.342395416E-03
 5.917598009E-01 3.354576882E-03
 5.862830281E-01 3.367684083E-03
 5.807857513E-01 3.381398972E-03
 5.752692223E-01 3.395688022E-03
 5.697346330E-01 3.410534468E-03
 5.641833544E-01 3.425840754E-03
 5.586165786E-01 3.441670677E-03
 5.530356765E-01 3.456786275E-03
 5.474418402E-01 3.470409429E-03
 5.418365002E-01 3.484697081E-03
 5.362210274E-01 3.500756808E-03
 5.305966735E-01 3.518068232E-03
 5.249648690E-01 3.536506090E-03
 5.193268657E-01 3.555990756E-03
 5.136840343E-01 3.576346440E-03
 5.080377460E-01 3.597528674E-03
 5.023893118E-01 3.615549766E-03
 4.967401624E-01 3.629359649E-03
 4.910918772E-01 3.646416590E-03
 4.854457378E-01 3.669334576E-03
 4.798030555E-01 3.696088213E-03
 4.741651416E-01 3.726258175E-03
 4.685332477E-01 3.759291954E-03
 4.629087150E-01 3.794693621E-03
 4.572927952E-01 3.831225447E-03
 4.516867995E-01 3.859222168E-03
 4.460920990E-01 3.877059557E-03
 4.405103326E-01 3.899902804E-03
 4.349427223E-01 3.932186868E-03
 4.293904603E-01 3.970034420E-03
 4.238547385E-01 4.012978636E-03
 4.183367491E-01 4.060132895E-03
 4.128376245E-01 4.110429436E-03
 4.073585570E-01 4.162477329E-03
 4.019007087E-01 4.202845506E-03
 3.964653313E-01 4.226687830E-03
 3.910539150E-01 4.253447056E-03
 3.856675327E-01 4.290335346E-03
 3.803073168E-01 4.332726356E-03
 3.749742508E-01 4.380104598E-03
 3.696694374E-01 4.431774374E-03
 3.643938601E-01 4.485953134E-03
 3.591485620E-01 4.543503281E-03
 3.539345562E-01 4.593268503E-03
 3.487528563E-01 4.621538799E-03
 3.436045647E-01 4.643962719E-03
 3.384906650E-01 4.676279612E-03
 3.334120810E-01 4.716234282E-03
 3.283696175E-01 4.761552904E-03
 3.233641684E-01 4.811523482E-03
 3.183965683E-01 4.864754155E-03
 3.134675920E-01 4.920071922E-03
 3.085780740E-01 4.975450225E-03
 3.037288189E-01 5.033596419E-03
 2.989205420E-01 5.092896055E-03
 2.941540182E-01 5.137886852E-03
 2.894300222E-01 5.161558278E-03
 2.847491205E-01 5.168604199E-03
 2.801119089E-01 5.162485410E-03
 2.755188346E-01 5.145750940E-03
 2.709704041E-01 5.120969843E-03
 2.664669752E-01 5.090223160E-03
 2.620089352E-01 5.055527668E-03
 2.575966120E-01 5.017326213E-03
 2.532302439E-01 4.981900100E-03
 2.489101440E-01 4.961759783E-03
 2.446366549E-01 4.957671277E-03
 2.404101193E-01 4.962708335E-03
 2.362308204E-01 4.974542186E-03
 2.320990115E-01 4.992156290E-03
 2.280149311E-01 5.014024675E-03
 2.239787877E-01 5.039024632E-03
 2.199907601E-01 5.066358950E-03
 2.160509974E-01 5.095428787E-03
 2.121596336E-01 5.125785712E-03
