#SA model results
VARIABLES = "x","cp"
ZONE T="CFL3D"
 1.000000000E+00 1.651024967E-01
 9.997505546E-01 1.751700044E-01
 9.994956851E-01 1.830208302E-01
 9.992352128E-01 1.812505424E-01
 9.989690781E-01 1.809734553E-01
 9.986971617E-01 1.799728721E-01
 9.984192848E-01 1.792031825E-01
 9.981353879E-01 1.782949418E-01
 9.978453517E-01 1.773713231E-01
 9.975489378E-01 1.763861179E-01
 9.972460866E-01 1.753547341E-01
 9.969367385E-01 1.743233502E-01
 9.966205955E-01 1.732765734E-01
 9.962975979E-01 1.722451895E-01
 9.959676266E-01 1.712138206E-01
 9.956305623E-01 1.701978296E-01
 9.952861071E-01 1.691818386E-01
 9.949342608E-01 1.681812406E-01
 9.945747852E-01 1.671806425E-01
 9.942075610E-01 1.661800593E-01
 9.938323498E-01 1.651794612E-01
 9.934490919E-01 1.641942561E-01
 9.930576086E-01 1.631936580E-01
 9.926576614E-01 1.621930748E-01
 9.922491312E-01 1.611924767E-01
 9.918317795E-01 1.601764858E-01
 9.914054871E-01 1.591758877E-01
 9.909700155E-01 1.581599116E-01
 9.905252457E-01 1.571593136E-01
 9.900709391E-01 1.561279297E-01
 9.896069169E-01 1.551119387E-01
 9.891329408E-01 1.540805548E-01
 9.886488914E-01 1.530491710E-01
 9.881544709E-01 1.520177871E-01
 9.876495004E-01 1.509710252E-01
 9.871338010E-01 1.499242485E-01
 9.866071343E-01 1.488774717E-01
 9.860692620E-01 1.478153020E-01
 9.855199456E-01 1.467531323E-01
 9.849590063E-01 1.456755698E-01
 9.843862057E-01 1.445980072E-01
 9.838012457E-01 1.435050368E-01
 9.832039475E-01 1.424120814E-01
 9.825940728E-01 1.413191259E-01
 9.819713235E-01 1.402107775E-01
 9.813354611E-01 1.390870363E-01
 9.806861877E-01 1.379632950E-01
 9.800233245E-01 1.368395388E-01
 9.793465734E-01 1.357004046E-01
 9.786556363E-01 1.345612705E-01
 9.779502153E-01 1.334067434E-01
 9.772301316E-01 1.322522014E-01
 9.764949679E-01 1.310976744E-01
 9.757445455E-01 1.299431473E-01
 9.749785066E-01 1.287732124E-01
 9.741965532E-01 1.276186854E-01
 9.733983874E-01 1.264641434E-01
 9.725837111E-01 1.253096163E-01
 9.717522264E-01 1.241704822E-01
 9.709035754E-01 1.230467334E-01
 9.700374603E-01 1.219537780E-01
 9.691535234E-01 1.209685802E-01
 9.682514668E-01 1.200295538E-01
 9.673308730E-01 1.191367209E-01
 9.663915038E-01 1.183054596E-01
 9.654329419E-01 1.175203770E-01
 9.644548297E-01 1.168122590E-01
 9.634568691E-01 1.161503270E-01
 9.624387026E-01 1.155653670E-01
 9.613999128E-01 1.150419787E-01
 9.603402019E-01 1.145801693E-01
 9.592591524E-01 1.141799316E-01
 9.581564069E-01 1.138412654E-01
 9.570315480E-01 1.135487854E-01
 9.558842778E-01 1.132870913E-01
 9.547141790E-01 1.130715758E-01
 9.535208941E-01 1.128098816E-01
 9.523039460E-01 1.126097664E-01
 9.510630965E-01 1.118246838E-01
 9.497979283E-01 1.106393635E-01
 9.485079646E-01 1.100082174E-01
 9.471927285E-01 1.096541584E-01
 9.458519220E-01 1.089306548E-01
 9.444850683E-01 1.076375768E-01
 9.430918097E-01 1.062983200E-01
 9.416716695E-01 1.052207574E-01
 9.402241707E-01 1.042201668E-01
 9.387488365E-01 1.031579971E-01
 9.372453690E-01 1.020188555E-01
 9.357131720E-01 1.009259000E-01
 9.341518283E-01 9.983294457E-02
 9.325609803E-01 9.873998165E-02
 9.309400916E-01 9.764702618E-02
 9.292888045E-01 9.656946361E-02
 9.276065230E-01 9.549190104E-02
 9.258929491E-01 9.441433847E-02
 9.241474867E-01 9.333677590E-02
 9.223697782E-01 9.225921333E-02
 9.205593467E-01 9.118165076E-02
 9.187157154E-01 9.005790204E-02
 9.168384075E-01 8.898033947E-02
 9.149270058E-01 8.794895560E-02
 9.129810929E-01 8.677903563E-02
 9.110001326E-01 8.545517176E-02
 9.089837074E-01 8.414670080E-02
 9.069313407E-01 8.288440853E-02
 9.048426151E-01 8.163751662E-02
