# CFD data extracted (using Tecplot) by interpolating from original grid onto fixed set of points
# SA model
VARIABLES = "X","Y","u/Uref"
ZONE T="CFL3D, x=1.01"
 1.009999990E+00 -2.000000000E+01 9.999331236E-01
 1.009999990E+00 -1.935783958E+01 9.999003410E-01
 1.009999990E+00 -1.873642540E+01 9.998480678E-01
 1.009999990E+00 -1.813489723E+01 9.998059273E-01
 1.009999990E+00 -1.755247307E+01 9.997659326E-01
 1.009999990E+00 -1.698842812E+01 9.997276068E-01
 1.009999990E+00 -1.644208908E+01 9.996904731E-01
 1.009999990E+00 -1.591282177E+01 9.996542931E-01
 1.009999990E+00 -1.540002155E+01 9.996186495E-01
 1.009999990E+00 -1.490311527E+01 9.995833039E-01
 1.009999990E+00 -1.442155170E+01 9.995482564E-01
 1.009999990E+00 -1.395480156E+01 9.995131493E-01
 1.009999990E+00 -1.350235271E+01 9.994780421E-01
 1.009999990E+00 -1.306371021E+01 9.994427562E-01
 1.009999990E+00 -1.263839531E+01 9.994072318E-01
 1.009999990E+00 -1.222593880E+01 9.993712902E-01
 1.009999990E+00 -1.182589436E+01 9.993349910E-01
 1.009999990E+00 -1.143781471E+01 9.992980957E-01
 1.009999990E+00 -1.106141567E+01 9.992607832E-01
 1.009999990E+00 -1.069646168E+01 9.992228150E-01
 1.009999990E+00 -1.034272861E+01 9.991843700E-01
 1.009999990E+00 -9.999948502E+00 9.991451502E-01
 1.009999990E+00 -9.667881966E+00 9.991053343E-01
 1.009999990E+00 -9.346258163E+00 9.990647435E-01
 1.009999990E+00 -9.034824371E+00 9.990235567E-01
 1.009999990E+00 -8.733310699E+00 9.989816546E-01
 1.009999990E+00 -8.441459656E+00 9.989389181E-01
 1.009999990E+00 -8.159008026E+00 9.988955855E-01
 1.009999990E+00 -7.885692596E+00 9.988514185E-01
 1.009999990E+00 -7.621260166E+00 9.988064170E-01
 1.009999990E+00 -7.365450859E+00 9.987607002E-01
 1.009999990E+00 -7.118018627E+00 9.987141490E-01
 1.009999990E+00 -6.878712177E+00 9.986669421E-01
 1.009999990E+00 -6.647291660E+00 9.986189008E-01
 1.009999990E+00 -6.423519135E+00 9.985701442E-01
 1.009999990E+00 -6.207160950E+00 9.985205531E-01
 1.009999990E+00 -5.997991562E+00 9.984703064E-01
 1.009999990E+00 -5.795789719E+00 9.984191656E-01
 1.009999990E+00 -5.600339890E+00 9.983674884E-01
 1.009999990E+00 -5.411433220E+00 9.983150959E-01
 1.009999990E+00 -5.228827953E+00 9.982620478E-01
 1.009999990E+00 -5.052223682E+00 9.982083440E-01
 1.009999990E+00 -4.881423950E+00 9.981541038E-01
 1.009999990E+00 -4.716265202E+00 9.980992675E-01
 1.009999990E+00 -4.556583405E+00 9.980438948E-01
 1.009999990E+00 -4.402204514E+00 9.979879856E-01
 1.009999990E+00 -4.252981186E+00 9.979317784E-01
 1.009999990E+00 -4.108750820E+00 9.978751540E-01
 1.009999990E+00 -3.969357491E+00 9.978182316E-01
 1.009999990E+00 -3.834659100E+00 9.977611899E-01
 1.009999990E+00 -3.704500675E+00 9.977040291E-01
 1.009999990E+00 -3.578741312E+00 9.976466894E-01
 1.009999990E+00 -3.457240820E+00 9.975894094E-01
 1.009999990E+00 -3.339855671E+00 9.975321889E-01
 1.009999990E+00 -3.226454258E+00 9.974751472E-01
 1.009999990E+00 -3.116902113E+00 9.974184036E-01
 1.009999990E+00 -3.011067867E+00 9.973619580E-01
 1.009999990E+00 -2.908826351E+00 9.973059297E-01
 1.009999990E+00 -2.810053110E+00 9.972503781E-01
 1.009999990E+00 -2.714627981E+00 9.971953034E-01
 1.009999990E+00 -2.622434855E+00 9.971410036E-01
 1.009999990E+00 -2.533361197E+00 9.970872998E-01
 1.009999990E+00 -2.447297573E+00 9.970341921E-01
 1.009999990E+00 -2.364140272E+00 9.969818592E-01
 1.009999990E+00 -2.283789158E+00 9.969303012E-01
 1.009999990E+00 -2.206146479E+00 9.968795180E-01
 1.009999990E+00 -2.131122589E+00 9.968294501E-01
 1.009999990E+00 -2.058630943E+00 9.967800379E-01
 1.009999990E+00 -1.988584638E+00 9.967314005E-01
 1.009999990E+00 -1.920913339E+00 9.966832399E-01
 1.009999990E+00 -1.855541468E+00 9.966354370E-01
 1.009999990E+00 -1.792391539E+00 9.965877533E-01
 1.009999990E+00 -1.731388450E+00 9.965401888E-01
 1.009999990E+00 -1.672460914E+00 9.964924455E-01
 1.009999990E+00 -1.615538955E+00 9.964442253E-01
 1.009999990E+00 -1.560554504E+00 9.963952303E-01
 1.009999990E+00 -1.507442951E+00 9.963451624E-01
 1.009999990E+00 -1.456141472E+00 9.962933660E-01
 1.009999990E+00 -1.406588554E+00 9.962395430E-01
 1.009999990E+00 -1.358725309E+00 9.961831570E-01
 1.009999990E+00 -1.312495232E+00 9.961236119E-01
 1.009999990E+00 -1.267842770E+00 9.960602522E-01
 1.009999990E+00 -1.224714160E+00 9.959924221E-01
 1.009999990E+00 -1.183058500E+00 9.959194064E-01
 1.009999990E+00 -1.142825365E+00 9.958406687E-01
 1.009999990E+00 -1.103965998E+00 9.957552552E-01
 1.009999990E+00 -1.066433787E+00 9.956623912E-01
 1.009999990E+00 -1.030183315E+00 9.955613017E-01
 1.009999990E+00 -9.951701760E-01 9.954511523E-01
 1.009999990E+00 -9.613518715E-01 9.953311682E-01
 1.009999990E+00 -9.286869764E-01 9.952003956E-01
 1.009999990E+00 -8.971354365E-01 9.950581193E-01
 1.009999990E+00 -8.666585088E-01 9.949034452E-01
 1.009999990E+00 -8.372187614E-01 9.947355986E-01
 1.009999990E+00 -8.087800145E-01 9.945538044E-01
 1.009999990E+00 -7.813075185E-01 9.943575263E-01
 1.009999990E+00 -7.547675371E-01 9.941458106E-01
 1.009999990E+00 -7.291278839E-01 9.939182401E-01
 1.009999990E+00 -7.043573856E-01 9.936741590E-01
 1.009999990E+00 -6.804260612E-01 9.934130311E-01
 1.009999990E+00 -6.573053598E-01 9.931344390E-01
 1.009999990E+00 -6.349676251E-01 9.928380847E-01
 1.009999990E+00 -6.133861542E-01 9.925238490E-01
 1.009999990E+00 -5.925353169E-01 9.921919703E-01
 1.009999990E+00 -5.723937154E-01 9.918413758E-01
 1.009999990E+00 -5.529382825E-01 9.914712310E-01
 1.009999990E+00 -5.341456532E-01 9.910821319E-01
 1.009999990E+00 -5.159932971E-01 9.906749129E-01
 1.009999990E+00 -4.984593987E-01 9.902497530E-01
 1.009999990E+00 -4.815229774E-01 9.898068309E-01
 1.009999990E+00 -4.651636481E-01 9.893460870E-01
 1.009999990E+00 -4.493618011E-01 9.888678193E-01
 1.009999990E+00 -4.340984523E-01 9.883723855E-01
 1.009999990E+00 -4.193552732E-01 9.878602624E-01
 1.009999990E+00 -4.051145911E-01 9.873318076E-01
 1.009999990E+00 -3.913592696E-01 9.867876172E-01
 1.009999990E+00 -3.780727983E-01 9.862281084E-01
 1.009999990E+00 -3.652392030E-01 9.856538177E-01
 1.009999990E+00 -3.528430760E-01 9.850655198E-01
 1.009999990E+00 -3.408695161E-01 9.844635129E-01
 1.009999990E+00 -3.293041289E-01 9.838485718E-01
 1.009999990E+00 -3.181329966E-01 9.832212329E-01
 1.009999990E+00 -3.073426485E-01 9.825819731E-01
 1.009999990E+00 -2.969201505E-01 9.819316268E-01
 1.009999990E+00 -2.868529260E-01 9.812706709E-01
 1.009999990E+00 -2.771288455E-01 9.805996418E-01
 1.009999990E+00 -2.677361369E-01 9.799191356E-01
 1.009999990E+00 -2.586635351E-01 9.792298675E-01
 1.009999990E+00 -2.499000579E-01 9.785321355E-01
 1.009999990E+00 -2.414351106E-01 9.778267145E-01
 1.009999990E+00 -2.332584411E-01 9.771140814E-01
 1.009999990E+00 -2.253601849E-01 9.763946533E-01
 1.009999990E+00 -2.177307606E-01 9.756690264E-01
 1.009999990E+00 -2.103609294E-01 9.749376774E-01
 1.009999990E+00 -2.032417506E-01 9.742009044E-01
 1.009999990E+00 -1.963646263E-01 9.734593630E-01
 1.009999990E+00 -1.897211969E-01 9.727134109E-01
 1.009999990E+00 -1.833034307E-01 9.719634056E-01
 1.009999990E+00 -1.771035492E-01 9.712097645E-01
 1.009999990E+00 -1.711140722E-01 9.704527855E-01
 1.009999990E+00 -1.653277576E-01 9.696929455E-01
 1.009999990E+00 -1.597376317E-01 9.689304829E-01
 1.009999990E+00 -1.543369889E-01 9.681658745E-01
 1.009999990E+00 -1.491193026E-01 9.673992395E-01
 1.009999990E+00 -1.440783441E-01 9.666310549E-01
 1.009999990E+00 -1.392080635E-01 9.658614397E-01
 1.009999990E+00 -1.345026344E-01 9.650906920E-01
 1.009999990E+00 -1.299564689E-01 9.643191695E-01
 1.009999990E+00 -1.255641431E-01 9.635472894E-01
 1.009999990E+00 -1.213204339E-01 9.627745748E-01
 1.009999990E+00 -1.172202975E-01 9.620027542E-01
 1.009999990E+00 -1.132588461E-01 9.612320065E-01
 1.009999990E+00 -1.094313934E-01 9.604587555E-01
 1.009999990E+00 -1.057334840E-01 9.596869349E-01
 1.009999990E+00 -1.021610349E-01 9.589162469E-01
 1.009999990E+00 -9.870979190E-02 9.581457973E-01
 1.009999990E+00 -9.537564218E-02 9.573766589E-01
 1.009999990E+00 -9.215459973E-02 9.566091299E-01
 1.009999990E+00 -8.904282004E-02 9.558432698E-01
 1.009999990E+00 -8.603659272E-02 9.550790787E-01
 1.009999990E+00 -8.313232660E-02 9.543169141E-01
 1.009999990E+00 -8.032655716E-02 9.535566568E-01
 1.009999990E+00 -7.761594653E-02 9.527983665E-01
 1.009999990E+00 -7.499725372E-02 9.520423412E-01
 1.009999990E+00 -7.246736437E-02 9.512885213E-01
 1.009999990E+00 -7.002326101E-02 9.505370259E-01
 1.009999990E+00 -6.766202301E-02 9.497882128E-01
 1.009999990E+00 -6.538084894E-02 9.490419030E-01
 1.009999990E+00 -6.317700446E-02 9.482983351E-01
 1.009999990E+00 -6.104788184E-02 9.475575686E-01
 1.009999990E+00 -5.899093673E-02 9.468197823E-01
 1.009999990E+00 -5.700372905E-02 9.460850954E-01
 1.009999990E+00 -5.508388579E-02 9.453533888E-01
 1.009999990E+00 -5.322912708E-02 9.446250796E-01
 1.009999990E+00 -5.143724382E-02 9.438999295E-01
 1.009999990E+00 -4.970610887E-02 9.431782961E-01
 1.009999990E+00 -4.803365469E-02 9.424601197E-01
 1.009999990E+00 -4.641790316E-02 9.417455792E-01
 1.009999990E+00 -4.485693574E-02 9.410347342E-01
 1.009999990E+00 -4.334890097E-02 9.403277636E-01
 1.009999990E+00 -4.189200699E-02 9.396247268E-01
 1.009999990E+00 -4.048452526E-02 9.389255643E-01
 1.009999990E+00 -3.912478313E-02 9.382307529E-01
 1.009999990E+00 -3.781116754E-02 9.375399947E-01
 1.009999990E+00 -3.654212132E-02 9.368540049E-01
 1.009999990E+00 -3.531615436E-02 9.361720681E-01
 1.009999990E+00 -3.413181379E-02 9.354951978E-01
 1.009999990E+00 -3.298769146E-02 9.348227978E-01
 1.009999990E+00 -3.188243136E-02 9.341555238E-01
 1.009999990E+00 -3.081471846E-02 9.334927201E-01
 1.009999990E+00 -2.978328243E-02 9.328355193E-01
 1.009999990E+00 -2.878691442E-02 9.321857095E-01
 1.009999990E+00 -2.782441489E-02 9.315428734E-01
 1.009999990E+00 -2.689462155E-02 9.308646917E-01
 1.009999990E+00 -2.599640377E-02 9.299932122E-01
 1.009999990E+00 -2.512866817E-02 9.286518693E-01
 1.009999990E+00 -2.429035865E-02 9.265618920E-01
 1.009999990E+00 -2.348043397E-02 9.235870242E-01
 1.009999990E+00 -2.269789018E-02 9.197186828E-01
 1.009999990E+00 -2.194175869E-02 9.150466919E-01
 1.009999990E+00 -2.121111006E-02 9.096817970E-01
 1.009999990E+00 -2.050504647E-02 9.037368298E-01
 1.009999990E+00 -1.982271671E-02 8.973226547E-01
 1.009999990E+00 -1.916330121E-02 8.905230761E-01
 1.009999990E+00 -1.852601953E-02 8.834235072E-01
 1.009999990E+00 -1.791011542E-02 8.760920167E-01
