#SST model results
VARIABLES = "x","cp"
ZONE T="CFL3D"
 1.000000000E+00 1.583908051E-01
 9.997505546E-01 1.678271890E-01
 9.994956851E-01 1.752931625E-01
 9.992352128E-01 1.737076044E-01
 9.989690781E-01 1.734151244E-01
 9.986971617E-01 1.724145263E-01
 9.984192848E-01 1.715986580E-01
 9.981353879E-01 1.706904322E-01
 9.978453517E-01 1.697975844E-01
 9.975489378E-01 1.688739657E-01
 9.972460866E-01 1.679503322E-01
 9.969367385E-01 1.670267135E-01
 9.966205955E-01 1.660876870E-01
 9.962975979E-01 1.651640683E-01
 9.959676266E-01 1.642404348E-01
 9.956305623E-01 1.633322090E-01
 9.952861071E-01 1.624239832E-01
 9.949342608E-01 1.615003496E-01
 9.945747852E-01 1.606075168E-01
 9.942075610E-01 1.596992761E-01
 9.938323498E-01 1.587910503E-01
 9.934490919E-01 1.578828096E-01
 9.930576086E-01 1.569591910E-01
 9.926576614E-01 1.560509652E-01
 9.922491312E-01 1.551427245E-01
 9.918317795E-01 1.542191058E-01
 9.914054871E-01 1.532954723E-01
 9.909700155E-01 1.523718536E-01
 9.905252457E-01 1.514328271E-01
 9.900709391E-01 1.504938155E-01
 9.896069169E-01 1.495547891E-01
 9.891329408E-01 1.486157775E-01
 9.886488914E-01 1.476613581E-01
 9.881544709E-01 1.466915458E-01
 9.876495004E-01 1.457371414E-01
 9.871338010E-01 1.447673291E-01
 9.866071343E-01 1.437821239E-01
 9.860692620E-01 1.427969337E-01
 9.855199456E-01 1.418117285E-01
 9.849590063E-01 1.408111304E-01
 9.843862057E-01 1.398105472E-01
 9.838012457E-01 1.387945563E-01
 9.832039475E-01 1.377785653E-01
 9.825940728E-01 1.367471814E-01
 9.819713235E-01 1.357157975E-01
 9.813354611E-01 1.346690208E-01
 9.806861877E-01 1.336222440E-01
 9.800233245E-01 1.325600743E-01
 9.793465734E-01 1.314979047E-01
 9.786556363E-01 1.304357350E-01
 9.779502153E-01 1.293581724E-01
 9.772301316E-01 1.282806098E-01
 9.764949679E-01 1.271876544E-01
 9.757445455E-01 1.261100918E-01
 9.749785066E-01 1.250171363E-01
 9.741965532E-01 1.239395738E-01
 9.733983874E-01 1.228466183E-01
 9.725837111E-01 1.217844486E-01
 9.717522264E-01 1.207222790E-01
 9.709035754E-01 1.196601093E-01
 9.700374603E-01 1.186441183E-01
 9.691535234E-01 1.177204922E-01
 9.682514668E-01 1.168430448E-01
 9.673308730E-01 1.159963906E-01
 9.663915038E-01 1.152113080E-01
 9.654329419E-01 1.144724116E-01
 9.644548297E-01 1.137950867E-01
 9.634568691E-01 1.131639406E-01
 9.624387026E-01 1.125943735E-01
 9.613999128E-01 1.120709851E-01
 9.603402019E-01 1.116245613E-01
 9.592591524E-01 1.112089306E-01
 9.581564069E-01 1.108548716E-01
 9.570315480E-01 1.105316058E-01
 9.558842778E-01 1.102545187E-01
 9.547141790E-01 1.099928245E-01
 9.535208941E-01 1.097157374E-01
 9.523039460E-01 1.094694361E-01
 9.510630965E-01 1.086997464E-01
 9.497979283E-01 1.075452194E-01
 9.485079646E-01 1.069448590E-01
 9.471927285E-01 1.065754071E-01
 9.458519220E-01 1.058519036E-01
 9.444850683E-01 1.046204045E-01
 9.430918097E-01 1.033427194E-01
 9.416716695E-01 1.023113355E-01
 9.402241707E-01 1.013569236E-01
 9.387488365E-01 1.003255397E-01
 9.372453690E-01 9.923258424E-02
 9.357131720E-01 9.818580747E-02
 9.341518283E-01 9.712363780E-02
 9.325609803E-01 9.606146812E-02
 9.309400916E-01 9.501469135E-02
 9.292888045E-01 9.396792203E-02
 9.276065230E-01 9.290575236E-02
 9.258929491E-01 9.185897559E-02
 9.241474867E-01 9.081219882E-02
 9.223697782E-01 8.976542205E-02
 9.205593467E-01 8.870325238E-02
 9.187157154E-01 8.761029691E-02
 9.168384075E-01 8.654812723E-02
 9.149270058E-01 8.553213626E-02
 9.129810929E-01 8.437760174E-02
 9.110001326E-01 8.309992403E-02
 9.089837074E-01 8.182223886E-02
 9.069313407E-01 8.059073985E-02
 9.048426151E-01 7.937463373E-02
 9.027169943E-01 7.815852761E-02
 9.005540609E-01 7.695781440E-02
 8.983533382E-01 7.575710118E-02
 8.961144090E-01 7.454099506E-02
 8.938368559E-01 7.332488149E-02
 8.915202022E-01 7.210877538E-02
 8.891639709E-01 7.090806216E-02
 8.867678642E-01 6.969195604E-02
 8.843312860E-01 6.849124283E-02
 8.818539381E-01 6.727513671E-02
 8.793354034E-01 6.605903059E-02
 8.767752051E-01 6.484292448E-02
 8.741729856E-01 6.362681836E-02
 8.715283871E-01 6.241070852E-02
