# CFD data extracted (using Tecplot) by interpolating from original grid onto fixed set of points
# SST model
VARIABLES = "X","Y","uv/Uref^2"
ZONE T="CFL3D, x=1.01"
 1.009999990E+00 -2.000000000E+01 0.000000000E+00
 1.009999990E+00 -1.935783958E+01 4.166804705E-13
 1.009999990E+00 -1.873642540E+01 4.641515037E-13
 1.009999990E+00 -1.813489723E+01 4.314357573E-13
 1.009999990E+00 -1.755247307E+01 4.332812863E-13
 1.009999990E+00 -1.698842812E+01 4.397413152E-13
 1.009999990E+00 -1.644208908E+01 4.511428666E-13
 1.009999990E+00 -1.591282177E+01 4.667500652E-13
 1.009999990E+00 -1.540002155E+01 4.859762224E-13
 1.009999990E+00 -1.490311527E+01 5.082606428E-13
 1.009999990E+00 -1.442155170E+01 5.333162839E-13
 1.009999990E+00 -1.395480156E+01 5.610024164E-13
 1.009999990E+00 -1.350235271E+01 5.912658601E-13
 1.009999990E+00 -1.306371021E+01 6.240967487E-13
 1.009999990E+00 -1.263839531E+01 6.595293972E-13
 1.009999990E+00 -1.222593880E+01 6.975983918E-13
 1.009999990E+00 -1.182589436E+01 7.383253080E-13
 1.009999990E+00 -1.143781471E+01 7.818569468E-13
 1.009999990E+00 -1.106141567E+01 8.283624980E-13
 1.009999990E+00 -1.069646168E+01 8.778995868E-13
 1.009999990E+00 -1.034272861E+01 9.304729296E-13
 1.009999990E+00 -9.999948502E+00 9.862442894E-13
 1.009999990E+00 -9.667881966E+00 1.045288639E-12
 1.009999990E+00 -9.346258163E+00 1.107720686E-12
 1.009999990E+00 -9.034824371E+00 1.173655574E-12
 1.009999990E+00 -8.733310699E+00 1.243196301E-12
 1.009999990E+00 -8.441459656E+00 1.316441314E-12
 1.009999990E+00 -8.159008026E+00 1.393486780E-12
 1.009999990E+00 -7.885692596E+00 1.474424098E-12
 1.009999990E+00 -7.621260166E+00 1.559334151E-12
 1.009999990E+00 -7.365450859E+00 1.648282097E-12
 1.009999990E+00 -7.118018627E+00 1.741293850E-12
 1.009999990E+00 -6.878712177E+00 1.838745952E-12
 1.009999990E+00 -6.647291660E+00 1.945149337E-12
 1.009999990E+00 -6.423519135E+00 0.000000000E+00
 1.009999990E+00 -6.207160950E+00 2.160033220E-12
 1.009999990E+00 -5.997991562E+00 2.271577891E-12
 1.009999990E+00 -5.795789719E+00 2.388851703E-12
 1.009999990E+00 -5.600339890E+00 2.511020688E-12
 1.009999990E+00 -5.411433220E+00 2.638077257E-12
 1.009999990E+00 -5.228827953E+00 2.768423078E-12
 1.009999990E+00 -5.052223682E+00 2.900667337E-12
 1.009999990E+00 -4.881423950E+00 3.037852738E-12
 1.009999990E+00 -4.716265202E+00 3.178272966E-12
 1.009999990E+00 -4.556583405E+00 3.321465715E-12
 1.009999990E+00 -4.402204514E+00 3.467022893E-12
 1.009999990E+00 -4.252981186E+00 3.614507998E-12
 1.009999990E+00 -4.108750820E+00 3.763502097E-12
 1.009999990E+00 -3.969357491E+00 3.913431211E-12
 1.009999990E+00 -3.834659100E+00 4.063692959E-12
 1.009999990E+00 -3.704500675E+00 4.213749575E-12
 1.009999990E+00 -3.578741312E+00 4.362845155E-12
 1.009999990E+00 -3.457240820E+00 4.510364738E-12
 1.009999990E+00 -3.339855671E+00 4.655572802E-12
