# CFD data extracted (using Tecplot) by interpolating from original grid onto fixed set of points
# SST model
VARIABLES = "X","Y","u/Uref"
ZONE T="CFL3D, x=1.01"
 1.009999990E+00 -2.000000000E+01 9.999356866E-01
 1.009999990E+00 -1.935783958E+01 9.999039769E-01
 1.009999990E+00 -1.873642540E+01 9.998532534E-01
 1.009999990E+00 -1.813489723E+01 9.998123646E-01
 1.009999990E+00 -1.755247307E+01 9.997734427E-01
 1.009999990E+00 -1.698842812E+01 9.997361302E-01
 1.009999990E+00 -1.644208908E+01 9.997001290E-01
 1.009999990E+00 -1.591282177E+01 9.996649027E-01
 1.009999990E+00 -1.540002155E+01 9.996303320E-01
 1.009999990E+00 -1.490311527E+01 9.995959997E-01
 1.009999990E+00 -1.442155170E+01 9.995617867E-01
 1.009999990E+00 -1.395480156E+01 9.995276928E-01
 1.009999990E+00 -1.350235271E+01 9.994935393E-01
 1.009999990E+00 -1.306371021E+01 9.994592071E-01
 1.009999990E+00 -1.263839531E+01 9.994246364E-01
 1.009999990E+00 -1.222593880E+01 9.993897080E-01
 1.009999990E+00 -1.182589436E+01 9.993544817E-01
 1.009999990E+00 -1.143781471E+01 9.993185401E-01
 1.009999990E+00 -1.106141567E+01 9.992823005E-01
 1.009999990E+00 -1.069646168E+01 9.992453456E-01
 1.009999990E+00 -1.034272861E+01 9.992079735E-01
 1.009999990E+00 -9.999948502E+00 9.991699457E-01
 1.009999990E+00 -9.667881966E+00 9.991312027E-01
 1.009999990E+00 -9.346258163E+00 9.990919232E-01
 1.009999990E+00 -9.034824371E+00 9.990518689E-01
 1.009999990E+00 -8.733310699E+00 9.990111589E-01
 1.009999990E+00 -8.441459656E+00 9.989697337E-01
 1.009999990E+00 -8.159008026E+00 9.989276528E-01
 1.009999990E+00 -7.885692596E+00 9.988846183E-01
 1.009999990E+00 -7.621260166E+00 9.988411069E-01
 1.009999990E+00 -7.365450859E+00 9.987968206E-01
 1.009999990E+00 -7.118018627E+00 9.987516999E-01
 1.009999990E+00 -6.878712177E+00 9.987059236E-01
 1.009999990E+00 -6.647291660E+00 9.986594319E-01
 1.009999990E+00 -6.423519135E+00 9.986122847E-01
 1.009999990E+00 -6.207160950E+00 9.985642433E-01
 1.009999990E+00 -5.997991562E+00 9.985156059E-01
 1.009999990E+00 -5.795789719E+00 9.984663129E-01
 1.009999990E+00 -5.600339890E+00 9.984163642E-01
