Experimental data for Smits, Young, Bradshaw - JFM 94(2):209-242, 1979
Convex wall (30 deg turn)
*TENTATIVE CORRECTION FILE* November 2012

Note that some inconsistencies were discovered in the experimental data 
as posted from Oct 30, 1981, in comparison with JFM (1979).  The data were 
revisited with the help of the original author (Lex Smits) during 
Oct-Nov 2012. The corrected data appear below.  (Note that higher-order
moments were NOT looked at; it is unknown whether those posted data are
valid or not.)

In particular:
  (1) the reference velocity (Uref) (at a point just prior to the end 
      of the upstream contraction) = 31.9 m/s
  (2) local Ue and delta values were posted incorrectly

Note that "s" given in the following files are streamwise lengths along the
convex wall, with s=0 at the end of the curve; "d" is distance across
the channel from the convex wall (normal to the wall).
Similarly, the u, uu, vv, and uv values in the experimental data
are aligned with the local wall directions.

If one aligns the downstream channel with the x-axis (with x=0 y=0
at the end of the curve on the convex wall), then no translations are
necessary when comparing CFD with the downstream data (s>=0).  
However, the upstream channel will be canted at a 30 deg angle relative 
to the x-axis.  To translate upstream s to (absolute) x:
  if s<-0.066497, then x=-0.0635+[(s+0.0665)*cos(30)]
  (for example, s=-0.185 m corresponds to x=-0.166124 m)

----------

variables="s, m","Ue, m/s","delta, m"
# The following data were recovered by Smits - Oct-Nov 2012
# These data are different from the Oct 30, 1981 posted data
-0.185   35.25   0.02188
 0.030   35.51   0.02364
 0.183   35.22   0.02515
 0.335   35.28   0.02661
 0.635   35.74   0.02935
 0.940   35.80   0.03256
 1.250   36.25   0.03632

----------

variables="s, m","cf_ue","cf_uref (approx)"
# The following Cf based on Ue are the original data, and are unchanged
# The Cf based on Uref were derived from the experimental cf_ue
# (making use of approx Ue at nearby values)
 zone, t="exp"
   -0.1930000E+00  0.2809000E-02  0.343E-02
    0.2499936E-01  0.1611000E-02  0.200E-02
    0.1779997E+00  0.1951001E-02  0.238E-02
    0.3300006E+00  0.2187000E-02  0.268E-02
    0.4829995E+00  0.2343001E-02  0.290E-02
    0.9400002E+00  0.2487000E-02  0.313E-02
    0.1245000E+01  0.2503000E-02  0.323E-02

----------

 variables="s, m","cp"
# The following Cp are the original data, and are unchanged
# Note Cp is relative to static pressure just prior to the upstream contraction
# At the contraction exit, Cp was approx -0.07
   -0.2440000E+00   -0.1810000E+00
   -0.1930000E+00   -0.1930002E+00
   -0.1420000E+00   -0.2259999E+00
   -0.1040001E+00   -0.2810001E+00
   -0.7900073E-01   -0.3789998E+00
   -0.4599996E-01   -0.8580000E+00
   -0.3300002E-01   -0.8970000E+00
   -0.2000009E-01   -0.8380000E+00
    0.1300069E-01   -0.3750002E+00
    0.3800020E-01   -0.2969999E+00
    0.7599965E-01   -0.2399998E+00
    0.1270006E+00   -0.2150000E+00
    0.1780000E+00   -0.2110004E+00
    0.2289993E+00   -0.2150000E+00
    0.3810002E+00   -0.2229998E+00
    0.5329995E+00   -0.2330002E+00
    0.6859992E+00   -0.2429999E+00
    0.8380001E+00   -0.2509997E+00
    0.9909998E+00   -0.2640002E+00
    0.1143001E+01   -0.2780001E+00
    0.1295000E+01   -0.2960003E+00

----------

 variables="d, m","u, m/s"
# These velocity data are from the nondimensional Oct 30, 1981 posted data;
# however, the Ue and delta used to recover dimensional values are from
# Smits Oct-Nov 2012 (corrected dataset given above)
 zone, t="exp, s=-0.185m"
    0.5875983E-03    0.1986655E+02
    0.6331967E-03    0.1977983E+02
    0.6559957E-03    0.1993705E+02
    0.7243933E-03    0.2020953E+02
    0.8601517E-03    0.2055569E+02
    0.9513488E-03    0.2103650E+02
    0.1042546E-02    0.2131955E+02
    0.1064308E-02    0.2147113E+02
    0.1178304E-02    0.2171048E+02
    0.1292300E-02    0.2191034E+02
    0.1315099E-02    0.2188180E+02
    0.1405259E-02    0.2218565E+02
    0.1564851E-02    0.2249409E+02
    0.1609415E-02    0.2242111E+02
    0.1973163E-02    0.2326783E+02
    0.2472672E-02    0.2398763E+02
    0.3085137E-02    0.2477828E+02
    0.3675831E-02    0.2537753E+02
    0.4697648E-02    0.2644421E+02
    0.5742275E-02    0.2726976E+02
    0.6786903E-02    0.2798605E+02
    0.8489571E-02    0.2925152E+02
    0.1046480E-01    0.3055225E+02
    0.1293953E-01    0.3201477E+02
    0.1573245E-01    0.3332044E+02
    0.1929740E-01    0.3456934E+02
    0.2408831E-01    0.3523415E+02
    0.2899428E-01    0.3525035E+02
 zone, t="exp, s= 0.030m"
    0.5819672E-03    0.1323280E+02
    0.7246358E-03    0.1364081E+02
    0.8262490E-03    0.1403746E+02
    0.9678910E-03    0.1432793E+02
    0.1050002E-02    0.1479844E+02
    0.1191645E-02    0.1543158E+02
    0.1313787E-02    0.1569649E+02
    0.1415399E-02    0.1629483E+02
    0.1537540E-02    0.1629731E+02
