 65 101
Panchapakesan and Lumley - upward-flowing air and helium
round jets. All statistics through 4th order for air,
third order for helium.

Jet diameter 6.12mm

Gas:     U_jet:    r_{1/2,u}:  r_{1/2,f}:  Re:     x/d range

Helium   72.5 m/s   0.123x      0.146x     3700     90-120
Air      27.0 m/s   0.096x        -       10000     60-120

Notation: F =  mass fraction, M denotes a Mean value on
centerline, P denotes an r.m.s. value. Mean profiles are
F/FM, U/UM. F2U is mixed triple product of fluctuations,
i.e. F**2U in strict Fortran notation.

Order of files (all with 101 lines of data) is

  r/x       F2U/FM*UM**2_HEL
  r/x       F2V/FM**2*UM_HEL
  r/x       F3/FM**3_HEL
  r/x        F/FM_HEL
  r/x        FP/FM_HEL
  r/x        FU2/FM*UM**2_HEL
  r/x        FU/FM*UM_HEL
  r/x       FUV/FM*UM**2_HEL
  r/x       FV2/FM*UM**2_HEL
  r/x       FV/FM*UM_HEL
  r/x       FW2/FM*UM**2_HEL
  r/(r1/2U)  U2V2/UM**4_air
  r/(r1/2U)  U2V2/UM**4_hel
  r/(r1/2U)  U2V/UM**3_air
  r/(r1/2U)  U2V/UM**3_hel
  r/(r1/2U)  U2W2/UM**4_air
  r/(r1/2U)  U2W2/UM**4_hel
  r/(r1/2U)  U3/UM**3_air
  r/(r1/2U)  U3/UM**3_hel
  r/(r1/2U)  U3V/UM**4_air
  r/(r1/2U)  U3V/UM**4_hel
  r/(r1/2U)  U4/UM**4_air
  r/(r1/2U)  U4/UM**4_hel
  r/(r1/2U)  U/UM_air
  r/x        U/UM_HEL (yes, r/x, like the F data)
  r/(r1/2U)  UP/UM_air
  r/(r1/2U)  UP/UM_hel
  r/(r1/2U)  UV2/UM**3_air
  r/(r1/2U)  UV2/UM**3_hel
  r/(r1/2U)  UV3/UM**4_air
  r/(r1/2U)  UV3/UM**4_hel
  r/(r1/2U)  UV/UM**2_air.......shear stress profile
  r/(r1/2U)  UV/UM**2_hel
  r/(r1/2U)  UW2/UM**3_air
  r/(r1/2U)  UW2/UM**3_hel
  r/(r1/2U)  V3/UM**3_air
  r/(r1/2U)  V3/UM**3_hel
  r/(r1/2U)  V4/UM**4_air
  r/(r1/2U)  V4/UM**4_hel
  r/(r1/2U)  VP/UM_air
  r/(r1/2U)  VP/UM_hel
  r/(r1/2U)  W4/UM**4_air
  r/(r1/2U)  W4/UM**4_hel
