 19 26
RETURN TO ISOTROPY - 

LE PENVEN, L.; GENCE, J.N.; COMTE-BELLOT, G.
On the approach to isotropy of homogeneous turbulence -
effect of the partition of kinetic energy among the velocity
components, Frontiers in Fluid Mechanics (S.H. Davis,
J.L. Lumley, Eds.) Springer, 1984, p.1

Reynolds number is defined as (q^2)^2/(9 epsilon nu). Length
scales as such were not measured but the dissipation rate
can be deduced from energy decay rate at any time. Units are
seconds for time, (m/s)^2 for mean-square intensities.
"Time" is equivalent to distance along x-axis. 

Experimental data for Lumley stress-tensor invariant III > 0
Initial Reynolds number 350

  100t   1000u^2 1000v^2 1000w^2      II      III

  0.0000  8.5000 13.1000 22.9000    0.0546   0.0030
  0.8000  8.4800 12.8000 22.8000    0.0555   0.0033
  2.2000  8.4700 12.4000 22.1000    0.0533   0.0033
  3.8000  8.3700 12.0000 21.3000    0.0512   0.0032
  5.2000  8.2200 11.4000 20.7000    0.0517   0.0035
  6.7000  8.1500 11.2000 20.0000    0.0489   0.0032
  8.2000  8.0700 10.9000 19.4000    0.0472   0.0031
  9.7000  7.9500 10.7000 18.8000    0.0454   0.0029
 11.1000  7.8000 10.5000 18.3000    0.0444   0.0028
 12.6000  7.6900 10.1000 17.9000    0.0447   0.0030
 14.0000  7.6100  9.8500 17.4000    0.0433   0.0029
 15.5000  7.4200  9.5800 16.9000    0.0430   0.0029
 16.9000  7.2400  9.3500 16.3000    0.0415   0.0027
 18.4000  7.1400  9.0000 15.8000    0.0407   0.0027
 19.8000  7.0400  8.8000 15.4000    0.0398   0.0027
 21.2000  6.9000  8.5300 14.9000    0.0389   0.0026
 22.6000  6.7800  8.3400 14.4000    0.0372   0.0024
 24.1000  6.6700  8.1300 14.1000    0.0371   0.0025
 25.5000  6.5200  7.9100 13.7000    0.0367   0.0024
 26.9000  6.4200  7.6300 13.3000    0.0361   0.0025
 28.3000  6.2400  7.5000 12.9000    0.0353   0.0023
 29.8000  6.1300  7.2900 12.5000    0.0343   0.0023
 31.2000  5.9800  7.1100 12.3000    0.0352   0.0024
 32.6000  5.9100  6.9000 12.0000    0.0347   0.0024
 34.0000  5.8300  6.7300 11.6000    0.0330   0.0022
 35.4000  5.7900  6.6500 11.4000    0.0321   0.0021
  5 12
Experimental data for case III < 0
Initial Reynolds number 450

  100t   1000u^2 1000v^2 1000w^2      II      III

  0.0000 10.5000 30.9000 36.7000    0.0621  -0.0051
  1.8000 11.0000 28.9000 34.2000    0.0538  -0.0040
  3.7000 11.4000 26.9000 32.4000    0.0474  -0.0030
  5.5000 11.6000 25.2000 30.2000    0.0413  -0.0024
  7.3000 11.7000 23.5000 27.9000    0.0352  -0.0019
  9.1000 11.8500 22.3000 26.3000    0.0305  -0.0015
 11.0000 11.8000 21.0000 24.5000    0.0262  -0.0012
 12.8000 11.6000 19.9000 23.2000    0.0239  -0.0010
 14.6000 11.4000 18.9000 22.2000    0.0222  -0.0008
 16.4000 11.2000 17.9000 20.8000    0.0195  -0.0007
 17.1000 11.0000 16.9000 19.6000    0.0171  -0.0005
 19.9000 10.9000 16.3000 18.9000    0.0157  -0.0005
