%Jackson and Launder (unpub.) impinging circular air jet.
%Heat transfer measurements (on slightly heated surface
%at say 25 deg. C) by Baughn and Shimuzu, J. Heat Transfer
%vol. 111, p. 1096, 1989.
%
%Re and Nu are based on jet diameter D and UBULK.
%Note: fully developed pipe flow at exit.  Nozzle lip is
%thick and square cut, and this may have some effect.
%For velocity measurements, internal diameter was 4.00 in
%and external dia. 4.25 in: for heat transfer measurements
%internal diameter was 26.5 mm (1.043 in) and external
%diameter 33.5 mm (1.319 in).
%Z is distance from nozzle to plate, x is distance ABOVE
%plate, R is radial.
%All profiles except NUSSELT are for varying x at given R
%and have 21 entries. In single-wire profiles (regarded as
%the more reliable for mean velocity), V is resultant mean
%velocity and vv is mean-square intensity in direction of V.
%In cross-wire profiles V and v are radial, U and u in
%positive x direction (towards nozzle, so U is usually
%negative).
%Single-wire traverses at slightly different Reynolds number
%were taken at different circumferential positions:
%differences therefore indicate departures from axisymmetry
%and not real Re effects. All traverses have been included.
%Note that the single-wire traverse at Re = 22752, R/D = 2
%covers only the inner part of the wall jet.
%
%______________________________________________________
%
% Part 1 Single-wire data

% Z/D=2.0     R/D= .0     Re=23074.
%    x/D          V/UBULK       vv/(UBULK**2)
  .9872E-03     .5826E-01       .1895E-03
  .1701E-02     .4174E-01       .3979E-03
  .2415E-02     .3647E-01       .5249E-03
  .3129E-02     .3641E-01       .7679E-03
  .3843E-02     .3966E-01       .1045E-02
  .4557E-02     .3978E-01       .1244E-02
  .5985E-02     .4625E-01       .1554E-02
  .7413E-02     .5038E-01       .1860E-02
  .8841E-02     .5448E-01       .2057E-02
  .1027E-01     .5779E-01       .2054E-02
  .1313E-01     .5923E-01       .1924E-02
  .1598E-01     .6547E-01       .1937E-02
  .1884E-01     .7218E-01       .1924E-02
  .2169E-01     .7900E-01       .1940E-02
  .2593E-01     .9262E-01       .2004E-02
  .3017E-01     .9798E-01       .1825E-02
  .3441E-01     .1032E+00       .1752E-02
  .4869E-01     .1442E+00       .2141E-02
  .6297E-01     .1868E+00       .2755E-02
  .7725E-01     .2339E+00       .3132E-02
  .9153E-01     .2786E+00       .3497E-02
%
% Z/D=2.0     R/D= .0     Re=22246.
%    x/D          V/UBULK       vv/(UBULK**2)
  .9872E-03     .5117E-01       .3672E-03
  .1701E-02     .4478E-01       .5778E-03
  .2415E-02     .4374E-01       .8310E-03
  .3129E-02     .4436E-01       .1189E-02
  .3843E-02     .4849E-01       .1616E-02
  .4557E-02     .5078E-01       .1730E-02
  .5985E-02     .5797E-01       .2324E-02
  .7413E-02     .6073E-01       .2334E-02
  .8841E-02     .6426E-01       .2430E-02
  .1027E-01     .6676E-01       .2428E-02
  .1313E-01     .6898E-01       .2394E-02
  .1598E-01     .7733E-01       .2490E-02
  .1884E-01     .8024E-01       .2312E-02
  .2169E-01     .8407E-01       .2024E-02
  .2593E-01     .9443E-01       .2035E-02
  .3017E-01     .1071E+00       .2140E-02
  .3441E-01     .1184E+00       .2144E-02
  .4869E-01     .1588E+00       .2381E-02
  .6297E-01     .2030E+00       .2885E-02
  .7725E-01     .2498E+00       .3390E-02
  .9153E-01     .2923E+00       .3935E-02
%
% Z/D=2.0     R/D= .5     Re=23074.
%    x/D          V/UBULK       vv/(UBULK**2)
  .9872E-03     .2104E+00       .7788E-03
  .1701E-02     .3030E+00       .2588E-02
  .2415E-02     .3906E+00       .3870E-02
  .3129E-02     .4837E+00       .5288E-02
  .3843E-02     .5562E+00       .6087E-02
  .4557E-02     .6037E+00       .7219E-02
  .5985E-02     .6513E+00       .7644E-02
  .7413E-02     .6912E+00       .7792E-02
  .8841E-02     .7141E+00       .7796E-02
  .1027E-01     .7283E+00       .8267E-02
  .1313E-01     .7322E+00       .8109E-02
  .1598E-01     .7316E+00       .7947E-02
  .1884E-01     .7265E+00       .7405E-02
  .2169E-01     .7243E+00       .7135E-02
  .2593E-01     .7110E+00       .6511E-02
  .3017E-01     .7113E+00       .5943E-02
  .3441E-01     .7099E+00       .5557E-02
  .4869E-01     .6944E+00       .4498E-02
  .6297E-01     .6820E+00       .3879E-02
  .7725E-01     .6734E+00       .3688E-02
  .9153E-01     .6710E+00       .3665E-02
%
% Z/D=2.0     R/D=1.0     Re=23074.
%    x/D          V/UBULK       vv/(UBULK**2)
  .9872E-03     .1914E+00       .2044E-02
  .1701E-02     .2764E+00       .4890E-02
  .2415E-02     .3833E+00       .8412E-02
  .3129E-02     .4758E+00       .1057E-01
  .3843E-02     .5568E+00       .1250E-01
  .4557E-02     .6370E+00       .1376E-01
  .5985E-02     .7402E+00       .1466E-01
  .7413E-02     .8395E+00       .1365E-01
  .8841E-02     .9056E+00       .1228E-01
  .1027E-01     .9707E+00       .1162E-01
  .1313E-01     .1024E+01       .1109E-01
  .1598E-01     .1045E+01       .1080E-01
  .1884E-01     .1054E+01       .1103E-01
  .2169E-01     .1050E+01       .1082E-01
  .2593E-01     .1041E+01       .1027E-01
  .3017E-01     .1026E+01       .9799E-02
  .3441E-01     .1016E+01       .9404E-02
  .4869E-01     .9684E+00       .9240E-02
  .6297E-01     .9108E+00       .1020E-01
  .7725E-01     .8426E+00       .1330E-01
  .9153E-01     .7730E+00       .1500E-01
%
% Z/D=2.0     R/D=1.0     Re=22425.
%    x/D          V/UBULK       vv/(UBULK**2)
  .9872E-03     .1992E+00       .1865E-02
  .1701E-02     .2501E+00       .3742E-02
  .2415E-02     .3163E+00       .5965E-02
  .3129E-02     .3810E+00       .8066E-02
  .3843E-02     .4663E+00       .1051E-01
  .4557E-02     .5574E+00       .1314E-01
  .5985E-02     .7024E+00       .1522E-01
  .7413E-02     .8464E+00       .1451E-01
  .8841E-02     .9395E+00       .1358E-01
  .1027E-01     .9954E+00       .1210E-01
  .1313E-01     .1053E+01       .1166E-01
  .1598E-01     .1083E+01       .1189E-01
  .1884E-01     .1089E+01       .1185E-01
  .2169E-01     .1087E+01       .1169E-01
  .2593E-01     .1085E+01       .1158E-01
  .3017E-01     .1073E+01       .1098E-01
  .3441E-01     .1059E+01       .1021E-01
  .4869E-01     .1004E+01       .9983E-02
  .6297E-01     .9454E+00       .1087E-01
  .7725E-01     .8671E+00       .1368E-01
  .9153E-01     .7929E+00       .1603E-01
%
% Z/D=2.0     R/D=1.5     Re=22507.
%    x/D          V/UBULK       vv/(UBULK**2)
  .9872E-03     .1422E+00       .3303E-02
  .1701E-02     .1756E+00       .6450E-02
  .2415E-02     .2421E+00       .1189E-01
  .3129E-02     .2967E+00       .1563E-01
  .3843E-02     .3682E+00       .2123E-01
  .4557E-02     .4356E+00       .2489E-01
  .5985E-02     .5604E+00       .2853E-01
  .7413E-02     .6523E+00       .2929E-01
  .8841E-02     .6796E+00       .3004E-01
  .1027E-01     .7539E+00       .2945E-01
  .1313E-01     .8554E+00       .2473E-01
  .1598E-01     .9169E+00       .2160E-01
  .1884E-01     .9397E+00       .2079E-01
  .2169E-01     .9527E+00       .1972E-01
  .2593E-01     .9607E+00       .2039E-01
  .3017E-01     .9507E+00       .2106E-01
  .3441E-01     .9247E+00       .2446E-01
  .4869E-01     .8356E+00       .2881E-01
  .6297E-01     .7438E+00       .3477E-01
  .7725E-01     .6441E+00       .3749E-01
  .9153E-01     .5479E+00       .3833E-01
%
%  Z/D=2.0     R/D=2.0     Re=22752.
%    x/D (short)          V/UBULK       vv/(UBULK**2)
  .9872E-03     .2010E+00       .1024E-01
  .1165E-02     .2112E+00       .1104E-01
  .1344E-02     .2007E+00       .1054E-01
  .1523E-02     .2105E+00       .1124E-01
  .1701E-02     .2267E+00       .1295E-01
  .1880E-02     .2360E+00       .1363E-01
  .2236E-02     .2731E+00       .1717E-01
  .2594E-02     .2938E+00       .1841E-01
  .2951E-02     .3283E+00       .2137E-01
  .3307E-02     .3416E+00       .2155E-01
  .4022E-02     .3709E+00       .2323E-01
  .4735E-02     .3949E+00       .2508E-01
  .5450E-02     .4301E+00       .2737E-01
  .6521E-02     .4820E+00       .2896E-01
  .7592E-02     .5312E+00       .3001E-01
  .9376E-02     .5825E+00       .3162E-01
  .1116E-01     .6237E+00       .3029E-01
  .1473E-01     .6712E+00       .3128E-01
  .1830E-01     .7002E+00       .2983E-01
  .2187E-01     .7125E+00       .3076E-01
  .2544E-01     .7219E+00       .3141E-01
%
% Z/D=2.0     R/D=2.0     Re=22425.
%    x/D          V/UBULK       vv/(UBULK**2)
  .9872E-03     .1629E+00       .8091E-03
  .1701E-02     .1524E+00       .3651E-02
  .2415E-02     .1648E+00       .5258E-02
  .3129E-02     .2136E+00       .9752E-02
  .3843E-02     .2693E+00       .1539E-01
  .4557E-02     .3137E+00       .1842E-01
  .5985E-02     .4033E+00       .2480E-01
  .7413E-02     .4988E+00       .2947E-01
  .8841E-02     .5871E+00       .3262E-01
  .1027E-01     .6240E+00       .3273E-01
  .1313E-01     .6808E+00       .3293E-01
  .1598E-01     .7251E+00       .3263E-01
  .1884E-01     .7659E+00       .3165E-01
  .2169E-01     .7783E+00       .3261E-01
  .2593E-01     .7888E+00       .3267E-01
  .3017E-01     .7865E+00       .3231E-01
  .3441E-01     .7825E+00       .3348E-01
  .4869E-01     .7302E+00       .3861E-01
  .6297E-01     .6545E+00       .4344E-01
  .7725E-01     .5854E+00       .4402E-01
  .9153E-01     .5143E+00       .4261E-01
%
% Z/D=2.0     R/D=2.5     Re=22425.
%    x/D          V/UBULK       vv/(UBULK**2)
  .9872E-03     .1078E+00       .1884E-02
  .1701E-02     .1255E+00       .3733E-02
  .2415E-02     .1431E+00       .5300E-02
  .3129E-02     .1769E+00       .8581E-02
