**** Top of tape data ****

  This tape contains all the data necessary to perform calculations
of an axisymmetric sudden pipe expansion with any turbulence model.
Copies of the associated reports:
"Flow characteristics of an Axisymmetric Sudden Pipe Expansion: Results
Obtained from the Turbulence Studies Rig. Part 1: Mean and Turbulence
Velocity Results" CEGB Report TPRD/B/0702/N85, 1985.
"Flow Characteristics of an Axisymmetric Sudden Pipe Expansion: Results
Obtained from the Turbulence Studies Rig. Part 2: Spectral Measurements"
CEGB Report TPRD/B/0703/N86, 1986.
plus answers to any specific queries can be obtained from the author,
Richard Szczepura, at the following address:

    Dr R T Szczepura,
    National Power (Nuclear) Division,
    Central Electricity Generating Board,
    Berkeley Nuclear Laboratories,
    Berkeley,
    Gloucestershire.
    GL13 9PB

  The data on this tape is all in card image, that is, each record is
80 characters long.

  The data supplied is derived from LDA measurements of flow through
an axisymetric pipe expansion made by Dr R.T.Szczepura at Berkeley
Nuclear Laboratories (BNL). Lengths are non-dimensionalized on the
downstream (larger) pipe diameter. The inlet pipe has a radius of 0.257
in non-dimensional units. Experimental measurements were made in the
region from 0.05 to 3.0 diameters downstream of the expansion, and
up to a distance 0.075 diameters from the pipe wall (a limit imposed
by refraction effects in the test section). However, the axial velocity
only could be measured up to a radial position of 0.4771 diameters.

  Four sets of data are supplied on this tape, they are:

 1.  A specification of both the velocity and turbulence fields at a
    distance 0.05 diameters downstream of the expansion to be used as
    a computational inlet condition. This data includes the Reynolds
    stresses.
 2.  A specification of experimentally based turbulent viscosities and
    turbulent length scales in the bulk of the flow.
 3.  The wall friction velocity derived from experimental velocity
    measurments at R = 0.4771 diameters.
 4.  A specification of both the velocity and turbulence fields at a
    distance 0.25 diameters upstream of the expansion for those who
    wish to calculate the flow around the expansion corner. This data
    does not include the Reynolds stresses.

   Finally on the end of the tape is a listing of two FORTRAN functions
that may be used to interpolate the one and two dimensional data.

* * * * * * * * * * * * * *

 Part 1.

  A specification of both the velocity and turbulence fields at a
distance 0.05 diameters downstream of the expansion to be used as
a computational inlet condition.

  The data has been specified at many points so that linear interpolation
will give accurate values at any radial position. The data has been split
into two tables, the first containing data suitable for a two equation
turbulence model codes, and the second the Reynolds stresses.

 The (FORTRAN) format used to read the first set of data should
be: 5E13.3.

    Radial       Axial        Radial       K            Turbulent
    position     velocity     velocity                  viscosity
    0.000E+00    1.000E+00    0.000E+00    1.404E-03    3.400E-04
    1.000E-03    1.000E+00    0.000E+00    1.404E-03    3.400E-04
    2.000E-03    1.000E+00    0.000E+00    1.405E-03    3.401E-04
    3.000E-03    1.000E+00    0.000E+00    1.405E-03    3.401E-04
    4.000E-03    1.000E+00    0.000E+00    1.405E-03    3.401E-04
    5.000E-03    1.000E+00    0.000E+00    1.406E-03    3.401E-04
    6.000E-03    1.000E+00    0.000E+00    1.406E-03    3.400E-04
    7.000E-03    1.000E+00    0.000E+00    1.407E-03    3.400E-04
    8.000E-03    9.999E-01    0.000E+00    1.408E-03    3.400E-04
    9.000E-03    9.999E-01    0.000E+00    1.409E-03    3.400E-04
    1.000E-02    9.999E-01    0.000E+00    1.411E-03    3.401E-04
    1.100E-02    9.999E-01    0.000E+00    1.412E-03    3.400E-04
    1.200E-02    9.999E-01    0.000E+00    1.414E-03    3.400E-04
    1.300E-02    9.999E-01    0.000E+00    1.416E-03    3.401E-04
    1.400E-02    9.999E-01    0.000E+00    1.418E-03    3.400E-04
    1.500E-02    9.999E-01    0.000E+00    1.421E-03    3.401E-04
    1.600E-02    9.999E-01    0.000E+00    1.424E-03    3.402E-04
    1.700E-02    9.999E-01    0.000E+00    1.426E-03    3.401E-04
    1.800E-02    9.998E-01    0.000E+00    1.429E-03    3.401E-04
    1.900E-02    9.998E-01    0.000E+00    1.432E-03    3.401E-04
    2.000E-02    9.998E-01    0.000E+00    1.436E-03    3.402E-04
    2.100E-02    9.998E-01    0.000E+00    1.439E-03    3.401E-04
    2.200E-02    9.997E-01    0.000E+00    1.443E-03    3.402E-04
    2.300E-02    9.996E-01    0.000E+00    1.447E-03    3.402E-04
    2.400E-02    9.995E-01    0.000E+00    1.451E-03    3.402E-04
    2.500E-02    9.993E-01    0.000E+00    1.455E-03    3.402E-04
    2.600E-02    9.991E-01    0.000E+00    1.459E-03    3.401E-04
    2.700E-02    9.989E-01    0.000E+00    1.464E-03    3.402E-04
    2.800E-02    9.987E-01    0.000E+00    1.469E-03    3.402E-04
    2.900E-02    9.984E-01    0.000E+00    1.474E-03    3.402E-04
    3.000E-02    9.982E-01    0.000E+00    1.479E-03    3.401E-04
