# mean flow u results for BSL model at x=0.75 
VARIABLES = "u" "y-0.05"
ZONE T="CFL3D"
 2.255802974E-03 7.450580708E-10
 4.535544664E-03 4.962086564E-07
 9.072959423E-03 9.916723229E-07
 1.361409016E-02 1.487135933E-06
 1.816078648E-02 1.982599542E-06
 2.271489426E-02 2.478063152E-06
 2.727827244E-02 2.977252052E-06
 3.185277432E-02 3.476440952E-06
 3.644025698E-02 3.975629625E-06
 4.104258493E-02 4.478543815E-06
 4.566162080E-02 4.981458005E-06
 5.029924214E-02 5.488097486E-06
 5.495732278E-02 5.998462257E-06
 5.963773280E-02 6.508827028E-06
 6.434235722E-02 7.022917089E-06
 6.907308102E-02 7.537007150E-06
 7.383177429E-02 8.058547792E-06
 7.862032950E-02 8.580088434E-06
 8.344062418E-02 9.105354366E-06
 8.829452097E-02 9.638070878E-06
 9.318389744E-02 1.017078739E-05
 9.811058640E-02 1.070722919E-05
 1.030764580E-01 1.125112158E-05
 1.080832779E-01 1.179873925E-05
 1.131328866E-01 1.235008222E-05
 1.182270348E-01 1.290515047E-05
 1.233674213E-01 1.346766931E-05
 1.285557300E-01 1.403391343E-05
 1.337935925E-01 1.460760814E-05
 1.390825361E-01 1.518502813E-05
 1.444240659E-01 1.576989962E-05
 1.498195380E-01 1.636222078E-05
 1.552702338E-01 1.696199251E-05
 1.607773453E-01 1.756548954E-05
 1.663418710E-01 1.818016244E-05
 1.719647050E-01 1.879856063E-05
 1.776465476E-01 1.942440940E-05
 1.833878756E-01 2.006143404E-05
 1.891890913E-01 2.070590926E-05
 1.950502098E-01 2.135783507E-05
 2.009710968E-01 2.201721145E-05
 2.069513351E-01 2.268776370E-05
 2.129902095E-01 2.336576654E-05
 2.190867215E-01 2.405494524E-05
 2.252396047E-01 2.475157453E-05
 2.314471900E-01 2.545937969E-05
 2.377075255E-01 2.617836071E-05
 2.440183461E-01 2.690851761E-05
 2.503770590E-01 2.764612509E-05
 2.567807138E-01 2.839863373E-05
 2.632260919E-01 2.916231824E-05
 2.697096467E-01 2.993717862E-05
 2.762276232E-01 3.072321488E-05
 2.827759385E-01 3.152042700E-05
 2.893503308E-01 3.233254029E-05
 2.959463894E-01 3.315955473E-05
 3.025595546E-01 3.399774505E-05
 3.091851771E-01 3.485083653E-05
 3.158184588E-01 3.571882917E-05
 3.224547505E-01 3.659799768E-05
 3.290893137E-01 3.749579264E-05
 3.357174695E-01 3.840848876E-05
 3.423347771E-01 3.933236076E-05
 3.489367962E-01 4.027858449E-05
 3.555193841E-01 4.123598410E-05
 3.620784283E-01 4.221201016E-05
 3.686102033E-01 4.320666267E-05
 3.751111627E-01 4.421621634E-05
 3.815780580E-01 4.524812175E-05
 3.880077600E-01 4.629492832E-05
 3.943975568E-01 4.736036135E-05
 4.007450044E-01 4.844442083E-05
 4.070478380E-01 4.955083205E-05
 4.133041203E-01 5.067586972E-05
 4.195121229E-01 5.182325913E-05
 4.256703854E-01 5.298927499E-05
 4.317776859E-01 5.417764260E-05
 4.378330708E-01 5.538836194E-05
 4.438355863E-01 5.662143303E-05
 4.497848451E-01 5.787685586E-05
 4.556802511E-01 5.915835573E-05
 4.615215659E-01 6.046220733E-05
 4.673087895E-01 6.178840704E-05
 4.730418026E-01 6.314441271E-05
 4.787207842E-01 6.452277012E-05
 4.843460321E-01 6.592720456E-05
 4.899179339E-01 6.736144132E-05
 4.954368174E-01 6.882175512E-05
 5.009033680E-01 7.030814595E-05
 5.063180923E-01 7.182433910E-05
 5.116815567E-01 7.337033458E-05
 5.169946551E-01 7.494613237E-05
 5.222579241E-01 7.655173249E-05
 5.274723768E-01 7.818713493E-05
 5.326386094E-01 7.985606499E-05
 5.377576351E-01 8.155852265E-05
 5.428301692E-01 8.329078264E-05
 5.478572249E-01 8.506029553E-05
 5.528395176E-01 8.686333604E-05
 5.577781200E-01 8.869990415E-05
 5.626738071E-01 9.057745046E-05
 5.675275326E-01 9.248852439E-05
 5.723401308E-01 9.443685121E-05
 5.771125555E-01 9.642243094E-05
 5.818457007E-01 9.844898887E-05
 5.865404010E-01 1.005165250E-04
 5.911975503E-01 1.026250393E-04
 5.958180428E-01 1.047708065E-04
 6.004027128E-01 1.069650025E-04
 6.049523354E-01 1.092001767E-04
 6.094677448E-01 1.114800543E-04
 6.139499545E-01 1.138046355E-04
 6.183994412E-01 1.161739201E-04
 6.228172779E-01 1.185953588E-04
 6.272040606E-01 1.210615010E-04
 6.315606236E-01 1.235760719E-04
 6.358877420E-01 1.261427969E-04
