VARIABLES = "x","cp"
zone, t="CFL3D"
 -2.500000000E+01 1.267450163E-03
 -2.454554749E+01 1.267450163E-03
 -2.409935760E+01 1.267450163E-03
 -2.366127586E+01 1.267450163E-03
 -2.323115921E+01 1.267450163E-03
 -2.280886269E+01 1.267450163E-03
 -2.239424133E+01 1.267450163E-03
 -2.198715591E+01 1.267450163E-03
 -2.158747101E+01 1.267450163E-03
 -2.119505310E+01 1.267450163E-03
 -2.080976677E+01 1.267450163E-03
 -2.043148422E+01 1.267450163E-03
 -2.006007957E+01 1.267450163E-03
 -1.969542503E+01 1.267450163E-03
 -1.933740044E+01 1.267450163E-03
 -1.898588371E+01 1.267450163E-03
 -1.864075470E+01 1.267450163E-03
 -1.830190277E+01 1.267450163E-03
 -1.796920776E+01 1.267450163E-03
 -1.764256096E+01 1.267450163E-03
 -1.732185364E+01 1.267450163E-03
 -1.700697517E+01 1.267450163E-03
 -1.669782066E+01 1.267450163E-03
 -1.639428520E+01 1.267450163E-03
 -1.609626770E+01 1.267450163E-03
 -1.580366802E+01 1.267450163E-03
 -1.551638699E+01 1.267450163E-03
 -1.523432827E+01 1.267450163E-03
 -1.495739651E+01 1.267450163E-03
 -1.468549919E+01 1.267450163E-03
 -1.441854382E+01 1.267450163E-03
 -1.415644169E+01 1.267450163E-03
 -1.389910412E+01 1.267450163E-03
 -1.364644432E+01 1.267450163E-03
 -1.339837646E+01 1.267450163E-03
 -1.315481949E+01 1.267450163E-03
 -1.291568851E+01 1.267450163E-03
 -1.268090534E+01 1.267450163E-03
 -1.245038986E+01 1.267450163E-03
 -1.222406483E+01 1.267450163E-03
 -1.200185299E+01 1.270430395E-03
 -1.178368187E+01 1.270430395E-03
 -1.156947613E+01 1.270430395E-03
 -1.135916328E+01 1.270430395E-03
 -1.115267467E+01 1.270430395E-03
 -1.094993877E+01 1.270430395E-03
 -1.075088882E+01 1.270430395E-03
 -1.055545712E+01 1.273410628E-03
 -1.036357784E+01 1.273410628E-03
 -1.017518616E+01 1.273410628E-03
 -9.990220070E+00 1.273410628E-03
 -9.808614731E+00 1.276390860E-03
 -9.630311966E+00 1.276390860E-03
 -9.455249786E+00 1.276390860E-03
 -9.283370018E+00 1.279371092E-03
 -9.114614487E+00 1.279371092E-03
 -8.948925972E+00 1.282351324E-03
 -8.786250114E+00 1.282351324E-03
 -8.626531601E+00 1.285331557E-03
 -8.469716072E+00 1.285331557E-03
 -8.315751076E+00 1.288311789E-03
 -8.164585114E+00 1.291292021E-03
 -8.016166687E+00 1.291292021E-03
 -7.870445728E+00 1.294272253E-03
 -7.727374077E+00 1.297252486E-03
 -7.586903095E+00 1.300232718E-03
 -7.448986053E+00 1.303212950E-03
 -7.313575268E+00 1.306193182E-03
 -7.180626392E+00 1.309173414E-03
 -7.050094128E+00 1.315133879E-03
 -6.921934605E+00 1.318114111E-03
 -6.796104908E+00 1.321094343E-03
 -6.672562599E+00 1.327054808E-03
 -6.551265717E+00 1.333015272E-03
 -6.432173729E+00 1.335995505E-03
 -6.315246582E+00 1.341955969E-03
 -6.200444698E+00 1.347916434E-03
 -6.087729931E+00 1.353876898E-03
 -5.977064133E+00 1.362817595E-03
 -5.868409634E+00 1.368778059E-03
 -5.761730671E+00 1.374738524E-03
 -5.656990528E+00 1.383679220E-03
 -5.554154396E+00 1.392619917E-03
 -5.453187466E+00 1.401560614E-03
 -5.354055882E+00 1.410501311E-03
 -5.256726265E+00 1.419442007E-03
 -5.161166191E+00 1.428382704E-03
 -5.067342758E+00 1.440303633E-03
 -4.975224972E+00 1.449244330E-03
 -4.884781361E+00 1.461165259E-03
 -4.795981884E+00 1.473086188E-03
 -4.708796501E+00 1.487987349E-03
 -4.623196125E+00 1.499908278E-03
 -4.539151669E+00 1.514809439E-03
 -4.456634998E+00 1.526730368E-03
 -4.375617981E+00 1.541631529E-03
 -4.296073914E+00 1.559512923E-03
 -4.217975616E+00 1.574414084E-03
 -4.141296864E+00 1.592295477E-03
 -4.066011906E+00 1.607196638E-03
 -3.992095470E+00 1.628058264E-03
 -3.919522524E+00 1.645939657E-03
 -3.848268747E+00 1.663821051E-03
 -3.778310299E+00 1.684682677E-03
 -3.709623337E+00 1.705544302E-03
 -3.642184973E+00 1.726405928E-03
 -3.575972319E+00 1.750247786E-03
 -3.510963202E+00 1.774089644E-03
 -3.447135687E+00 1.797931502E-03
 -3.384468317E+00 1.821773360E-03
 -3.322940111E+00 1.848595450E-03
 -3.262530327E+00 1.875417540E-03
 -3.203218460E+00 1.902239630E-03
 -3.144984961E+00 1.929061720E-03
 -3.087809563E+00 1.958864043E-03
 -3.031673670E+00 1.988666365E-03
 -2.976557970E+00 2.018468687E-03
 -2.922444105E+00 2.051251242E-03
 -2.869313717E+00 2.084033797E-03
 -2.817149162E+00 2.116816351E-03
 -2.765932560E+00 2.152579138E-03
 -2.715646982E+00 2.188341925E-03
 -2.666275501E+00 2.224104712E-03
 -2.617801189E+00 2.262847731E-03
 -2.570208073E+00 2.301590750E-03
 -2.523479939E+00 2.340333769E-03
 -2.477601051E+00 2.379076788E-03
 -2.432555914E+00 2.420800040E-03
 -2.388329744E+00 2.465503523E-03
 -2.344907045E+00 2.510207007E-03
 -2.302273989E+00 2.554910490E-03
 -2.260415554E+00 2.599613974E-03
 -2.219317675E+00 2.647297690E-03
 -2.178966999E+00 2.694981406E-03
 -2.139349699E+00 2.745645354E-03
 -2.100452185E+00 2.796309302E-03
 -2.062261820E+00 2.846973250E-03
 -2.024765491E+00 2.900617430E-03
 -1.987950563E+00 2.954261610E-03
 -1.951804757E+00 3.010886023E-03
 -1.916315794E+00 3.067510435E-03
 -1.881471753E+00 3.127115080E-03
 -1.847261071E+00 3.186719725E-03
 -1.813671947E+00 3.246324370E-03
 -1.780693293E+00 3.308909247E-03
 -1.748314023E+00 3.371494124E-03
 -1.716523051E+00 3.434079001E-03
 -1.685309887E+00 3.502624342E-03
 -1.654663801E+00 3.568189451E-03
 -1.624574780E+00 3.636734793E-03
 -1.595032454E+00 3.708260367E-03
 -1.566026926E+00 3.779785940E-03
 -1.537548423E+00 3.851311514E-03
 -1.509587407E+00 3.925817553E-03
 -1.482134581E+00 4.000323359E-03
 -1.455180407E+00 4.077809397E-03
 -1.428716063E+00 4.155295435E-03
 -1.402732611E+00 4.235761706E-03
 -1.377221227E+00 4.316227976E-03
 -1.352173448E+00 4.399674479E-03
 -1.327580571E+00 4.483120982E-03
 -1.303434610E+00 4.566567484E-03
 -1.279727340E+00 4.655974451E-03
 -1.256450772E+00 4.742401186E-03
 -1.233597040E+00 4.831808154E-03
 -1.211158514E+00 4.924195353E-03
 -1.189127684E+00 5.016582552E-03
 -1.167496920E+00 5.111949984E-03
 -1.146259189E+00 5.207317416E-03
 -1.125407219E+00 5.302684847E-03
 -1.104933977E+00 5.401032511E-03
 -1.084832668E+00 5.502360407E-03
 -1.065096498E+00 5.603688303E-03
 -1.045718670E+00 5.705016199E-03
 -1.026692867E+00 5.809324328E-03
 -1.008012652E+00 5.916612688E-03
 -9.896716475E-01 5.967276637E-03
 -9.716637135E-01 6.131189410E-03
 -9.539828300E-01 6.241458002E-03
 -9.366229773E-01 6.351726595E-03
 -9.195784330E-01 6.464975420E-03
 -9.028432965E-01 6.578224245E-03
 -8.864120841E-01 6.694453303E-03
 -8.702791333E-01 6.813662592E-03
 -8.544391394E-01 6.929891650E-03
 -8.388866782E-01 7.049100939E-03
 -8.236165643E-01 7.171290461E-03
 -8.086236715E-01 7.293479983E-03
 -7.939029336E-01 7.418649737E-03
 -7.794493437E-01 7.543819491E-03
 -7.652581334E-01 7.668989245E-03
 -7.513244748E-01 7.797139231E-03
 -7.376436591E-01 7.925288752E-03
 -7.242110968E-01 8.056418970E-03
 -7.110222578E-01 8.187549189E-03
 -6.980727911E-01 8.321659639E-03
 -6.853582263E-01 8.452789858E-03
 -6.728742719E-01 8.589880541E-03
 -6.606168747E-01 8.726971224E-03
 -6.485817432E-01 8.864061907E-03
 -6.367649436E-01 9.001152590E-03
 -6.251624227E-01 9.141223505E-03
 -6.137703061E-01 9.281294420E-03
 -6.025847793E-01 9.424345568E-03
 -5.916020870E-01 9.567396715E-03
 -5.808184743E-01 9.710447863E-03
 -5.702303052E-01 9.853499010E-03
 -5.598340631E-01 9.999530390E-03
 -5.496262908E-01 1.014854200E-02
 -5.396034718E-01 1.029457338E-02
 -5.297622681E-01 1.044358499E-02
 -5.200993419E-01 1.059259661E-02
 -5.106114745E-01 1.074160822E-02
 -5.012954473E-01 1.089360006E-02
 -4.921481311E-01 1.104559191E-02
 -4.831664860E-01 1.119758375E-02
 -4.743474126E-01 1.134957559E-02
 -4.656880200E-01 1.150454767E-02
 -4.571853280E-01 1.165951975E-02
 -4.488365352E-01 1.181449182E-02
 -4.406387806E-01 1.196946390E-02
 -4.325893521E-01 1.212741621E-02
 -4.246855080E-01 1.228238828E-02
 -4.169245660E-01 1.244034059E-02
 -4.093039930E-01 1.259829290E-02
 -4.018211365E-01 1.275624521E-02
 -3.944735229E-01 1.291717775E-02
 -3.872586787E-01 1.307513006E-02
 -3.801741898E-01 1.323606260E-02
 -3.732176125E-01 1.339699514E-02
 -3.663866818E-01 1.355494745E-02
 -3.596790433E-01 1.371587999E-02
 -3.530924618E-01 1.387681253E-02
 -3.466247022E-01 1.403774507E-02
 -3.402736187E-01 1.419867761E-02
 -3.340370655E-01 1.436259039E-02
 -3.279129267E-01 1.452352293E-02
 -3.218991458E-01 1.468445547E-02
 -3.159936965E-01 1.484836824E-02
 -3.101946115E-01 1.500930078E-02
 -3.044999242E-01 1.517023332E-02
 -2.989077270E-01 1.533414610E-02
 -2.934161127E-01 1.549507864E-02
 -2.880232632E-01 1.565899141E-02
 -2.827273309E-01 1.581992395E-02
 -2.775265872E-01 1.598085649E-02
 -2.724192142E-01 1.614476927E-02
 -2.674035430E-01 1.630570181E-02
 -2.624778748E-01 1.646663435E-02
 -2.576405406E-01 1.662756689E-02
 -2.528899014E-01 1.679147966E-02
 -2.482243925E-01 1.695241220E-02
 -2.436424345E-01 1.711334474E-02
 -2.391424626E-01 1.727427728E-02
 -2.347229719E-01 1.743222959E-02
 -2.303824872E-01 1.759316213E-02
 -2.261195332E-01 1.775409468E-02
 -2.219326943E-01 1.791204698E-02
 -2.178205401E-01 1.807297952E-02
 -2.137816995E-01 1.823093183E-02
 -2.098148018E-01 1.838888414E-02
 -2.059185207E-01 1.854683645E-02
 -2.020915598E-01 1.870478876E-02
 -1.983325928E-01 1.886274107E-02
 -1.946403831E-01 1.901771314E-02
 -1.910136938E-01 1.917566545E-02
 -1.874512732E-01 1.933063753E-02
 -1.839519590E-01 1.948560961E-02
 -1.805145442E-01 1.964058168E-02
 -1.771378815E-01 1.979555376E-02
 -1.738208532E-01 1.995052584E-02
 -1.705623120E-01 2.010251768E-02
 -1.673611701E-01 2.025748976E-02
 -1.642163694E-01 2.040948160E-02
 -1.611268222E-01 2.056147344E-02
 -1.580915153E-01 2.071346529E-02
 -1.551094055E-01 2.086247690E-02
 -1.521795094E-01 2.101446874E-02
 -1.493008286E-01 2.116348036E-02
 -1.464723945E-01 2.131249197E-02
 -1.436932534E-01 2.146150358E-02
 -1.409624815E-01 2.161051519E-02
 -1.382791400E-01 2.175952680E-02
 -1.356423497E-01 2.190555818E-02
 -1.330512166E-01 2.205158956E-02
 -1.305048466E-01 2.219762094E-02
 -1.280024052E-01 2.234365232E-02
 -1.255430430E-01 2.248968370E-02
 -1.231259406E-01 2.263273485E-02
 -1.207502708E-01 2.277876623E-02
 -1.184152439E-01 2.292181738E-02
 -1.161200702E-01 2.306486852E-02
 -1.138639748E-01 2.320493944E-02
 -1.116462052E-01 2.334799059E-02
 -1.094660088E-01 2.348806150E-02
 -1.073226556E-01 2.363111265E-02
 -1.052154228E-01 2.377118357E-02
 -1.031436026E-01 2.391125448E-02
 -1.011064947E-01 2.405132540E-02
 -9.910341352E-02 2.418841608E-02
 -9.713368863E-02 2.432848699E-02
 -9.519665688E-02 2.446557768E-02
 -9.329166263E-02 2.460564859E-02
 -9.141806513E-02 2.474273928E-02
 -8.957523853E-02 2.487982996E-02
 -8.776255697E-02 2.501692064E-02
 -8.597940952E-02 2.515103109E-02
 -8.422520012E-02 2.528812177E-02
 -8.249934018E-02 2.542521246E-02
 -8.080124855E-02 2.555932291E-02
 -7.913035154E-02 2.569343336E-02
 -7.748608291E-02 2.583052404E-02
 -7.586789131E-02 2.596463449E-02
 -7.427524030E-02 2.609874494E-02
 -7.270757854E-02 2.623285539E-02
 -7.116439939E-02 2.636696585E-02
 -6.964515895E-02 2.650405653E-02
 -6.814936548E-02 2.663816698E-02
 -6.667650491E-02 2.677227743E-02
 -6.522608548E-02 2.690638788E-02
 -6.379762292E-02 2.704049833E-02
 -6.239062548E-02 2.717460878E-02
 -6.100463122E-02 2.730871923E-02
 -5.963916704E-02 2.744282968E-02
 -5.829377472E-02 2.757992037E-02
 -5.696799979E-02 2.771403082E-02
 -5.566140264E-02 2.785112150E-02
 -5.437353626E-02 2.798523195E-02
 -5.310396850E-02 2.812232263E-02
 -5.185227469E-02 2.825941332E-02
 -5.061803013E-02 2.839650400E-02
 -4.940082505E-02 2.853657492E-02
 -4.820024595E-02 2.867366560E-02
 -4.701588675E-02 2.881373651E-02
 -4.584735259E-02 2.895380743E-02
 -4.469424859E-02 2.909685858E-02
 -4.355618730E-02 2.923692949E-02
 -4.243278503E-02 2.938296087E-02
 -4.132366180E-02 2.952601202E-02
 -4.022844881E-02 2.967204340E-02
 -3.914677724E-02 2.982105501E-02
 -3.807827830E-02 2.997006662E-02
 -3.702259436E-02 3.011907823E-02
 -3.597937152E-02 3.027405031E-02
 -3.494825587E-02 3.042604215E-02
 -3.392890468E-02 3.058399446E-02
 -3.292097151E-02 3.074492700E-02
 -3.192412108E-02 3.090585954E-02
 -3.093801253E-02 3.106977232E-02
 -2.996231616E-02 3.123666532E-02
 -2.899670415E-02 3.140952066E-02
 -2.804085240E-02 3.158237413E-02
 -2.709443681E-02 3.167178109E-02
 -2.615714073E-02 3.194298223E-02
 -2.522864752E-02 3.213073686E-02
 -2.430864610E-02 3.232445195E-02
 -2.339682542E-02 3.252114728E-02
 -2.249288000E-02 3.272678331E-02
 -2.159650251E-02 3.293539956E-02
 -2.070739679E-02 3.315593675E-02
 -1.982525736E-02 3.338243440E-02
 -1.894979179E-02 3.361787274E-02
 -1.808070391E-02 3.386225179E-02
 -1.721770130E-02 3.412153199E-02
 -1.636049338E-02 3.438975289E-02
 -1.550879143E-02 3.467585519E-02
 -1.466230955E-02 3.497685865E-02
 -1.382076181E-02 3.529872373E-02
 -1.298386604E-02 3.564145043E-02
 -1.215134002E-02 3.601099923E-02
 -1.132290438E-02 3.641035035E-02
 -1.049827877E-02 3.684844449E-02
 -9.677186608E-03 3.732826188E-02
 -8.859351277E-03 3.785874322E-02
 -8.044498041E-03 3.845776990E-02
 -7.232351694E-03 3.913726285E-02
 -6.422639824E-03 3.994490579E-02
 -5.615089089E-03 4.092838243E-02
 -4.809428938E-03 4.209067300E-02
 -4.005386960E-03 4.335131124E-02
 -3.202693071E-03 4.487420991E-02
 -2.401077189E-03 4.811074212E-02
 -1.600269228E-03 5.674745515E-02
 -7.999999798E-04 7.027770579E-02
 2.780639759E-16 6.340827048E-02
 7.999999798E-04 3.468181565E-02
 1.606264967E-03 2.327050455E-02
 2.418837277E-03 2.596165426E-02
 3.237759229E-03 2.645935304E-02
 4.063073546E-03 2.811636217E-02
 4.894822836E-03 2.934719808E-02
 5.733050406E-03 3.024722822E-02
 6.577799562E-03 3.074492700E-02
 7.429112680E-03 3.098930605E-02
 8.287033997E-03 3.107573278E-02
 9.151606821E-03 3.108467348E-02
 1.002287492E-02 3.106083162E-02
 1.090088207E-02 3.102506883E-02
 1.178567298E-02 3.099228628E-02
 1.267729141E-02 3.096546419E-02
 1.357578207E-02 3.094758280E-02
 1.448118873E-02 3.093268164E-02
 1.539355703E-02 3.092076071E-02
 1.631293073E-02 3.091182001E-02
 1.723935641E-02 3.090585954E-02
 1.817287691E-02 3.089989908E-02
 1.911354065E-02 3.089691885E-02
 2.006139047E-02 3.089691885E-02
 2.101647109E-02 3.090287931E-02
 2.197883092E-02 3.091182001E-02
 2.294851467E-02 3.092076071E-02
 2.392556891E-02 3.093566187E-02
 2.491003834E-02 3.095652349E-02
 2.590196952E-02 3.097738512E-02
 2.690140903E-02 3.100122698E-02
 2.790840343E-02 3.102804907E-02
 2.892299928E-02 3.106083162E-02
 2.994524129E-02 3.109361418E-02
 3.097517975E-02 3.112937696E-02
 3.201285750E-02 3.116811998E-02
 3.305832669E-02 3.120686300E-02
 3.411163017E-02 3.125156835E-02
 3.517281637E-02 3.129627183E-02
 3.624192998E-02 3.134395555E-02
 3.731902316E-02 3.139461949E-02
 3.840414062E-02 3.144528344E-02
 3.949733078E-02 3.149892762E-02
 4.059864208E-02 3.155555204E-02
 4.170811921E-02 3.161217645E-02
 4.282581061E-02 3.167178109E-02
 4.395176470E-02 3.173436597E-02
 4.508602992E-02 3.179993108E-02
 4.622865468E-02 3.186549619E-02
 4.737968370E-02 3.193404153E-02
 4.853916913E-02 3.200258687E-02
 4.970715567E-02 3.207411245E-02
 5.088369548E-02 3.214861825E-02
 5.206883326E-02 3.222312406E-02
 5.326262116E-02 3.230061010E-02
 5.446510017E-02 3.238107637E-02
 5.567632616E-02 3.246154264E-02
 5.689634383E-02 3.254498914E-02
 5.812519789E-02 3.263141587E-02
 5.936294422E-02 3.271784261E-02
 6.060962752E-02 3.280724958E-02
 6.186529621E-02 3.289963678E-02
 6.312999874E-02 3.299202397E-02
 6.440377980E-02 3.308739141E-02
 6.568669528E-02 3.318573907E-02
 6.697878242E-02 3.328408673E-02
 6.828010082E-02 3.338541463E-02
 6.959069520E-02 3.348972276E-02
 7.091061771E-02 3.359403089E-02
 7.223990560E-02 3.370131925E-02
 7.357861102E-02 3.381158784E-02
 7.492678612E-02 3.392483667E-02
 7.628447562E-02 3.403808549E-02
 7.765173167E-02 3.415431455E-02
 7.902859896E-02 3.427352384E-02
 8.041512221E-02 3.439571336E-02
 8.181135356E-02 3.451790288E-02
 8.321733773E-02 3.464605287E-02
 8.463312685E-02 3.477420285E-02
 8.605875820E-02 3.490235284E-02
 8.749429882E-02 3.503646329E-02
 8.893977106E-02 3.517355397E-02
 9.039524198E-02 3.531064466E-02
 9.186074883E-02 3.545071557E-02
 9.333634377E-02 3.559376672E-02
 9.482206404E-02 3.573979810E-02
 9.631796926E-02 3.588880971E-02
 9.782408923E-02 3.604080155E-02
 9.934049100E-02 3.619279340E-02
 1.008672044E-01 3.635074571E-02
 1.024042815E-01 3.651167825E-02
 1.039517671E-01 3.667261079E-02
 1.055097058E-01 3.683950379E-02
 1.070781425E-01 3.700639680E-02
 1.086571217E-01 3.717925027E-02
 1.102466956E-01 3.735508397E-02
 1.118469015E-01 3.753091767E-02
 1.134577915E-01 3.771271184E-02
 1.150793955E-01 3.789748624E-02
 1.167117655E-01 3.808524087E-02
 1.183549538E-01 3.827895597E-02
 1.200089902E-01 3.847267106E-02
 1.216739267E-01 3.867234662E-02
 1.233498007E-01 3.887202218E-02
 1.250366569E-01 3.907765821E-02
 1.267345399E-01 3.928925470E-02
 1.284434944E-01 3.950085118E-02
 1.301635504E-01 3.971840814E-02
 1.318947524E-01 3.994192556E-02
 1.336371601E-01 4.016544297E-02
 1.353907883E-01 4.039492086E-02
 1.371556818E-01 4.063035920E-02
 1.389319003E-01 4.086877778E-02
 1.407194734E-01 4.111315683E-02
 1.425184160E-01 4.136051610E-02
 1.443288028E-01 4.161085561E-02
 1.461506635E-01 4.186715558E-02
 1.479840279E-01 4.212941602E-02
 1.498289257E-01 4.239763692E-02
 1.516854167E-01 4.266883805E-02
 1.535535157E-01 4.294599965E-02
 1.554332823E-01 4.322912171E-02
 1.573247313E-01 4.351522401E-02
 1.592279077E-01 4.381026700E-02
 1.611428410E-01 4.410829023E-02
 1.630695611E-01 4.441525415E-02
 1.650081277E-01 4.472519830E-02
 1.669585407E-01 4.504110292E-02
 1.689208597E-01 4.536594823E-02
 1.708951145E-01 4.569675401E-02
 1.728813201E-01 4.603352025E-02
 1.748795062E-01 4.637624696E-02
 1.768897325E-01 4.672791436E-02
 1.789119989E-01 4.708554223E-02
 1.809463501E-01 4.744913056E-02
 1.829928160E-01 4.782165959E-02
 1.850514114E-01 4.820312932E-02
 1.871221811E-01 4.859055951E-02
 1.892051548E-01 4.898693040E-02
 1.913003325E-01 4.939224198E-02
 1.934077740E-01 4.980649427E-02
 1.955274791E-01 5.022968724E-02
 1.976594776E-01 5.066182092E-02
 1.998037994E-01 5.110587552E-02
 2.019604743E-01 5.178834870E-02
 2.041295022E-01 5.201782659E-02
 2.063109279E-01 5.248572305E-02
 2.085047662E-01 5.296554044E-02
