variables="N","h^2=1/N","h=sqrt(1/N)","C_f"
# Convergence of Cf at x=0.75 drag with grid size
zone, t="CFL3D k-kL-MEAH2015, x=0.75"
901120.  1.10973e-6  1.05344e-3  0.51269387E-02
225280.  4.43892e-6  2.10687e-3  0.512960413E-02
 56320.  1.77557e-5  4.21375e-3  0.513156597E-02
 14080.  7.10227e-5  8.42750e-3  0.510256318E-02
  3520.  2.84091e-4  1.68550e-2  0.485160481E-02
zone, t="FUN3D k-kL-MEAH2015, x=0.75"
901120.  1.10973e-6  1.05344e-3  5.129968282E-03
225280.  4.43892e-6  2.10687e-3  5.129948724E-03
 56320.  1.77557e-5  4.21375e-3  5.123697687E-03
 14080.  7.10227e-5  8.42750e-3  5.080638453E-03
  3520.  2.84091e-4  1.68550e-2  4.931727424E-03
# Convergence of Cf at x=0.6321975 drag with grid size
zone, t="CFL3D k-kL-MEAH2015, x=0.6321975"
901120.  1.10973e-6  1.05344e-3  0.431758771E-02
225280.  4.43892e-6  2.10687e-3  0.431326544E-02
 56320.  1.77557e-5  4.21375e-3  0.430866098E-02
 14080.  7.10227e-5  8.42750e-3  0.430580555E-02
  3520.  2.84091e-4  1.68550e-2  0.436444767E-02
zone, t="FUN3D k-kL-MEAH2015, x=0.6321975"
901120.  1.10973e-6  1.05344e-3  4.317451268E-03
225280.  4.43892e-6  2.10687e-3  4.313951824E-03
 56320.  1.77557e-5  4.21375e-3  4.322567023E-03
 14080.  7.10227e-5  8.42750e-3  4.349745810E-03
  3520.  2.84091e-4  1.68550e-2  4.288695753E-03
# Convergence of Cf at x=0.8678025 drag with grid size
zone, t="CFL3D k-kL-MEAH2015, x=0.8678025"
901120.  1.10973e-6  1.05344e-3  0.290031708E-02
225280.  4.43892e-6  2.10687e-3  0.292040315E-02
 56320.  1.77557e-5  4.21375e-3  0.295488955E-02
 14080.  7.10227e-5  8.42750e-3  0.300468528E-02
  3520.  2.84091e-4  1.68550e-2  0.302712480E-02
zone, t="FUN3D k-kL-MEAH2015, x=0.8678025"
901120.  1.10973e-6  1.05344e-3  2.904923633E-03
225280.  4.43892e-6  2.10687e-3  2.929116832E-03
 56320.  1.77557e-5  4.21375e-3  2.979454817E-03
 14080.  7.10227e-5  8.42750e-3  3.093850333E-03
  3520.  2.84091e-4  1.68550e-2  3.355332185E-03
