VARIABLES = "x","cp"
ZONE T="CFL3D"
 -2.500000000E+01 1.222746680E-03
 -2.454554749E+01 1.222746680E-03
 -2.409935760E+01 1.222746680E-03
 -2.366127586E+01 1.222746680E-03
 -2.323115921E+01 1.222746680E-03
 -2.280886269E+01 1.222746680E-03
 -2.239424133E+01 1.222746680E-03
 -2.198715591E+01 1.222746680E-03
 -2.158747101E+01 1.222746680E-03
 -2.119505310E+01 1.222746680E-03
 -2.080976677E+01 1.222746680E-03
 -2.043148422E+01 1.222746680E-03
 -2.006007957E+01 1.222746680E-03
 -1.969542503E+01 1.222746680E-03
 -1.933740044E+01 1.222746680E-03
 -1.898588371E+01 1.222746680E-03
 -1.864075470E+01 1.222746680E-03
 -1.830190277E+01 1.222746680E-03
 -1.796920776E+01 1.222746680E-03
 -1.764256096E+01 1.222746680E-03
 -1.732185364E+01 1.222746680E-03
 -1.700697517E+01 1.222746680E-03
 -1.669782066E+01 1.222746680E-03
 -1.639428520E+01 1.222746680E-03
 -1.609626770E+01 1.222746680E-03
 -1.580366802E+01 1.222746680E-03
 -1.551638699E+01 1.222746680E-03
 -1.523432827E+01 1.222746680E-03
 -1.495739651E+01 1.222746680E-03
 -1.468549919E+01 1.222746680E-03
 -1.441854382E+01 1.222746680E-03
 -1.415644169E+01 1.222746680E-03
 -1.389910412E+01 1.222746680E-03
 -1.364644432E+01 1.222746680E-03
 -1.339837646E+01 1.222746680E-03
 -1.315481949E+01 1.225726912E-03
 -1.291568851E+01 1.225726912E-03
 -1.268090534E+01 1.225726912E-03
 -1.245038986E+01 1.225726912E-03
 -1.222406483E+01 1.225726912E-03
 -1.200185299E+01 1.225726912E-03
 -1.178368187E+01 1.225726912E-03
 -1.156947613E+01 1.225726912E-03
 -1.135916328E+01 1.225726912E-03
 -1.115267467E+01 1.225726912E-03
 -1.094993877E+01 1.225726912E-03
 -1.075088882E+01 1.228707144E-03
 -1.055545712E+01 1.228707144E-03
 -1.036357784E+01 1.228707144E-03
 -1.017518616E+01 1.228707144E-03
 -9.990220070E+00 1.231687376E-03
 -9.808614731E+00 1.231687376E-03
 -9.630311966E+00 1.231687376E-03
 -9.455249786E+00 1.234667609E-03
 -9.283370018E+00 1.234667609E-03
 -9.114614487E+00 1.234667609E-03
 -8.948925972E+00 1.237647841E-03
 -8.786250114E+00 1.237647841E-03
 -8.626531601E+00 1.240628073E-03
 -8.469716072E+00 1.240628073E-03
 -8.315751076E+00 1.243608305E-03
 -8.164585114E+00 1.246588537E-03
 -8.016166687E+00 1.249568770E-03
 -7.870445728E+00 1.249568770E-03
 -7.727374077E+00 1.252549002E-03
 -7.586903095E+00 1.255529234E-03
 -7.448986053E+00 1.258509466E-03
 -7.313575268E+00 1.261489699E-03
 -7.180626392E+00 1.267450163E-03
 -7.050094128E+00 1.270430395E-03
 -6.921934605E+00 1.273410628E-03
 -6.796104908E+00 1.279371092E-03
 -6.672562599E+00 1.282351324E-03
 -6.551265717E+00 1.288311789E-03
 -6.432173729E+00 1.294272253E-03
 -6.315246582E+00 1.297252486E-03
 -6.200444698E+00 1.303212950E-03
 -6.087729931E+00 1.309173414E-03
 -5.977064133E+00 1.318114111E-03
 -5.868409634E+00 1.324074576E-03
 -5.761730671E+00 1.330035040E-03
 -5.656990528E+00 1.338975737E-03
 -5.554154396E+00 1.347916434E-03
 -5.453187466E+00 1.356857130E-03
 -5.354055882E+00 1.365797827E-03
 -5.256726265E+00 1.374738524E-03
 -5.161166191E+00 1.383679220E-03
 -5.067342758E+00 1.395600149E-03
 -4.975224972E+00 1.404540846E-03
 -4.884781361E+00 1.416461775E-03
 -4.795981884E+00 1.428382704E-03
 -4.708796501E+00 1.440303633E-03
 -4.623196125E+00 1.455204794E-03
 -4.539151669E+00 1.467125723E-03
 -4.456634998E+00 1.482026884E-03
 -4.375617981E+00 1.496928046E-03
 -4.296073914E+00 1.511829207E-03
 -4.217975616E+00 1.529710600E-03
 -4.141296864E+00 1.544611761E-03
 -4.066011906E+00 1.562493155E-03
 -3.992095470E+00 1.580374548E-03
