# mean flow u results for k-kL-MEAH2015 model at x=0.75 
VARIABLES = "u" "y-0.05"
ZONE T="CFL3D"
 0.000000000E+00 0.000000000E+00
 3.789195092E-03 4.962086564E-07
 7.579445839E-03 9.916723229E-07
 1.137183979E-02 1.487135933E-06
 1.516742725E-02 1.982599542E-06
 1.896726154E-02 2.478063152E-06
 2.277238481E-02 2.977252052E-06
 2.658384293E-02 3.476440952E-06
 3.040267341E-02 3.975629625E-06
 3.422991186E-02 4.478543815E-06
 3.806657717E-02 4.981458005E-06
 4.191369563E-02 5.488097486E-06
 4.577227309E-02 5.998462257E-06
 4.964332283E-02 6.508827028E-06
 5.352782458E-02 7.022917089E-06
 5.742676184E-02 7.537007150E-06
 6.134111434E-02 8.058547792E-06
 6.527183205E-02 8.580088434E-06
 6.921985745E-02 9.105354366E-06
 7.318612188E-02 9.638070878E-06
 7.717154920E-02 1.017078739E-05
 8.117704093E-02 1.070722919E-05
 8.520345390E-02 1.125112158E-05
 8.925168216E-02 1.179873925E-05
 9.332254529E-02 1.235008222E-05
 9.741689265E-02 1.290515047E-05
 1.015355140E-01 1.346766931E-05
 1.056791991E-01 1.403391343E-05
 1.098487079E-01 1.460760814E-05
 1.140447780E-01 1.518502813E-05
 1.182681024E-01 1.576989962E-05
 1.225193962E-01 1.636222078E-05
 1.267993003E-01 1.696199251E-05
 1.311084479E-01 1.756548954E-05
 1.354474425E-01 1.818016244E-05
 1.398168653E-01 1.879856063E-05
 1.442172527E-01 1.942440940E-05
 1.486490965E-01 2.006143404E-05
 1.531129181E-01 2.070590926E-05
 1.576091200E-01 2.135783507E-05
 1.621381193E-01 2.201721145E-05
 1.667003185E-01 2.268776370E-05
 1.712960303E-01 2.336576654E-05
 1.759256124E-01 2.405494524E-05
 1.805892438E-01 2.475157453E-05
 1.852871776E-01 2.545937969E-05
 1.900196224E-01 2.617836071E-05
 1.947867274E-01 2.690851761E-05
 1.995886117E-01 2.764612509E-05
 2.044252902E-01 2.839863373E-05
 2.092968076E-01 2.916231824E-05
 2.142031640E-01 2.993717862E-05
 2.191442847E-01 3.072321488E-05
 2.241200805E-01 3.152042700E-05
 2.291303724E-01 3.233254029E-05
 2.341749966E-01 3.315955473E-05
 2.392536700E-01 3.399774505E-05
 2.443661690E-01 3.485083653E-05
 2.495121211E-01 3.571882917E-05
 2.546911836E-01 3.659799768E-05
 2.599029243E-01 3.749579264E-05
 2.651468813E-01 3.840848876E-05
 2.704225779E-01 3.933236076E-05
 2.757293582E-01 4.027858449E-05
 2.810667753E-01 4.123598410E-05
 2.864340544E-01 4.221201016E-05
 2.918305993E-01 4.320666267E-05
 2.972556055E-01 4.421621634E-05
 3.027083576E-01 4.524812175E-05
 3.081879914E-01 4.629492832E-05
 3.136936426E-01 4.736036135E-05
 3.192244768E-01 4.844442083E-05
 3.247794807E-01 4.955083205E-05
 3.303577304E-01 5.067586972E-05
 3.359580636E-01 5.182325913E-05
 3.415795863E-01 5.298927499E-05
 3.472211659E-01 5.417764260E-05
 3.528815508E-01 5.538836194E-05
 3.585596383E-01 5.662143303E-05
 3.642543554E-01 5.787685586E-05
 3.699642122E-01 5.915835573E-05
 3.756881952E-01 6.046220733E-05
 3.814248443E-01 6.178840704E-05
 3.871729374E-01 6.314441271E-05
 3.929310739E-01 6.452277012E-05
 3.986978233E-01 6.592720456E-05
 4.044718742E-01 6.736144132E-05
 4.102515578E-01 6.882175512E-05
 4.160354733E-01 7.030814595E-05
 4.218220115E-01 7.182433910E-05
 4.276095629E-01 7.337033458E-05
 4.333964586E-01 7.494613237E-05
 4.391811490E-01 7.655173249E-05
 4.449617863E-01 7.818713493E-05
 4.507368207E-01 7.985606499E-05
 4.565043449E-01 8.155852265E-05
 4.622626901E-01 8.329078264E-05
 4.680101275E-01 8.506029553E-05
 4.737448692E-01 8.686333604E-05
 4.794651270E-01 8.869990415E-05
 4.851691425E-01 9.057745046E-05
 4.908551574E-01 9.248852439E-05
 4.965215325E-01 9.443685121E-05
 5.021664500E-01 9.642243094E-05
 5.077883005E-01 9.844898887E-05
 5.133854151E-01 1.005165250E-04
 5.189562440E-01 1.026250393E-04
 5.244991779E-01 1.047708065E-04
 5.300127864E-01 1.069650025E-04
 5.354956985E-01 1.092001767E-04
 5.409464836E-01 1.114800543E-04
 5.463638902E-01 1.138046355E-04
 5.517467856E-01 1.161739201E-04
 5.570940375E-01 1.185953588E-04
 5.624046922E-01 1.210615010E-04
 5.676777959E-01 1.235760719E-04
 5.729125738E-01 1.261427969E-04
 5.781084299E-01 1.287616760E-04
 5.832647085E-01 1.314289839E-04
 5.883809328E-01 1.341558964E-04
 5.934567451E-01 1.369312376E-04
 5.984920859E-01 1.397661836E-04
 6.034865975E-01 1.426570088E-04
 6.084404588E-01 1.456037135E-04
 6.133536100E-01 1.486137480E-04
 6.182263494E-01 1.516796619E-04
 6.230589747E-01 1.548126311E-04
 6.278517842E-01 1.580052049E-04
 6.326054335E-01 1.612611086E-04
 6.373202801E-01 1.645840675E-04
 6.419971585E-01 1.679740817E-04
 6.466367245E-01 1.714311511E-04
 6.512396336E-01 1.749590010E-04
 6.558067799E-01 1.785576314E-04
 6.603392959E-01 1.822307677E-04
 6.648379564E-01 1.859746844E-04
 6.693035960E-01 1.897968323E-04
 6.737374067E-01 1.936972112E-04
 6.781402826E-01 1.976720960E-04
 6.825135946E-01 2.017326624E-04
 6.868579388E-01 2.058714599E-04
 6.911747456E-01 2.100959391E-04
 6.954649687E-01 2.144023747E-04
 6.997298598E-01 2.188019425E-04
 7.039704323E-01 2.232871921E-04
 7.081877589E-01 2.278618485E-04
 7.123828530E-01 2.325296373E-04
 7.165569663E-01 2.372942836E-04
 7.207110524E-01 2.421557874E-04
 7.248462439E-01 2.471141634E-04
 7.289635539E-01 2.521731076E-04
 7.330640554E-01 2.573326346E-04
 7.371485829E-01 2.626001951E-04
 7.412183285E-01 2.679720637E-04
 7.452743053E-01 2.734556911E-04
 7.493172884E-01 2.790473518E-04
 7.533481717E-01 2.847544965E-04
 7.573680878E-01 2.905771253E-04
 7.613777518E-01 2.965189633E-04
 7.653781176E-01 3.025800106E-04
 7.693699598E-01 3.087639925E-04
 7.733542919E-01 3.150746343E-04
 7.773316503E-01 3.215119359E-04
 7.813031077E-01 3.280796227E-04
 7.852693796E-01 3.347814200E-04
 7.892309427E-01 3.416210529E-04
 7.931888103E-01 3.485985217E-04
 7.971435189E-01 3.557175514E-04
 8.010959625E-01 3.629818675E-04
 8.050464988E-01 3.703951952E-04
 8.089962006E-01 3.779575345E-04
 8.129452467E-01 3.856726107E-04
 8.168944716E-01 3.935478744E-04
 8.208444715E-01 4.015796003E-04
 8.247958422E-01 4.097752389E-04
 8.287490606E-01 4.181385157E-04
 8.327046633E-01 4.266731557E-04
 8.366632462E-01 4.353791592E-04
 8.406252265E-01 4.442639765E-04
 8.445912004E-01 4.533276078E-04
 8.485614657E-01 4.625775036E-04
 8.525366187E-01 4.720136640E-04
 8.565170169E-01 4.816435394E-04
 8.605030179E-01 4.914671299E-04
 8.644950390E-01 5.014918861E-04
 8.684935570E-01 5.117215333E-04
 8.724988699E-01 5.221597967E-04
 8.765112758E-01 5.328104016E-04
 8.805310726E-01 5.436733481E-04
 8.845585585E-01 5.547635374E-04
 8.885940313E-01 5.660772440E-04
 8.926376700E-01 5.776181933E-04
 8.966898918E-01 5.893975613E-04
 9.007506967E-01 6.014153478E-04
 9.048204422E-01 6.136790034E-04
 9.088990688E-01 6.261922535E-04
 9.129868746E-01 6.389588234E-04
 9.170839190E-01 6.519861636E-04
 9.211903214E-01 6.652779994E-04
 9.253060818E-01 6.788380560E-04
 9.294312000E-01 6.926775095E-04
 9.335657954E-01 7.068000850E-04
 9.377096891E-01 7.212057826E-04
 9.418628216E-01 7.359095034E-04
 9.460251927E-01 7.509112475E-04
 9.501966238E-01 7.662147400E-04
 9.543768167E-01 7.818348822E-04
 9.585655928E-01 7.977716741E-04
 9.627627730E-01 8.140288410E-04
 9.669679403E-01 8.306212840E-04
 9.711807370E-01 8.475527284E-04
 9.754008055E-01 8.648268995E-04
 9.796276689E-01 8.824512479E-04
 9.838606119E-01 9.004369495E-04
 9.880993366E-01 9.187877295E-04
 9.923429489E-01 9.375147638E-04
 9.965909123E-01 9.566217777E-04
 1.000842333E+00 9.761162219E-04
 1.005096078E+00 9.960092138E-04
 1.009351730E+00 1.016304595E-03
 1.013607740E+00 1.037017209E-03
 1.017863154E+00 1.058150781E-03
 1.022116661E+00 1.079712762E-03
 1.026367188E+00 1.101718051E-03
 1.030612946E+00 1.124166651E-03
 1.034852386E+00 1.147073461E-03
 1.039083958E+00 1.170449657E-03
 1.043305874E+00 1.194298966E-03
 1.047515869E+00 1.218636287E-03
 1.051712036E+00 1.243469073E-03
 1.055891991E+00 1.268808497E-03
 1.060053587E+00 1.294662012E-03
 1.064193726E+00 1.321040792E-03
 1.068310142E+00 1.347959740E-03
 1.072399735E+00 1.375426305E-03
 1.076459408E+00 1.403451664E-03
 1.080485821E+00 1.432050718E-03
 1.084475636E+00 1.461227192E-03
 1.088425398E+00 1.491003437E-03
 1.092331409E+00 1.521383179E-03
 1.096189857E+00 1.552381320E-03
 1.099996805E+00 1.584012760E-03
 1.103748560E+00 1.616288675E-03
 1.107440948E+00 1.649220241E-03
 1.111070275E+00 1.682822360E-03
 1.114632845E+00 1.717109932E-03
 1.118124843E+00 1.752097858E-03
 1.121543050E+00 1.787797315E-03
 1.124884725E+00 1.824223204E-03
 1.128146768E+00 1.861390425E-03
 1.131327391E+00 1.899313880E-03
 1.134424686E+00 1.938012196E-03
 1.137437582E+00 1.977500273E-03
 1.140365720E+00 2.017789287E-03
 1.143209219E+00 2.058901591E-03
 1.145968556E+00 2.100852085E-03
 1.148645401E+00 2.143655671E-03
 1.151241302E+00 2.187330974E-03
 1.153759003E+00 2.231892897E-03
 1.156201243E+00 2.277367515E-03
 1.158571124E+00 2.323766006E-03
 1.160872221E+00 2.371110721E-03
 1.163108349E+00 2.419420285E-03
 1.165283203E+00 2.468713326E-03
 1.167400956E+00 2.519012196E-03
 1.169465423E+00 2.570335520E-03
 1.171480656E+00 2.622701926E-03
 1.173450470E+00 2.676137490E-03
 1.175378680E+00 2.730660839E-03
 1.177268982E+00 2.786294324E-03
 1.179124713E+00 2.843060298E-03
 1.180949092E+00 2.900984837E-03
 1.182745576E+00 2.960086567E-03
 1.184516907E+00 3.020395292E-03
 1.186265945E+00 3.081933362E-03
 1.187995195E+00 3.144723130E-03
 1.189707398E+00 3.208790673E-03
 1.191404581E+00 3.274165792E-03
 1.193089008E+00 3.340874566E-03
 1.194762707E+00 3.408939345E-03
 1.196427226E+00 3.478389932E-03
 1.198084235E+00 3.549256129E-03
 1.199735284E+00 3.621567739E-03
 1.201381445E+00 3.695350839E-03
 1.203023672E+00 3.770638956E-03
 1.204663277E+00 3.847458167E-03
 1.206300855E+00 3.925845958E-03
 1.207937241E+00 4.005827941E-03
 1.209573269E+00 4.087441601E-03
