variables="x","cp"
zone, t="CFL3D"
 2.780600055E-16 6.281200051E-02
 7.999999798E-04 3.414800018E-02
 1.606300008E-03 2.297499962E-02
 2.418800024E-03 2.553500049E-02
 3.237799974E-03 2.536899969E-02
 4.063100088E-03 2.614600025E-02
 4.894800019E-03 2.663799934E-02
 5.733100232E-03 2.711799927E-02
 6.577800028E-03 2.750200033E-02
 7.429100107E-03 2.784200013E-02
 8.286999539E-03 2.813700028E-02
 9.151600301E-03 2.840499952E-02
 1.002299972E-02 2.864699997E-02
 1.090100035E-02 2.886399999E-02
 1.178599987E-02 2.906399965E-02
 1.267699990E-02 2.924600057E-02
 1.357600000E-02 2.941299975E-02
 1.448099967E-02 2.956200019E-02
 1.539400034E-02 2.970200032E-02
 1.631299965E-02 2.982999943E-02
 1.723900065E-02 2.994599938E-02
 1.817299984E-02 3.005599976E-02
 1.911400072E-02 3.015800007E-02
 2.006099932E-02 3.025300056E-02
 2.101599984E-02 3.034600057E-02
 2.197900042E-02 3.042900003E-02
 2.294900082E-02 3.051199950E-02
 2.392599918E-02 3.058999963E-02
 2.490999922E-02 3.066699952E-02
 2.590199932E-02 3.073900007E-02
 2.690099925E-02 3.081000037E-02
 2.790799923E-02 3.088200092E-02
 2.892299928E-02 3.095100075E-02
 2.994499914E-02 3.101900034E-02
 3.097499907E-02 3.108800016E-02
 3.201299906E-02 3.115300089E-02
 3.305799887E-02 3.121900000E-02
 3.411199898E-02 3.128699958E-02
 3.517299891E-02 3.135300055E-02
 3.624200076E-02 3.142099828E-02
 3.731900081E-02 3.149000183E-02
 3.840399906E-02 3.155599907E-02
 3.949699923E-02 3.162400052E-02
 4.059899971E-02 3.169599921E-02
 4.170800000E-02 3.176400065E-02
 4.282600060E-02 3.183599934E-02
 4.395199940E-02 3.190699965E-02
 4.508600011E-02 3.197899833E-02
 4.622900113E-02 3.205300122E-02
 4.738000035E-02 3.212799877E-02
 4.853900149E-02 3.220500052E-02
 4.970699921E-02 3.228300065E-02
 5.088400096E-02 3.236300126E-02
 5.206900090E-02 3.244100139E-02
 5.326300114E-02 3.252400085E-02
