VARIABLES = "X","Y","mu_t"
ZONE T="CFL3D, SA-QCR2000, x=0.75"
 7.500000000E-01 5.000000075E-02 3.100852482E-04
 7.500000000E-01 5.000049621E-02 3.879276628E-04
 7.500000000E-01 5.000099167E-02 4.795590357E-04
 7.500000000E-01 5.000148714E-02 5.860087695E-04
 7.500000000E-01 5.000198260E-02 7.092094165E-04
 7.500000000E-01 5.000247806E-02 8.508391329E-04
 7.500000000E-01 5.000297725E-02 1.013923669E-03
 7.500000000E-01 5.000347644E-02 1.198324258E-03
 7.500000000E-01 5.000397563E-02 1.411411795E-03
 7.500000000E-01 5.000447854E-02 1.650877646E-03
 7.500000000E-01 5.000498146E-02 1.920835231E-03
 7.500000000E-01 5.000548810E-02 2.224403899E-03
 7.500000000E-01 5.000599846E-02 2.563629998E-03
 7.500000000E-01 5.000650883E-02 2.939572791E-03
 7.500000000E-01 5.000702292E-02 3.358526388E-03
 7.500000000E-01 5.000753701E-02 3.818706376E-03
 7.500000000E-01 5.000805855E-02 4.331700969E-03
 7.500000000E-01 5.000858009E-02 4.904228263E-03
 7.500000000E-01 5.000910535E-02 5.531267729E-03
 7.500000000E-01 5.000963807E-02 6.226742174E-03
 7.500000000E-01 5.001017079E-02 6.985403597E-03
 7.500000000E-01 5.001070723E-02 7.813361473E-03
 7.500000000E-01 5.001125112E-02 8.721066639E-03
 7.500000000E-01 5.001179874E-02 9.715463035E-03
 7.500000000E-01 5.001235008E-02 1.080773398E-02
 7.500000000E-01 5.001290515E-02 1.199841313E-02
 7.500000000E-01 5.001346767E-02 1.329579670E-02
 7.500000000E-01 5.001403391E-02 1.470074803E-02
 7.500000000E-01 5.001460761E-02 1.623320021E-02
 7.500000000E-01 5.001518503E-02 1.789071783E-02
 7.500000000E-01 5.001576990E-02 1.969593018E-02
 7.500000000E-01 5.001636222E-02 2.167086676E-02
 7.500000000E-01 5.001696199E-02 2.380852588E-02
 7.500000000E-01 5.001756549E-02 2.611211687E-02
 7.500000000E-01 5.001818016E-02 2.862160653E-02
 7.500000000E-01 5.001879856E-02 3.131349757E-02
 7.500000000E-01 5.001942441E-02 3.421675041E-02
 7.500000000E-01 5.002006143E-02 3.741041943E-02
 7.500000000E-01 5.002070591E-02 4.083964229E-02
 7.500000000E-01 5.002135783E-02 4.453974962E-02
 7.500000000E-01 5.002201721E-02 4.852027819E-02
 7.500000000E-01 5.002268776E-02 5.280768499E-02
 7.500000000E-01 5.002336577E-02 5.739738792E-02
 7.500000000E-01 5.002405494E-02 6.243022904E-02
 7.500000000E-01 5.002475157E-02 6.781277061E-02
 7.500000000E-01 5.002545938E-02 7.361229509E-02
 7.500000000E-01 5.002617836E-02 7.985259593E-02
 7.500000000E-01 5.002690852E-02 8.656216413E-02
 7.500000000E-01 5.002764612E-02 9.374365956E-02
 7.500000000E-01 5.002839863E-02 1.014946923E-01
 7.500000000E-01 5.002916232E-02 1.099011898E-01
 7.500000000E-01 5.002993718E-02 1.188905314E-01
 7.500000000E-01 5.003072321E-02 1.285119504E-01
 7.500000000E-01 5.003152043E-02 1.387972087E-01
 7.500000000E-01 5.003233254E-02 1.498361379E-01
 7.500000000E-01 5.003315955E-02 1.617337167E-01
 7.500000000E-01 5.003399774E-02 1.744760424E-01
 7.500000000E-01 5.003485084E-02 1.881875545E-01
 7.500000000E-01 5.003571883E-02 2.028650045E-01
 7.500000000E-01 5.003659800E-02 2.185209990E-01
 7.500000000E-01 5.003749579E-02 2.353295684E-01
 7.500000000E-01 5.003840849E-02 2.532395720E-01
 7.500000000E-01 5.003933236E-02 2.722731829E-01
 7.500000000E-01 5.004027858E-02 2.929063439E-01
