VARIABLES = "X","Y","mu_t"
ZONE T="CFL3D, SA-QCR2013, x=0.75"
 7.500000000E-01 5.000000075E-02 3.100827453E-04
 7.500000000E-01 5.000049621E-02 3.879248106E-04
 7.500000000E-01 5.000099167E-02 4.795559216E-04
 7.500000000E-01 5.000148714E-02 5.860055098E-04
 7.500000000E-01 5.000198260E-02 7.092061569E-04
 7.500000000E-01 5.000247806E-02 8.508359897E-04
 7.500000000E-01 5.000297725E-02 1.013920759E-03
 7.500000000E-01 5.000347644E-02 1.198321930E-03
 7.500000000E-01 5.000397563E-02 1.411410631E-03
 7.500000000E-01 5.000447854E-02 1.650877879E-03
 7.500000000E-01 5.000498146E-02 1.920837560E-03
 7.500000000E-01 5.000548810E-02 2.224408789E-03
 7.500000000E-01 5.000599846E-02 2.563638380E-03
 7.500000000E-01 5.000650883E-02 2.939585131E-03
 7.500000000E-01 5.000702292E-02 3.358544083E-03
 7.500000000E-01 5.000753701E-02 3.818729892E-03
 7.500000000E-01 5.000805855E-02 4.331732169E-03
 7.500000000E-01 5.000858009E-02 4.904268775E-03
 7.500000000E-01 5.000910535E-02 5.531318486E-03
 7.500000000E-01 5.000963807E-02 6.226805504E-03
 7.500000000E-01 5.001017079E-02 6.985481363E-03
 7.500000000E-01 5.001070723E-02 7.813454606E-03
 7.500000000E-01 5.001125112E-02 8.721179329E-03
 7.500000000E-01 5.001179874E-02 9.715596214E-03
 7.500000000E-01 5.001235008E-02 1.080789138E-02
 7.500000000E-01 5.001290515E-02 1.199859660E-02
 7.500000000E-01 5.001346767E-02 1.329600997E-02
 7.500000000E-01 5.001403391E-02 1.470099296E-02
 7.500000000E-01 5.001460761E-02 1.623347960E-02
 7.500000000E-01 5.001518503E-02 1.789103262E-02
 7.500000000E-01 5.001576990E-02 1.969628595E-02
 7.500000000E-01 5.001636222E-02 2.167126350E-02
 7.500000000E-01 5.001696199E-02 2.380896732E-02
 7.500000000E-01 5.001756549E-02 2.611260116E-02
 7.500000000E-01 5.001818016E-02 2.862213552E-02
 7.500000000E-01 5.001879856E-02 3.131406754E-02
 7.500000000E-01 5.001942441E-02 3.421736509E-02
 7.500000000E-01 5.002006143E-02 3.741106763E-02
 7.500000000E-01 5.002070591E-02 4.084031656E-02
 7.500000000E-01 5.002135783E-02 4.454044625E-02
 7.500000000E-01 5.002201721E-02 4.852097854E-02
 7.500000000E-01 5.002268776E-02 5.280837417E-02
 7.500000000E-01 5.002336577E-02 5.739804357E-02
 7.500000000E-01 5.002405494E-02 6.243081763E-02
 7.500000000E-01 5.002475157E-02 6.781326234E-02
 7.500000000E-01 5.002545938E-02 7.361263782E-02
 7.500000000E-01 5.002617836E-02 7.985273749E-02
 7.500000000E-01 5.002690852E-02 8.656205237E-02
 7.500000000E-01 5.002764612E-02 9.374321252E-02
 7.500000000E-01 5.002839863E-02 1.014938056E-01
 7.500000000E-01 5.002916232E-02 1.098997593E-01
 7.500000000E-01 5.002993718E-02 1.188884154E-01
 7.500000000E-01 5.003072321E-02 1.285089999E-01
 7.500000000E-01 5.003152043E-02 1.387932599E-01
 7.500000000E-01 5.003233254E-02 1.498309672E-01
 7.500000000E-01 5.003315955E-02 1.617271006E-01
 7.500000000E-01 5.003399774E-02 1.744676828E-01
 7.500000000E-01 5.003485084E-02 1.881771088E-01
 7.500000000E-01 5.003571883E-02 2.028521150E-01
 7.500000000E-01 5.003659800E-02 2.185052782E-01
 7.500000000E-01 5.003749579E-02 2.353105545E-01
 7.500000000E-01 5.003840849E-02 2.532167435E-01
 7.500000000E-01 5.003933236E-02 2.722460032E-01
