variables="x","cf"
zone, t="CFL3D"
 2.780639759E-16 1.717710309E-02
 7.999999798E-04 2.201290801E-02
 1.606264967E-03 8.653610013E-03
 2.418837277E-03 7.453473751E-03
 3.237759229E-03 6.799010094E-03
 4.063073546E-03 6.344615482E-03
 4.894822836E-03 6.017583422E-03
 5.733050406E-03 5.769858137E-03
 6.577799562E-03 5.578651559E-03
 7.429112680E-03 5.428230390E-03
 8.287033997E-03 5.308347289E-03
 9.151606821E-03 5.211516283E-03
 1.002287492E-02 5.132281687E-03
 1.090088207E-02 5.066543818E-03
 1.178567298E-02 5.011217669E-03
 1.267729141E-02 4.963965155E-03
 1.357578207E-02 4.923010711E-03
 1.448118873E-02 4.887004849E-03
 1.539355703E-02 4.854917526E-03
 1.631293073E-02 4.825959448E-03
 1.723935641E-02 4.799522925E-03
 1.817287691E-02 4.775137175E-03
 1.911354065E-02 4.752435256E-03
 2.006139047E-02 4.731127527E-03
 2.101647109E-02 4.710984882E-03
 2.197883092E-02 4.691823386E-03
 2.294851467E-02 4.673494957E-03
 2.392556891E-02 4.655878060E-03
 2.491003834E-02 4.638875369E-03
 2.590196952E-02 4.622407258E-03
 2.690140903E-02 4.606408067E-03
 2.790840343E-02 4.590825643E-03
 2.892299928E-02 4.575615283E-03
 2.994524129E-02 4.560739268E-03
 3.097517975E-02 4.546166863E-03
 3.201285750E-02 4.531871062E-03
 3.305832669E-02 4.517828580E-03
 3.411163017E-02 4.504019860E-03
 3.517281637E-02 4.490426742E-03
 3.624192998E-02 4.477034789E-03
 3.731902316E-02 4.463830497E-03
 3.840414062E-02 4.450802226E-03
 3.949733078E-02 4.437939730E-03
 4.059864208E-02 4.425234161E-03
 4.170811921E-02 4.412676673E-03
 4.282581061E-02 4.400259815E-03
 4.395176470E-02 4.387977067E-03
 4.508602992E-02 4.375822376E-03
 4.622865468E-02 4.363790154E-03
 4.737968370E-02 4.351875745E-03
 4.853916913E-02 4.340074025E-03
 4.970715567E-02 4.328380805E-03
 5.088369548E-02 4.316792358E-03
 5.206883326E-02 4.305305425E-03
 5.326262116E-02 4.293916747E-03
 5.446510017E-02 4.282622598E-03
 5.567632616E-02 4.271420650E-03
 5.689634383E-02 4.260307644E-03
 5.812519789E-02 4.249282181E-03
 5.936294422E-02 4.238341004E-03
 6.060962752E-02 4.227482248E-03
 6.186529621E-02 4.216704052E-03
 6.312999874E-02 4.206004087E-03
 6.440377980E-02 4.195380490E-03
 6.568669528E-02 4.184831865E-03
 6.697878242E-02 4.174355883E-03
 6.828010082E-02 4.163951613E-03
 6.959069520E-02 4.153616726E-03
 7.091061771E-02 4.143349826E-03
 7.223990560E-02 4.133149516E-03
 7.357861102E-02 4.123014398E-03
 7.492678612E-02 4.112943076E-03
 7.628447562E-02 4.102934152E-03
 7.765173167E-02 4.092986230E-03
 7.902859896E-02 4.083098378E-03
 8.041512221E-02 4.073269665E-03
 8.181135356E-02 4.063498229E-03
 8.321733773E-02 4.053783603E-03
 8.463312685E-02 4.044124391E-03
 8.605875820E-02 4.034519661E-03
 8.749429882E-02 4.024968483E-03
 8.893977106E-02 4.015469924E-03
 9.039524198E-02 4.006023053E-03
 9.186074883E-02 3.996626008E-03
 9.333634377E-02 3.987279255E-03
 9.482206404E-02 3.977980465E-03
 9.631796926E-02 3.968729638E-03
 9.782408923E-02 3.959525842E-03
 9.934049100E-02 3.950367216E-03
 1.008672044E-01 3.941254225E-03
 1.024042815E-01 3.932184540E-03
 1.039517671E-01 3.923158161E-03
 1.055097058E-01 3.914173692E-03
 1.070781425E-01 3.905230435E-03
 1.086571217E-01 3.896327456E-03
 1.102466956E-01 3.887463827E-03
 1.118469015E-01 3.878638614E-03
 1.134577915E-01 3.869850654E-03
 1.150793955E-01 3.861099249E-03
 1.167117655E-01 3.852383699E-03
 1.183549538E-01 3.843702609E-03
 1.200089902E-01 3.835055279E-03
 1.216739267E-01 3.826440545E-03
 1.233498007E-01 3.817857942E-03
 1.250366569E-01 3.809306072E-03
 1.267345399E-01 3.800784238E-03
 1.284434944E-01 3.792291507E-03
 1.301635504E-01 3.783826949E-03
 1.318947524E-01 3.775389399E-03
 1.336371601E-01 3.766978160E-03
 1.353907883E-01 3.758592065E-03
 1.371556818E-01 3.750230186E-03
 1.389319003E-01 3.741891589E-03
 1.407194734E-01 3.733575344E-03
 1.425184160E-01 3.725280520E-03
 1.443288028E-01 3.717005951E-03
 1.461506635E-01 3.708750708E-03
 1.479840279E-01 3.700513858E-03
 1.498289257E-01 3.692294238E-03
 1.516854167E-01 3.684090683E-03
 1.535535157E-01 3.675902495E-03
 1.554332823E-01 3.667728044E-03
 1.573247313E-01 3.659566864E-03
 1.592279077E-01 3.651417559E-03
 1.611428410E-01 3.643278964E-03
 1.630695611E-01 3.635149682E-03
 1.650081277E-01 3.627029015E-03
 1.669585407E-01 3.618915565E-03
 1.689208597E-01 3.610807937E-03
 1.708951145E-01 3.602705197E-03
 1.728813201E-01 3.594605718E-03
 1.748795062E-01 3.586508334E-03
 1.768897325E-01 3.578411648E-03
 1.789119989E-01 3.570314497E-03
 1.809463501E-01 3.562215017E-03
 1.829928160E-01 3.554112278E-03
 1.850514114E-01 3.546004416E-03
 1.871221811E-01 3.537889803E-03
 1.892051548E-01 3.529767273E-03
 1.913003325E-01 3.521634731E-03
 1.934077740E-01 3.513490781E-03
 1.955274791E-01 3.505333560E-03
 1.976594776E-01 3.497161437E-03
 1.998037994E-01 3.488972085E-03
 2.019604743E-01 3.480764106E-03
 2.041295022E-01 3.472535172E-03
 2.063109279E-01 3.464283422E-03
 2.085047662E-01 3.456006292E-03
 2.107110322E-01 3.447702155E-03
 2.129297554E-01 3.439367982E-03
 2.151609361E-01 3.431001911E-03
 2.174046040E-01 3.422601148E-03
 2.196607888E-01 3.414163133E-03
 2.219294906E-01 3.405685071E-03
 2.242107242E-01 3.397164168E-03
 2.265045196E-01 3.388597397E-03
 2.288108766E-01 3.379981499E-03
 2.311298251E-01 3.371312981E-03
 2.334613651E-01 3.362588817E-03
 2.358054966E-01 3.353805281E-03
 2.381622493E-01 3.344958182E-03
 2.405316383E-01 3.336043796E-03
 2.429136485E-01 3.327057697E-03
 2.453083098E-01 3.317995463E-03
 2.477156222E-01 3.308852436E-03
 2.501356006E-01 3.299623029E-03
 2.525682449E-01 3.290302353E-03
 2.550135255E-01 3.280884586E-03
 2.574715018E-01 3.271363443E-03
 2.599421442E-01 3.261732403E-03
 2.624254823E-01 3.251984715E-03
 2.649214864E-01 3.242112696E-03
 2.674301565E-01 3.232107963E-03
 2.699515224E-01 3.221962368E-03
 2.724855542E-01 3.211665899E-03
 2.750322521E-01 3.201208310E-03
 2.775916159E-01 3.190578427E-03
 2.801636457E-01 3.179763444E-03
 2.827483416E-01 3.168750321E-03
 2.853456736E-01 3.157522995E-03
 2.879556417E-01 3.146064701E-03
 2.905782461E-01 3.134355415E-03
 2.932134569E-01 3.122372320E-03
 2.958613038E-01 3.110087477E-03
 2.985217273E-01 3.097466892E-03
 3.011947274E-01 3.084468888E-03
 3.038803041E-01 3.071058076E-03
 3.065784574E-01 3.057220951E-03
 3.092890978E-01 3.042960307E-03
 3.120122850E-01 3.028282430E-03
 3.147479594E-01 3.013197798E-03
 3.174961209E-01 2.997719683E-03
 3.202567399E-01 2.981864847E-03
 3.230297565E-01 2.965652384E-03
 3.258152306E-01 2.949105110E-03
 3.286130428E-01 2.932246076E-03
 3.314232230E-01 2.915105782E-03
 3.342457414E-01 2.897738479E-03
 3.370805681E-01 2.880175365E-03
 3.399276435E-01 2.862418303E-03
 3.427869678E-01 2.844508039E-03
 3.456584811E-01 2.826475771E-03
 3.485421836E-01 2.808401594E-03
 3.514380157E-01 2.790385159E-03
 3.543459177E-01 2.772391774E-03
 3.572659194E-01 2.754390473E-03
 3.601979017E-01 2.736517927E-03
 3.631418645E-01 2.718935721E-03
 3.660977483E-01 2.701577730E-03
 3.690654933E-01 2.684342442E-03
 3.720450699E-01 2.667525783E-03
 3.750364482E-01 2.651246730E-03
 3.780395389E-01 2.635176759E-03
 3.810542822E-01 2.619649284E-03
 3.840806186E-01 2.604841953E-03
 3.871185184E-01 2.590418793E-03
 3.901678622E-01 2.576766303E-03
 3.932286203E-01 2.563755726E-03
 3.963007331E-01 2.551465295E-03
 3.993840814E-01 2.540201647E-03
 4.024785757E-01 2.529615304E-03
 4.055841863E-01 2.519980073E-03
 4.087007940E-01 2.511324594E-03
 4.118283093E-01 2.503654687E-03
 4.149666429E-01 2.497089561E-03
 4.181156456E-01 2.491588471E-03
 4.212752879E-01 2.487296471E-03
 4.244453907E-01 2.484146040E-03
 4.276258647E-01 2.482298994E-03
 4.308166206E-01 2.481671050E-03
 4.340174794E-01 2.482401440E-03
 4.372283220E-01 2.484544879E-03
 4.404490292E-01 2.487971680E-03
 4.436794519E-01 2.493090928E-03
 4.469194710E-01 2.499434631E-03
 4.501688778E-01 2.507338300E-03
 4.534275532E-01 2.516923007E-03
 4.566953778E-01 2.527811565E-03
 4.599721134E-01 2.540668473E-03
 4.632576406E-01 2.554900013E-03
 4.665518105E-01 2.570629353E-03
 4.698544145E-01 2.588577569E-03
 4.731652737E-01 2.607836621E-03
 4.764842689E-01 2.628628630E-03
 4.798111618E-01 2.651687246E-03
 4.831458032E-01 2.676327480E-03
 4.864880145E-01 2.702342812E-03
 4.898376465E-01 2.730494831E-03
 4.931944907E-01 2.760745352E-03
 4.965583980E-01 2.792360494E-03
 4.999292195E-01 2.825645963E-03
 5.033067465E-01 2.861202694E-03
 5.066908002E-01 2.898680046E-03
 5.100812912E-01 2.937651239E-03
 5.134780407E-01 2.978263656E-03
 5.168808699E-01 3.021045122E-03
 5.202897191E-01 3.065980738E-03
 5.237043500E-01 3.112427425E-03
 5.271247625E-01 3.160473192E-03
 5.305507779E-01 3.210339695E-03
 5.339823365E-01 3.262231825E-03
 5.374191999E-01 3.316156799E-03
 5.408614874E-01 3.371588187E-03
 5.443089604E-01 3.428596538E-03
 5.477616787E-01 3.487350419E-03
 5.512195230E-01 3.547751810E-03
 5.546824932E-01 3.609965323E-03
 5.581504703E-01 3.673927626E-03
 5.616235137E-01 3.739282023E-03
 5.651015639E-01 3.806055523E-03
 5.685847402E-01 3.874318441E-03
 5.720728636E-01 3.943971358E-03
 5.755661130E-01 4.014953971E-03
 5.790644884E-01 4.087213892E-03
 5.825679898E-01 4.160712939E-03
 5.860767365E-01 4.235310946E-03
 5.895906687E-01 4.310846329E-03
 5.931099653E-01 4.387260880E-03
 5.966346264E-01 4.464475438E-03
 6.001648307E-01 4.542361945E-03
 6.037005186E-01 4.620791413E-03
 6.072419286E-01 4.699631594E-03
 6.107890606E-01 4.778737668E-03
 6.143419743E-01 4.857954103E-03
 6.179008484E-01 4.937116988E-03
 6.214657426E-01 5.016047973E-03
 6.250367761E-01 5.094566382E-03
 6.286140084E-01 5.172475707E-03
 6.321974993E-01 5.249566864E-03
 6.357874274E-01 5.325628445E-03
 6.393837333E-01 5.400436930E-03
 6.429865360E-01 5.473753437E-03
 6.465959549E-01 5.545335822E-03
 6.502119303E-01 5.614938680E-03
 6.538345814E-01 5.682297517E-03
 6.574639082E-01 5.747144111E-03
 6.610997915E-01 5.809213500E-03
 6.647424102E-01 5.868231878E-03
 6.683915854E-01 5.923918448E-03
 6.720473170E-01 5.975997541E-03
 6.757094860E-01 6.024188828E-03
 6.793780923E-01 6.068219896E-03
 6.830529571E-01 6.107833236E-03
 6.867339015E-01 6.142783444E-03
 6.904208660E-01 6.172849797E-03
 6.941135526E-01 6.197814830E-03
 6.978118420E-01 6.216875743E-03
 7.015154362E-01 6.229755934E-03
 7.052240968E-01 6.237123162E-03
 7.089375854E-01 6.238699891E-03
 7.126555443E-01 6.234040484E-03
 7.163776159E-01 6.223150063E-03
 7.201035023E-01 6.205987185E-03
 7.238328457E-01 6.182121579E-03
 7.275652289E-01 6.150920875E-03
 7.313002348E-01 6.112990435E-03
 7.350375056E-01 6.069092080E-03
 7.387765050E-01 6.018964574E-03
 7.425169349E-01 5.962504074E-03
 7.462582588E-01 5.900097545E-03
 7.500000000E-01 5.831051618E-03
 7.537417412E-01 5.755395163E-03
 7.574830651E-01 5.674945191E-03
 7.612234950E-01 5.589722656E-03
 7.649624944E-01 5.499280524E-03
 7.686997652E-01 5.404158961E-03
 7.724347711E-01 5.304289982E-03
 7.761671543E-01 5.199544597E-03
 7.798964977E-01 5.090897903E-03
 7.836223841E-01 4.979341757E-03
 7.873444557E-01 4.864902236E-03
 7.910624146E-01 4.747785628E-03
 7.947759032E-01 4.628428724E-03
 7.984845638E-01 4.507272039E-03
 8.021881580E-01 4.384329077E-03
 8.058864474E-01 4.259817302E-03
 8.095791340E-01 4.134844989E-03
 8.132660985E-01 4.009809345E-03
 8.169470429E-01 3.884736449E-03
 8.206219077E-01 3.760022810E-03
 8.242905140E-01 3.635986010E-03
 8.279526830E-01 3.512936877E-03
 8.316084146E-01 3.391170874E-03
 8.352575898E-01 3.270968795E-03
 8.389002085E-01 3.152590245E-03
 8.425360918E-01 3.036281792E-03
 8.461654186E-01 2.922267187E-03
 8.497880697E-01 2.810755046E-03
 8.534040451E-01 2.701939782E-03
 8.570134640E-01 2.595990896E-03
 8.606162667E-01 2.493058797E-03
 8.642125726E-01 2.393282251E-03
 8.678025007E-01 2.296780003E-03
 8.713859916E-01 2.203649376E-03
 8.749632239E-01 2.113975585E-03
 8.785342574E-01 2.027827315E-03
 8.820991516E-01 1.945253811E-03
 8.856580257E-01 1.866290346E-03
 8.892109394E-01 1.790959504E-03
 8.927580714E-01 1.719266409E-03
 8.962994814E-01 1.651204191E-03
 8.998351693E-01 1.586752827E-03
 9.033653736E-01 1.525880420E-03
 9.068900347E-01 1.468546805E-03
 9.104093313E-01 1.414700644E-03
 9.139232635E-01 1.364271855E-03
 9.174320102E-01 1.317207818E-03
 9.209355116E-01 1.273472910E-03
 9.244338870E-01 1.232961658E-03
 9.279271364E-01 1.195554854E-03
 9.314152598E-01 1.161174732E-03
 9.348984361E-01 1.129733981E-03
 9.383764863E-01 1.101149595E-03
 9.418495297E-01 1.075287000E-03
 9.453175068E-01 1.052119653E-03
 9.487804770E-01 1.031649881E-03
 9.522383213E-01 1.013634261E-03
 9.556910396E-01 9.979365859E-04
 9.591385126E-01 9.845538298E-04
 9.625808001E-01 9.733268525E-04
 9.660176635E-01 9.642782970E-04
 9.694492221E-01 9.574658470E-04
 9.728752375E-01 9.525684291E-04
 9.762956500E-01 9.494781261E-04
 9.797102809E-01 9.481522720E-04
 9.831191301E-01 9.486384224E-04
 9.865219593E-01 9.510440286E-04
 9.899187088E-01 9.550038958E-04
 9.933091998E-01 9.603475337E-04
 9.966932535E-01 9.672204615E-04
 1.000070810E+00 9.757300140E-04
 1.003441572E+00 9.856863180E-04
 1.006805539E+00 9.967472870E-04
 1.010162354E+00 1.009090920E-03
 1.013512015E+00 1.022940851E-03
 1.016854167E+00 1.037899405E-03
 1.020188808E+00 1.053757733E-03
 1.023515701E+00 1.070865081E-03
 1.026834726E+00 1.089181867E-03
 1.030145645E+00 1.108194469E-03
 1.033448219E+00 1.128183329E-03
 1.036742330E+00 1.149333781E-03
 1.040027857E+00 1.171028591E-03
 1.043304682E+00 1.193561940E-03
 1.046572447E+00 1.217002166E-03
 1.049831152E+00 1.240912243E-03
 1.053080559E+00 1.265624771E-03
 1.056320548E+00 1.290841377E-03
 1.059551001E+00 1.316544716E-03
 1.062771678E+00 1.342898468E-03
 1.065982580E+00 1.369542792E-03
 1.069183350E+00 1.396649168E-03
 1.072374105E+00 1.424058690E-03
 1.075554609E+00 1.451728982E-03
 1.078724742E+00 1.479668543E-03
 1.081884384E+00 1.507749432E-03
 1.085033417E+00 1.535999589E-03
 1.088171721E+00 1.564292936E-03
 1.091299176E+00 1.592649147E-03
 1.094415784E+00 1.620955765E-03
