variables="x","cp"
zone, t="CFL3D"
 2.780639759E-16 6.246056035E-02
 7.999999798E-04 3.419305757E-02
 1.606264967E-03 2.316619642E-02
 2.418837277E-03 2.565171011E-02
 3.237759229E-03 2.546097524E-02
 4.063073546E-03 2.620007284E-02
 4.894822836E-03 2.666796930E-02
 5.733050406E-03 2.712990530E-02
 6.577799562E-03 2.749945410E-02
 7.429112680E-03 2.783025987E-02
 8.287033997E-03 2.812232263E-02
 9.151606821E-03 2.838756330E-02
 1.002287492E-02 2.862598188E-02
 1.090088207E-02 2.884651907E-02
 1.178567298E-02 2.904917486E-02
 1.267729141E-02 2.923394926E-02
 1.357578207E-02 2.940084226E-02
 1.448118873E-02 2.955283411E-02
 1.539355703E-02 2.969588526E-02
 1.631293073E-02 2.982403524E-02
 1.723935641E-02 2.994324453E-02
 1.817287691E-02 3.005351312E-02
 1.911354065E-02 3.015782125E-02
 2.006139047E-02 3.025318868E-02
 2.101647109E-02 3.034557588E-02
 2.197883092E-02 3.043200262E-02
 2.294851467E-02 3.051544912E-02
 2.392556891E-02 3.059293516E-02
 2.491003834E-02 3.067042120E-02
 2.590196952E-02 3.074492700E-02
 2.690140903E-02 3.081645258E-02
 2.790840343E-02 3.088499792E-02
 2.892299928E-02 3.095652349E-02
 2.994524129E-02 3.102506883E-02
 3.097517975E-02 3.109063394E-02
 3.201285750E-02 3.115917929E-02
 3.305832669E-02 3.122474439E-02
 3.411163017E-02 3.129329160E-02
 3.517281637E-02 3.135885671E-02
 3.624192998E-02 3.142740205E-02
 3.731902316E-02 3.149594739E-02
 3.840414062E-02 3.156449273E-02
 3.949733078E-02 3.163303807E-02
 4.059864208E-02 3.170158342E-02
 4.170811921E-02 3.177310899E-02
 4.282581061E-02 3.184463456E-02
 4.395176470E-02 3.191616014E-02
 4.508602992E-02 3.198768571E-02
 4.622865468E-02 3.206219152E-02
 4.737968370E-02 3.213669732E-02
 4.853916913E-02 3.221418336E-02
 4.970715567E-02 3.229166940E-02
 5.088369548E-02 3.237213567E-02
 5.206883326E-02 3.245260194E-02
 5.326262116E-02 3.253306821E-02
 5.446510017E-02 3.261651471E-02
 5.567632616E-02 3.269996122E-02
 5.689634383E-02 3.278638795E-02
 5.812519789E-02 3.287579492E-02
 5.936294422E-02 3.296520188E-02
 6.060962752E-02 3.305460885E-02
 6.186529621E-02 3.314699605E-02
 6.312999874E-02 3.324236348E-02
 6.440377980E-02 3.333773091E-02
 6.568669528E-02 3.343607858E-02
 6.697878242E-02 3.353740647E-02
 6.828010082E-02 3.363873437E-02
 6.959069520E-02 3.374006227E-02
 7.091061771E-02 3.384735063E-02
 7.223990560E-02 3.395463899E-02
 7.357861102E-02 3.406192735E-02
 7.492678612E-02 3.417517617E-02
 7.628447562E-02 3.428842500E-02
 7.765173167E-02 3.440167382E-02
 7.902859896E-02 3.452088311E-02
 8.041512221E-02 3.464009240E-02
 8.181135356E-02 3.476228192E-02
 8.321733773E-02 3.488745168E-02
 8.463312685E-02 3.501262143E-02
 8.605875820E-02 3.514077142E-02
 8.749429882E-02 3.527190164E-02
 8.893977106E-02 3.540601209E-02
 9.039524198E-02 3.554310277E-02
 9.186074883E-02 3.568019345E-02
 9.333634377E-02 3.582324460E-02
 9.482206404E-02 3.596629575E-02
 9.631796926E-02 3.611232713E-02
 9.782408923E-02 3.626133874E-02
 9.934049100E-02 3.641333058E-02
 1.008672044E-01 3.656830266E-02
 1.024042815E-01 3.672625497E-02
 1.039517671E-01 3.688718751E-02
 1.055097058E-01 3.705110028E-02
 1.070781425E-01 3.721501306E-02
 1.086571217E-01 3.738488629E-02
 1.102466956E-01 3.755773976E-02
 1.118469015E-01 3.773357347E-02
 1.134577915E-01 3.791238740E-02
 1.150793955E-01 3.809418157E-02
 1.167117655E-01 3.828193620E-02
 1.183549538E-01 3.846969083E-02
 1.200089902E-01 3.866340593E-02
 1.216739267E-01 3.885712102E-02
 1.233498007E-01 3.905679658E-02
 1.250366569E-01 3.926243261E-02
 1.267345399E-01 3.946806863E-02
 1.284434944E-01 3.967966512E-02
 1.301635504E-01 3.989424184E-02
 1.318947524E-01 4.011477903E-02
 1.336371601E-01 4.033829644E-02
 1.353907883E-01 4.056479409E-02
 1.371556818E-01 4.079725221E-02
 1.389319003E-01 4.103269055E-02
 1.407194734E-01 4.127408937E-02
 1.425184160E-01 4.151846841E-02
 1.443288028E-01 4.176880792E-02
 1.461506635E-01 4.202212766E-02
 1.479840279E-01 4.228140786E-02
 1.498289257E-01 4.254664853E-02
 1.516854167E-01 4.281486943E-02
 1.535535157E-01 4.308905080E-02
 1.554332823E-01 4.336919263E-02
 1.573247313E-01 4.365529492E-02
 1.592279077E-01 4.394735768E-02
 1.611428410E-01 4.424538091E-02
 1.630695611E-01 4.454638436E-02
 1.650081277E-01 4.485632852E-02
 1.669585407E-01 4.517223313E-02
 1.689208597E-01 4.549409822E-02
 1.708951145E-01 4.582192376E-02
 1.728813201E-01 4.615570977E-02
 1.748795062E-01 4.649545625E-02
 1.768897325E-01 4.684414342E-02
 1.789119989E-01 4.720177129E-02
 1.809463501E-01 4.756237939E-02
 1.829928160E-01 4.793490842E-02
 1.850514114E-01 4.831339791E-02
 1.871221811E-01 4.869784787E-02
 1.892051548E-01 4.909123853E-02
 1.913003325E-01 4.949655011E-02
 1.934077740E-01 4.990782216E-02
 1.955274791E-01 5.032803491E-02
 1.976594776E-01 5.075718835E-02
 1.998037994E-01 5.119528249E-02
 2.019604743E-01 5.164529756E-02
 2.041295022E-01 5.210425332E-02
 2.063109279E-01 5.257214978E-02
 2.085047662E-01 5.305196717E-02
 2.107110322E-01 5.354072526E-02
 2.129297554E-01 5.404438451E-02
 2.151609361E-01 5.455698445E-02
 2.174046040E-01 5.508150533E-02
 2.196607888E-01 5.562092736E-02
 2.219294906E-01 5.616929010E-02
 2.242107242E-01 5.673255399E-02
 2.265045196E-01 5.731071904E-02
 2.288108766E-01 5.790080503E-02
 2.311298251E-01 5.850877240E-02
 2.334613651E-01 5.912866071E-02
 2.358054966E-01 5.976345018E-02
 2.381622493E-01 6.041612104E-02
 2.405316383E-01 6.108667329E-02
 2.429136485E-01 6.177212670E-02
 2.453083098E-01 6.247844175E-02
 2.477156222E-01 6.319965422E-02
 2.501356006E-01 6.394471228E-02
 2.525682449E-01 6.470765173E-02
 2.550135255E-01 6.549145281E-02
 2.574715018E-01 6.629611552E-02
 2.599421442E-01 6.712462008E-02
 2.624254823E-01 6.797696650E-02
 2.649214864E-01 6.885315478E-02
 2.674301565E-01 6.975616515E-02
 2.699515224E-01 7.068599761E-02
 2.724855542E-01 7.164563239E-02
 2.750322521E-01 7.263506949E-02
 2.775916159E-01 7.365430892E-02
 2.801636457E-01 7.470633090E-02
 2.827483416E-01 7.579411566E-02
 2.853456736E-01 7.692064345E-02
 2.879556417E-01 7.808293402E-02
 2.905782461E-01 7.928694785E-02
 2.932134569E-01 8.053566515E-02
 2.958613038E-01 8.183206618E-02
 2.985217273E-01 8.317913115E-02
 3.011947274E-01 8.457984030E-02
 3.038803041E-01 8.604015410E-02
 3.065784574E-01 8.756603301E-02
 3.092890978E-01 8.916045725E-02
 3.120122850E-01 9.082342684E-02
 3.147479594E-01 9.255792201E-02
 3.174961209E-01 9.436990321E-02
 3.202567399E-01 9.625340998E-02
 3.230297565E-01 9.821142256E-02
 3.258152306E-01 1.002469212E-01
 3.286130428E-01 1.023539454E-01
 3.314232230E-01 1.045324951E-01
 3.342457414E-01 1.067825705E-01
 3.370805681E-01 1.091011912E-01
 3.399276435E-01 1.114823967E-01
 3.427869678E-01 1.139291674E-01
 3.456584811E-01 1.164325625E-01
 3.485421836E-01 1.189985424E-01
 3.514380157E-01 1.216122061E-01
 3.543459177E-01 1.242675930E-01
 3.572659194E-01 1.269617230E-01
 3.601979017E-01 1.297035366E-01
 3.631418645E-01 1.324751526E-01
 3.660977483E-01 1.352586895E-01
 3.690654933E-01 1.380630881E-01
 3.720450699E-01 1.408972889E-01
 3.750364482E-01 1.437195688E-01
 3.780395389E-01 1.465269476E-01
 3.810542822E-01 1.493611485E-01
 3.840806186E-01 1.521476656E-01
 3.871185184E-01 1.549103409E-01
 3.901678622E-01 1.576670557E-01
 3.932286203E-01 1.603403240E-01
 3.963007331E-01 1.630076319E-01
 3.993840814E-01 1.655944735E-01
 4.024785757E-01 1.681068093E-01
 4.055841863E-01 1.705684811E-01
 4.087007940E-01 1.729198843E-01
 4.118283093E-01 1.752027422E-01
 4.149666429E-01 1.773693711E-01
 4.181156456E-01 1.794346720E-01
 4.212752879E-01 1.813807636E-01
 4.244453907E-01 1.831927449E-01
 4.276258647E-01 1.848825365E-01
 4.308166206E-01 1.864024550E-01
 4.340174794E-01 1.878031641E-01
 4.372283220E-01 1.890041977E-01
 4.404490292E-01 1.900562197E-01
 4.436794519E-01 1.909353882E-01
 4.469194710E-01 1.915731579E-01
 4.501688778E-01 1.920887381E-01
 4.534275532E-01 1.923301369E-01
 4.566953778E-01 1.923867613E-01
 4.599721134E-01 1.922377497E-01
 4.632576406E-01 1.917877346E-01
 4.665518105E-01 1.911708266E-01
 4.698544145E-01 1.902856976E-01
 4.731652737E-01 1.890787035E-01
 4.764842689E-01 1.876809746E-01
 4.798111618E-01 1.859911829E-01
 4.831458032E-01 1.839735657E-01
 4.864880145E-01 1.816847473E-01
 4.898376465E-01 1.791366488E-01
 4.931944907E-01 1.762368828E-01
 4.965583980E-01 1.729943901E-01
