variables="x","y","mut"
zone, t="CFL3D"
 7.500000000E-01 5.000000075E-02 0.000000000E+00
 7.500000000E-01 5.000049621E-02 7.827052784E-09
 7.500000000E-01 5.000099167E-02 6.745339931E-08
 7.500000000E-01 5.000148714E-02 2.895190221E-07
 7.500000000E-01 5.000198260E-02 8.590969856E-07
 7.500000000E-01 5.000247806E-02 2.037378636E-06
 7.500000000E-01 5.000297725E-02 4.163779522E-06
 7.500000000E-01 5.000347644E-02 7.658667528E-06
 7.500000000E-01 5.000397563E-02 1.302673627E-05
 7.500000000E-01 5.000447854E-02 2.086102904E-05
 7.500000000E-01 5.000498146E-02 3.184766319E-05
 7.500000000E-01 5.000548810E-02 4.677125253E-05
 7.500000000E-01 5.000599846E-02 6.652110460E-05
 7.500000000E-01 5.000650883E-02 9.209816199E-05
 7.500000000E-01 5.000702292E-02 1.246228348E-04
 7.500000000E-01 5.000753701E-02 1.653436484E-04
 7.500000000E-01 5.000805855E-02 2.156468690E-04
 7.500000000E-01 5.000858009E-02 2.770670690E-04
 7.500000000E-01 5.000910535E-02 3.512988333E-04
 7.500000000E-01 5.000963807E-02 4.402095219E-04
 7.500000000E-01 5.001017079E-02 5.458531086E-04
 7.500000000E-01 5.001070723E-02 6.704856642E-04
 7.500000000E-01 5.001125112E-02 8.165818290E-04
 7.500000000E-01 5.001179874E-02 9.868529160E-04
 7.500000000E-01 5.001235008E-02 1.184266410E-03
 7.500000000E-01 5.001290515E-02 1.412067795E-03
 7.500000000E-01 5.001346767E-02 1.673803083E-03
 7.500000000E-01 5.001403391E-02 1.973344246E-03
 7.500000000E-01 5.001460761E-02 2.314915648E-03
 7.500000000E-01 5.001518503E-02 2.703124890E-03
 7.500000000E-01 5.001576990E-02 3.142992035E-03
 7.500000000E-01 5.001636222E-02 3.639986273E-03
 7.500000000E-01 5.001696199E-02 4.200060852E-03
 7.500000000E-01 5.001756549E-02 4.829693120E-03
 7.500000000E-01 5.001818016E-02 5.535928067E-03
 7.500000000E-01 5.001879856E-02 6.326422561E-03
 7.500000000E-01 5.001942441E-02 7.209496573E-03
 7.500000000E-01 5.002006143E-02 8.194183931E-03
 7.500000000E-01 5.002070591E-02 9.290290065E-03
 7.500000000E-01 5.002135783E-02 1.050845347E-02
 7.500000000E-01 5.002201721E-02 1.186020952E-02
 7.500000000E-01 5.002268776E-02 1.335805841E-02
 7.500000000E-01 5.002336577E-02 1.501554251E-02
 7.500000000E-01 5.002405494E-02 1.684732363E-02
 7.500000000E-01 5.002475157E-02 1.886926405E-02
 7.500000000E-01 5.002545938E-02 2.109852247E-02
 7.500000000E-01 5.002617836E-02 2.355364151E-02
 7.500000000E-01 5.002690852E-02 2.625465021E-02
 7.500000000E-01 5.002764612E-02 2.922317199E-02
 7.500000000E-01 5.002839863E-02 3.248253465E-02
 7.500000000E-01 5.002916232E-02 3.605788574E-02
 7.500000000E-01 5.002993718E-02 3.997631744E-02
 7.500000000E-01 5.003072321E-02 4.426699877E-02
 7.500000000E-01 5.003152043E-02 4.896129668E-02
 7.500000000E-01 5.003233254E-02 5.409293622E-02
 7.500000000E-01 5.003315955E-02 5.969812348E-02
 7.500000000E-01 5.003399774E-02 6.581571698E-02
 7.500000000E-01 5.003485084E-02 7.248734683E-02
 7.500000000E-01 5.003571883E-02 7.975762337E-02
 7.500000000E-01 5.003659800E-02 8.767423034E-02
 7.500000000E-01 5.003749579E-02 9.628814459E-02
 7.500000000E-01 5.003840849E-02 1.056537554E-01
 7.500000000E-01 5.003933236E-02 1.158290356E-01
 7.500000000E-01 5.004027858E-02 1.268756986E-01
 7.500000000E-01 5.004123598E-02 1.388593614E-01
 7.500000000E-01 5.004221201E-02 1.518496424E-01
 7.500000000E-01 5.004320666E-02 1.659203321E-01
 7.500000000E-01 5.004421622E-02 1.811495274E-01
 7.500000000E-01 5.004524812E-02 1.976196766E-01
 7.500000000E-01 5.004629493E-02 2.154177129E-01
 7.500000000E-01 5.004736036E-02 2.346351147E-01
 7.500000000E-01 5.004844442E-02 2.553679049E-01
 7.500000000E-01 5.004955083E-02 2.777167559E-01
 7.500000000E-01 5.005067587E-02 3.017868400E-01
 7.500000000E-01 5.005182326E-02 3.276877999E-01
 7.500000000E-01 5.005298927E-02 3.555337489E-01
 7.500000000E-01 5.005417764E-02 3.854430020E-01
 7.500000000E-01 5.005538836E-02 4.175379574E-01
 7.500000000E-01 5.005662143E-02 4.519447386E-01
 7.500000000E-01 5.005787686E-02 4.887931049E-01
 7.500000000E-01 5.005915835E-02 5.282158256E-01
 7.500000000E-01 5.006046221E-02 5.703485012E-01
 7.500000000E-01 5.006178841E-02 6.153289676E-01
 7.500000000E-01 5.006314442E-02 6.632967591E-01
 7.500000000E-01 5.006452277E-02 7.143926024E-01
 7.500000000E-01 5.006592721E-02 7.687576413E-01
 7.500000000E-01 5.006736144E-02 8.265329599E-01
 7.500000000E-01 5.006882176E-02 8.878585696E-01
 7.500000000E-01 5.007030815E-02 9.528727531E-01
 7.500000000E-01 5.007182434E-02 1.021711230E+00
 7.500000000E-01 5.007337034E-02 1.094506502E+00
 7.500000000E-01 5.007494614E-02 1.171386480E+00
 7.500000000E-01 5.007655174E-02 1.252474070E+00
 7.500000000E-01 5.007818714E-02 1.337886214E+00
 7.500000000E-01 5.007985607E-02 1.427732825E+00
 7.500000000E-01 5.008155853E-02 1.522116184E+00
 7.500000000E-01 5.008329079E-02 1.621129870E+00
 7.500000000E-01 5.008506030E-02 1.724858403E+00
 7.500000000E-01 5.008686334E-02 1.833376050E+00
 7.500000000E-01 5.008869991E-02 1.946746707E+00
 7.500000000E-01 5.009057745E-02 2.065023184E+00
 7.500000000E-01 5.009248853E-02 2.188246727E+00
 7.500000000E-01 5.009443685E-02 2.316446304E+00
 7.500000000E-01 5.009642243E-02 2.449639320E+00
 7.500000000E-01 5.009844899E-02 2.587831259E+00
 7.500000000E-01 5.010051653E-02 2.731014490E+00
 7.500000000E-01 5.010262504E-02 2.879170179E+00
 7.500000000E-01 5.010477081E-02 3.032267332E+00
 7.500000000E-01 5.010696501E-02 3.190264225E+00
 7.500000000E-01 5.010920018E-02 3.353107452E+00
 7.500000000E-01 5.011148006E-02 3.520733833E+00
 7.500000000E-01 5.011380464E-02 3.693070412E+00
 7.500000000E-01 5.011617392E-02 3.870035887E+00
 7.500000000E-01 5.011859536E-02 4.051540375E+00
 7.500000000E-01 5.012106150E-02 4.237486839E+00
 7.500000000E-01 5.012357607E-02 4.427772999E+00
 7.500000000E-01 5.012614280E-02 4.622291088E+00
 7.500000000E-01 5.012876168E-02 4.820929050E+00
 7.500000000E-01 5.013142899E-02 5.023571491E+00
 7.500000000E-01 5.013415590E-02 5.230101109E+00
 7.500000000E-01 5.013693124E-02 5.440399647E+00
 7.500000000E-01 5.013976619E-02 5.654348373E+00
 7.500000000E-01 5.014265701E-02 5.871828556E+00
 7.500000000E-01 5.014560372E-02 6.092724800E+00
 7.500000000E-01 5.014861375E-02 6.316921234E+00
 7.500000000E-01 5.015167966E-02 6.544306755E+00
 7.500000000E-01 5.015481263E-02 6.774773598E+00
 7.500000000E-01 5.015800521E-02 7.008217812E+00
 7.500000000E-01 5.016126111E-02 7.244539261E+00
 7.500000000E-01 5.016458407E-02 7.483644009E+00
 7.500000000E-01 5.016797408E-02 7.725442410E+00
 7.500000000E-01 5.017143115E-02 7.969850540E+00
 7.500000000E-01 5.017495900E-02 8.216790199E+00
 7.500000000E-01 5.017855763E-02 8.466190338E+00
 7.500000000E-01 5.018223077E-02 8.717982292E+00
 7.500000000E-01 5.018597469E-02 8.972106934E+00
 7.500000000E-01 5.018979684E-02 9.228508949E+00
 7.500000000E-01 5.019369721E-02 9.487138748E+00
 7.500000000E-01 5.019767210E-02 9.747953415E+00
 7.500000000E-01 5.020173267E-02 1.001091385E+01
 7.500000000E-01 5.020587146E-02 1.027598763E+01
 7.500000000E-01 5.021009594E-02 1.054314423E+01
 7.500000000E-01 5.021440238E-02 1.081236267E+01
 7.500000000E-01 5.021880195E-02 1.108362198E+01
 7.500000000E-01 5.022328719E-02 1.135690784E+01
 7.500000000E-01 5.022786185E-02 1.163220692E+01
 7.500000000E-01 5.023252964E-02 1.190951347E+01
 7.500000000E-01 5.023729429E-02 1.218882084E+01
 7.500000000E-01 5.024215579E-02 1.247012806E+01
 7.500000000E-01 5.024711415E-02 1.275343609E+01
 7.500000000E-01 5.025217310E-02 1.303874683E+01
 7.500000000E-01 5.025733262E-02 1.332606602E+01
 7.500000000E-01 5.026260018E-02 1.361539936E+01
 7.500000000E-01 5.026797205E-02 1.390675640E+01
 7.500000000E-01 5.027345568E-02 1.420014572E+01
 7.500000000E-01 5.027904734E-02 1.449557781E+01
 7.500000000E-01 5.028475448E-02 1.479306316E+01
 7.500000000E-01 5.029057711E-02 1.509261417E+01
 7.500000000E-01 5.029651895E-02 1.539424324E+01
 7.500000000E-01 5.030258000E-02 1.569796085E+01
 7.500000000E-01 5.030876398E-02 1.600378036E+01
 7.500000000E-01 5.031507462E-02 1.631171227E+01
 7.500000000E-01 5.032151192E-02 1.662176895E+01
 7.500000000E-01 5.032807961E-02 1.693395996E+01
 7.500000000E-01 5.033478141E-02 1.724829674E+01
 7.500000000E-01 5.034162104E-02 1.756478882E+01
 7.500000000E-01 5.034859851E-02 1.788344193E+01
 7.500000000E-01 5.035571754E-02 1.820426559E+01
 7.500000000E-01 5.036298186E-02 1.852726364E+01
 7.500000000E-01 5.037039518E-02 1.885244370E+01
 7.500000000E-01 5.037795752E-02 1.917980766E+01
 7.500000000E-01 5.038567260E-02 1.950935555E+01
 7.500000000E-01 5.039354786E-02 1.984109116E+01
 7.500000000E-01 5.040157959E-02 2.017501259E+01
