VARIABLES = "x","u","y-y0"
ZONE T="x=0.75"
 7.500000000E-01 0.000000000E+00 7.450580708E-10
 7.500000000E-01 4.308372736E-03 4.962086564E-07
 7.500000000E-01 8.618523367E-03 9.916723229E-07
 7.500000000E-01 1.293220557E-02 1.487135933E-06
 7.500000000E-01 1.725117490E-02 1.982599542E-06
 7.500000000E-01 2.157718688E-02 2.478063152E-06
 7.500000000E-01 2.591199614E-02 2.977252052E-06
 7.500000000E-01 3.025736474E-02 3.476440952E-06
 7.500000000E-01 3.461505100E-02 3.975629625E-06
 7.500000000E-01 3.898682073E-02 4.478543815E-06
 7.500000000E-01 4.337444156E-02 4.981458005E-06
 7.500000000E-01 4.777967930E-02 5.488097486E-06
 7.500000000E-01 5.220430717E-02 5.998462257E-06
 7.500000000E-01 5.665010586E-02 6.508827028E-06
 7.500000000E-01 6.111885607E-02 7.022917089E-06
 7.500000000E-01 6.561233103E-02 7.537007150E-06
 7.500000000E-01 7.013233006E-02 8.058547792E-06
 7.500000000E-01 7.468063384E-02 8.580088434E-06
 7.500000000E-01 7.925903797E-02 9.105354366E-06
 7.500000000E-01 8.386933804E-02 9.638070878E-06
 7.500000000E-01 8.851334453E-02 1.017078739E-05
 7.500000000E-01 9.319283068E-02 1.070722919E-05
 7.500000000E-01 9.790962934E-02 1.125112158E-05
 7.500000000E-01 1.026655063E-01 1.179873925E-05
 7.500000000E-01 1.074622944E-01 1.235008222E-05
 7.500000000E-01 1.123017818E-01 1.290515047E-05
 7.500000000E-01 1.171857491E-01 1.346766931E-05
 7.500000000E-01 1.221159995E-01 1.403391343E-05
 7.500000000E-01 1.270943284E-01 1.460760814E-05
 7.500000000E-01 1.321224719E-01 1.518502813E-05
 7.500000000E-01 1.372022182E-01 1.576989962E-05
 7.500000000E-01 1.423353106E-01 1.636222078E-05
 7.500000000E-01 1.475234628E-01 1.696199251E-05
 7.500000000E-01 1.527684033E-01 1.756548954E-05
 7.500000000E-01 1.580718011E-01 1.818016244E-05
 7.500000000E-01 1.634353101E-01 1.879856063E-05
 7.500000000E-01 1.688605696E-01 1.942440940E-05
 7.500000000E-01 1.743491143E-01 2.006143404E-05
 7.500000000E-01 1.799024791E-01 2.070590926E-05
 7.500000000E-01 1.855221689E-01 2.135783507E-05
 7.500000000E-01 1.912095845E-01 2.201721145E-05
 7.500000000E-01 1.969660670E-01 2.268776370E-05
 7.500000000E-01 2.027929127E-01 2.336576654E-05
 7.500000000E-01 2.086912543E-01 2.405494524E-05
 7.500000000E-01 2.146622092E-01 2.475157453E-05
 7.500000000E-01 2.207067609E-01 2.545937969E-05
 7.500000000E-01 2.268257439E-01 2.617836071E-05
 7.500000000E-01 2.330198884E-01 2.690851761E-05
 7.500000000E-01 2.392897606E-01 2.764612509E-05
 7.500000000E-01 2.456357926E-01 2.839863373E-05
 7.500000000E-01 2.520582080E-01 2.916231824E-05
 7.500000000E-01 2.585570514E-01 2.993717862E-05
 7.500000000E-01 2.651321590E-01 3.072321488E-05
 7.500000000E-01 2.717831135E-01 3.152042700E-05
 7.500000000E-01 2.785092890E-01 3.233254029E-05
 7.500000000E-01 2.853097916E-01 3.315955473E-05
 7.500000000E-01 2.921834290E-01 3.399774505E-05
 7.500000000E-01 2.991287708E-01 3.485083653E-05
 7.500000000E-01 3.061439395E-01 3.571882917E-05
 7.500000000E-01 3.132268488E-01 3.659799768E-05
 7.500000000E-01 3.203749955E-01 3.749579264E-05
 7.500000000E-01 3.275856078E-01 3.840848876E-05
 7.500000000E-01 3.348554075E-01 3.933236076E-05
 7.500000000E-01 3.421808779E-01 4.027858449E-05
 7.500000000E-01 3.495579660E-01 4.123598410E-05
 7.500000000E-01 3.569822907E-01 4.221201016E-05
 7.500000000E-01 3.644492030E-01 4.320666267E-05
 7.500000000E-01 3.719534874E-01 4.421621634E-05
 7.500000000E-01 3.794896305E-01 4.524812175E-05
 7.500000000E-01 3.870517612E-01 4.629492832E-05
 7.500000000E-01 3.946336508E-01 4.736036135E-05
 7.500000000E-01 4.022288620E-01 4.844442083E-05
 7.500000000E-01 4.098305404E-01 4.955083205E-05
 7.500000000E-01 4.174316525E-01 5.067586972E-05
 7.500000000E-01 4.250250161E-01 5.182325913E-05
 7.500000000E-01 4.326031804E-01 5.298927499E-05
 7.500000000E-01 4.401587248E-01 5.417764260E-05
 7.500000000E-01 4.476841688E-01 5.538836194E-05
 7.500000000E-01 4.551720023E-01 5.662143303E-05
 7.500000000E-01 4.626147747E-01 5.787685586E-05
 7.500000000E-01 4.700053334E-01 5.915835573E-05
 7.500000000E-01 4.773365259E-01 6.046220733E-05
 7.500000000E-01 4.846016467E-01 6.178840704E-05
 7.500000000E-01 4.917941093E-01 6.314441271E-05
 7.500000000E-01 4.989078641E-01 6.452277012E-05
 7.500000000E-01 5.059372187E-01 6.592720456E-05
 7.500000000E-01 5.128768682E-01 6.736144132E-05
 7.500000000E-01 5.197221041E-01 6.882175512E-05
 7.500000000E-01 5.264686346E-01 7.030814595E-05
 7.500000000E-01 5.331127048E-01 7.182433910E-05
 7.500000000E-01 5.396512151E-01 7.337033458E-05
 7.500000000E-01 5.460814834E-01 7.494613237E-05
 7.500000000E-01 5.524014235E-01 7.655173249E-05
 7.500000000E-01 5.586094260E-01 7.818713493E-05
 7.500000000E-01 5.647044182E-01 7.985606499E-05
 7.500000000E-01 5.706858635E-01 8.155852265E-05
 7.500000000E-01 5.765537024E-01 8.329078264E-05
 7.500000000E-01 5.823081732E-01 8.506029553E-05
 7.500000000E-01 5.879501700E-01 8.686333604E-05
 7.500000000E-01 5.934807062E-01 8.869990415E-05
 7.500000000E-01 5.989013314E-01 9.057745046E-05
 7.500000000E-01 6.042137742E-01 9.248852439E-05
 7.500000000E-01 6.094200015E-01 9.443685121E-05
 7.500000000E-01 6.145223975E-01 9.642243094E-05
 7.500000000E-01 6.195234656E-01 9.844898887E-05
 7.500000000E-01 6.244257092E-01 1.005165250E-04
 7.500000000E-01 6.292321682E-01 1.026250393E-04
 7.500000000E-01 6.339454651E-01 1.047708065E-04
 7.500000000E-01 6.385688186E-01 1.069650025E-04
 7.500000000E-01 6.431052089E-01 1.092001767E-04
 7.500000000E-01 6.475576758E-01 1.114800543E-04
 7.500000000E-01 6.519293785E-01 1.138046355E-04
 7.500000000E-01 6.562234759E-01 1.161739201E-04
 7.500000000E-01 6.604430676E-01 1.185953588E-04
 7.500000000E-01 6.645912528E-01 1.210615010E-04
 7.500000000E-01 6.686710119E-01 1.235760719E-04
 7.500000000E-01 6.726853251E-01 1.261427969E-04
 7.500000000E-01 6.766372323E-01 1.287616760E-04
 7.500000000E-01 6.805295944E-01 1.314289839E-04
 7.500000000E-01 6.843651533E-01 1.341558964E-04
 7.500000000E-01 6.881466508E-01 1.369312376E-04
 7.500000000E-01 6.918767691E-01 1.397661836E-04
 7.500000000E-01 6.955581307E-01 1.426570088E-04
