VARIABLES = "N","h^2=1/N","h=sqrt(1/N)","C_f"
ZONE T="CFL3D, SA, x=0.75"
 9.011200000E+05 1.109729965E-06 1.053440035E-03 6.149366032E-03
 2.252800000E+05 4.438919859E-06 2.106870059E-03 6.142238621E-03
 5.632000000E+04 1.775569945E-05 4.213749897E-03 6.123098079E-03
 1.408000000E+04 7.102270320E-05 8.427499793E-03 6.053115241E-03
 3.520000000E+03 2.840909874E-04 1.685499959E-02 5.734778009E-03
ZONE T="FUN3D, SA, x=0.75"
 9.011200000E+05 1.109729965E-06 1.053440035E-03 6.151362788E-03
 2.252800000E+05 4.438919859E-06 2.106870059E-03 6.139792968E-03
 5.632000000E+04 1.775569945E-05 4.213749897E-03 6.105501670E-03
 1.408000000E+04 7.102270320E-05 8.427499793E-03 5.998554174E-03
 3.520000000E+03 2.840909874E-04 1.685499959E-02 5.677861627E-03
ZONE T="TAU, SA, x=0.75"
 9.011200000E+05 1.109729965E-06 1.053440035E-03 6.149380002E-03
 2.252800000E+05 4.438919859E-06 2.106870059E-03 6.138029974E-03
 5.632000000E+04 1.775569945E-05 4.213749897E-03 6.097420119E-03
 1.408000000E+04 7.102270320E-05 8.427499793E-03 5.918909796E-03
 3.520000000E+03 2.840909874E-04 1.685499959E-02 5.301009864E-03
ZONE T="CFL3D, SA-RC-QCR2000, x=0.75"
901120.  1.10973e-6  1.05344e-3  0.583200343E-02
225280.  4.43892e-6  2.10687e-3  0.582675217E-02
 56320.  1.77557e-5  4.21375e-3  0.581258303E-02
 14080.  7.10227e-5  8.42750e-3  0.575586874E-02
  3520.  2.84091e-4  1.68550e-2  0.546613289E-02
ZONE T="FUN3D, SA-RC-QCR2000, x=0.75"
 9.011200000E+05 1.109729965E-06 1.053440035E-03 5.833634175E-03
 2.252800000E+05 4.438919859E-06 2.106870059E-03 5.824157503E-03
 5.632000000E+04 1.775569945E-05 4.213749897E-03 5.795446225E-03
 1.408000000E+04 7.102270320E-05 8.427499793E-03 5.705988035E-03
 3.520000000E+03 2.840909874E-04 1.685499959E-02 5.439871456E-03
ZONE T="TAU, SA-RC-QCR2000, x=0.75"
 9.011200000E+05 1.109729965E-06 1.053440035E-03 5.834020209E-03
 2.252800000E+05 4.438919859E-06 2.106870059E-03 5.823750049E-03
 5.632000000E+04 1.775569945E-05 4.213749897E-03 5.784479901E-03
 1.408000000E+04 7.102270320E-05 8.427499793E-03 5.603639875E-03
 3.520000000E+03 2.840909874E-04 1.685499959E-02 4.988950212E-03
