variables="x","cf"
zone, t="CFL3D"
 2.780639759E-16 1.686800271E-02
 7.999999798E-04 2.158738486E-02
 1.606264967E-03 8.355959319E-03
 2.418837277E-03 7.008300629E-03
 3.237759229E-03 6.205947138E-03
 4.063073546E-03 5.615990609E-03
 4.894822836E-03 5.164808594E-03
 5.733050406E-03 4.802445415E-03
 6.577799562E-03 4.504471086E-03
 7.429112680E-03 4.254215863E-03
 8.287033997E-03 4.041098990E-03
 9.151606821E-03 3.857939970E-03
 1.002287492E-02 3.700718284E-03
 1.090088207E-02 3.569163382E-03
 1.178567298E-02 3.468325129E-03
 1.267729141E-02 3.409530036E-03
 1.357578207E-02 3.408497199E-03
 1.448118873E-02 3.479228122E-03
 1.539355703E-02 3.625420155E-03
 1.631293073E-02 3.834973089E-03
 1.723935641E-02 4.082077648E-03
 1.817287691E-02 4.335949197E-03
 1.911354065E-02 4.570732825E-03
 2.006139047E-02 4.770983011E-03
 2.101647109E-02 4.931546748E-03
 2.197883092E-02 5.054114386E-03
 2.294851467E-02 5.143457558E-03
 2.392556891E-02 5.205065943E-03
 2.491003834E-02 5.244116299E-03
 2.590196952E-02 5.265200045E-03
 2.690140903E-02 5.272285547E-03
 2.790840343E-02 5.268708337E-03
 2.892299928E-02 5.257181358E-03
 2.994524129E-02 5.239837803E-03
 3.097517975E-02 5.218309816E-03
 3.201285750E-02 5.193822086E-03
 3.305832669E-02 5.167283583E-03
 3.411163017E-02 5.139371846E-03
 3.517281637E-02 5.110590719E-03
 3.624192998E-02 5.081318785E-03
 3.731902316E-02 5.051839165E-03
 3.840414062E-02 5.022365600E-03
 3.949733078E-02 4.993058741E-03
 4.059864208E-02 4.964036867E-03
 4.170811921E-02 4.935387056E-03
 4.282581061E-02 4.907173105E-03
 4.395176470E-02 4.879439250E-03
 4.508602992E-02 4.852214828E-03
 4.622865468E-02 4.825519398E-03
 4.737968370E-02 4.799362738E-03
 4.853916913E-02 4.773748573E-03
 4.970715567E-02 4.748675972E-03
 5.088369548E-02 4.724139813E-03
 5.206883326E-02 4.700131714E-03
 5.326262116E-02 4.676641896E-03
 5.446510017E-02 4.653658252E-03
 5.567632616E-02 4.631167743E-03
 5.689634383E-02 4.609156866E-03
 5.812519789E-02 4.587610718E-03
 5.936294422E-02 4.566515330E-03
 6.060962752E-02 4.545855802E-03
 6.186529621E-02 4.525617696E-03
 6.312999874E-02 4.505786579E-03
 6.440377980E-02 4.486349411E-03
 6.568669528E-02 4.467291757E-03
 6.697878242E-02 4.448601510E-03
 6.828010082E-02 4.430265632E-03
 6.959069520E-02 4.412271082E-03
 7.091061771E-02 4.394606687E-03
 7.223990560E-02 4.377260804E-03
 7.357861102E-02 4.360221326E-03
 7.492678612E-02 4.343478475E-03
 7.628447562E-02 4.327021074E-03
 7.765173167E-02 4.310838878E-03
 7.902859896E-02 4.294922575E-03
 8.041512221E-02 4.279262386E-03
 8.181135356E-02 4.263848998E-03
 8.321733773E-02 4.248674493E-03
 8.463312685E-02 4.233730026E-03
 8.605875820E-02 4.219008144E-03
 8.749429882E-02 4.204501398E-03
 8.893977106E-02 4.190201871E-03
 9.039524198E-02 4.176103976E-03
 9.186074883E-02 4.162200261E-03
 9.333634377E-02 4.148484673E-03
 9.482206404E-02 4.134950694E-03
 9.631796926E-02 4.121592734E-03
 9.782408923E-02 4.108405206E-03
 9.934049100E-02 4.095382057E-03
 1.008672044E-01 4.082518164E-03
 1.024042815E-01 4.069808871E-03
 1.039517671E-01 4.057248589E-03
 1.055097058E-01 4.044832662E-03
 1.070781425E-01 4.032556899E-03
 1.086571217E-01 4.020417109E-03
 1.102466956E-01 4.008408170E-03
 1.118469015E-01 3.996526357E-03
 1.134577915E-01 3.984767478E-03
 1.150793955E-01 3.973128274E-03
 1.167117655E-01 3.961604089E-03
 1.183549538E-01 3.950192127E-03
 1.200089902E-01 3.938888665E-03
 1.216739267E-01 3.927689977E-03
 1.233498007E-01 3.916592803E-03
 1.250366569E-01 3.905593883E-03
 1.267345399E-01 3.894690424E-03
 1.284434944E-01 3.883878933E-03
 1.301635504E-01 3.873156849E-03
 1.318947524E-01 3.862520680E-03
 1.336371601E-01 3.851968097E-03
 1.353907883E-01 3.841496073E-03
 1.371556818E-01 3.831101814E-03
 1.389319003E-01 3.820782760E-03
 1.407194734E-01 3.810536349E-03
 1.425184160E-01 3.800359787E-03
 1.443288028E-01 3.790250979E-03
 1.461506635E-01 3.780206898E-03
 1.479840279E-01 3.770225681E-03
 1.498289257E-01 3.760304535E-03
 1.516854167E-01 3.750441363E-03
 1.535535157E-01 3.740633605E-03
 1.554332823E-01 3.730879165E-03
 1.573247313E-01 3.721175482E-03
 1.592279077E-01 3.711520694E-03
 1.611428410E-01 3.701912239E-03
 1.630695611E-01 3.692348022E-03
 1.650081277E-01 3.682825714E-03
 1.669585407E-01 3.673343221E-03
 1.689208597E-01 3.663898446E-03
 1.708951145E-01 3.654488828E-03
 1.728813201E-01 3.645112505E-03
 1.748795062E-01 3.635767149E-03
 1.768897325E-01 3.626450431E-03
 1.789119989E-01 3.617160255E-03
 1.809463501E-01 3.607894294E-03
 1.829928160E-01 3.598650452E-03
 1.850514114E-01 3.589426167E-03
 1.871221811E-01 3.580219578E-03
 1.892051548E-01 3.571027890E-03
 1.913003325E-01 3.561849240E-03
 1.934077740E-01 3.552681068E-03
 1.955274791E-01 3.543520812E-03
 1.976594776E-01 3.534365213E-03
 1.998037994E-01 3.525210777E-03
 2.041295022E-01 3.506899811E-03
 2.063109279E-01 3.497740254E-03
 2.085047662E-01 3.488574177E-03
 2.107110322E-01 3.479398321E-03
 2.129297554E-01 3.470209893E-03
 2.151609361E-01 3.461005399E-03
 2.174046040E-01 3.451782046E-03
 2.196607888E-01 3.442536108E-03
 2.219294906E-01 3.433264559E-03
 2.242107242E-01 3.423963906E-03
 2.265045196E-01 3.414630424E-03
 2.288108766E-01 3.405260388E-03
 2.311298251E-01 3.395849839E-03
 2.334613651E-01 3.386394586E-03
 2.358054966E-01 3.376890905E-03
 2.381622493E-01 3.367333906E-03
