variables="x","cp"
zone, t="CFL3D"
 2.780639759E-16 6.330992281E-02
 7.999999798E-04 3.564443067E-02
 1.606264967E-03 2.470399626E-02
 2.418837277E-03 2.690042742E-02
 3.237759229E-03 2.642061003E-02
 4.063073546E-03 2.686168440E-02
 4.894822836E-03 2.704943903E-02
 5.733050406E-03 2.723719366E-02
 6.577799562E-03 2.733554132E-02
 7.429112680E-03 2.738918550E-02
 8.287033997E-03 2.737726457E-02
 9.151606821E-03 2.728785761E-02
 1.002287492E-02 2.710904367E-02
 1.090088207E-02 2.684976347E-02
 1.178567298E-02 2.658452280E-02
 1.267729141E-02 2.645935304E-02
 1.357578207E-02 2.664710768E-02
 1.448118873E-02 2.724911459E-02
 1.539355703E-02 2.823855169E-02
 1.631293073E-02 2.944852598E-02
 1.723935641E-02 3.066446073E-02
 1.817287691E-02 3.171350434E-02
 1.911354065E-02 3.251518682E-02
 2.006139047E-02 3.306951001E-02
 2.101647109E-02 3.341223672E-02
 2.197883092E-02 3.359999135E-02
 2.294851467E-02 3.367449716E-02
 2.392556891E-02 3.366853669E-02
 2.491003834E-02 3.361191228E-02
 2.590196952E-02 3.352548555E-02
 2.690140903E-02 3.342117742E-02
 2.790840343E-02 3.331090882E-02
 2.892299928E-02 3.320660070E-02
 2.994524129E-02 3.310527280E-02
 3.097517975E-02 3.301288560E-02
 3.201285750E-02 3.293241933E-02
 3.305832669E-02 3.286387399E-02
 3.411163017E-02 3.280128911E-02
 3.517281637E-02 3.275360540E-02
 3.624192998E-02 3.271188214E-02
 3.731902316E-02 3.267909959E-02
 3.840414062E-02 3.265525773E-02
 3.949733078E-02 3.264035657E-02
 4.059864208E-02 3.263141587E-02
 4.170811921E-02 3.263141587E-02
 4.282581061E-02 3.263737634E-02
 4.395176470E-02 3.264929727E-02
 4.508602992E-02 3.266419843E-02
 4.622865468E-02 3.268804029E-02
 4.737968370E-02 3.271486238E-02
 4.853916913E-02 3.274764493E-02
 4.970715567E-02 3.278340772E-02
 5.088369548E-02 3.282513097E-02
 5.206883326E-02 3.287281469E-02
 5.326262116E-02 3.292049840E-02
 5.446510017E-02 3.297414258E-02
 5.567632616E-02 3.303076699E-02
 5.689634383E-02 3.309335187E-02
 5.812519789E-02 3.315593675E-02
 5.936294422E-02 3.322448209E-02
 6.060962752E-02 3.329302743E-02
 6.186529621E-02 3.336753324E-02
 6.312999874E-02 3.344501927E-02
 6.440377980E-02 3.352548555E-02
 6.568669528E-02 3.360893205E-02
 6.697878242E-02 3.369237855E-02
 6.828010082E-02 3.378178552E-02
 6.959069520E-02 3.387417272E-02
 7.091061771E-02 3.396954015E-02
 7.223990560E-02 3.406490758E-02
 7.357861102E-02 3.416623548E-02
 7.492678612E-02 3.426756337E-02
 7.628447562E-02 3.437485173E-02
 7.765173167E-02 3.448214009E-02
 7.902859896E-02 3.459240869E-02
 8.041512221E-02 3.470565751E-02
 8.181135356E-02 3.482188657E-02
 8.321733773E-02 3.494109586E-02
 8.463312685E-02 3.506328538E-02
 8.605875820E-02 3.518845513E-02
 8.749429882E-02 3.531362489E-02
 8.893977106E-02 3.544475511E-02
 9.039524198E-02 3.557886556E-02
 9.186074883E-02 3.571297601E-02
 9.333634377E-02 3.585304692E-02
 9.482206404E-02 3.599311784E-02
 9.631796926E-02 3.613914922E-02
 9.782408923E-02 3.628518060E-02
 9.934049100E-02 3.643419221E-02
 1.008672044E-01 3.658916429E-02
 1.024042815E-01 3.674413636E-02
 1.039517671E-01 3.690506890E-02
 1.055097058E-01 3.706600145E-02
 1.070781425E-01 3.723289445E-02
 1.086571217E-01 3.739978746E-02
 1.102466956E-01 3.757264093E-02
 1.118469015E-01 3.774847463E-02
 1.134577915E-01 3.792728856E-02
 1.150793955E-01 3.810908273E-02
 1.167117655E-01 3.829385713E-02
 1.183549538E-01 3.848459199E-02
 1.200089902E-01 3.867532685E-02
 1.216739267E-01 3.887202218E-02
 1.233498007E-01 3.907467797E-02
 1.250366569E-01 3.927733377E-02
 1.267345399E-01 3.948595002E-02
 1.284434944E-01 3.969754651E-02
 1.301635504E-01 3.991212323E-02
 1.318947524E-01 4.013266042E-02
 1.336371601E-01 4.035617784E-02
 1.353907883E-01 4.058565572E-02
 1.371556818E-01 4.081811383E-02
 1.389319003E-01 4.105355218E-02
 1.407194734E-01 4.129495099E-02
 1.425184160E-01 4.154231027E-02
 1.443288028E-01 4.179264978E-02
 1.461506635E-01 4.204894975E-02
 1.479840279E-01 4.231121019E-02
 1.498289257E-01 4.257645085E-02
 1.516854167E-01 4.284765199E-02
 1.535535157E-01 4.312183335E-02
 1.554332823E-01 4.340495542E-02
 1.573247313E-01 4.369105771E-02
 1.592279077E-01 4.398312047E-02
 1.611428410E-01 4.428114370E-02
 1.630695611E-01 4.458810762E-02
 1.650081277E-01 4.489805177E-02
 1.669585407E-01 4.521395639E-02
 1.689208597E-01 4.553582147E-02
 1.708951145E-01 4.586662725E-02
 1.728813201E-01 4.620339349E-02
 1.748795062E-01 4.654612020E-02
 1.768897325E-01 4.689480737E-02
 1.789119989E-01 4.725243524E-02
 1.809463501E-01 4.761900380E-02
 1.829928160E-01 4.798855260E-02
 1.850514114E-01 4.837002233E-02
 1.871221811E-01 4.875745252E-02
 1.892051548E-01 4.915382341E-02
 1.913003325E-01 4.955913499E-02
 1.934077740E-01 4.997040704E-02
 1.955274791E-01 5.039360002E-02
 1.976594776E-01 5.082573369E-02
 1.998037994E-01 5.126680806E-02
 2.019604743E-01 5.194332078E-02
 2.041295022E-01 5.217875913E-02
 2.063109279E-01 5.264963582E-02
 2.085047662E-01 5.312945321E-02
 2.107110322E-01 5.362119153E-02
 2.129297554E-01 5.412485078E-02
 2.151609361E-01 5.464043096E-02
 2.174046040E-01 5.516793206E-02
 2.196607888E-01 5.570735410E-02
 2.219294906E-01 5.626167729E-02
 2.242107242E-01 5.682494119E-02
 2.265045196E-01 5.740608647E-02
 2.288108766E-01 5.799915269E-02
 2.311298251E-01 5.860712007E-02
 2.334613651E-01 5.922998860E-02
 2.358054966E-01 5.986775830E-02
 2.381622493E-01 6.052340940E-02
 2.405316383E-01 6.119396165E-02
 2.429136485E-01 6.188239530E-02
 2.453083098E-01 6.258870661E-02
 2.477156222E-01 6.331588328E-02
 2.501356006E-01 6.406094134E-02
 2.525682449E-01 6.482686102E-02
 2.550135255E-01 6.561066210E-02
 2.574715018E-01 6.642128527E-02
