VARIABLES = "x","y-y0","u"
ZONE T="x=0.75"
 7.500000000E-01 0.000000000E+00 0.000000000E+00
 7.500000000E-01 4.962086564E-07 4.320778884E-03
 7.500000000E-01 9.916723229E-07 8.643341251E-03
 7.500000000E-01 1.487135933E-06 1.296944730E-02
 7.500000000E-01 1.982599542E-06 1.730085723E-02
 7.500000000E-01 2.478063152E-06 2.163933404E-02
 7.500000000E-01 2.977252052E-06 2.598664351E-02
 7.500000000E-01 3.476440952E-06 3.034454770E-02
 7.500000000E-01 3.975629625E-06 3.471482545E-02
 7.500000000E-01 4.478543815E-06 3.909924999E-02
 7.500000000E-01 4.981458005E-06 4.349959642E-02
 7.500000000E-01 5.488097486E-06 4.791764542E-02
 7.500000000E-01 5.998462257E-06 5.235518888E-02
 7.500000000E-01 6.508827028E-06 5.681401491E-02
 7.500000000E-01 7.022917089E-06 6.129590422E-02
 7.500000000E-01 7.537007150E-06 6.580266356E-02
 7.500000000E-01 8.058547792E-06 7.033608854E-02
 7.500000000E-01 8.580088434E-06 7.489795238E-02
 7.500000000E-01 9.105354366E-06 7.949006557E-02
 7.500000000E-01 9.638070878E-06 8.411420137E-02
 7.500000000E-01 1.017078739E-05 8.877214789E-02
 7.500000000E-01 1.070722919E-05 9.346567094E-02
 7.500000000E-01 1.125112158E-05 9.819652140E-02
 7.500000000E-01 1.179873925E-05 1.029664278E-01
 7.500000000E-01 1.235008222E-05 1.077771112E-01
 7.500000000E-01 1.290515047E-05 1.126302630E-01
 7.500000000E-01 1.346766931E-05 1.175275072E-01
 7.500000000E-01 1.403391343E-05 1.224704608E-01
 7.500000000E-01 1.460760814E-05 1.274606735E-01
 7.500000000E-01 1.518502813E-05 1.324996352E-01
 7.500000000E-01 1.576989962E-05 1.375887692E-01
 7.500000000E-01 1.636222078E-05 1.427293867E-01
 7.500000000E-01 1.696199251E-05 1.479227394E-01
 7.500000000E-01 1.756548954E-05 1.531699449E-01
 7.500000000E-01 1.818016244E-05 1.584720165E-01
 7.500000000E-01 1.879856063E-05 1.638297886E-01
 7.500000000E-01 1.942440940E-05 1.692439765E-01
 7.500000000E-01 2.006143404E-05 1.747150719E-01
 7.500000000E-01 2.070590926E-05 1.802434474E-01
 7.500000000E-01 2.135783507E-05 1.858291626E-01
 7.500000000E-01 2.201721145E-05 1.914721280E-01
 7.500000000E-01 2.268776370E-05 1.971719563E-01
 7.500000000E-01 2.336576654E-05 2.029280365E-01
 7.500000000E-01 2.405494524E-05 2.087394297E-01
 7.500000000E-01 2.475157453E-05 2.146049589E-01
 7.500000000E-01 2.545937969E-05 2.205231041E-01
 7.500000000E-01 2.617836071E-05 2.264920622E-01
 7.500000000E-01 2.690851761E-05 2.325097173E-01
 7.500000000E-01 2.764612509E-05 2.385736257E-01
 7.500000000E-01 2.839863373E-05 2.446811050E-01
 7.500000000E-01 2.916231824E-05 2.508291304E-01
 7.500000000E-01 2.993717862E-05 2.570144236E-01
 7.500000000E-01 3.072321488E-05 2.632334828E-01
 7.500000000E-01 3.152042700E-05 2.694826126E-01
 7.500000000E-01 3.233254029E-05 2.757578194E-01
 7.500000000E-01 3.315955473E-05 2.820551097E-01
 7.500000000E-01 3.399774505E-05 2.883702815E-01
 7.500000000E-01 3.485083653E-05 2.946990728E-01
 7.500000000E-01 3.571882917E-05 3.010372519E-01
 7.500000000E-01 3.659799768E-05 3.073804975E-01
 7.500000000E-01 3.749579264E-05 3.137246072E-01
 7.500000000E-01 3.840848876E-05 3.200654387E-01
 7.500000000E-01 3.933236076E-05 3.263989985E-01
 7.500000000E-01 4.027858449E-05 3.327213824E-01
 7.500000000E-01 4.123598410E-05 3.390288651E-01
 7.500000000E-01 4.221201016E-05 3.453180194E-01
 7.500000000E-01 4.320666267E-05 3.515855372E-01
 7.500000000E-01 4.421621634E-05 3.578283489E-01
 7.500000000E-01 4.524812175E-05 3.640436232E-01
 7.500000000E-01 4.629492832E-05 3.702287972E-01
 7.500000000E-01 4.736036135E-05 3.763815165E-01
 7.500000000E-01 4.844442083E-05 3.824996948E-01
 7.500000000E-01 4.955083205E-05 3.885815144E-01
 7.500000000E-01 5.067586972E-05 3.946253061E-01
 7.500000000E-01 5.182325913E-05 4.006296694E-01
 7.500000000E-01 5.298927499E-05 4.065934122E-01
 7.500000000E-01 5.417764260E-05 4.125155807E-01
 7.500000000E-01 5.538836194E-05 4.183954000E-01
 7.500000000E-01 5.662143303E-05 4.242321551E-01
 7.500000000E-01 5.787685586E-05 4.300271273E-01
 7.500000000E-01 5.915835573E-05 4.357841313E-01
 7.500000000E-01 6.046220733E-05 4.415064156E-01
 7.500000000E-01 6.178840704E-05 4.471944571E-01
 7.500000000E-01 6.314441271E-05 4.528476298E-01
 7.500000000E-01 6.452277012E-05 4.584650397E-01
 7.500000000E-01 6.592720456E-05 4.640460610E-01
 7.500000000E-01 6.736144132E-05 4.695900083E-01
 7.500000000E-01 6.882175512E-05 4.750961661E-01
 7.500000000E-01 7.030814595E-05 4.805642068E-01
 7.500000000E-01 7.182433910E-05 4.859936237E-01
 7.500000000E-01 7.337033458E-05 4.913840890E-01
 7.500000000E-01 7.494613237E-05 4.967353940E-01
 7.500000000E-01 7.655173249E-05 5.020472407E-01
 7.500000000E-01 7.818713493E-05 5.073196292E-01
 7.500000000E-01 7.985606499E-05 5.125523806E-01
 7.500000000E-01 8.155852265E-05 5.177456737E-01
 7.500000000E-01 8.329078264E-05 5.228993893E-01
 7.500000000E-01 8.506029553E-05 5.280138254E-01
 7.500000000E-01 8.686333604E-05 5.330890417E-01
 7.500000000E-01 8.869990415E-05 5.381252170E-01
 7.500000000E-01 9.057745046E-05 5.431227088E-01
 7.500000000E-01 9.248852439E-05 5.480818152E-01
 7.500000000E-01 9.443685121E-05 5.530028939E-01
 7.500000000E-01 9.642243094E-05 5.578863621E-01
 7.500000000E-01 9.844898887E-05 5.627325177E-01
 7.500000000E-01 1.005165250E-04 5.675420165E-01
 7.500000000E-01 1.026250393E-04 5.723152161E-01
 7.500000000E-01 1.047708065E-04 5.770525932E-01
 7.500000000E-01 1.069650025E-04 5.817547441E-01
 7.500000000E-01 1.092001767E-04 5.864221454E-01
 7.500000000E-01 1.114800543E-04 5.910554528E-01
 7.500000000E-01 1.138046355E-04 5.956552029E-01
 7.500000000E-01 1.161739201E-04 6.002219319E-01
 7.500000000E-01 1.185953588E-04 6.047562957E-01
 7.500000000E-01 1.210615010E-04 6.092588902E-01
 7.500000000E-01 1.235760719E-04 6.137304902E-01
 7.500000000E-01 1.261427969E-04 6.181715131E-01
 7.500000000E-01 1.287616760E-04 6.225826740E-01
 7.500000000E-01 1.314289839E-04 6.269646287E-01
 7.500000000E-01 1.341558964E-04 6.313180923E-01
 7.500000000E-01 1.369312376E-04 6.356436014E-01
 7.500000000E-01 1.397661836E-04 6.399419308E-01
 7.500000000E-01 1.426570088E-04 6.442135572E-01
 7.500000000E-01 1.456037135E-04 6.484592557E-01
 7.500000000E-01 1.486137480E-04 6.526796818E-01
 7.500000000E-01 1.516796619E-04 6.568754911E-01
 7.500000000E-01 1.548126311E-04 6.610472202E-01
 7.500000000E-01 1.580052049E-04 6.651956439E-01
 7.500000000E-01 1.612611086E-04 6.693212986E-01
 7.500000000E-01 1.645840675E-04 6.734248400E-01
 7.500000000E-01 1.679740817E-04 6.775068641E-01
 7.500000000E-01 1.714311511E-04 6.815680861E-01
 7.500000000E-01 1.749590010E-04 6.856091619E-01
 7.500000000E-01 1.785576314E-04 6.896305084E-01
 7.500000000E-01 1.822307677E-04 6.936328411E-01
 7.500000000E-01 1.859746844E-04 6.976166964E-01
 7.500000000E-01 1.897968323E-04 7.015827298E-01
 7.500000000E-01 1.936972112E-04 7.055315375E-01
 7.500000000E-01 1.976720960E-04 7.094635963E-01
 7.500000000E-01 2.017326624E-04 7.133796215E-01
 7.500000000E-01 2.058714599E-04 7.172799110E-01
 7.500000000E-01 2.100959391E-04 7.211652994E-01
 7.500000000E-01 2.144023747E-04 7.250362039E-01
 7.500000000E-01 2.188019425E-04 7.288931012E-01
 7.500000000E-01 2.232871921E-04 7.327365875E-01
 7.500000000E-01 2.278618485E-04 7.365671992E-01
 7.500000000E-01 2.325296373E-04 7.403854728E-01
 7.500000000E-01 2.372942836E-04 7.441916466E-01
 7.500000000E-01 2.421557874E-04 7.479865551E-01
 7.500000000E-01 2.471141634E-04 7.517704368E-01
 7.500000000E-01 2.521731076E-04 7.555438876E-01
 7.500000000E-01 2.573326346E-04 7.593073249E-01
 7.500000000E-01 2.626001951E-04 7.630612254E-01
 7.500000000E-01 2.679720637E-04 7.668060660E-01
 7.500000000E-01 2.734556911E-04 7.705422044E-01
 7.500000000E-01 2.790473518E-04 7.742699981E-01
