variables="N","h^2=1/N","h=sqrt(1/N)","C_f"
zone, t="CFL3D sst-2003, x=0.75"
901120.  1.10973e-6  1.05344e-3  0.59332833600000E-02
225280.  4.43892e-6  2.10687e-3  0.59074005100000E-02
 56320.  1.77557e-5  4.21375e-3  0.58490247500000E-02
 14080.  7.10227e-5  8.42750e-3  0.56961742200000E-02
  3520.  2.84091e-4  1.68550e-2  0.52396715600000E-02
zone, t="FUN3D sst-2003, x=0.75"
901120.  1.10973e-6  1.05344e-3  5.950621795E-03
225280.  4.43892e-6  2.10687e-3  5.918950308E-03
 56320.  1.77557e-5  4.21375e-3  5.858978257E-03
 14080.  7.10227e-5  8.42750e-3  5.721472204E-03
  3520.  2.84091e-4  1.68550e-2  5.363626406E-03
# Convergence of Cf at x=0.6321975 drag with grid size
zone, t="CFL3D sst-2003, x=0.6321975"
901120.  1.10973e-6  1.05344e-3  0.50247125300000E-02
225280.  4.43892e-6  2.10687e-3  0.50085489600000E-02
 56320.  1.77557e-5  4.21375e-3  0.49770432500000E-02
 14080.  7.10227e-5  8.42750e-3  0.49250386700000E-02
  3520.  2.84091e-4  1.68550e-2  0.48952321500000E-02
zone, t="FUN3D sst-2003, x=0.6321975"
901120.  1.10973e-6  1.05344e-3  5.043900572E-03
225280.  4.43892e-6  2.10687e-3  5.025501829E-03
 56320.  1.77557e-5  4.21375e-3  5.002589896E-03
 14080.  7.10227e-5  8.42750e-3  4.938722122E-03
  3520.  2.84091e-4  1.68550e-2  4.653488286E-03
# Convergence of Cf at x=0.8678025 drag with grid size
zone, t="CFL3D sst-2003, x=0.8678025"
901120.  1.10973e-6  1.05344e-3  0.26024561400000E-02
225280.  4.43892e-6  2.10687e-3  0.26007180600000E-02
 56320.  1.77557e-5  4.21375e-3  0.25968083600000E-02
 14080.  7.10227e-5  8.42750e-3  0.25864499600000E-02
  3520.  2.84091e-4  1.68550e-2  0.25808550400000E-02
zone, t="FUN3D sst-2003, x=0.8678025"
901120.  1.10973e-6  1.05344e-3  2.632199787E-03
225280.  4.43892e-6  2.10687e-3  2.647209680E-03
 56320.  1.77557e-5  4.21375e-3  2.662990009E-03
 14080.  7.10227e-5  8.42750e-3  2.728743013E-03
  3520.  2.84091e-4  1.68550e-2  2.974799136E-03
