VARIABLES = "x","y-y0","u"
ZONE T="x=0.75"
 7.500000000E-01 0.000000000E+00 0.000000000E+00
 7.500000000E-01 4.962086564E-07 4.433805123E-03
 7.500000000E-01 9.916723229E-07 8.869437501E-03
 7.500000000E-01 1.487135933E-06 1.330870204E-02
 7.500000000E-01 1.982599542E-06 1.775340736E-02
 7.500000000E-01 2.478063152E-06 2.220536023E-02
 7.500000000E-01 2.977252052E-06 2.666637115E-02
 7.500000000E-01 3.476440952E-06 3.113825619E-02
 7.500000000E-01 3.975629625E-06 3.562283516E-02
 7.500000000E-01 4.478543815E-06 4.012192786E-02
 7.500000000E-01 4.981458005E-06 4.463734478E-02
 7.500000000E-01 5.488097486E-06 4.917092994E-02
 7.500000000E-01 5.998462257E-06 5.372451618E-02
 7.500000000E-01 6.508827028E-06 5.829993263E-02
 7.500000000E-01 7.022917089E-06 6.289900839E-02
 7.500000000E-01 7.537007150E-06 6.752359122E-02
 7.500000000E-01 8.058547792E-06 7.217551768E-02
 7.500000000E-01 8.580088434E-06 7.685662806E-02
 7.500000000E-01 9.105354366E-06 8.156874031E-02
 7.500000000E-01 9.638070878E-06 8.631369472E-02
 7.500000000E-01 1.017078739E-05 9.109329432E-02
 7.500000000E-01 1.070722919E-05 9.590935707E-02
 7.500000000E-01 1.125112158E-05 1.007636562E-01
 7.500000000E-01 1.179873925E-05 1.056579798E-01
 7.500000000E-01 1.235008222E-05 1.105940491E-01
 7.500000000E-01 1.290515047E-05 1.155735701E-01
 7.500000000E-01 1.346766931E-05 1.205982193E-01
 7.500000000E-01 1.403391343E-05 1.256696135E-01
 7.500000000E-01 1.460760814E-05 1.307893097E-01
 7.500000000E-01 1.518502813E-05 1.359587759E-01
 7.500000000E-01 1.576989962E-05 1.411794275E-01
 7.500000000E-01 1.636222078E-05 1.464525908E-01
 7.500000000E-01 1.696199251E-05 1.517794877E-01
 7.500000000E-01 1.756548954E-05 1.571611762E-01
 7.500000000E-01 1.818016244E-05 1.625985801E-01
 7.500000000E-01 1.879856063E-05 1.680925488E-01
 7.500000000E-01 1.942440940E-05 1.736436784E-01
 7.500000000E-01 2.006143404E-05 1.792523414E-01
 7.500000000E-01 2.070590926E-05 1.849188507E-01
 7.500000000E-01 2.135783507E-05 1.906430870E-01
 7.500000000E-01 2.201721145E-05 1.964248568E-01
 7.500000000E-01 2.268776370E-05 2.022636086E-01
 7.500000000E-01 2.336576654E-05 2.081585079E-01
 7.500000000E-01 2.405494524E-05 2.141084671E-01
 7.500000000E-01 2.475157453E-05 2.201120853E-01
 7.500000000E-01 2.545937969E-05 2.261676192E-01
 7.500000000E-01 2.617836071E-05 2.322730571E-01
 7.500000000E-01 2.690851761E-05 2.384260148E-01
 7.500000000E-01 2.764612509E-05 2.446238101E-01
 7.500000000E-01 2.839863373E-05 2.508635223E-01
 7.500000000E-01 2.916231824E-05 2.571418583E-01
 7.500000000E-01 2.993717862E-05 2.634553313E-01
 7.500000000E-01 3.072321488E-05 2.698001564E-01
 7.500000000E-01 3.152042700E-05 2.761724293E-01
 7.500000000E-01 3.233254029E-05 2.825680375E-01
 7.500000000E-01 3.315955473E-05 2.889827192E-01
 7.500000000E-01 3.399774505E-05 2.954121232E-01
 7.500000000E-01 3.485083653E-05 3.018518686E-01
 7.500000000E-01 3.571882917E-05 3.082976043E-01
 7.500000000E-01 3.659799768E-05 3.147449493E-01
 7.500000000E-01 3.749579264E-05 3.211895823E-01
 7.500000000E-01 3.840848876E-05 3.276273608E-01
 7.500000000E-01 3.933236076E-05 3.340542912E-01
 7.500000000E-01 4.027858449E-05 3.404664993E-01
 7.500000000E-01 4.123598410E-05 3.468602896E-01
 7.500000000E-01 4.221201016E-05 3.532322943E-01
 7.500000000E-01 4.320666267E-05 3.595791757E-01
 7.500000000E-01 4.421621634E-05 3.658980727E-01
 7.500000000E-01 4.524812175E-05 3.721862435E-01
 7.500000000E-01 4.629492832E-05 3.784411550E-01
 7.500000000E-01 4.736036135E-05 3.846606314E-01
 7.500000000E-01 4.844442083E-05 3.908427060E-01
 7.500000000E-01 4.955083205E-05 3.969855905E-01
 7.500000000E-01 5.067586972E-05 4.030877948E-01
 7.500000000E-01 5.182325913E-05 4.091480970E-01
 7.500000000E-01 5.298927499E-05 4.151653647E-01
 7.500000000E-01 5.417764260E-05 4.211387038E-01
 7.500000000E-01 5.538836194E-05 4.270675480E-01
 7.500000000E-01 5.662143303E-05 4.329513013E-01
 7.500000000E-01 5.787685586E-05 4.387919605E-01
 7.500000000E-01 5.915835573E-05 4.445936680E-01
 7.500000000E-01 6.046220733E-05 4.503590167E-01
 7.500000000E-01 6.178840704E-05 4.560880661E-01
 7.500000000E-01 6.314441271E-05 4.617800713E-01
 7.500000000E-01 6.452277012E-05 4.674341977E-01
 7.500000000E-01 6.592720456E-05 4.730498195E-01
 7.500000000E-01 6.736144132E-05 4.786262512E-01
 7.500000000E-01 6.882175512E-05 4.841631055E-01
 7.500000000E-01 7.030814595E-05 4.896597862E-01
 7.500000000E-01 7.182433910E-05 4.951160550E-01
 7.500000000E-01 7.337033458E-05 5.005314946E-01
 7.500000000E-01 7.494613237E-05 5.059059858E-01
 7.500000000E-01 7.655173249E-05 5.112394094E-01
 7.500000000E-01 7.818713493E-05 5.165315866E-01
 7.500000000E-01 7.985606499E-05 5.217825770E-01
 7.500000000E-01 8.155852265E-05 5.269924998E-01
 7.500000000E-01 8.329078264E-05 5.321612358E-01
 7.500000000E-01 8.506029553E-05 5.372892618E-01
 7.500000000E-01 8.686333604E-05 5.423765182E-01
 7.500000000E-01 8.869990415E-05 5.474233627E-01
 7.500000000E-01 9.057745046E-05 5.524300933E-01
 7.500000000E-01 9.248852439E-05 5.573970675E-01
 7.500000000E-01 9.443685121E-05 5.623246431E-01
 7.500000000E-01 9.642243094E-05 5.672132969E-01
 7.500000000E-01 9.844898887E-05 5.720634460E-01
 7.500000000E-01 1.005165250E-04 5.768755078E-01
 7.500000000E-01 1.026250393E-04 5.816500783E-01
 7.500000000E-01 1.047708065E-04 5.863875747E-01
 7.500000000E-01 1.069650025E-04 5.910885930E-01
 7.500000000E-01 1.092001767E-04 5.957537293E-01
 7.500000000E-01 1.114800543E-04 6.003834009E-01
 7.500000000E-01 1.138046355E-04 6.049783826E-01
 7.500000000E-01 1.161739201E-04 6.095390916E-01
 7.500000000E-01 1.185953588E-04 6.140663028E-01
 7.500000000E-01 1.210615010E-04 6.185605526E-01
 7.500000000E-01 1.235760719E-04 6.230224371E-01
 7.500000000E-01 1.261427969E-04 6.274527311E-01
 7.500000000E-01 1.287616760E-04 6.318517923E-01
 7.500000000E-01 1.314289839E-04 6.362204552E-01
 7.500000000E-01 1.341558964E-04 6.405592561E-01
 7.500000000E-01 1.369312376E-04 6.448688507E-01
 7.500000000E-01 1.397661836E-04 6.491499543E-01
 7.500000000E-01 1.426570088E-04 6.534029245E-01
 7.500000000E-01 1.456037135E-04 6.576286554E-01
 7.500000000E-01 1.486137480E-04 6.618275642E-01
 7.500000000E-01 1.516796619E-04 6.660003066E-01
 7.500000000E-01 1.548126311E-04 6.701474190E-01
 7.500000000E-01 1.580052049E-04 6.742695570E-01
 7.500000000E-01 1.612611086E-04 6.783674955E-01
 7.500000000E-01 1.645840675E-04 6.824416518E-01
 7.500000000E-01 1.679740817E-04 6.864932179E-01
 7.500000000E-01 1.714311511E-04 6.905233860E-01
 7.500000000E-01 1.749590010E-04 6.945332289E-01
 7.500000000E-01 1.785576314E-04 6.985234618E-01
 7.500000000E-01 1.822307677E-04 7.024950385E-01
 7.500000000E-01 1.859746844E-04 7.064490318E-01
 7.500000000E-01 1.897968323E-04 7.103855610E-01
 7.500000000E-01 1.936972112E-04 7.143055201E-01
 7.500000000E-01 1.976720960E-04 7.182090282E-01
 7.500000000E-01 2.017326624E-04 7.220964432E-01
 7.500000000E-01 2.058714599E-04 7.259684205E-01
 7.500000000E-01 2.100959391E-04 7.298252583E-01
 7.500000000E-01 2.144023747E-04 7.336673737E-01
 7.500000000E-01 2.188019425E-04 7.374950647E-01
 7.500000000E-01 2.232871921E-04 7.413088083E-01
 7.500000000E-01 2.278618485E-04 7.451090217E-01
 7.500000000E-01 2.325296373E-04 7.488959432E-01
 7.500000000E-01 2.372942836E-04 7.526699305E-01
 7.500000000E-01 2.421557874E-04 7.564315200E-01
 7.500000000E-01 2.471141634E-04 7.601808310E-01
 7.500000000E-01 2.521731076E-04 7.639182806E-01
 7.500000000E-01 2.573326346E-04 7.676443458E-01
 7.500000000E-01 2.626001951E-04 7.713590860E-01
 7.500000000E-01 2.679720637E-04 7.750630379E-01
 7.500000000E-01 2.734556911E-04 7.787564397E-01
 7.500000000E-01 2.790473518E-04 7.824394703E-01
