variables="x","cf"
zone, t="CFL3D"
 2.780639759E-16 1.730601862E-02
 7.999999798E-04 2.206988260E-02
 1.606264967E-03 8.444868959E-03
 2.418837277E-03 7.134881336E-03
 3.237759229E-03 6.400784478E-03
 4.063073546E-03 5.904090125E-03
 4.894822836E-03 5.583129823E-03
 5.733050406E-03 5.397269968E-03
 6.577799562E-03 5.323213991E-03
 7.429112680E-03 5.332409404E-03
 8.287033997E-03 5.389794242E-03
 9.151606821E-03 5.459003150E-03
 1.002287492E-02 5.513105541E-03
 1.090088207E-02 5.540220998E-03
 1.178567298E-02 5.541171413E-03
 1.267729141E-02 5.523109809E-03
 1.357578207E-02 5.494011100E-03
 1.448118873E-02 5.459921900E-03
 1.539355703E-02 5.424477626E-03
 1.631293073E-02 5.389460828E-03
 1.723935641E-02 5.355531350E-03
 1.817287691E-02 5.322763696E-03
 1.911354065E-02 5.290975329E-03
 2.006139047E-02 5.259905010E-03
 2.101647109E-02 5.229310598E-03
 2.197883092E-02 5.199014675E-03
 2.294851467E-02 5.168922246E-03
 2.392556891E-02 5.139012355E-03
 2.491003834E-02 5.109312478E-03
 2.590196952E-02 5.079882685E-03
 2.690140903E-02 5.050800741E-03
 2.790840343E-02 5.022140685E-03
 2.892299928E-02 4.993960727E-03
 2.994524129E-02 4.966309760E-03
 3.097517975E-02 4.939227365E-03
 3.201285750E-02 4.912737291E-03
 3.305832669E-02 4.886846989E-03
 3.411163017E-02 4.861555528E-03
 3.517281637E-02 4.836860113E-03
 3.624192998E-02 4.812753759E-03
 3.731902316E-02 4.789222497E-03
 3.840414062E-02 4.766246304E-03
 3.949733078E-02 4.743803758E-03
 4.059864208E-02 4.721876699E-03
 4.170811921E-02 4.700449295E-03
 4.282581061E-02 4.679504316E-03
 4.395176470E-02 4.659021739E-03
 4.508602992E-02 4.638978746E-03
 4.622865468E-02 4.619354382E-03
 4.737968370E-02 4.600133281E-03
 4.853916913E-02 4.581301007E-03
 4.970715567E-02 4.562844988E-03
 5.088369548E-02 4.544749856E-03
 5.206883326E-02 4.527000710E-03
 5.326262116E-02 4.509580322E-03
 5.446510017E-02 4.492472857E-03
 5.567632616E-02 4.475667141E-03
 5.689634383E-02 4.459154326E-03
 5.812519789E-02 4.442925099E-03
 5.936294422E-02 4.426971078E-03
 6.060962752E-02 4.411281087E-03
 6.186529621E-02 4.395844880E-03
 6.312999874E-02 4.380651750E-03
 6.440377980E-02 4.365689121E-03
 6.568669528E-02 4.350950010E-03
 6.697878242E-02 4.336427897E-03
 6.828010082E-02 4.322118126E-03
 6.959069520E-02 4.308014642E-03
 7.091061771E-02 4.294109996E-03
 7.223990560E-02 4.280398134E-03
 7.357861102E-02 4.266872071E-03
 7.492678612E-02 4.253526684E-03
 7.628447562E-02 4.240354523E-03
 7.765173167E-02 4.227345344E-03
 7.902859896E-02 4.214488901E-03
 8.041512221E-02 4.201772623E-03
 8.181135356E-02 4.189183004E-03
 8.321733773E-02 4.176706541E-03
 8.463312685E-02 4.164335318E-03
 8.605875820E-02 4.152066540E-03
 8.749429882E-02 4.139899276E-03
 8.893977106E-02 4.127833527E-03
 9.039524198E-02 4.115869757E-03
 9.186074883E-02 4.104008432E-03
 9.333634377E-02 4.092246760E-03
 9.482206404E-02 4.080584273E-03
 9.631796926E-02 4.069022369E-03
 9.782408923E-02 4.057559650E-03
 9.934049100E-02 4.046196118E-03
 1.008672044E-01 4.034928977E-03
 1.024042815E-01 4.023756832E-03
 1.039517671E-01 4.012676887E-03
 1.055097058E-01 4.001688212E-03
 1.070781425E-01 3.990788944E-03
 1.086571217E-01 3.979975823E-03
 1.102466956E-01 3.969246056E-03
 1.118469015E-01 3.958596848E-03
 1.134577915E-01 3.948024940E-03
 1.150793955E-01 3.937529866E-03
 1.167117655E-01 3.927110229E-03
 1.183549538E-01 3.916765098E-03
 1.200089902E-01 3.906492610E-03
 1.216739267E-01 3.896291833E-03
 1.233498007E-01 3.886160674E-03
 1.250366569E-01 3.876096802E-03
 1.267345399E-01 3.866098588E-03
 1.284434944E-01 3.856163938E-03
 1.301635504E-01 3.846290987E-03
 1.318947524E-01 3.836477408E-03
 1.336371601E-01 3.826720873E-03
 1.353907883E-01 3.817018587E-03
 1.371556818E-01 3.807368455E-03
 1.389319003E-01 3.797770245E-03
 1.407194734E-01 3.788222792E-03
 1.425184160E-01 3.778724466E-03
 1.443288028E-01 3.769273637E-03
 1.461506635E-01 3.759868676E-03
 1.479840279E-01 3.750508185E-03
 1.498289257E-01 3.741190536E-03
 1.516854167E-01 3.731914330E-03
 1.535535157E-01 3.722677706E-03
 1.554332823E-01 3.713479033E-03
 1.573247313E-01 3.704316448E-03
 1.592279077E-01 3.695187159E-03
 1.611428410E-01 3.686088137E-03
 1.630695611E-01 3.677017288E-03
 1.650081277E-01 3.667973215E-03
 1.669585407E-01 3.658955451E-03
 1.689208597E-01 3.649962833E-03
 1.708951145E-01 3.640993964E-03
 1.728813201E-01 3.632046748E-03
 1.748795062E-01 3.623120254E-03
 1.768897325E-01 3.614211921E-03
 1.789119989E-01 3.605320351E-03
 1.809463501E-01 3.596443683E-03
 1.829928160E-01 3.587580053E-03
 1.850514114E-01 3.578727134E-03
 1.871221811E-01 3.569882829E-03
 1.892051548E-01 3.561043879E-03
 1.913003325E-01 3.552207258E-03
 1.934077740E-01 3.543371102E-03
 1.955274791E-01 3.534534248E-03
 1.976594776E-01 3.525695531E-03
 1.998037994E-01 3.516853089E-03
 2.019604743E-01 3.508004360E-03
 2.041295022E-01 3.499147249E-03
 2.063109279E-01 3.490278963E-03
 2.085047662E-01 3.481396707E-03
 2.107110322E-01 3.472498385E-03
 2.129297554E-01 3.463580972E-03
 2.151609361E-01 3.454641905E-03
 2.174046040E-01 3.445678391E-03
 2.196607888E-01 3.436686005E-03
 2.219294906E-01 3.427660558E-03
 2.242107242E-01 3.418599255E-03
 2.265045196E-01 3.409499768E-03
 2.288108766E-01 3.400359536E-03
 2.311298251E-01 3.391175065E-03
 2.334613651E-01 3.381942865E-03
 2.358054966E-01 3.372658975E-03
 2.381622493E-01 3.363318974E-03
 2.405316383E-01 3.353918903E-03
 2.429136485E-01 3.344453871E-03
 2.453083098E-01 3.334918991E-03
 2.477156222E-01 3.325308673E-03
 2.501356006E-01 3.315615701E-03
 2.525682449E-01 3.305833787E-03
 2.550135255E-01 3.295957344E-03
 2.574715018E-01 3.285981016E-03
 2.599421442E-01 3.275898518E-03
 2.624254823E-01 3.265702864E-03
 2.649214864E-01 3.255385906E-03
 2.674301565E-01 3.244939027E-03
 2.699515224E-01 3.234352684E-03
 2.724855542E-01 3.223616397E-03
 2.750322521E-01 3.212718060E-03
 2.775916159E-01 3.201643704E-03
 2.801636457E-01 3.190380055E-03
 2.827483416E-01 3.178913845E-03
 2.853456736E-01 3.167229705E-03
 2.879556417E-01 3.155310173E-03
 2.905782461E-01 3.143134061E-03
 2.932134569E-01 3.130675294E-03
 2.958613038E-01 3.117902437E-03
 2.985217273E-01 3.104777075E-03
 3.011947274E-01 3.091254737E-03
 3.038803041E-01 3.077300498E-03
 3.065784574E-01 3.062903881E-03
 3.092890978E-01 3.048070008E-03
 3.120122850E-01 3.032807261E-03
 3.147479594E-01 3.017124487E-03
 3.174961209E-01 3.001033561E-03
 3.202567399E-01 2.984550083E-03
 3.230297565E-01 2.967694309E-03
 3.258152306E-01 2.950487658E-03
 3.286130428E-01 2.932948992E-03
 3.314232230E-01 2.915103920E-03
 3.342457414E-01 2.897004131E-03
 3.370805681E-01 2.878679894E-03
 3.399276435E-01 2.860131441E-03
 3.427869678E-01 2.841394162E-03
 3.456584811E-01 2.822497860E-03
 3.485421836E-01 2.803521464E-03
 3.514380157E-01 2.784562763E-03
 3.543459177E-01 2.765584737E-03
 3.572659194E-01 2.746555256E-03
 3.601979017E-01 2.727607731E-03
 3.631418645E-01 2.708902117E-03
 3.660977483E-01 2.690374386E-03
 3.690654933E-01 2.671922324E-03
 3.720450699E-01 2.653837902E-03
 3.750364482E-01 2.636242425E-03
 3.780395389E-01 2.618812257E-03
 3.810542822E-01 2.601870801E-03
 3.840806186E-01 2.585596172E-03
 3.871185184E-01 2.569660544E-03
 3.901678622E-01 2.554445062E-03
 3.932286203E-01 2.539825859E-03
 3.963007331E-01 2.525877906E-03
 3.993840814E-01 2.512903651E-03
 4.024785757E-01 2.500561997E-03
 4.055841863E-01 2.489120234E-03
 4.087007940E-01 2.478610026E-03
 4.118283093E-01 2.469038591E-03
 4.149666429E-01 2.460523741E-03
 4.181156456E-01 2.453024732E-03
 4.212752879E-01 2.446683124E-03
 4.244453907E-01 2.441433026E-03
 4.276258647E-01 2.437433228E-03
 4.308166206E-01 2.434602240E-03
 4.340174794E-01 2.433075802E-03
 4.372283220E-01 2.432906535E-03
 4.404490292E-01 2.433961490E-03
 4.436794519E-01 2.436638111E-03
 4.469194710E-01 2.440478187E-03
 4.501688778E-01 2.445807448E-03
 4.534275532E-01 2.452748362E-03
 4.566953778E-01 2.460926771E-03
 4.599721134E-01 2.470991807E-03
 4.632576406E-01 2.482369775E-03
 4.665518105E-01 2.495170571E-03
 4.698544145E-01 2.510100370E-03
 4.731652737E-01 2.526280470E-03
 4.764842689E-01 2.543915529E-03
 4.798111618E-01 2.563722199E-03
 4.831458032E-01 2.585045295E-03
 4.864880145E-01 2.607677598E-03
 4.898376465E-01 2.632353455E-03
 4.931944907E-01 2.659046790E-03
 4.965583980E-01 2.687051194E-03
 4.999292195E-01 2.716653980E-03
 5.033067465E-01 2.748438623E-03
 5.066908002E-01 2.782075433E-03
 5.100812912E-01 2.817157889E-03
 5.134780407E-01 2.853832906E-03
 5.168808699E-01 2.892613178E-03
 5.202897191E-01 2.933486598E-03
 5.237043500E-01 2.975832205E-03
 5.271247625E-01 3.019746626E-03
 5.305507779E-01 3.065461991E-03
 5.339823365E-01 3.113182262E-03
 5.374191999E-01 3.162913956E-03
 5.408614874E-01 3.214146709E-03
 5.443089604E-01 3.266958287E-03
 5.477616787E-01 3.321538214E-03
 5.512195230E-01 3.377808491E-03
 5.546824932E-01 3.435935592E-03
 5.581504703E-01 3.495861078E-03
 5.616235137E-01 3.557241522E-03
 5.651015639E-01 3.620117437E-03
 5.685847402E-01 3.684576135E-03
 5.720728636E-01 3.750542179E-03
 5.755661130E-01 3.817972727E-03
 5.790644884E-01 3.886829596E-03
 5.825679898E-01 3.957091365E-03
 5.860767365E-01 4.028634634E-03
 5.895906687E-01 4.101322033E-03
 5.931099653E-01 4.175115842E-03
 5.966346264E-01 4.249964375E-03
 6.001648307E-01 4.325770307E-03
 6.037005186E-01 4.402431659E-03
 6.072419286E-01 4.479847848E-03
 6.107890606E-01 4.557900131E-03
 6.143419743E-01 4.636464640E-03
 6.179008484E-01 4.715410527E-03
 6.214657426E-01 4.794588778E-03
 6.250367761E-01 4.873853642E-03
 6.286140084E-01 4.953032825E-03
 6.321974993E-01 5.031947047E-03
 6.357874274E-01 5.110421218E-03
 6.393837333E-01 5.188250449E-03
 6.429865360E-01 5.265221000E-03
 6.465959549E-01 5.341124721E-03
 6.502119303E-01 5.415722728E-03
 6.538345814E-01 5.488768220E-03
 6.574639082E-01 5.560021382E-03
 6.610997915E-01 5.629224237E-03
 6.647424102E-01 5.696101580E-03
 6.683915854E-01 5.760382861E-03
 6.720473170E-01 5.821804050E-03
 6.757094860E-01 5.880079232E-03
 6.793780923E-01 5.934919696E-03
 6.830529571E-01 5.986060947E-03
 6.867339015E-01 6.033251528E-03
 6.904208660E-01 6.076233461E-03
 6.941135526E-01 6.114744581E-03
 6.978118420E-01 6.147962529E-03
 7.015154362E-01 6.175612099E-03
 7.052240968E-01 6.198344752E-03
 7.089375854E-01 6.215844303E-03
 7.126555443E-01 6.227607839E-03
 7.163776159E-01 6.233566906E-03
 7.201035023E-01 6.233599503E-03
 7.238328457E-01 6.227207836E-03
 7.275652289E-01 6.213739514E-03
