variables="x","cp"
zone, t="CFL3D"
 2.780600055E-16 6.336999685E-02
 7.999999798E-04 3.503900021E-02
 1.606300008E-03 2.376200072E-02
 2.418800024E-03 2.594400011E-02
 3.237799974E-03 2.533599921E-02
 4.063100088E-03 2.573500015E-02
 4.894800019E-03 2.607499994E-02
 5.733100232E-03 2.674500085E-02
 6.577800028E-03 2.767200023E-02
 7.429100107E-03 2.875999920E-02
 8.286999539E-03 2.976099961E-02
 9.151600301E-03 3.050399944E-02
 1.002299972E-02 3.094200045E-02
 1.090100035E-02 3.114099987E-02
 1.178599987E-02 3.118900023E-02
 1.267699990E-02 3.116199933E-02
 1.357600000E-02 3.111400083E-02
 1.448099967E-02 3.106999956E-02
 1.539400034E-02 3.103400022E-02
 1.631299965E-02 3.101599962E-02
 1.723900065E-02 3.101000004E-02
 1.817299984E-02 3.101300076E-02
 1.911400072E-02 3.102199920E-02
 2.006099932E-02 3.103400022E-02
 2.101599984E-02 3.104900010E-02
 2.197900042E-02 3.106399998E-02
 2.294900082E-02 3.107899986E-02
 2.392599918E-02 3.109399974E-02
 2.490999922E-02 3.111100011E-02
 2.590199932E-02 3.112900071E-02
 2.690099925E-02 3.115000017E-02
 2.790799923E-02 3.117099963E-02
 2.892299928E-02 3.119800054E-02
 2.994499914E-02 3.122499958E-02
 3.097499907E-02 3.125499934E-02
 3.201299906E-02 3.128699958E-02
 3.305799887E-02 3.132300079E-02
 3.411199898E-02 3.136200085E-02
 3.517299891E-02 3.140399978E-02
 3.624200076E-02 3.144500032E-02
 3.731900081E-02 3.149000183E-02
 3.840399906E-02 3.154100105E-02
 3.949699923E-02 3.159099817E-02
 4.059899971E-02 3.164200112E-02
 4.170800000E-02 3.169900179E-02
 4.282600060E-02 3.175500035E-02
 4.395199940E-02 3.181499988E-02
 4.508600011E-02 3.187699988E-02
 4.622900113E-02 3.193999827E-02
 4.738000035E-02 3.200599924E-02
 4.853900149E-02 3.207400069E-02
 4.970699921E-02 3.214300051E-02
 5.088400096E-02 3.221699968E-02
 5.206900090E-02 3.228899837E-02
 5.326300114E-02 3.236600012E-02
 5.446499959E-02 3.244400024E-02
 5.567599833E-02 3.252400085E-02
 5.689600110E-02 3.260499984E-02
 5.812500045E-02 3.268799931E-02
 5.936300009E-02 3.277400136E-02
 6.061000004E-02 3.286400065E-02
 6.186499819E-02 3.295300156E-02
 6.312999874E-02 3.304599971E-02
 6.440400332E-02 3.314099833E-02
 6.568700075E-02 3.323600069E-02
 6.697899848E-02 3.333500028E-02
 6.827999651E-02 3.343300149E-02
 6.959100068E-02 3.353700042E-02
 7.091099769E-02 3.364200145E-02
 7.224000245E-02 3.374899924E-02
 7.357899845E-02 3.385600075E-02
 7.492700219E-02 3.396999836E-02
