VARIABLES = "x","y-y0","u"
ZONE T="x=0.75"
 7.500000000E-01 7.450580708E-10 0.000000000E+00
 7.500000000E-01 4.962086564E-07 4.453370813E-03
 7.500000000E-01 9.916723229E-07 8.908573538E-03
 7.500000000E-01 1.487135933E-06 1.336742193E-02
 7.500000000E-01 1.982599542E-06 1.783172786E-02
 7.500000000E-01 2.478063152E-06 2.230330929E-02
 7.500000000E-01 2.977252052E-06 2.678398788E-02
 7.500000000E-01 3.476440952E-06 3.127558529E-02
 7.500000000E-01 3.975629625E-06 3.577992320E-02
 7.500000000E-01 4.478543815E-06 4.029883444E-02
 7.500000000E-01 4.981458005E-06 4.483415931E-02
 7.500000000E-01 5.488097486E-06 4.938772693E-02
 7.500000000E-01 5.998462257E-06 5.396138877E-02
 7.500000000E-01 6.508827028E-06 5.855698511E-02
 7.500000000E-01 7.022917089E-06 6.317637861E-02
 7.500000000E-01 7.537007150E-06 6.782139838E-02
 7.500000000E-01 8.058547792E-06 7.249393314E-02
 7.500000000E-01 8.580088434E-06 7.719582319E-02
 7.500000000E-01 9.105354366E-06 8.192893118E-02
 7.500000000E-01 9.638070878E-06 8.669512719E-02
 7.500000000E-01 1.017078739E-05 9.149624407E-02
 7.500000000E-01 1.070722919E-05 9.633413702E-02
 7.500000000E-01 1.125112158E-05 1.012106314E-01
 7.500000000E-01 1.179873925E-05 1.061275676E-01
 7.500000000E-01 1.235008222E-05 1.110867485E-01
 7.500000000E-01 1.290515047E-05 1.160899475E-01
 7.500000000E-01 1.346766931E-05 1.211389303E-01
 7.500000000E-01 1.403391343E-05 1.262354106E-01
 7.500000000E-01 1.460760814E-05 1.313810647E-01
 7.500000000E-01 1.518502813E-05 1.365775168E-01
 7.500000000E-01 1.576989962E-05 1.418263316E-01
 7.500000000E-01 1.636222078E-05 1.471289843E-01
 7.500000000E-01 1.696199251E-05 1.524869055E-01
 7.500000000E-01 1.756548954E-05 1.579013765E-01
 7.500000000E-01 1.818016244E-05 1.633736044E-01
 7.500000000E-01 1.879856063E-05 1.689046770E-01
 7.500000000E-01 1.942440940E-05 1.744954884E-01
 7.500000000E-01 2.006143404E-05 1.801467985E-01
 7.500000000E-01 2.070590926E-05 1.858591884E-01
 7.500000000E-01 2.135783507E-05 1.916330457E-01
 7.500000000E-01 2.201721145E-05 1.974685192E-01
 7.500000000E-01 2.268776370E-05 2.033655494E-01
 7.500000000E-01 2.336576654E-05 2.093237638E-01
 7.500000000E-01 2.405494524E-05 2.153425813E-01
 7.500000000E-01 2.475157453E-05 2.214210629E-01
 7.500000000E-01 2.545937969E-05 2.275580317E-01
 7.500000000E-01 2.617836071E-05 2.337519079E-01
 7.500000000E-01 2.690851761E-05 2.400008738E-01
 7.500000000E-01 2.764612509E-05 2.463027239E-01
 7.500000000E-01 2.839863373E-05 2.526549101E-01
 7.500000000E-01 2.916231824E-05 2.590546012E-01
 7.500000000E-01 2.993717862E-05 2.654986382E-01
 7.500000000E-01 3.072321488E-05 2.719835341E-01
 7.500000000E-01 3.152042700E-05 2.785055339E-01
 7.500000000E-01 3.233254029E-05 2.850606143E-01
 7.500000000E-01 3.315955473E-05 2.916446030E-01
 7.500000000E-01 3.399774505E-05 2.982530296E-01
 7.500000000E-01 3.485083653E-05 3.048813045E-01
 7.500000000E-01 3.571882917E-05 3.115248084E-01
 7.500000000E-01 3.659799768E-05 3.181787431E-01
 7.500000000E-01 3.749579264E-05 3.248383403E-01
 7.500000000E-01 3.840848876E-05 3.314989209E-01
 7.500000000E-01 3.933236076E-05 3.381556571E-01
 7.500000000E-01 4.027858449E-05 3.448041081E-01
 7.500000000E-01 4.123598410E-05 3.514397740E-01
 7.500000000E-01 4.221201016E-05 3.580583930E-01
 7.500000000E-01 4.320666267E-05 3.646558523E-01
 7.500000000E-01 4.421621634E-05 3.712283373E-01
 7.500000000E-01 4.524812175E-05 3.777722120E-01
 7.500000000E-01 4.629492832E-05 3.842841983E-01
 7.500000000E-01 4.736036135E-05 3.907611668E-01
 7.500000000E-01 4.844442083E-05 3.972002268E-01
 7.500000000E-01 4.955083205E-05 4.035989344E-01
 7.500000000E-01 5.067586972E-05 4.099549651E-01
 7.500000000E-01 5.182325913E-05 4.162663221E-01
 7.500000000E-01 5.298927499E-05 4.225312471E-01
 7.500000000E-01 5.417764260E-05 4.287482798E-01
 7.500000000E-01 5.538836194E-05 4.349160194E-01
 7.500000000E-01 5.662143303E-05 4.410334826E-01
 7.500000000E-01 5.787685586E-05 4.470998645E-01
 7.500000000E-01 5.915835573E-05 4.531144500E-01
 7.500000000E-01 6.046220733E-05 4.590767920E-01
 7.500000000E-01 6.178840704E-05 4.649865627E-01
 7.500000000E-01 6.314441271E-05 4.708435833E-01
 7.500000000E-01 6.452277012E-05 4.766478539E-01
 7.500000000E-01 6.592720456E-05 4.823994935E-01
 7.500000000E-01 6.736144132E-05 4.880987406E-01
 7.500000000E-01 6.882175512E-05 4.937458038E-01
