VARIABLES = "x","cp"
ZONE T="CFL3D"
 -2.500000000E+01 1.261499943E-03
 -2.454599953E+01 1.261499943E-03
 -2.409900093E+01 1.261499943E-03
 -2.366099930E+01 1.261499943E-03
 -2.323100090E+01 1.261499943E-03
 -2.280900002E+01 1.261499943E-03
 -2.239399910E+01 1.261499943E-03
 -2.198699951E+01 1.261499943E-03
 -2.158699989E+01 1.261499943E-03
 -2.119499969E+01 1.261499943E-03
 -2.080999947E+01 1.261499943E-03
 -2.043099976E+01 1.261499943E-03
 -2.005999947E+01 1.261499943E-03
 -1.969499969E+01 1.261499943E-03
 -1.933699989E+01 1.261499943E-03
 -1.898600006E+01 1.261499943E-03
 -1.864100075E+01 1.261499943E-03
 -1.830200005E+01 1.261499943E-03
 -1.796899986E+01 1.261499943E-03
 -1.764299965E+01 1.261499943E-03
 -1.732200050E+01 1.261499943E-03
 -1.700699997E+01 1.261499943E-03
 -1.669799995E+01 1.261499943E-03
 -1.639399910E+01 1.261499943E-03
 -1.609600067E+01 1.261499943E-03
 -1.580399990E+01 1.261499943E-03
 -1.551599979E+01 1.261499943E-03
 -1.523400021E+01 1.261499943E-03
 -1.495699978E+01 1.261499943E-03
 -1.468500042E+01 1.261499943E-03
 -1.441899967E+01 1.261499943E-03
 -1.415600014E+01 1.261499943E-03
 -1.389900017E+01 1.261499943E-03
 -1.364599991E+01 1.261499943E-03
 -1.339799976E+01 1.261499943E-03
 -1.315499973E+01 1.261499943E-03
 -1.291600037E+01 1.261499943E-03
 -1.268099976E+01 1.261499943E-03
 -1.244999981E+01 1.261499943E-03
 -1.222399998E+01 1.261499943E-03
 -1.200199986E+01 1.261499943E-03
 -1.178400040E+01 1.264499966E-03
 -1.156900024E+01 1.264499966E-03
 -1.135900021E+01 1.264499966E-03
 -1.115299988E+01 1.264499966E-03
 -1.094999981E+01 1.264499966E-03
 -1.075100040E+01 1.264499966E-03
 -1.055500031E+01 1.264499966E-03
 -1.036400032E+01 1.267499989E-03
 -1.017500019E+01 1.267499989E-03
 -9.990200043E+00 1.267499989E-03
 -9.808600426E+00 1.267499989E-03
 -9.630299568E+00 1.270400011E-03
 -9.455200195E+00 1.270400011E-03
 -9.283399582E+00 1.273400034E-03
 -9.114600182E+00 1.273400034E-03
 -8.948900223E+00 1.273400034E-03
 -8.786299706E+00 1.276400057E-03
 -8.626500130E+00 1.276400057E-03
 -8.469699860E+00 1.279399963E-03
 -8.315799713E+00 1.282399986E-03
 -8.164600372E+00 1.282399986E-03
 -8.016200066E+00 1.285300008E-03
 -7.870399952E+00 1.288300031E-03
 -7.727399826E+00 1.291300054E-03
 -7.586900234E+00 1.294299960E-03
 -7.448999882E+00 1.297299983E-03
 -7.313600063E+00 1.300200005E-03
 -7.180600166E+00 1.303200028E-03
 -7.050099850E+00 1.306200051E-03
 -6.921899796E+00 1.312199980E-03
 -6.796100140E+00 1.315100002E-03
 -6.672599792E+00 1.321100048E-03
 -6.551300049E+00 1.324099954E-03
 -6.432199955E+00 1.329999999E-03
 -6.315199852E+00 1.336000045E-03
 -6.200399876E+00 1.341999974E-03
 -6.087699890E+00 1.347900019E-03
 -5.977099895E+00 1.353899948E-03
 -5.868400097E+00 1.362800016E-03
 -5.761700153E+00 1.368799945E-03
 -5.657000065E+00 1.377700013E-03
 -5.554200172E+00 1.383699942E-03
 -5.453199863E+00 1.392600010E-03
 -5.354100227E+00 1.401599962E-03
 -5.256700039E+00 1.410500030E-03
 -5.161200047E+00 1.422400004E-03
 -5.067299843E+00 1.431399956E-03
 -4.975200176E+00 1.443300047E-03
 -4.884799957E+00 1.455200021E-03
 -4.796000004E+00 1.467099995E-03
 -4.708799839E+00 1.478999970E-03
 -4.623199940E+00 1.490999945E-03
 -4.539199829E+00 1.505900058E-03
 -4.456600189E+00 1.520800055E-03
 -4.375599861E+00 1.535700052E-03
 -4.296100140E+00 1.550600049E-03
 -4.217999935E+00 1.565500046E-03
 -4.141300201E+00 1.583399950E-03
 -4.065999985E+00 1.601199969E-03
 -3.992100000E+00 1.619099989E-03
 -3.919500113E+00 1.637000008E-03
 -3.848299980E+00 1.654900028E-03
 -3.778300047E+00 1.675699954E-03
 -3.709599972E+00 1.696599997E-03
 -3.642199993E+00 1.717500039E-03
 -3.575999975E+00 1.741299988E-03
 -3.510999918E+00 1.765100053E-03
 -3.447099924E+00 1.789000002E-03
 -3.384500027E+00 1.812799950E-03
 -3.322900057E+00 1.836700016E-03
 -3.262500048E+00 1.863499987E-03
 -3.203200102E+00 1.890299958E-03
 -3.144999981E+00 1.920099952E-03
 -3.087800026E+00 1.946900040E-03
 -3.031699896E+00 1.976700034E-03
 -2.976599932E+00 2.009500051E-03
 -2.922399998E+00 2.039300045E-03
 -2.869299889E+00 2.072100062E-03
 -2.817100048E+00 2.104900079E-03
 -2.765899897E+00 2.140699886E-03
 -2.715600014E+00 2.176400041E-03
 -2.666300058E+00 2.212200081E-03
 -2.617799997E+00 2.247900004E-03
 -2.570199966E+00 2.286700066E-03
 -2.523499966E+00 2.328400034E-03
 -2.477600098E+00 2.367200097E-03
 -2.432600021E+00 2.408900065E-03
 -2.388299942E+00 2.450600034E-03
 -2.344899893E+00 2.495300025E-03
 -2.302299976E+00 2.540000016E-03
 -2.260400057E+00 2.584700007E-03
 -2.219300032E+00 2.632400021E-03
 -2.178999901E+00 2.680100035E-03
 -2.139300108E+00 2.730699955E-03
 -2.100500107E+00 2.781399991E-03
 -2.062299967E+00 2.832100028E-03
 -2.024800062E+00 2.885699971E-03
 -1.988000035E+00 2.939400030E-03
 -1.951799989E+00 2.992999973E-03
 -1.916300058E+00 3.049599938E-03
 -1.881500006E+00 3.109199926E-03
 -1.847300053E+00 3.168799914E-03
 -1.813699961E+00 3.228399903E-03
 -1.780699968E+00 3.287999891E-03
 -1.748299956E+00 3.353599925E-03
 -1.716500044E+00 3.416199936E-03
 -1.685299993E+00 3.481799969E-03
 -1.654700041E+00 3.547299886E-03
 -1.624600053E+00 3.615899943E-03
 -1.595000029E+00 3.687399905E-03
 -1.565999985E+00 3.755900078E-03
 -1.537500024E+00 3.830400063E-03
 -1.509600043E+00 3.901999909E-03
 -1.482100010E+00 3.979499917E-03
 -1.455199957E+00 4.054000136E-03
 -1.428699970E+00 4.131500144E-03
 -1.402699947E+00 4.211899824E-03
 -1.377200007E+00 4.292400088E-03
 -1.352200031E+00 4.372899886E-03
 -1.327600002E+00 4.456299823E-03
 -1.303400040E+00 4.542700015E-03
 -1.279700041E+00 4.629199859E-03
 -1.256500006E+00 4.715600051E-03
 -1.233600020E+00 4.805000033E-03
 -1.211199999E+00 4.897399805E-03
 -1.189100027E+00 4.989800043E-03
 -1.167500019E+00 5.082100164E-03
 -1.146299958E+00 5.177500192E-03
 -1.125399947E+00 5.272900220E-03
 -1.104900002E+00 5.371199921E-03
 -1.084800005E+00 5.469600204E-03
 -1.065099955E+00 5.570900161E-03
 -1.045699954E+00 5.675199907E-03
 -1.026700020E+00 5.776499864E-03
 -1.008000016E+00 5.883799866E-03
 -9.896699786E-01 5.988100078E-03
 -9.716600180E-01 6.098399870E-03
 -9.539800286E-01 6.205699872E-03
 -9.366199970E-01 6.316000130E-03
 -9.195799828E-01 6.429200061E-03
 -9.028400183E-01 6.542500108E-03
 -8.864099979E-01 6.658699829E-03
 -8.702800274E-01 6.774900015E-03
 -8.544399738E-01 6.891100202E-03
 -8.388900161E-01 7.010399830E-03
 -8.236200213E-01 7.132499944E-03
 -8.086199760E-01 7.254700176E-03
 -7.939000130E-01 7.376899943E-03
 -7.794499993E-01 7.502099965E-03
 -7.652599812E-01 7.627299987E-03
 -7.513200045E-01 7.752399892E-03
 -7.376400232E-01 7.880600169E-03
 -7.242100239E-01 8.011699654E-03
 -7.110199928E-01 8.142800070E-03
 -6.980699897E-01 8.274000138E-03
 -6.853600144E-01 8.408100344E-03
 -6.728699803E-01 8.542199619E-03
 -6.606199741E-01 8.676299825E-03
 -6.485800147E-01 8.813399822E-03
 -6.367599964E-01 8.950499818E-03
 -6.251599789E-01 9.090599604E-03
 -6.137700081E-01 9.230599739E-03
 -6.025800109E-01 9.370700456E-03
 -5.916000009E-01 9.513800032E-03
 -5.808200240E-01 9.656799957E-03
 -5.702300072E-01 9.799900465E-03
 -5.598300099E-01 9.945900179E-03
 -5.496299863E-01 1.008899976E-02
 -5.396000147E-01 1.023800019E-02
 -5.297600031E-01 1.038399991E-02
 -5.200999975E-01 1.053300034E-02
 -5.106099844E-01 1.068199985E-02
 -5.012999773E-01 1.083100028E-02
 -4.921500087E-01 1.098299958E-02
 -4.831700027E-01 1.113499980E-02
 -4.743500054E-01 1.128700003E-02
 -4.656899869E-01 1.143900026E-02
 -4.571900070E-01 1.159400027E-02
 -4.488399923E-01 1.174900029E-02
 -4.406400025E-01 1.190099958E-02
 -4.325900078E-01 1.205900032E-02
 -4.246900082E-01 1.221400034E-02
 -4.169200063E-01 1.236900035E-02
 -4.092999995E-01 1.252700016E-02
 -4.018200040E-01 1.268499997E-02
 -3.944700062E-01 1.284299977E-02
 -3.872599900E-01 1.300099958E-02
 -3.801699877E-01 1.315900031E-02
 -3.732199967E-01 1.331700012E-02
 -3.663899899E-01 1.347700041E-02
 -3.596799970E-01 1.363500021E-02
 -3.530899882E-01 1.379599981E-02
 -3.466199934E-01 1.395700034E-02
 -3.402700126E-01 1.411500014E-02
 -3.340399861E-01 1.427599974E-02
 -3.279100060E-01 1.443700027E-02
 -3.219000101E-01 1.459799986E-02
 -3.159900010E-01 1.475900039E-02
 -3.101899922E-01 1.491999999E-02
 -3.045000136E-01 1.508099958E-02
 -2.989099920E-01 1.524200011E-02
 -2.934199870E-01 1.540299971E-02
 -2.880200148E-01 1.556400023E-02
 -2.827300131E-01 1.572499983E-02
