VARIABLES = "X","Y","Z","cp"
ZONE T="CFL3D, grid 1"
 -2.500000000E+01 0.000000000E+00 0.000000000E+00 1.222746680E-03
 -2.454554749E+01 0.000000000E+00 0.000000000E+00 1.222746680E-03
 -2.409935760E+01 0.000000000E+00 0.000000000E+00 1.222746680E-03
 -2.366127586E+01 0.000000000E+00 0.000000000E+00 1.222746680E-03
 -2.323115921E+01 0.000000000E+00 0.000000000E+00 1.222746680E-03
 -2.280886269E+01 0.000000000E+00 0.000000000E+00 1.222746680E-03
 -2.239424133E+01 0.000000000E+00 0.000000000E+00 1.222746680E-03
 -2.198715591E+01 0.000000000E+00 0.000000000E+00 1.222746680E-03
 -2.158747101E+01 0.000000000E+00 0.000000000E+00 1.222746680E-03
 -2.119505310E+01 0.000000000E+00 0.000000000E+00 1.222746680E-03
 -2.080976677E+01 0.000000000E+00 0.000000000E+00 1.222746680E-03
 -2.043148422E+01 0.000000000E+00 0.000000000E+00 1.222746680E-03
 -2.006007957E+01 0.000000000E+00 0.000000000E+00 1.222746680E-03
 -1.969542503E+01 0.000000000E+00 0.000000000E+00 1.222746680E-03
 -1.933740044E+01 0.000000000E+00 0.000000000E+00 1.222746680E-03
 -1.898588371E+01 0.000000000E+00 0.000000000E+00 1.222746680E-03
 -1.864075470E+01 0.000000000E+00 0.000000000E+00 1.222746680E-03
 -1.830190277E+01 0.000000000E+00 0.000000000E+00 1.219766447E-03
 -1.796920776E+01 0.000000000E+00 0.000000000E+00 1.219766447E-03
 -1.764256096E+01 0.000000000E+00 0.000000000E+00 1.219766447E-03
 -1.732185364E+01 0.000000000E+00 0.000000000E+00 1.219766447E-03
 -1.700697517E+01 0.000000000E+00 0.000000000E+00 1.222746680E-03
 -1.669782066E+01 0.000000000E+00 0.000000000E+00 1.222746680E-03
 -1.639428520E+01 0.000000000E+00 0.000000000E+00 1.222746680E-03
 -1.609626770E+01 0.000000000E+00 0.000000000E+00 1.219766447E-03
 -1.580366802E+01 0.000000000E+00 0.000000000E+00 1.222746680E-03
 -1.551638699E+01 0.000000000E+00 0.000000000E+00 1.222746680E-03
 -1.523432827E+01 0.000000000E+00 0.000000000E+00 1.222746680E-03
 -1.495739651E+01 0.000000000E+00 0.000000000E+00 1.222746680E-03
 -1.468549919E+01 0.000000000E+00 0.000000000E+00 1.222746680E-03
 -1.441854382E+01 0.000000000E+00 0.000000000E+00 1.222746680E-03
 -1.415644169E+01 0.000000000E+00 0.000000000E+00 1.222746680E-03
 -1.389910412E+01 0.000000000E+00 0.000000000E+00 1.222746680E-03
 -1.364644432E+01 0.000000000E+00 0.000000000E+00 1.222746680E-03
 -1.339837646E+01 0.000000000E+00 0.000000000E+00 1.222746680E-03
 -1.315481949E+01 0.000000000E+00 0.000000000E+00 1.222746680E-03
 -1.291568851E+01 0.000000000E+00 0.000000000E+00 1.222746680E-03
 -1.268090534E+01 0.000000000E+00 0.000000000E+00 1.222746680E-03
 -1.245038986E+01 0.000000000E+00 0.000000000E+00 1.222746680E-03
 -1.222406483E+01 0.000000000E+00 0.000000000E+00 1.222746680E-03
 -1.200185299E+01 0.000000000E+00 0.000000000E+00 1.222746680E-03
 -1.178368187E+01 0.000000000E+00 0.000000000E+00 1.225726912E-03
 -1.156947613E+01 0.000000000E+00 0.000000000E+00 1.222746680E-03
 -1.135916328E+01 0.000000000E+00 0.000000000E+00 1.225726912E-03
 -1.115267467E+01 0.000000000E+00 0.000000000E+00 1.222746680E-03
 -1.094993877E+01 0.000000000E+00 0.000000000E+00 1.225726912E-03
 -1.075088882E+01 0.000000000E+00 0.000000000E+00 1.225726912E-03
 -1.055545712E+01 0.000000000E+00 0.000000000E+00 1.225726912E-03
 -1.036357784E+01 0.000000000E+00 0.000000000E+00 1.228707144E-03
 -1.017518616E+01 0.000000000E+00 0.000000000E+00 1.228707144E-03
 -9.990220070E+00 0.000000000E+00 0.000000000E+00 1.228707144E-03
 -9.808614731E+00 0.000000000E+00 0.000000000E+00 1.228707144E-03
 -9.630311966E+00 0.000000000E+00 0.000000000E+00 1.228707144E-03
 -9.455249786E+00 0.000000000E+00 0.000000000E+00 1.231687376E-03
 -9.283370018E+00 0.000000000E+00 0.000000000E+00 1.231687376E-03
 -9.114614487E+00 0.000000000E+00 0.000000000E+00 1.231687376E-03
 -8.948925972E+00 0.000000000E+00 0.000000000E+00 1.234667609E-03
 -8.786250114E+00 0.000000000E+00 0.000000000E+00 1.237647841E-03
 -8.626531601E+00 0.000000000E+00 0.000000000E+00 1.237647841E-03
 -8.469716072E+00 0.000000000E+00 0.000000000E+00 1.240628073E-03
 -8.315751076E+00 0.000000000E+00 0.000000000E+00 1.240628073E-03
 -8.164585114E+00 0.000000000E+00 0.000000000E+00 1.240628073E-03
 -8.016166687E+00 0.000000000E+00 0.000000000E+00 1.243608305E-03
 -7.870445728E+00 0.000000000E+00 0.000000000E+00 1.246588537E-03
 -7.727374077E+00 0.000000000E+00 0.000000000E+00 1.249568770E-03
 -7.586903095E+00 0.000000000E+00 0.000000000E+00 1.252549002E-03
 -7.448986053E+00 0.000000000E+00 0.000000000E+00 1.252549002E-03
 -7.313575268E+00 0.000000000E+00 0.000000000E+00 1.258509466E-03
 -7.180626392E+00 0.000000000E+00 0.000000000E+00 1.261489699E-03
 -7.050094128E+00 0.000000000E+00 0.000000000E+00 1.264469931E-03
 -6.921934605E+00 0.000000000E+00 0.000000000E+00 1.267450163E-03
 -6.796104908E+00 0.000000000E+00 0.000000000E+00 1.270430395E-03
 -6.672562599E+00 0.000000000E+00 0.000000000E+00 1.276390860E-03
 -6.551265717E+00 0.000000000E+00 0.000000000E+00 1.279371092E-03
 -6.432173729E+00 0.000000000E+00 0.000000000E+00 1.285331557E-03
 -6.315246582E+00 0.000000000E+00 0.000000000E+00 1.291292021E-03
 -6.200444698E+00 0.000000000E+00 0.000000000E+00 1.294272253E-03
 -6.087729931E+00 0.000000000E+00 0.000000000E+00 1.300232718E-03
 -5.977064133E+00 0.000000000E+00 0.000000000E+00 1.309173414E-03
 -5.868409634E+00 0.000000000E+00 0.000000000E+00 1.315133879E-03
 -5.761730671E+00 0.000000000E+00 0.000000000E+00 1.321094343E-03
 -5.656990528E+00 0.000000000E+00 0.000000000E+00 1.327054808E-03
 -5.554154396E+00 0.000000000E+00 0.000000000E+00 1.335995505E-03
 -5.453187466E+00 0.000000000E+00 0.000000000E+00 1.344936201E-03
 -5.354055882E+00 0.000000000E+00 0.000000000E+00 1.350896666E-03
 -5.256726265E+00 0.000000000E+00 0.000000000E+00 1.359837363E-03
 -5.161166191E+00 0.000000000E+00 0.000000000E+00 1.368778059E-03
 -5.067342758E+00 0.000000000E+00 0.000000000E+00 1.377718756E-03
 -4.975224972E+00 0.000000000E+00 0.000000000E+00 1.389639685E-03
 -4.975224972E+00 0.000000000E+00 0.000000000E+00 1.389639685E-03
 -4.884781361E+00 0.000000000E+00 0.000000000E+00 1.401560614E-03
 -4.795981884E+00 0.000000000E+00 0.000000000E+00 1.410501311E-03
 -4.708796501E+00 0.000000000E+00 0.000000000E+00 1.422422240E-03
 -4.623196125E+00 0.000000000E+00 0.000000000E+00 1.431362936E-03
 -4.539151669E+00 0.000000000E+00 0.000000000E+00 1.446264097E-03
 -4.456634998E+00 0.000000000E+00 0.000000000E+00 1.458185026E-03
 -4.375617981E+00 0.000000000E+00 0.000000000E+00 1.473086188E-03
 -4.296073914E+00 0.000000000E+00 0.000000000E+00 1.487987349E-03
 -4.217975616E+00 0.000000000E+00 0.000000000E+00 1.499908278E-03
 -4.141296864E+00 0.000000000E+00 0.000000000E+00 1.517789671E-03
 -4.066011906E+00 0.000000000E+00 0.000000000E+00 1.529710600E-03
 -3.992095470E+00 0.000000000E+00 0.000000000E+00 1.547591994E-03
 -3.919522524E+00 0.000000000E+00 0.000000000E+00 1.565473387E-03
 -3.848268747E+00 0.000000000E+00 0.000000000E+00 1.583354780E-03
 -3.778310299E+00 0.000000000E+00 0.000000000E+00 1.601236174E-03
 -3.709623337E+00 0.000000000E+00 0.000000000E+00 1.619117567E-03
 -3.642184973E+00 0.000000000E+00 0.000000000E+00 1.639979193E-03
 -3.575972319E+00 0.000000000E+00 0.000000000E+00 1.660840819E-03
 -3.510963202E+00 0.000000000E+00 0.000000000E+00 1.678722212E-03
 -3.447135687E+00 0.000000000E+00 0.000000000E+00 1.702564070E-03
 -3.384468317E+00 0.000000000E+00 0.000000000E+00 1.723425696E-03
 -3.322940111E+00 0.000000000E+00 0.000000000E+00 1.747267554E-03
 -3.262530327E+00 0.000000000E+00 0.000000000E+00 1.771109411E-03
 -3.203218460E+00 0.000000000E+00 0.000000000E+00 1.794951269E-03
 -3.144984961E+00 0.000000000E+00 0.000000000E+00 1.821773360E-03
 -3.087809563E+00 0.000000000E+00 0.000000000E+00 1.848595450E-03
 -3.031673670E+00 0.000000000E+00 0.000000000E+00 1.872437308E-03
 -2.976557970E+00 0.000000000E+00 0.000000000E+00 1.902239630E-03
 -2.922444105E+00 0.000000000E+00 0.000000000E+00 1.929061720E-03
 -2.869313717E+00 0.000000000E+00 0.000000000E+00 1.955883810E-03
 -2.817149162E+00 0.000000000E+00 0.000000000E+00 1.988666365E-03
 -2.765932560E+00 0.000000000E+00 0.000000000E+00 2.018468687E-03
 -2.715646982E+00 0.000000000E+00 0.000000000E+00 2.051251242E-03
 -2.666275501E+00 0.000000000E+00 0.000000000E+00 2.081053564E-03
 -2.617801189E+00 0.000000000E+00 0.000000000E+00 2.116816351E-03
 -2.570208073E+00 0.000000000E+00 0.000000000E+00 2.149598906E-03
 -2.523479939E+00 0.000000000E+00 0.000000000E+00 2.185361693E-03
 -2.477601051E+00 0.000000000E+00 0.000000000E+00 2.221124480E-03
 -2.432555914E+00 0.000000000E+00 0.000000000E+00 2.256887266E-03
 -2.388329744E+00 0.000000000E+00 0.000000000E+00 2.295630286E-03
 -2.344907045E+00 0.000000000E+00 0.000000000E+00 2.334373305E-03
 -2.302273989E+00 0.000000000E+00 0.000000000E+00 2.373116324E-03
 -2.260415554E+00 0.000000000E+00 0.000000000E+00 2.414839575E-03
 -2.219317675E+00 0.000000000E+00 0.000000000E+00 2.456562826E-03
 -2.178966999E+00 0.000000000E+00 0.000000000E+00 2.498286078E-03
 -2.139349699E+00 0.000000000E+00 0.000000000E+00 2.542989561E-03
 -2.100452185E+00 0.000000000E+00 0.000000000E+00 2.587693045E-03
 -2.062261820E+00 0.000000000E+00 0.000000000E+00 2.632396528E-03
 -2.024765491E+00 0.000000000E+00 0.000000000E+00 2.680080244E-03
 -1.987950563E+00 0.000000000E+00 0.000000000E+00 2.727763960E-03
 -1.951804757E+00 0.000000000E+00 0.000000000E+00 2.775447676E-03
 -1.916315794E+00 0.000000000E+00 0.000000000E+00 2.823131392E-03
 -1.881471753E+00 0.000000000E+00 0.000000000E+00 2.876775572E-03
 -1.847261071E+00 0.000000000E+00 0.000000000E+00 2.924459288E-03
 -1.813671947E+00 0.000000000E+00 0.000000000E+00 2.981083700E-03
 -1.780693293E+00 0.000000000E+00 0.000000000E+00 3.031747648E-03
 -1.748314023E+00 0.000000000E+00 0.000000000E+00 3.088372061E-03
 -1.716523051E+00 0.000000000E+00 0.000000000E+00 3.142016241E-03
 -1.685309887E+00 0.000000000E+00 0.000000000E+00 3.198640654E-03
 -1.654663801E+00 0.000000000E+00 0.000000000E+00 3.258245299E-03
 -1.624574780E+00 0.000000000E+00 0.000000000E+00 3.314869711E-03
 -1.595032454E+00 0.000000000E+00 0.000000000E+00 3.377454588E-03
 -1.566026926E+00 0.000000000E+00 0.000000000E+00 3.437059233E-03
 -1.537548423E+00 0.000000000E+00 0.000000000E+00 3.499644110E-03
 -1.509587407E+00 0.000000000E+00 0.000000000E+00 3.565209219E-03
 -1.482134581E+00 0.000000000E+00 0.000000000E+00 3.627794096E-03
 -1.455180407E+00 0.000000000E+00 0.000000000E+00 3.693359205E-03
 -1.428716063E+00 0.000000000E+00 0.000000000E+00 3.761904547E-03
 -1.402732611E+00 0.000000000E+00 0.000000000E+00 3.827469656E-03
 -1.377221227E+00 0.000000000E+00 0.000000000E+00 3.896014998E-03
 -1.352173448E+00 0.000000000E+00 0.000000000E+00 3.967540804E-03
 -1.327580571E+00 0.000000000E+00 0.000000000E+00 4.039066378E-03
 -1.303434610E+00 0.000000000E+00 0.000000000E+00 4.110591952E-03
 -1.279727340E+00 0.000000000E+00 0.000000000E+00 4.182117525E-03
 -1.256450772E+00 0.000000000E+00 0.000000000E+00 4.259603564E-03
 -1.233597040E+00 0.000000000E+00 0.000000000E+00 4.334109370E-03
 -1.211158514E+00 0.000000000E+00 0.000000000E+00 4.411595408E-03
 -1.189127684E+00 0.000000000E+00 0.000000000E+00 4.489081446E-03
 -1.167496920E+00 0.000000000E+00 0.000000000E+00 4.569547717E-03
 -1.146259189E+00 0.000000000E+00 0.000000000E+00 4.647033755E-03
 -1.125407219E+00 0.000000000E+00 0.000000000E+00 4.730480257E-03
 -1.104933977E+00 0.000000000E+00 0.000000000E+00 4.810946528E-03
 -1.084832668E+00 0.000000000E+00 0.000000000E+00 4.894393031E-03
 -1.065096498E+00 0.000000000E+00 0.000000000E+00 4.980819765E-03
 -1.045718670E+00 0.000000000E+00 0.000000000E+00 5.064266268E-03
 -1.026692867E+00 0.000000000E+00 0.000000000E+00 5.153673235E-03
 -1.008012652E+00 0.000000000E+00 0.000000000E+00 5.240099970E-03
 -9.896716475E-01 0.000000000E+00 0.000000000E+00 5.328016821E-03
 -9.896716475E-01 0.000000000E+00 0.000000000E+00 5.328016821E-03
 -9.716637135E-01 0.000000000E+00 0.000000000E+00 5.415933672E-03
 -9.539828300E-01 0.000000000E+00 0.000000000E+00 5.511301104E-03
 -9.366229773E-01 0.000000000E+00 0.000000000E+00 5.600708071E-03
 -9.195784330E-01 0.000000000E+00 0.000000000E+00 5.696075503E-03
 -9.028432965E-01 0.000000000E+00 0.000000000E+00 5.788462702E-03
 -8.864120841E-01 0.000000000E+00 0.000000000E+00 5.883830134E-03
 -8.702791333E-01 0.000000000E+00 0.000000000E+00 5.982177798E-03
 -8.544391394E-01 0.000000000E+00 0.000000000E+00 6.077545229E-03
 -8.388866782E-01 0.000000000E+00 0.000000000E+00 6.175892893E-03
 -8.236165643E-01 0.000000000E+00 0.000000000E+00 6.277220789E-03
 -8.086236715E-01 0.000000000E+00 0.000000000E+00 6.378548685E-03
 -7.939029336E-01 0.000000000E+00 0.000000000E+00 6.476896349E-03
 -7.794493437E-01 0.000000000E+00 0.000000000E+00 6.581204478E-03
 -7.652581334E-01 0.000000000E+00 0.000000000E+00 6.682532374E-03
 -7.513244748E-01 0.000000000E+00 0.000000000E+00 6.786840502E-03
 -7.376436591E-01 0.000000000E+00 0.000000000E+00 6.891148631E-03
 -7.242110968E-01 0.000000000E+00 0.000000000E+00 6.998436991E-03
 -7.110222578E-01 0.000000000E+00 0.000000000E+00 7.105725352E-03
 -6.980727911E-01 0.000000000E+00 0.000000000E+00 7.213013712E-03
 -6.853582263E-01 0.000000000E+00 0.000000000E+00 7.323282305E-03
 -6.728742719E-01 0.000000000E+00 0.000000000E+00 7.433550898E-03
 -6.606168747E-01 0.000000000E+00 0.000000000E+00 7.543819491E-03
 -6.485817432E-01 0.000000000E+00 0.000000000E+00 7.657068316E-03
 -6.367649436E-01 0.000000000E+00 0.000000000E+00 7.770317141E-03
 -6.251624227E-01 0.000000000E+00 0.000000000E+00 7.880585268E-03
 -6.137703061E-01 0.000000000E+00 0.000000000E+00 7.996814325E-03
 -6.025847793E-01 0.000000000E+00 0.000000000E+00 8.110063151E-03
 -5.916020870E-01 0.000000000E+00 0.000000000E+00 8.226292208E-03
