VARIABLES = "X","Y","Z","cp"
ZONE T="CFL3D, grid 1"
 6.904208660E-01 0.000000000E+00 4.582770541E-02 -4.751256406E-01
 6.904209852E-01 -7.812500000E-03 4.582770541E-02 -4.749408662E-01
 6.904225945E-01 -1.562500000E-02 4.582770541E-02 -4.743895233E-01
 6.904296279E-01 -2.343750000E-02 4.582770541E-02 -4.734775722E-01
 6.904485226E-01 -3.125000000E-02 4.582770541E-02 -4.722169340E-01
 6.904882193E-01 -3.906250000E-02 4.582770541E-02 -4.706284702E-01
 6.905599236E-01 -4.687500000E-02 4.582770541E-02 -4.687300622E-01
 6.906771064E-01 -5.468750000E-02 4.582770541E-02 -4.665544927E-01
 6.908554435E-01 -6.250000000E-02 4.582770541E-02 -4.641285837E-01
 6.911122203E-01 -7.031250000E-02 4.582770541E-02 -4.614910781E-01
 6.914665699E-01 -7.812500000E-02 4.582770541E-02 -4.586777389E-01
 6.919389367E-01 -8.593750000E-02 4.582770541E-02 -4.557362497E-01
 6.925510168E-01 -9.375000000E-02 4.582770541E-02 -4.527053535E-01
 6.933254004E-01 -1.015625000E-01 4.582770541E-02 -4.496357143E-01
 6.942851543E-01 -1.093750000E-01 4.582770541E-02 -4.465809762E-01
 6.954538226E-01 -1.171875000E-01 4.582770541E-02 -4.435798824E-01
 6.968548298E-01 -1.250000000E-01 4.582770541E-02 -4.406890571E-01
 6.985113621E-01 -1.328125000E-01 4.582770541E-02 -4.379502237E-01
 7.004459500E-01 -1.406250000E-01 4.582770541E-02 -4.354051054E-01
 7.026802897E-01 -1.484375000E-01 4.582770541E-02 -4.331013858E-01
 7.052347064E-01 -1.562500000E-01 4.582770541E-02 -4.310718477E-01
 7.081280351E-01 -1.640625000E-01 4.582770541E-02 -4.293522537E-01
 7.113774419E-01 -1.718750000E-01 4.582770541E-02 -4.279604852E-01
 7.149978280E-01 -1.796875000E-01 4.582770541E-02 -4.269293249E-01
 7.190018296E-01 -1.875000000E-01 4.582770541E-02 -4.262647331E-01
 7.233994603E-01 -1.953125000E-01 4.582770541E-02 -4.259816110E-01
 7.281980515E-01 -2.031250000E-01 4.582770541E-02 -4.260769784E-01
 7.334017754E-01 -2.109375000E-01 4.582770541E-02 -4.265538156E-01
 7.390118241E-01 -2.187500000E-01 4.582770541E-02 -4.274061620E-01
 7.450259924E-01 -2.265625000E-01 4.582770541E-02 -4.286191165E-01
 7.514388561E-01 -2.343750000E-01 4.582770541E-02 -4.301777780E-01
 7.582412958E-01 -2.421875000E-01 4.582770541E-02 -4.320612848E-01
 7.654208541E-01 -2.500000000E-01 4.582770541E-02 -4.342532456E-01
 7.729615569E-01 -2.578125000E-01 4.582770541E-02 -4.367462099E-01
 7.808439732E-01 -2.656250000E-01 4.582770541E-02 -4.395178258E-01
 7.890451550E-01 -2.734375000E-01 4.582770541E-02 -4.425457418E-01
 7.975389361E-01 -2.812500000E-01 4.582770541E-02 -4.458061159E-01
 8.062958121E-01 -2.890625000E-01 4.582770541E-02 -4.492810667E-01
 8.152834773E-01 -2.968750000E-01 4.582770541E-02 -4.529467523E-01
 8.244664669E-01 -3.046875000E-01 4.582770541E-02 -4.567882717E-01
 8.338068724E-01 -3.125000000E-01 4.582770541E-02 -4.607788026E-01
 8.432644010E-01 -3.203125000E-01 4.582770541E-02 -4.649004638E-01
 8.527964950E-01 -3.281250000E-01 4.582770541E-02 -4.691204727E-01
