VARIABLES = "X","Y","Z","mut"
ZONE T="CFL3D, grid 1"
 1.207912207E+00 -1.250000000E-01 0.000000000E+00 0.000000000E+00
 1.207912207E+00 -1.250000000E-01 4.999999987E-07 1.512956094E-09
 1.207912207E+00 -1.250000000E-01 1.000203383E-06 1.303702213E-08
 1.207912207E+00 -1.250000000E-01 1.500813596E-06 5.595329355E-08
 1.207912207E+00 -1.250000000E-01 2.002034307E-06 1.660247193E-07
 1.207912207E+00 -1.250000000E-01 2.504069471E-06 3.937186648E-07
 1.207912207E+00 -1.250000000E-01 3.007123041E-06 8.046098969E-07
 1.207912207E+00 -1.250000000E-01 3.511400109E-06 1.479904768E-06
 1.207912207E+00 -1.250000000E-01 4.017105312E-06 2.517087296E-06
 1.207912207E+00 -1.250000000E-01 4.524444648E-06 4.030695436E-06
 1.207912207E+00 -1.250000000E-01 5.033624348E-06 6.153230970E-06
 1.207912207E+00 -1.250000000E-01 5.544851319E-06 9.036206393E-06
 1.207912207E+00 -1.250000000E-01 6.058334293E-06 1.285134476E-05
 1.207912207E+00 -1.250000000E-01 6.574281088E-06 1.779191371E-05
 1.207912207E+00 -1.250000000E-01 7.092902251E-06 2.407425927E-05
 1.207912207E+00 -1.250000000E-01 7.614408787E-06 3.193948214E-05
 1.207912207E+00 -1.250000000E-01 8.139012607E-06 4.165530117E-05
 1.207912207E+00 -1.250000000E-01 8.666926988E-06 5.351812797E-05
 1.207912207E+00 -1.250000000E-01 9.198367479E-06 6.785536243E-05
 1.207912207E+00 -1.250000000E-01 9.733548723E-06 8.502779383E-05
 1.207912207E+00 -1.250000000E-01 1.027268991E-05 1.054325257E-04
 1.207912207E+00 -1.250000000E-01 1.081600931E-05 1.295057882E-04
 1.207912207E+00 -1.250000000E-01 1.136372885E-05 1.577263611E-04
 1.207912207E+00 -1.250000000E-01 1.191607043E-05 1.906190300E-04
 1.207912207E+00 -1.250000000E-01 1.247325872E-05 2.287585521E-04
 1.207912207E+00 -1.250000000E-01 1.303552108E-05 2.727739629E-04
 1.207912207E+00 -1.250000000E-01 1.360308670E-05 3.233531024E-04
 1.207912207E+00 -1.250000000E-01 1.417618478E-05 3.812475188E-04
 1.207912207E+00 -1.250000000E-01 1.475504905E-05 4.472782311E-04
 1.207912207E+00 -1.250000000E-01 1.533991599E-05 5.223416374E-04
 1.207912207E+00 -1.250000000E-01 1.593102206E-05 6.074152188E-04
 1.207912207E+00 -1.250000000E-01 1.652860919E-05 7.035657763E-04
 1.207912207E+00 -1.250000000E-01 1.713291931E-05 8.119559498E-04
 1.207912207E+00 -1.250000000E-01 1.774419979E-05 9.338530363E-04
 1.207912207E+00 -1.250000000E-01 1.836269621E-05 1.070636790E-03
 1.207912207E+00 -1.250000000E-01 1.898866321E-05 1.223811065E-03
 1.207912207E+00 -1.250000000E-01 1.962235365E-05 1.395012136E-03
 1.207912207E+00 -1.250000000E-01 2.026402581E-05 1.586021157E-03
 1.207912207E+00 -1.250000000E-01 2.091394163E-05 1.798776444E-03
 1.207912207E+00 -1.250000000E-01 2.157236304E-05 2.035384998E-03
 1.207912207E+00 -1.250000000E-01 2.223956108E-05 2.298139734E-03
 1.207912207E+00 -1.250000000E-01 2.291580495E-05 2.589531476E-03
 1.207912207E+00 -1.250000000E-01 2.360136932E-05 2.912268043E-03
 1.207912207E+00 -1.250000000E-01 2.429653614E-05 3.269293346E-03
 1.207912207E+00 -1.250000000E-01 2.500158553E-05 3.663801821E-03
 1.207912207E+00 -1.250000000E-01 2.571680307E-05 4.099262878E-03
 1.207912207E+00 -1.250000000E-01 2.644248343E-05 4.579445813E-03
 1.207912207E+00 -1.250000000E-01 2.717891948E-05 5.108438432E-03
 1.207912207E+00 -1.250000000E-01 2.792640953E-05 5.690677091E-03
 1.207912207E+00 -1.250000000E-01 2.868526099E-05 6.330976728E-03
 1.207912207E+00 -1.250000000E-01 2.945577944E-05 7.034554612E-03
 1.207912207E+00 -1.250000000E-01 3.023828140E-05 7.807072252E-03
 1.207912207E+00 -1.250000000E-01 3.103308336E-05 8.654661477E-03
 1.207912207E+00 -1.250000000E-01 3.184050729E-05 9.583964944E-03
 1.207912207E+00 -1.250000000E-01 3.266088243E-05 1.060218364E-02
 1.207912207E+00 -1.250000000E-01 3.349454346E-05 1.171711460E-02
 1.207912207E+00 -1.250000000E-01 3.434183236E-05 1.293720212E-02
 1.207912207E+00 -1.250000000E-01 3.520308746E-05 1.427157130E-02
 1.207912207E+00 -1.250000000E-01 3.607866165E-05 1.573010907E-02
 1.207912207E+00 -1.250000000E-01 3.696891145E-05 1.732349955E-02
 1.207912207E+00 -1.250000000E-01 3.787420064E-05 1.906330325E-02
 1.207912207E+00 -1.250000000E-01 3.879489668E-05 2.096200734E-02
 1.207912207E+00 -1.250000000E-01 3.973137063E-05 2.303309739E-02
 1.207912207E+00 -1.250000000E-01 4.068400813E-05 2.529115416E-02
 1.207912207E+00 -1.250000000E-01 4.165319478E-05 2.775190212E-02
 1.207912207E+00 -1.250000000E-01 4.263932351E-05 3.043231182E-02
 1.207912207E+00 -1.250000000E-01 4.364279812E-05 3.335070238E-02
 1.207912207E+00 -1.250000000E-01 4.466402606E-05 3.652680293E-02
 1.207912207E+00 -1.250000000E-01 4.570341844E-05 3.998186812E-02
 1.207912207E+00 -1.250000000E-01 4.676140452E-05 4.373882711E-02
 1.207912207E+00 -1.250000000E-01 4.783841359E-05 4.782233760E-02
 1.207912207E+00 -1.250000000E-01 4.893487858E-05 5.225890502E-02
 1.207912207E+00 -1.250000000E-01 5.005125058E-05 5.707707629E-02
 1.207912207E+00 -1.250000000E-01 5.118798072E-05 6.230749190E-02
 1.207912207E+00 -1.250000000E-01 5.234553100E-05 6.798306108E-02
 1.207912207E+00 -1.250000000E-01 5.352437802E-05 7.413914800E-02
 1.207912207E+00 -1.250000000E-01 5.472499470E-05 8.081359416E-02
 1.207912207E+00 -1.250000000E-01 5.594787217E-05 8.804700524E-02
 1.207912207E+00 -1.250000000E-01 5.719350884E-05 9.588284791E-02
 1.207912207E+00 -1.250000000E-01 5.846241038E-05 1.043676287E-01
 1.207912207E+00 -1.250000000E-01 5.975508975E-05 1.135510281E-01
 1.207912207E+00 -1.250000000E-01 6.107207446E-05 1.234861314E-01
 1.207912207E+00 -1.250000000E-01 6.241390656E-05 1.342295855E-01
 1.207912207E+00 -1.250000000E-01 6.378112448E-05 1.458416879E-01
 1.207912207E+00 -1.250000000E-01 6.517428847E-05 1.583867371E-01
 1.207912207E+00 -1.250000000E-01 6.659396604E-05 1.719330549E-01
 1.207912207E+00 -1.250000000E-01 6.804072473E-05 1.865530014E-01
 1.207912207E+00 -1.250000000E-01 6.951516116E-05 2.023236454E-01
 1.207912207E+00 -1.250000000E-01 7.101787924E-05 2.193265110E-01
 1.207912207E+00 -1.250000000E-01 7.254948287E-05 2.376476377E-01
 1.207912207E+00 -1.250000000E-01 7.411059778E-05 2.573780715E-01
 1.207912207E+00 -1.250000000E-01 7.570186426E-05 2.786138058E-01
 1.207912207E+00 -1.250000000E-01 7.732391532E-05 3.014555871E-01
 1.207912207E+00 -1.250000000E-01 7.897742034E-05 3.260095417E-01
 1.207912207E+00 -1.250000000E-01 8.066305600E-05 3.523868918E-01
 1.207912207E+00 -1.250000000E-01 8.238149894E-05 3.807038367E-01
 1.207912207E+00 -1.250000000E-01 8.413345495E-05 4.110819399E-01
 1.207912207E+00 -1.250000000E-01 8.591963706E-05 4.436475933E-01
 1.207912207E+00 -1.250000000E-01 8.774075832E-05 4.785319865E-01
 1.207912207E+00 -1.250000000E-01 8.959758270E-05 5.158717036E-01
 1.207912207E+00 -1.250000000E-01 9.149084508E-05 5.558070540E-01
 1.207912207E+00 -1.250000000E-01 9.342132398E-05 5.984832644E-01
 1.207912207E+00 -1.250000000E-01 9.538980521E-05 6.440492272E-01
 1.207912207E+00 -1.250000000E-01 9.739708912E-05 6.926574707E-01
 1.207912207E+00 -1.250000000E-01 9.944399062E-05 7.444634438E-01
 1.207912207E+00 -1.250000000E-01 1.015313392E-04 7.996254563E-01
 1.207912207E+00 -1.250000000E-01 1.036599933E-04 8.583037257E-01
 1.207912207E+00 -1.250000000E-01 1.058308117E-04 9.206594825E-01
 1.207912207E+00 -1.250000000E-01 1.080446746E-04 9.868546128E-01
 1.207912207E+00 -1.250000000E-01 1.103024915E-04 1.057051182E+00
 1.207912207E+00 -1.250000000E-01 1.126051793E-04 1.131409764E+00
 1.207912207E+00 -1.250000000E-01 1.149536620E-04 1.210088491E+00
 1.207912207E+00 -1.250000000E-01 1.173489145E-04 1.293244004E+00
 1.207912207E+00 -1.250000000E-01 1.197918973E-04 1.381027460E+00
 1.207912207E+00 -1.250000000E-01 1.222835999E-04 1.473585367E+00
 1.207912207E+00 -1.250000000E-01 1.248250628E-04 1.571060061E+00
 1.207912207E+00 -1.250000000E-01 1.274172828E-04 1.673583746E+00
 1.207912207E+00 -1.250000000E-01 1.300613367E-04 1.781283259E+00
 1.207912207E+00 -1.250000000E-01 1.327583013E-04 1.894275665E+00
 1.207912207E+00 -1.250000000E-01 1.355092681E-04 2.012668133E+00
 1.207912207E+00 -1.250000000E-01 1.383153576E-04 2.136556864E+00
 1.207912207E+00 -1.250000000E-01 1.411777048E-04 2.266026974E+00
 1.207912207E+00 -1.250000000E-01 1.440974738E-04 2.401150942E+00
 1.207912207E+00 -1.250000000E-01 1.470758725E-04 2.541990280E+00
 1.207912207E+00 -1.250000000E-01 1.501140796E-04 2.688590527E+00
 1.207912207E+00 -1.250000000E-01 1.532133610E-04 2.840986967E+00
 1.207912207E+00 -1.250000000E-01 1.563749538E-04 2.999199390E+00
 1.207912207E+00 -1.250000000E-01 1.596001675E-04 3.163235188E+00
 1.207912207E+00 -1.250000000E-01 1.628902974E-04 3.333087921E+00
 1.207912207E+00 -1.250000000E-01 1.662466966E-04 3.508738995E+00
 1.207912207E+00 -1.250000000E-01 1.696707041E-04 3.690155506E+00
 1.207912207E+00 -1.250000000E-01 1.731637312E-04 3.877295732E+00
 1.207912207E+00 -1.250000000E-01 1.767272042E-04 4.070106030E+00
 1.207912207E+00 -1.250000000E-01 1.803625637E-04 4.268521786E+00
 1.207912207E+00 -1.250000000E-01 1.840712794E-04 4.472469807E+00
 1.207912207E+00 -1.250000000E-01 1.878548792E-04 4.681869984E+00
 1.207912207E+00 -1.250000000E-01 1.917148911E-04 4.896635532E+00
 1.207912207E+00 -1.250000000E-01 1.956528868E-04 5.116673946E+00
 1.207912207E+00 -1.250000000E-01 1.996704668E-04 5.341888428E+00
 1.207912207E+00 -1.250000000E-01 2.037692757E-04 5.572180748E+00
 1.207912207E+00 -1.250000000E-01 2.079509577E-04 5.807449818E+00
 1.207912207E+00 -1.250000000E-01 2.122172300E-04 6.047596455E+00
 1.207912207E+00 -1.250000000E-01 2.165698388E-04 6.292521954E+00
 1.207912207E+00 -1.250000000E-01 2.210105304E-04 6.542129517E+00
 1.207912207E+00 -1.250000000E-01 2.255411237E-04 6.796326637E+00
 1.207912207E+00 -1.250000000E-01 2.301634668E-04 7.055026054E+00
 1.207912207E+00 -1.250000000E-01 2.348794369E-04 7.318144798E+00
 1.207912207E+00 -1.250000000E-01 2.396909404E-04 7.585607529E+00
 1.207912207E+00 -1.250000000E-01 2.445999417E-04 7.857346535E+00
 1.207912207E+00 -1.250000000E-01 2.496084489E-04 8.133302689E+00
 1.207912207E+00 -1.250000000E-01 2.547184704E-04 8.413422585E+00
 1.207912207E+00 -1.250000000E-01 2.599321306E-04 8.697667122E+00
 1.207912207E+00 -1.250000000E-01 2.652514959E-04 8.986000061E+00
 1.207912207E+00 -1.250000000E-01 2.706787782E-04 9.278401375E+00
 1.207912207E+00 -1.250000000E-01 2.762161603E-04 9.574857712E+00
 1.207912207E+00 -1.250000000E-01 2.818659123E-04 9.875367165E+00
 1.207912207E+00 -1.250000000E-01 2.876303042E-04 1.017993355E+01
 1.207912207E+00 -1.250000000E-01 2.935116936E-04 1.048857689E+01
 1.207912207E+00 -1.250000000E-01 2.995124669E-04 1.080132484E+01
 1.207912207E+00 -1.250000000E-01 3.056350979E-04 1.111821365E+01
 1.207912207E+00 -1.250000000E-01 3.118820314E-04 1.143929100E+01
 1.207912207E+00 -1.250000000E-01 3.182558285E-04 1.176461124E+01
 1.207912207E+00 -1.250000000E-01 3.247591085E-04 1.209424305E+01
 1.207912207E+00 -1.250000000E-01 3.313944617E-04 1.242825699E+01
 1.207912207E+00 -1.250000000E-01 3.381646238E-04 1.276673889E+01
 1.207912207E+00 -1.250000000E-01 3.450723598E-04 1.310977936E+01
 1.207912207E+00 -1.250000000E-01 3.521204344E-04 1.345747471E+01
 1.207912207E+00 -1.250000000E-01 3.593117581E-04 1.380993366E+01
 1.207912207E+00 -1.250000000E-01 3.666492412E-04 1.416726971E+01
 1.207912207E+00 -1.250000000E-01 3.741358523E-04 1.452960300E+01
 1.207912207E+00 -1.250000000E-01 3.817746765E-04 1.489706135E+01
 1.207912207E+00 -1.250000000E-01 3.895687696E-04 1.526977825E+01
 1.207912207E+00 -1.250000000E-01 3.975213331E-04 1.564789295E+01
 1.207912207E+00 -1.250000000E-01 4.056355974E-04 1.603155136E+01
 1.207912207E+00 -1.250000000E-01 4.139148805E-04 1.642090797E+01
 1.207912207E+00 -1.250000000E-01 4.223625001E-04 1.681611252E+01
 1.207912207E+00 -1.250000000E-01 4.309819487E-04 1.721733093E+01
 1.207912207E+00 -1.250000000E-01 4.397767188E-04 1.762472916E+01
 1.207912207E+00 -1.250000000E-01 4.487503611E-04 1.803847694E+01
 1.207912207E+00 -1.250000000E-01 4.579065426E-04 1.845875359E+01
 1.207912207E+00 -1.250000000E-01 4.672489886E-04 1.888573456E+01
 1.207912207E+00 -1.250000000E-01 4.767814826E-04 1.931960678E+01
 1.207912207E+00 -1.250000000E-01 4.865079245E-04 1.976055908E+01
 1.207912207E+00 -1.250000000E-01 4.964323016E-04 2.020878410E+01
 1.207912207E+00 -1.250000000E-01 5.065585719E-04 2.066447258E+01
 1.207912207E+00 -1.250000000E-01 5.168908974E-04 2.112783241E+01
 1.207912207E+00 -1.250000000E-01 5.274334690E-04 2.159906387E+01
 1.207912207E+00 -1.250000000E-01 5.381905939E-04 2.207837677E+01
 1.207912207E+00 -1.250000000E-01 5.491666379E-04 2.256597900E+01
 1.207912207E+00 -1.250000000E-01 5.603660829E-04 2.306208992E+01
 1.207912207E+00 -1.250000000E-01 5.717934691E-04 2.356692696E+01
 1.207912207E+00 -1.250000000E-01 5.834534531E-04 2.408071136E+01
 1.207912207E+00 -1.250000000E-01 5.953507498E-04 2.460367012E+01
 1.207912207E+00 -1.250000000E-01 6.074902485E-04 2.513603401E+01
 1.207912207E+00 -1.250000000E-01 6.198768388E-04 2.567803192E+01
 1.207912207E+00 -1.250000000E-01 6.325155264E-04 2.622990608E+01
 1.207912207E+00 -1.250000000E-01 6.454115501E-04 2.679189301E+01
 1.207912207E+00 -1.250000000E-01 6.585700903E-04 2.736423683E+01
 1.207912207E+00 -1.250000000E-01 6.719965604E-04 2.794718933E+01
 1.207912207E+00 -1.250000000E-01 6.856963155E-04 2.854099464E+01
 1.207912207E+00 -1.250000000E-01 6.996750599E-04 2.914591599E+01
 1.207912207E+00 -1.250000000E-01 7.139383815E-04 2.976220512E+01
 1.207912207E+00 -1.250000000E-01 7.284921012E-04 3.039012718E+01
 1.207912207E+00 -1.250000000E-01 7.433421561E-04 3.102994728E+01
 1.207912207E+00 -1.250000000E-01 7.584945997E-04 3.168193626E+01
 1.207912207E+00 -1.250000000E-01 7.739555440E-04 3.234636307E+01
 1.207912207E+00 -1.250000000E-01 7.897313335E-04 3.302350998E+01
 1.207912207E+00 -1.250000000E-01 8.058283711E-04 3.371365356E+01
 1.207912207E+00 -1.250000000E-01 8.222531760E-04 3.441707611E+01
 1.207912207E+00 -1.250000000E-01 8.390124422E-04 3.513406754E+01
 1.207912207E+00 -1.250000000E-01 8.561130380E-04 3.586491776E+01
 1.207912207E+00 -1.250000000E-01 8.735618321E-04 3.660992050E+01
 1.207912207E+00 -1.250000000E-01 8.913659840E-04 3.736937332E+01
 1.207912207E+00 -1.250000000E-01 9.095327114E-04 3.814357758E+01
 1.207912207E+00 -1.250000000E-01 9.280694067E-04 3.893283463E+01
 1.207912207E+00 -1.250000000E-01 9.469836368E-04 3.973745346E+01
 1.207912207E+00 -1.250000000E-01 9.662830271E-04 4.055773926E+01
 1.207912207E+00 -1.250000000E-01 9.859754937E-04 4.139401245E+01
 1.207912207E+00 -1.250000000E-01 1.006069011E-03 4.224657822E+01
 1.207912207E+00 -1.250000000E-01 1.026571845E-03 4.311576080E+01
 1.207912207E+00 -1.250000000E-01 1.047492144E-03 4.400186920E+01
 1.207912207E+00 -1.250000000E-01 1.068838639E-03 4.490523529E+01
 1.207912207E+00 -1.250000000E-01 1.090619829E-03 4.582617569E+01
 1.207912207E+00 -1.250000000E-01 1.112844679E-03 4.676501465E+01
 1.207912207E+00 -1.250000000E-01 1.135522267E-03 4.772207260E+01
 1.207912207E+00 -1.250000000E-01 1.158661675E-03 4.869768143E+01
 1.207912207E+00 -1.250000000E-01 1.182272448E-03 4.969215775E+01
 1.207912207E+00 -1.250000000E-01 1.206364017E-03 5.070582581E+01
 1.207912207E+00 -1.250000000E-01 1.230946393E-03 5.173901749E+01
 1.207912207E+00 -1.250000000E-01 1.256029471E-03 5.279204559E+01
 1.207912207E+00 -1.250000000E-01 1.281623496E-03 5.386523438E+01
 1.207912207E+00 -1.250000000E-01 1.307738828E-03 5.495890045E+01
 1.207912207E+00 -1.250000000E-01 1.334386063E-03 5.607335663E+01
 1.207912207E+00 -1.250000000E-01 1.361576142E-03 5.720891571E+01
 1.207912207E+00 -1.250000000E-01 1.389320125E-03 5.836588287E+01
 1.207912207E+00 -1.250000000E-01 1.417629072E-03 5.954454422E+01
 1.207912207E+00 -1.250000000E-01 1.446514856E-03 6.074521637E+01
 1.207912207E+00 -1.250000000E-01 1.475988887E-03 6.196817017E+01
 1.207912207E+00 -1.250000000E-01 1.506063389E-03 6.321369171E+01
 1.207912207E+00 -1.250000000E-01 1.536750467E-03 6.448204803E+01
 1.207912207E+00 -1.250000000E-01 1.568062697E-03 6.577349854E+01
 1.207912207E+00 -1.250000000E-01 1.600012765E-03 6.708828735E+01
 1.207912207E+00 -1.250000000E-01 1.632613712E-03 6.842666626E+01
 1.207912207E+00 -1.250000000E-01 1.665878692E-03 6.978884125E+01
 1.207912207E+00 -1.250000000E-01 1.699821325E-03 7.117502594E+01
 1.207912207E+00 -1.250000000E-01 1.734455349E-03 7.258541107E+01
 1.207912207E+00 -1.250000000E-01 1.769794966E-03 7.402017975E+01
 1.207912207E+00 -1.250000000E-01 1.805854496E-03 7.547949219E+01
 1.207912207E+00 -1.250000000E-01 1.842648489E-03 7.696347809E+01
 1.207912207E+00 -1.250000000E-01 1.880192081E-03 7.847225952E+01
 1.207912207E+00 -1.250000000E-01 1.918500522E-03 8.000594330E+01
 1.207912207E+00 -1.250000000E-01 1.957589295E-03 8.156458282E+01
 1.207912207E+00 -1.250000000E-01 1.997474348E-03 8.314823151E+01
 1.207912207E+00 -1.250000000E-01 2.038171981E-03 8.475691986E+01
 1.207912207E+00 -1.250000000E-01 2.079698723E-03 8.639064026E+01
 1.207912207E+00 -1.250000000E-01 2.122071339E-03 8.804935455E+01
 1.207912207E+00 -1.250000000E-01 2.165307058E-03 8.973298645E+01
 1.207912207E+00 -1.250000000E-01 2.209423808E-03 9.144147491E+01
 1.207912207E+00 -1.250000000E-01 2.254439052E-03 9.317465210E+01
 1.207912207E+00 -1.250000000E-01 2.300371416E-03 9.493238831E+01
