variables="log(y+)","u+"
zone,t="x=     0.97008"
  -0.103782E+01   0.916610E-01
  -0.736583E+00   0.183407E+00
  -0.560156E+00   0.275324E+00
  -0.434746E+00   0.367497E+00
  -0.337231E+00   0.460012E+00
  -0.257310E+00   0.552954E+00
  -0.189490E+00   0.646411E+00
  -0.130492E+00   0.740470E+00
  -0.781999E-01   0.835216E+00
  -0.311702E-01   0.930740E+00
   0.116268E-01   0.102713E+01
   0.509515E-01   0.112447E+01
   0.873808E-01   0.122285E+01
   0.121363E+00   0.132237E+01
   0.153254E+00   0.142312E+01
   0.183340E+00   0.152518E+01
   0.211854E+00   0.162865E+01
   0.238991E+00   0.173362E+01
   0.264912E+00   0.184018E+01
   0.289754E+00   0.194843E+01
   0.313635E+00   0.205846E+01
   0.336653E+00   0.217035E+01
   0.358898E+00   0.228420E+01
   0.380442E+00   0.240011E+01
   0.401354E+00   0.251815E+01
   0.421690E+00   0.263840E+01
   0.441503E+00   0.276095E+01
   0.460837E+00   0.288587E+01
   0.479735E+00   0.301323E+01
   0.498232E+00   0.314309E+01
   0.516360E+00   0.327549E+01
   0.534150E+00   0.341048E+01
   0.551629E+00   0.354807E+01
   0.568819E+00   0.368828E+01
   0.585744E+00   0.383111E+01
   0.602423E+00   0.397651E+01
   0.618874E+00   0.412445E+01
   0.635114E+00   0.427486E+01
   0.651158E+00   0.442763E+01
   0.667020E+00   0.458265E+01
   0.682713E+00   0.473978E+01
   0.698248E+00   0.489885E+01
   0.713637E+00   0.505966E+01
   0.728890E+00   0.522202E+01
   0.744016E+00   0.538569E+01
   0.759023E+00   0.555042E+01
   0.773919E+00   0.571598E+01
   0.788712E+00   0.588211E+01
   0.803408E+00   0.604854E+01
   0.818014E+00   0.621503E+01
   0.832536E+00   0.638134E+01
   0.846978E+00   0.654721E+01
   0.861347E+00   0.671245E+01
   0.875647E+00   0.687684E+01
   0.889882E+00   0.704019E+01
   0.904057E+00   0.720235E+01
