variables="u","y"
zone,t="x=     0.97008"
   0.000000E+00   0.000000E+00
   0.340457E-02   0.500000E-06
   0.681231E-02   0.100047E-05
   0.102264E-01   0.150186E-05
   0.136500E-01   0.200465E-05
   0.170863E-01   0.250931E-05
   0.205384E-01   0.301630E-05
   0.240097E-01   0.352610E-05
   0.275033E-01   0.403918E-05
   0.310225E-01   0.455602E-05
   0.345706E-01   0.507709E-05
   0.381507E-01   0.560289E-05
   0.417663E-01   0.613390E-05
   0.454206E-01   0.667062E-05
   0.491171E-01   0.721354E-05
   0.528591E-01   0.776318E-05
   0.566499E-01   0.832003E-05
   0.604931E-01   0.888463E-05
   0.643920E-01   0.945749E-05
   0.683500E-01   0.100392E-04
   0.723707E-01   0.106302E-04
   0.764574E-01   0.112310E-04
   0.806136E-01   0.118424E-04
   0.848425E-01   0.124647E-04
   0.891475E-01   0.130987E-04
   0.935318E-01   0.137448E-04
   0.979984E-01   0.144037E-04
   0.102550E+00   0.150761E-04
   0.107190E+00   0.157624E-04
   0.111921E+00   0.164634E-04
   0.116744E+00   0.171798E-04
   0.121662E+00   0.179121E-04
   0.126676E+00   0.186610E-04
   0.131786E+00   0.194274E-04
   0.136994E+00   0.202118E-04
   0.142299E+00   0.210150E-04
   0.147700E+00   0.218378E-04
   0.153195E+00   0.226808E-04
   0.158781E+00   0.235450E-04
   0.164456E+00   0.244311E-04
   0.170214E+00   0.253399E-04
   0.176050E+00   0.262723E-04
   0.181958E+00   0.272291E-04
   0.187932E+00   0.282113E-04
   0.193962E+00   0.292197E-04
   0.200041E+00   0.302553E-04
   0.206160E+00   0.313190E-04
   0.212309E+00   0.324119E-04
   0.218480E+00   0.335349E-04
   0.224662E+00   0.346891E-04
   0.230846E+00   0.358756E-04
   0.237023E+00   0.370955E-04
   0.243184E+00   0.383499E-04
   0.249321E+00   0.396399E-04
   0.255427E+00   0.409669E-04
   0.261495E+00   0.423319E-04
   0.267518E+00   0.437363E-04
   0.273491E+00   0.451814E-04
   0.279409E+00   0.466686E-04
   0.285269E+00   0.481991E-04
   0.291068E+00   0.497746E-04
   0.296801E+00   0.513963E-04
   0.302468E+00   0.530658E-04
   0.308067E+00   0.547847E-04
   0.313597E+00   0.565545E-04
   0.319058E+00   0.583770E-04
   0.324448E+00   0.602538E-04
   0.329769E+00   0.621866E-04
   0.335021E+00   0.641773E-04
   0.340204E+00   0.662277E-04
   0.345319E+00   0.683397E-04
   0.350367E+00   0.705153E-04
   0.355350E+00   0.727565E-04
   0.360269E+00   0.750654E-04
   0.365125E+00   0.774441E-04
   0.369919E+00   0.798948E-04
   0.374654E+00   0.824199E-04
   0.379330E+00   0.850216E-04
   0.383949E+00   0.877025E-04
   0.388514E+00   0.904649E-04
   0.393024E+00   0.933115E-04
   0.397482E+00   0.962449E-04
   0.401890E+00   0.992679E-04
   0.406248E+00   0.102383E-03
   0.410559E+00   0.105594E-03
   0.414823E+00   0.108903E-03
   0.419043E+00   0.112313E-03
   0.423220E+00   0.115827E-03
   0.427354E+00   0.119450E-03
   0.431448E+00   0.123183E-03
   0.435503E+00   0.127031E-03
   0.439519E+00   0.130997E-03
   0.443498E+00   0.135085E-03
   0.447442E+00   0.139299E-03
   0.451351E+00   0.143643E-03
   0.455227E+00   0.148120E-03
   0.459070E+00   0.152734E-03
   0.462882E+00   0.157491E-03
   0.466664E+00   0.162395E-03
   0.470416E+00   0.167449E-03
   0.474140E+00   0.172659E-03
   0.477836E+00   0.178030E-03
   0.481506E+00   0.183567E-03
   0.485150E+00   0.189274E-03
   0.488769E+00   0.195157E-03
   0.492364E+00   0.201222E-03
   0.495936E+00   0.207474E-03
   0.499485E+00   0.213920E-03
