# Nondimensional eddy viscosity at x=0.97, BSL model
VARIABLES = "X","Y","mu_t"
ZONE T="CFL3D"
 9.700000286E-01 2.499999994E-07 2.214671805E-12
 9.700000286E-01 7.502325730E-07 3.329852227E-10
 9.700000286E-01 1.251163098E-06 6.180032042E-09
 9.700000286E-01 1.753257607E-06 4.413159260E-08
 9.700000286E-01 2.256983180E-06 1.903039646E-07
 9.700000286E-01 2.762808435E-06 6.058771760E-07
 9.700000286E-01 3.271203923E-06 1.579061859E-06
 9.700000286E-01 3.782642807E-06 3.574196398E-06
 9.700000286E-01 4.297600753E-06 7.289247151E-06
 9.700000286E-01 4.816556611E-06 1.372332372E-05
 9.700000286E-01 5.339993095E-06 2.425612729E-05
 9.700000286E-01 5.868397693E-06 4.074154276E-05
 9.700000286E-01 6.402261988E-06 6.561786722E-05
 9.700000286E-01 6.942082109E-06 1.020374912E-04
 9.700000286E-01 7.488360552E-06 1.540191734E-04
 9.700000286E-01 8.041605724E-06 2.266261872E-04
 9.700000286E-01 8.602331945E-06 3.261741367E-04
 9.700000286E-01 9.171060810E-06 4.604721908E-04
 9.700000286E-01 9.748321645E-06 6.391014322E-04
 9.700000286E-01 1.033465105E-05 8.737348835E-04
 9.700000286E-01 1.093059564E-05 1.178501640E-03
 9.700000286E-01 1.153670928E-05 1.570399269E-03
 9.700000286E-01 1.215355496E-05 2.069755690E-03
 9.700000286E-01 1.278170748E-05 2.700742800E-03
 9.700000286E-01 1.342175074E-05 3.491938114E-03
 9.700000286E-01 1.407428044E-05 4.476933740E-03
 9.700000286E-01 1.473990324E-05 5.694984924E-03
 9.700000286E-01 1.541924030E-05 7.191685960E-03
 9.700000286E-01 1.611291918E-05 9.019659832E-03
 9.700000286E-01 1.682159018E-05 1.123924740E-02
 9.700000286E-01 1.754590994E-05 1.391915325E-02
 9.700000286E-01 1.828655331E-05 1.713704318E-02
 9.700000286E-01 1.904420787E-05 2.098003030E-02
 9.700000286E-01 1.981958121E-05 2.554504573E-02
 9.700000286E-01 2.061339183E-05 3.093900904E-02
 9.700000286E-01 2.142637823E-05 3.727880865E-02
 9.700000286E-01 2.225929893E-05 4.469102249E-02
 9.700000286E-01 2.311292883E-05 5.331137031E-02
 9.700000286E-01 2.398805918E-05 6.328389049E-02
 9.700000286E-01 2.488550672E-05 7.475982606E-02
 9.700000286E-01 2.580610453E-05 8.789626509E-02
 9.700000286E-01 2.675071119E-05 1.028545648E-01
 9.700000286E-01 2.772020343E-05 1.197986081E-01
 9.700000286E-01 2.871548350E-05 1.388930231E-01
 9.700000286E-01 2.973747905E-05 1.603013724E-01
 9.700000286E-01 3.078714144E-05 1.841844171E-01
 9.700000286E-01 3.186544200E-05 2.106986493E-01
 9.700000286E-01 3.297338844E-05 2.399949729E-01
 9.700000286E-01 3.411201033E-05 2.722177505E-01
 9.700000286E-01 3.528236630E-05 3.075041473E-01
 9.700000286E-01 3.648554775E-05 3.459838629E-01
 9.700000286E-01 3.772267155E-05 3.877791464E-01
 9.700000286E-01 3.899488729E-05 4.330050945E-01
 9.700000286E-01 4.030338459E-05 4.817702174E-01
 9.700000286E-01 4.164937127E-05 5.341773629E-01
