# mean flow u results for k-kL-MEAH2015 model at x=0.97008 
VARIABLES = "Y" "u"
ZONE T="CFL3D"
 0.000000000E+00 0.000000000E+00
 4.999999987E-07 3.347196616E-03
 1.000465204E-06 6.696744822E-03
 1.501861107E-06 1.005100086E-02
 2.004654107E-06 1.341231167E-02
 2.509312253E-06 1.678302139E-02
 3.016304618E-06 2.016546018E-02
 3.526103228E-06 2.356194332E-02
 4.039182386E-06 2.697477490E-02
 4.556018666E-06 3.040623665E-02
 5.077094102E-06 3.385858238E-02
 5.602892543E-06 3.733404726E-02
 6.133903298E-06 4.083484039E-02
 6.670620678E-06 4.436312243E-02
 7.213543540E-06 4.792103544E-02
 7.763177564E-06 5.151066557E-02
 8.320033885E-06 5.513406917E-02
 8.884630006E-06 5.879324302E-02
 9.457491615E-06 6.249014288E-02
 1.003915168E-05 6.622664630E-02
 1.063015134E-05 7.000459731E-02
 1.123103993E-05 7.382573932E-02
 1.184237772E-05 7.769177854E-02
 1.246473221E-05 8.160433173E-02
 1.309868276E-05 8.556491137E-02
 1.374481872E-05 8.957497030E-02
 1.440374217E-05 9.363587201E-02
 1.507606521E-05 9.774885327E-02
 1.576241448E-05 1.019150764E-01
 1.646342571E-05 1.061355770E-01
 1.717975465E-05 1.104112864E-01
 1.791206523E-05 1.147430241E-01
 1.866104139E-05 1.191314608E-01
 1.942737617E-05 1.235771552E-01
 2.021178625E-05 1.280805320E-01
 2.101499740E-05 1.326418966E-01
 2.183776087E-05 1.372613609E-01
 2.268083881E-05 1.419389546E-01
 2.354501703E-05 1.466744989E-01
 2.443110134E-05 1.514677107E-01
 2.533991210E-05 1.563180983E-01
 2.627229696E-05 1.612250805E-01
 2.722912359E-05 1.661878824E-01
 2.821128328E-05 1.712055355E-01
 2.921968553E-05 1.762769371E-01
 3.025527258E-05 1.814008653E-01
 3.131900667E-05 1.865758747E-01
 3.241187733E-05 1.918003857E-01
 3.353489956E-05 1.970726401E-01
 3.468912109E-05 2.023907751E-01
 3.587561514E-05 2.077527195E-01
 3.709548400E-05 2.131562680E-01
 3.834985910E-05 2.185990661E-01
 3.963991549E-05 2.240786552E-01
 4.096685007E-05 2.295923978E-01
