TITLE     = "Wall Force & Heat Loading | Wall Force & Heat Loading | Wall Force & Heat Loading | Wall Force & Heat Loading | Wall Force & Heat Loading"
VARIABLES = "X"
"C<sub>f</sub>"
ZONE T="Spalart Fine Grid"
 STRANDID=0, SOLUTIONTIME=0
 I=44, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 5.000000237E-04 2.479442768E-02
 1.500984188E-03 8.878068067E-03
 2.503946424E-03 6.505408790E-03
 3.508906113E-03 5.706834141E-03
 4.515882581E-03 5.342177115E-03
 5.524895620E-03 5.151368212E-03
 6.535965018E-03 5.038512405E-03
 7.549110800E-03 4.964364693E-03
 8.564352989E-03 4.910674412E-03
 9.581711143E-03 4.868436605E-03
 1.060120668E-02 4.832923878E-03
 1.162285917E-02 4.801578354E-03
 1.264669001E-02 4.772851709E-03
 1.367271971E-02 4.746200517E-03
 1.470096875E-02 4.720997065E-03
 1.573145762E-02 4.696857650E-03
 1.676420867E-02 4.673621152E-03
 1.779924519E-02 4.651157185E-03
 1.883658394E-02 4.629374482E-03
 1.987625100E-02 4.608208314E-03
 2.091826499E-02 4.587612115E-03
 2.196265012E-02 4.567546304E-03
 2.300942689E-02 4.547978286E-03
 2.405861951E-02 4.528879654E-03
 2.511024848E-02 4.510227125E-03
 2.616433799E-02 4.491998348E-03
 2.722091042E-02 4.474175163E-03
 2.827998996E-02 4.456738941E-03
 2.934159711E-02 4.439675715E-03
 3.040575795E-02 4.422970116E-03
 3.147249296E-02 4.406610038E-03
 3.254183009E-02 4.390582908E-03
 3.361378983E-02 4.374877550E-03
 3.468839824E-02 4.359479528E-03
 3.576567769E-02 4.344376735E-03
 3.684565425E-02 4.329561722E-03
 3.792835400E-02 4.315027967E-03
 3.901379928E-02 4.300763365E-03
 4.010201246E-02 4.286754411E-03
 4.119302705E-02 4.272997379E-03
 4.228686169E-02 4.259486683E-03
 4.338354245E-02 4.246208817E-03
 4.448309913E-02 4.233156331E-03
 4.558555782E-02 4.220327828E-03
ZONE T="Spalart Fine Grid"
 STRANDID=0, SOLUTIONTIME=0
 I=140, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 4.669094086E-02 4.207712132E-03
 4.779927433E-02 4.195302259E-03
 4.891059175E-02 4.183096346E-03
 5.002491549E-02 4.171083216E-03
 5.114227161E-02 4.159261938E-03
 5.226268992E-02 4.147623666E-03
 5.338619649E-02 4.136163741E-03
 5.451281741E-02 4.124879371E-03
 5.564258993E-02 4.113762639E-03
 5.677553266E-02 4.102812149E-03
 5.791167915E-02 4.092020448E-03
 5.905105546E-02 4.081385210E-03
 6.019369140E-02 4.070900846E-03
 6.133962050E-02 4.060564563E-03
 6.248886511E-02 4.050371703E-03
 6.364146620E-02 4.040319007E-03
 6.479743868E-02 4.030402750E-03
 6.595682353E-02 4.020619672E-03
 6.711965054E-02 4.010966048E-03
 6.828595698E-02 4.001438618E-03
 6.945575774E-02 3.992035054E-03
 7.062909752E-02 3.982751165E-03
 7.180599868E-02 3.973585088E-03
 7.298650593E-02 3.964532167E-03
 7.417064160E-02 3.955592401E-03
 7.535844296E-02 3.946760669E-03
 7.654993981E-02 3.938036505E-03
 7.774516195E-02 3.929416183E-03
 7.894415408E-02 3.920897841E-03
 8.014694601E-02 3.912479151E-03
 8.135357499E-02 3.904156387E-03
 8.256406337E-02 3.895929782E-03
 8.377845585E-02 3.887794679E-03
 8.499678224E-02 3.879752010E-03
 8.621908724E-02 3.871797584E-03
 8.744540066E-02 3.863929072E-03
 8.867575973E-02 3.856146941E-03
 8.991020173E-02 3.848446533E-03
 9.114876390E-02 3.840829246E-03
 9.239147604E-02 3.833290888E-03
 9.363839030E-02 3.825829364E-03
 9.488952905E-02 3.818445839E-03
 9.614494443E-02 3.811135655E-03
 9.740466624E-02 3.803899745E-03
 9.866873920E-02 3.796735778E-03
 9.993720055E-02 3.789640497E-03
 1.012100875E-01 3.782615764E-03
 1.024874523E-01 3.775658552E-03
 1.037693173E-01 3.768765135E-03
 1.050557345E-01 3.761939006E-03
 1.063467488E-01 3.755175741E-03
 1.076423973E-01 3.748473246E-03
 1.089427173E-01 3.741833614E-03
 1.102477685E-01 3.735253587E-03
 1.115575731E-01 3.728730837E-03
 1.128721908E-01 3.722267458E-03
 1.141916513E-01 3.715859959E-03
 1.155160218E-01 3.709506942E-03
 1.168453246E-01 3.703210037E-03
 1.181796193E-01 3.696965752E-03
 1.195189431E-01 3.690772690E-03
 1.208633482E-01 3.684632480E-03
 1.222128794E-01 3.678542562E-03
 1.235675886E-01 3.672500839E-03
 1.249275208E-01 3.666509176E-03
 1.262927204E-01 3.660565475E-03
 1.276632547E-01 3.654666943E-03
 1.290391386E-01 3.648815211E-03
 1.304204613E-01 3.643009346E-03
 1.318072379E-01 3.637246555E-03
 1.331995428E-01 3.631527768E-03
 1.345974356E-01 3.625852056E-03
 1.360009462E-01 3.620218718E-03
 1.374101341E-01 3.614625428E-03
 1.388250589E-01 3.609074280E-03
 1.402457654E-01 3.603562946E-03
 1.416723281E-01 3.598089563E-03
 1.431047767E-01 3.592655296E-03
 1.445431858E-01 3.587259213E-03
 1.459876001E-01 3.581900382E-03
 1.474380791E-01 3.576576943E-03
 1.488946974E-01 3.571290756E-03
 1.503574848E-01 3.566039959E-03
 1.518265307E-01 3.560822923E-03
 1.533018649E-01 3.555639880E-03
 1.547835767E-01 3.550491529E-03
 1.562717110E-01 3.545376007E-03
 1.577663273E-01 3.540292149E-03
 1.592675000E-01 3.535241121E-03
 1.607752740E-01 3.530221293E-03
 1.622897387E-01 3.525232198E-03
 1.638109386E-01 3.520272905E-03
 1.653389633E-01 3.515344346E-03
 1.668738425E-01 3.510445356E-03
 1.684156805E-01 3.505574539E-03
 1.699645221E-01 3.500731895E-03
 1.715204418E-01 3.495918121E-03
 1.730834991E-01 3.491132054E-03
 1.746537983E-01 3.486372065E-03
 1.762313694E-01 3.481639083E-03
 1.778163165E-01 3.476932412E-03
 1.794086844E-01 3.472251818E-03
 1.810085773E-01 3.467595670E-03
 1.826160550E-01 3.462965600E-03
 1.842311770E-01 3.458359977E-03
 1.858540475E-01 3.453778103E-03
 1.874847412E-01 3.449219512E-03
 1.891233176E-01 3.444684902E-03
 1.907698810E-01 3.440173808E-03
 1.924244761E-01 3.435684601E-03
 1.940872222E-01 3.431217978E-03
 1.957581937E-01 3.426773241E-03
 1.974374503E-01 3.422350856E-03
 1.991251111E-01 3.417948959E-03
 2.008212358E-01 3.413568018E-03
 2.025259137E-01 3.409207333E-03
 2.042392492E-01 3.404867835E-03
 2.059613168E-01 3.400547896E-03
 2.076922059E-01 3.396247746E-03
 2.094320208E-01 3.391965991E-03
 2.111808509E-01 3.387704492E-03
 2.129387856E-01 3.383461153E-03
 2.147059143E-01 3.379236208E-03
 2.164823413E-01 3.375029191E-03
 2.182681561E-01 3.370840335E-03
 2.200634778E-01 3.366669407E-03
 2.218683809E-01 3.362515010E-03
 2.236829847E-01 3.358377609E-03
 2.255073935E-01 3.354257438E-03
 2.273416966E-01 3.350153798E-03
 2.291859984E-01 3.346065991E-03
 2.310404330E-01 3.341993783E-03
 2.329050750E-01 3.337937873E-03
 2.347800583E-01 3.333897563E-03
 2.366654873E-01 3.329871921E-03
 2.385614663E-01 3.325861180E-03
 2.404681295E-01 3.321865108E-03
 2.423855811E-01 3.317883937E-03
 2.443139255E-01 3.313916968E-03
 2.462533116E-01 3.309963504E-03
ZONE T="Spalart Fine Grid"
 STRANDID=0, SOLUTIONTIME=0
 I=132, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 2.482038289E-01 3.306023544E-03
 2.501656413E-01 3.302097786E-03
 2.521388233E-01 3.298185300E-03
 2.541235387E-01 3.294285852E-03
 2.561199069E-01 3.290398745E-03
 2.581280470E-01 3.286524676E-03
 2.601480782E-01 3.282663412E-03
 2.621801794E-01 3.278813791E-03
 2.642244697E-01 3.274976043E-03
 2.662810385E-01 3.271150170E-03
 2.683500946E-01 3.267336171E-03
 2.704317570E-01 3.263534047E-03
 2.725261450E-01 3.259742167E-03
 2.746334076E-01 3.255961230E-03
 2.767537236E-01 3.252191702E-03
 2.788872123E-01 3.248433350E-03
 2.810340524E-01 3.244684078E-03
 2.831943929E-01 3.240945749E-03
 2.853683829E-01 3.237217432E-03
 2.875561714E-01 3.233499127E-03
 2.897579074E-01 3.229790134E-03
 2.919737995E-01 3.226090921E-03
 2.942039967E-01 3.222400323E-03
 2.964486778E-01 3.218719969E-03
 2.987079918E-01 3.215048462E-03
 3.009821177E-01 3.211385338E-03
 3.032712340E-01 3.207730362E-03
 3.055755198E-01 3.204084001E-03
 3.078951538E-01 3.200446721E-03
 3.102303445E-01 3.196817357E-03
 3.125812709E-01 3.193195444E-03
 3.149481118E-01 3.189580981E-03
 3.173310757E-01 3.185974900E-03
 3.197303414E-01 3.182376502E-03
 3.221461177E-01 3.178784857E-03
 3.245786130E-01 3.175199963E-03
 3.270280361E-01 3.171622753E-03
 3.294945955E-01 3.168052295E-03
 3.319785297E-01 3.164488124E-03
 3.344799876E-01 3.160930937E-03
 3.369992673E-01 3.157379106E-03
 3.395365477E-01 3.153834725E-03
 3.420920670E-01 3.150296398E-03
 3.446660638E-01 3.146763192E-03
 3.472587466E-01 3.143235808E-03
 3.498704135E-01 3.139714012E-03
 3.525012434E-01 3.136198036E-03
 3.551515341E-01 3.132687416E-03
 3.578214943E-01 3.129181452E-03
 3.605114222E-01 3.125680378E-03
 3.632215559E-01 3.122184658E-03
 3.659521639E-01 3.118694061E-03
 3.687035441E-01 3.115207190E-03
 3.714759052E-01 3.111724975E-03
 3.742696047E-01 3.108246950E-03
 3.770848513E-01 3.104773583E-03
 3.799220026E-01 3.101303941E-03
 3.827812970E-01 3.097838024E-03
 3.856630921E-01 3.094375366E-03
 3.885676265E-01 3.090917133E-03
 3.914952576E-01 3.087462392E-03
 3.944462836E-01 3.084010445E-03
 3.974210620E-01 3.080561757E-03
 4.004198611E-01 3.077115631E-03
 4.034430385E-01 3.073673230E-03
 4.064909518E-01 3.070233623E-03
 4.095639288E-01 3.066796111E-03
 4.126623273E-01 3.063361160E-03
 4.157865047E-01 3.059928305E-03
 4.189368486E-01 3.056498477E-03
 4.221136868E-01 3.053070279E-03
 4.253174067E-01 3.049643710E-03
 4.285484552E-01 3.046219004E-03
 4.318071604E-01 3.042795928E-03
 4.350939393E-01 3.039375180E-03
 4.384092093E-01 3.035955131E-03
 4.417533875E-01 3.032536013E-03
 4.451268911E-01 3.029118525E-03
 4.485301673E-01 3.025702201E-03
 4.519636333E-01 3.022286342E-03
 4.554277658E-01 3.018871183E-03
 4.589230120E-01 3.015456488E-03
 4.624498785E-01 3.012042260E-03
 4.660087526E-01 3.008628963E-03
 4.696002305E-01 3.005215200E-03
 4.732247293E-01 3.001800971E-03
 4.768827856E-01 2.998387907E-03
 4.805749059E-01 2.994974144E-03
 4.843016565E-01 2.991559682E-03
 4.880635440E-01 2.988144523E-03
 4.918611050E-01 2.984728664E-03
 4.956949353E-01 2.981312340E-03
 4.995656013E-01 2.977895318E-03
 5.034736991E-01 2.974476665E-03
 5.074197650E-01 2.971056849E-03
 5.114045143E-01 2.967635868E-03
 5.154284835E-01 2.964213723E-03
 5.194923282E-01 2.960789483E-03
 5.235967040E-01 2.957363147E-03
 5.277422667E-01 2.953935182E-03
 5.319297910E-01 2.950506052E-03
 5.361598134E-01 2.947073197E-03
 5.404331684E-01 2.943638712E-03
 5.447505713E-01 2.940201201E-03
 5.491126776E-01 2.936761361E-03
 5.535203218E-01 2.933319192E-03
 5.579742789E-01 2.929873066E-03
 5.624752641E-01 2.926424379E-03
 5.670242310E-01 2.922972431E-03
 5.716218352E-01 2.919516992E-03
 5.762690902E-01 2.916057827E-03
 5.809667706E-01 2.912594704E-03
 5.857158303E-01 2.909128554E-03
 5.905171037E-01 2.905657981E-03
 5.953715444E-01 2.902182518E-03
 6.002801657E-01 2.898703096E-03
 6.052439213E-01 2.895219252E-03
 6.102637649E-01 2.891731448E-03
 6.153407097E-01 2.888237592E-03
 6.204759479E-01 2.884738380E-03
 6.256703734E-01 2.881235210E-03
 6.309252381E-01 2.877726685E-03
 6.362415552E-01 2.874211641E-03
 6.416205764E-01 2.870691009E-03
 6.470634341E-01 2.867165254E-03
 6.525713801E-01 2.863633446E-03
 6.581456065E-01 2.860094886E-03
 6.637874842E-01 2.856549108E-03
 6.694982052E-01 2.852998208E-03
 6.752792597E-01 2.849440323E-03
 6.811319590E-01 2.845874755E-03
 6.870576739E-01 2.842301968E-03
ZONE T="Spalart Fine Grid"
 STRANDID=0, SOLUTIONTIME=0
 I=132, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 6.930579543E-01 2.838722663E-03
 6.991342902E-01 2.835135907E-03
 7.052881718E-01 2.831540536E-03
 7.115211487E-01 2.827937249E-03
 7.178349495E-01 2.824326279E-03
 7.242311239E-01 2.820707392E-03
 7.307115197E-01 2.817079192E-03
 7.372777462E-01 2.813441912E-03
 7.439317107E-01 2.809796715E-03
 7.506752014E-01 2.806141973E-03
 7.575102448E-01 2.802477218E-03
 7.644386888E-01 2.798803151E-03
 7.714626789E-01 2.795120236E-03
 7.785841823E-01 2.791425912E-03
 7.858054042E-01 2.787721343E-03
 7.931284904E-01 2.784006996E-03
 8.005558252E-01 2.780282171E-03
 8.080896735E-01 2.776545240E-03
