VARIABLES = "y","uuprime","wwprime","vvprime"
ZONE T="CFL3D, SA-QCR2000"
 4.999999987E-07 5.199020728E-11 4.064910214E-11 2.930800047E-11
 1.000465204E-06 4.484846661E-10 3.506525625E-10 2.528204313E-10
 1.501861107E-06 1.928244675E-09 1.507618697E-09 1.086992718E-09
 2.004654107E-06 5.735574682E-09 4.484420391E-09 3.233265877E-09
 2.509312253E-06 1.364458058E-08 1.066816058E-08 7.691739690E-09
 3.016304618E-06 2.799180976E-08 2.188569326E-08 1.577957676E-08
 3.526103228E-06 5.171906992E-08 4.043709723E-08 2.915512809E-08
 4.039182386E-06 8.842695109E-08 6.913754191E-08 4.984812918E-08
 4.556018666E-06 1.424398590E-07 1.113680881E-07 8.029632426E-08
 5.077094102E-06 2.188837414E-07 1.711365343E-07 1.233893272E-07
 5.602892543E-06 3.237766748E-07 2.531481584E-07 1.825196136E-07
 6.133903298E-06 4.641348994E-07 3.628886702E-07 2.616424410E-07
 6.670620678E-06 6.480951811E-07 5.067198572E-07 3.653445901E-07
 7.213543540E-06 8.850539075E-07 6.919884186E-07 4.989229865E-07
 7.763177564E-06 1.185827500E-06 9.271512909E-07 6.684751384E-07
 8.320033885E-06 1.562832949E-06 1.221916705E-06 8.810006307E-07
 8.884630006E-06 2.030292535E-06 1.587404768E-06 1.144517000E-06
 9.457491615E-06 2.604467227E-06 2.036328851E-06 1.468190476E-06
 1.003915168E-05 3.303914355E-06 2.583198466E-06 1.862482577E-06
 1.063015134E-05 4.149781034E-06 3.244547770E-06 2.339314278E-06
 1.123103993E-05 5.166129995E-06 4.039189662E-06 2.912249556E-06
 1.184237772E-05 6.380307696E-06 4.988506134E-06 3.596705028E-06
 1.246473221E-05 7.823341548E-06 6.116756140E-06 4.410170732E-06
 1.309868276E-05 9.530394891E-06 7.451432339E-06 5.372469332E-06
 1.374481872E-05 1.154125766E-05 9.023643543E-06 6.506030331E-06
 1.440374217E-05 1.390089528E-05 1.086854900E-05 7.836202712E-06
 1.507606521E-05 1.666003118E-05 1.302580495E-05 9.391578715E-06
 1.576241448E-05 1.987581163E-05 1.554009214E-05 1.120437355E-05
 1.646342571E-05 2.361246516E-05 1.846162922E-05 1.331079420E-05
 1.717975465E-05 2.794209831E-05 2.184679215E-05 1.575148599E-05
 1.791206523E-05 3.294542694E-05 2.575869075E-05 1.857195457E-05
 1.866104139E-05 3.871267108E-05 3.026785998E-05 2.182305070E-05
 1.942737617E-05 4.534428808E-05 3.545284926E-05 2.556141044E-05
 2.021178625E-05 5.295198207E-05 4.140099190E-05 2.984999992E-05
 2.101499740E-05 6.165940431E-05 4.820896356E-05 3.475852645E-05
 2.183776087E-05 7.160307723E-05 5.598350617E-05 4.036394239E-05
 2.268083881E-05 8.293295105E-05 6.484187179E-05 4.675078526E-05
 2.354501703E-05 9.581319318E-05 7.491239376E-05 5.401159433E-05
 2.443110134E-05 1.104224721E-04 8.633478137E-05 6.224708341E-05
 2.533991210E-05 1.269539789E-04 9.926007624E-05 7.156616630E-05
 2.627229696E-05 1.456154714E-04 1.138507068E-04 8.208594954E-05
 2.722912359E-05 1.666283933E-04 1.302798337E-04 9.393126675E-05
 2.821128328E-05 1.902268414E-04 1.487304689E-04 1.072340892E-04
 2.921968553E-05 2.166554186E-04 1.693938393E-04 1.221322746E-04
 3.025527258E-05 2.461668919E-04 1.924676035E-04 1.387683296E-04
 3.131900667E-05 2.790183935E-04 2.181528107E-04 1.572872134E-04
 3.241187733E-05 3.154669248E-04 2.466503356E-04 1.778337755E-04
 3.353489956E-05 3.557633900E-04 2.781564253E-04 2.005494607E-04
 3.468912109E-05 4.001463240E-04 3.128575336E-04 2.255687286E-04
 3.587561514E-05 4.488334525E-04 3.509238886E-04 2.530143247E-04
 3.709548400E-05 5.020130775E-04 3.925027268E-04 2.829923469E-04
 3.834985910E-05 5.598342395E-04 4.377105797E-04 3.155868908E-04
 3.963991549E-05 6.223974051E-04 4.866259405E-04 3.508544760E-04
 4.096685007E-05 6.897432031E-04 5.392806488E-04 3.888180654E-04
 4.233189611E-05 7.618437521E-04 5.956528476E-04 4.294619139E-04
 4.373632328E-05 8.385940455E-04 6.556604640E-04 4.727268533E-04
 4.518143760E-05 9.198062471E-04 7.191565819E-04 5.185069167E-04
 4.666858513E-05 1.005205326E-03 7.859261823E-04 5.666470970E-04
 4.819914830E-05 1.094428822E-03 8.556859102E-04 6.169429980E-04
 4.977455319E-05 1.187030226E-03 9.280866943E-04 6.691431045E-04
 5.139626228E-05 1.282486250E-03 1.002719277E-03 7.229521289E-04
 5.306578896E-05 1.380207599E-03 1.079122885E-03 7.780380547E-04
 5.478467938E-05 1.479553292E-03 1.156796468E-03 8.340395289E-04
 5.655453788E-05 1.579848584E-03 1.235212316E-03 8.905760478E-04
 5.837701246E-05 1.680403017E-03 1.313830726E-03 9.472584352E-04
 6.025379116E-05 1.780530205E-03 1.392115024E-03 1.003699726E-03
 6.218662747E-05 1.879567862E-03 1.469547278E-03 1.059526694E-03
 6.417731493E-05 1.976893982E-03 1.545641338E-03 1.114388579E-03
 6.622770888E-05 2.071942436E-03 1.619954244E-03 1.167966169E-03
 6.833971565E-05 2.164214151E-03 1.692096237E-03 1.219978207E-03
 7.051529974E-05 2.253285842E-03 1.761735883E-03 1.270186040E-03
 7.275648386E-05 2.338813152E-03 1.828604261E-03 1.318395487E-03
 7.506535621E-05 2.420532517E-03 1.892495318E-03 1.364458119E-03
 7.744405593E-05 2.498258138E-03 1.953263534E-03 1.408268930E-03
 7.989480946E-05 2.571877791E-03 2.010821365E-03 1.449764823E-03
 8.241988689E-05 2.641345374E-03 2.065132605E-03 1.488919836E-03
 8.502163837E-05 2.706673928E-03 2.116207499E-03 1.525740954E-03
 8.770249406E-05 2.767925849E-03 2.164094942E-03 1.560263918E-03
 9.046493506E-05 2.825205447E-03 2.208876424E-03 1.592547167E-03
 9.331152978E-05 2.878649859E-03 2.250659047E-03 1.622668002E-03
 9.624494123E-05 2.928421134E-03 2.289569471E-03 1.650717924E-03
 9.926789062E-05 2.974699019E-03 2.325748792E-03 1.676798216E-03
 1.023831865E-04 3.017675364E-03 2.359346254E-03 1.701016910E-03
 1.055937319E-04 3.057547845E-03 2.390516689E-03 1.723485417E-03
 1.089025172E-04 3.094515763E-03 2.419416094E-03 1.744316192E-03
 1.123126131E-04 3.128776792E-03 2.446198836E-03 1.763620880E-03
 1.158271916E-04 3.160524182E-03 2.471016254E-03 1.781508094E-03
 1.194495271E-04 3.189944429E-03 2.494013868E-03 1.798082958E-03
 1.231829810E-04 3.217214951E-03 2.515330678E-03 1.813445822E-03
 1.270310458E-04 3.242504783E-03 2.535098465E-03 1.827691565E-03
 1.309972722E-04 3.265972016E-03 2.553441096E-03 1.840909594E-03
 1.350853854E-04 3.287765197E-03 2.570474520E-03 1.853183494E-03
 1.392991544E-04 3.308021696E-03 2.586306538E-03 1.864590915E-03
 1.436425227E-04 3.326869104E-03 2.601036569E-03 1.875203568E-03
 1.481195213E-04 3.344425000E-03 2.614756580E-03 1.885087811E-03
 1.527343265E-04 3.360797185E-03 2.627551090E-03 1.894304412E-03
 1.574912167E-04 3.376084846E-03 2.639497397E-03 1.902909251E-03
 1.623946155E-04 3.390378319E-03 2.650666051E-03 1.910953317E-03
 1.674490923E-04 3.403760027E-03 2.661121776E-03 1.918482943E-03
 1.726593473E-04 3.416304709E-03 2.670923015E-03 1.925540506E-03
 1.780302409E-04 3.428081051E-03 2.680123085E-03 1.932164421E-03
