VARIABLES = "y","uuprime","wwprime","vvprime"
ZONE T="CFL3D, SA"
 4.999999987E-07 4.089554390E-11 4.089554043E-11 4.089553696E-11
 1.000465204E-06 3.527784453E-10 3.527783898E-10 3.527783343E-10
 1.501861107E-06 1.516759052E-09 1.516758719E-09 1.516758386E-09
 2.004654107E-06 4.511608864E-09 4.511607532E-09 4.511606200E-09
 2.509312253E-06 1.073284039E-08 1.073283684E-08 1.073283329E-08
 3.016304618E-06 2.201838534E-08 2.201837646E-08 2.201836757E-08
 3.526103228E-06 4.068227000E-08 4.068224868E-08 4.068223092E-08
 4.039182386E-06 6.955672660E-08 6.955668397E-08 6.955664844E-08
 4.556018666E-06 1.120433168E-07 1.120432458E-07 1.120431747E-07
 5.077094102E-06 1.721741256E-07 1.721740119E-07 1.721738840E-07
 5.602892543E-06 2.546829307E-07 2.546827318E-07 2.546825328E-07
 6.133903298E-06 3.650887379E-07 3.650884253E-07 3.650881411E-07
 6.670620678E-06 5.097917892E-07 5.097913345E-07 5.097908797E-07
 7.213543540E-06 6.961833492E-07 6.961826102E-07 6.961819849E-07
 7.763177564E-06 9.327713428E-07 9.327703765E-07 9.327693533E-07
 8.320033885E-06 1.229322720E-06 1.229321470E-06 1.229319992E-06
 8.884630006E-06 1.597024834E-06 1.597022901E-06 1.597020969E-06
 9.457491615E-06 2.048667511E-06 2.048665010E-06 2.048662282E-06
 1.003915168E-05 2.598847914E-06 2.598844503E-06 2.598840865E-06
 1.063015134E-05 3.264199449E-06 3.264194675E-06 3.264189900E-06
 1.123103993E-05 4.063647793E-06 4.063641427E-06 4.063635060E-06
 1.184237772E-05 5.018703177E-06 5.018694992E-06 5.018686807E-06
 1.246473221E-05 6.153768481E-06 6.153758022E-06 6.153747563E-06
 1.309868276E-05 7.496500530E-06 7.496486887E-06 7.496473245E-06
 1.374481872E-05 9.078193216E-06 9.078175935E-06 9.078158655E-06
 1.440374217E-05 1.093421088E-05 1.093418905E-05 1.093416813E-05
 1.507606521E-05 1.310444350E-05 1.310441621E-05 1.310438984E-05
 1.576241448E-05 1.563383194E-05 1.563379919E-05 1.563376645E-05
 1.646342571E-05 1.857288771E-05 1.857284587E-05 1.857280404E-05
 1.717975465E-05 2.197830690E-05 2.197825597E-05 2.197820504E-05
 1.791206523E-05 2.591355951E-05 2.591349585E-05 2.591343400E-05
 1.866104139E-05 3.044957703E-05 3.044949881E-05 3.044942241E-05
 1.942737617E-05 3.566534360E-05 3.566524902E-05 3.566515443E-05
 2.021178625E-05 4.164866914E-05 4.164855272E-05 4.164843631E-05
 2.101499740E-05 4.849674951E-05 4.849661127E-05 4.849646939E-05
 2.183776087E-05 5.631688327E-05 5.631671593E-05 5.631654858E-05
 2.268083881E-05 6.522692274E-05 6.522671902E-05 6.522651529E-05
 2.354501703E-05 7.535584155E-05 7.535560144E-05 7.535536133E-05
 2.443110134E-05 8.684401837E-05 8.684372733E-05 8.684343629E-05
 2.533991210E-05 9.984318604E-05 9.984283679E-05 9.984248754E-05
 2.627229696E-05 1.145164788E-04 1.145160713E-04 1.145156493E-04
 2.722912359E-05 1.310377702E-04 1.310372754E-04 1.310367807E-04
 2.821128328E-05 1.495907782E-04 1.495901961E-04 1.495895995E-04
 2.921968553E-05 1.703673624E-04 1.703666640E-04 1.703659800E-04
 3.025527258E-05 1.935657638E-04 1.935649343E-04 1.935641194E-04
 3.131900667E-05 2.193875262E-04 2.193865512E-04 2.193855908E-04
 3.241187733E-05 2.480339317E-04 2.480327967E-04 2.480316616E-04
 3.353489956E-05 2.797013731E-04 2.797000634E-04 2.796987246E-04
 3.468912109E-05 3.145764058E-04 3.145748633E-04 3.145733208E-04
 3.587561514E-05 3.528290836E-04 3.528272500E-04 3.528254456E-04
 3.709548400E-05 3.946061188E-04 3.946040233E-04 3.946018987E-04
 3.834985910E-05 4.400235193E-04 4.400210746E-04 4.400186008E-04
 3.963991549E-05 4.891587887E-04 4.891559365E-04 4.891530843E-04
 4.096685007E-05 5.420426023E-04 5.420393427E-04 5.420360249E-04
 4.233189611E-05 5.986519391E-04 5.986481556E-04 5.986443721E-04
 4.373632328E-05 6.589033292E-04 6.588989636E-04 6.588946562E-04
 4.518143760E-05 7.226483431E-04 7.226432790E-04 7.226383314E-04
 4.666858513E-05 7.896705065E-04 7.896648021E-04 7.896590396E-04
 4.819914830E-05 8.596851840E-04 8.596786647E-04 8.596721455E-04
 4.977455319E-05 9.323422564E-04 9.323348058E-04 9.323274135E-04
 5.139626228E-05 1.007231418E-03 1.007222920E-03 1.007214538E-03
 5.306578896E-05 1.083891257E-03 1.083881711E-03 1.083872165E-03
 5.478467938E-05 1.161820022E-03 1.161809196E-03 1.161798486E-03
 5.655453788E-05 1.240489655E-03 1.240477548E-03 1.240465441E-03
 5.837701246E-05 1.319359872E-03 1.319346251E-03 1.319332630E-03
 6.025379116E-05 1.397893298E-03 1.397878164E-03 1.397862798E-03
 6.218662747E-05 1.475571655E-03 1.475554658E-03 1.475537661E-03
 6.417731493E-05 1.551907393E-03 1.551888417E-03 1.551869442E-03
 6.622770888E-05 1.626456389E-03 1.626435318E-03 1.626414247E-03
 6.833971565E-05 1.698827255E-03 1.698803855E-03 1.698780572E-03
 7.051529974E-05 1.768686925E-03 1.768661081E-03 1.768635237E-03
 7.275648386E-05 1.835764386E-03 1.835735980E-03 1.835707342E-03
 7.506535621E-05 1.899851719E-03 1.899820287E-03 1.899788971E-03
 7.744405593E-05 1.960801426E-03 1.960766967E-03 1.960732508E-03
 7.989480946E-05 2.018524334E-03 2.018486615E-03 2.018448897E-03
 8.241988689E-05 2.072982723E-03 2.072941512E-03 2.072900534E-03
 8.502163837E-05 2.124185907E-03 2.124141203E-03 2.124096267E-03
 8.770249406E-05 2.172182314E-03 2.172133652E-03 2.172084525E-03
 9.046493506E-05 2.217052970E-03 2.216999885E-03 2.216946799E-03
 9.331152978E-05 2.258904977E-03 2.258847700E-03 2.258790191E-03
 9.624494123E-05 2.297866158E-03 2.297804225E-03 2.297742059E-03
 9.926789062E-05 2.334077843E-03 2.334010787E-03 2.333943732E-03
 1.023831865E-04 2.367690904E-03 2.367618727E-03 2.367546316E-03
 1.055937319E-04 2.398860874E-03 2.398783574E-03 2.398705808E-03
 1.089025172E-04 2.427745843E-03 2.427662956E-03 2.427579602E-03
 1.123126131E-04 2.454502042E-03 2.454413101E-03 2.454323694E-03
 1.158271916E-04 2.479281509E-03 2.479186514E-03 2.479091054E-03
 1.194495271E-04 2.502231859E-03 2.502130577E-03 2.502028830E-03
 1.231829810E-04 2.523493953E-03 2.523386152E-03 2.523277886E-03
 1.270310458E-04 2.543200972E-03 2.543086186E-03 2.542971168E-03
 1.309972722E-04 2.561478177E-03 2.561356407E-03 2.561234171E-03
 1.350853854E-04 2.578442683E-03 2.578313695E-03 2.578184009E-03
 1.392991544E-04 2.594203223E-03 2.594066784E-03 2.593929647E-03
 1.436425227E-04 2.608860843E-03 2.608716721E-03 2.608571900E-03
 1.481195213E-04 2.622507978E-03 2.622355940E-03 2.622203203E-03
 1.527343265E-04 2.635230310E-03 2.635069890E-03 2.634909004E-03
 1.574912167E-04 2.647105372E-03 2.646936569E-03 2.646767069E-03
 1.623946155E-04 2.658204408E-03 2.658027224E-03 2.657848876E-03
 1.674490923E-04 2.668592846E-03 2.668406349E-03 2.668219386E-03
 1.726593473E-04 2.678328892E-03 2.678133547E-03 2.677937271E-03
 1.780302409E-04 2.687466796E-03 2.687261906E-03 2.687056316E-03
 1.835667499E-04 2.696054755E-03 2.695840318E-03 2.695624949E-03
 1.892740256E-04 2.704136772E-03 2.703912556E-03 2.703687176E-03
 1.951573940E-04 2.711752895E-03 2.711518202E-03 2.711282810E-03
 2.012223267E-04 2.718938747E-03 2.718693810E-03 2.718447708E-03
 2.074744407E-04 2.725726925E-03 2.725471277E-03 2.725214232E-03
 2.139195858E-04 2.732146997E-03 2.731880173E-03 2.731612185E-03
 2.205637284E-04 2.738225041E-03 2.737946808E-03 2.737667412E-03
 2.274130820E-04 2.743985271E-03 2.743695397E-03 2.743404126E-03
 2.344739914E-04 2.749449108E-03 2.749147126E-03 2.748843981E-03
 2.417530341E-04 2.754636109E-03 2.754321788E-03 2.754006069E-03
 2.492569620E-04 2.759563969E-03 2.759236842E-03 2.758908318E-03
 2.569928183E-04 2.764248056E-03 2.763907891E-03 2.763566328E-03
 2.649677335E-04 2.768703504E-03 2.768349601E-03 2.767994301E-03
 2.731891291E-04 2.772942418E-03 2.772574779E-03 2.772205509E-03
 2.816647175E-04 2.776977140E-03 2.776595065E-03 2.776211360E-03
 2.904023277E-04 2.780817915E-03 2.780420939E-03 2.780022332E-03
 2.994100796E-04 2.784474054E-03 2.784061944E-03 2.783647971E-03
 3.086963843E-04 2.787954872E-03 2.787526930E-03 2.787097124E-03
 3.182698856E-04 2.791267587E-03 2.790823579E-03 2.790377242E-03
 3.281394893E-04 2.794419648E-03 2.793958643E-03 2.793495543E-03
 3.383143339E-04 2.797417343E-03 2.796938876E-03 2.796458313E-03
 3.488039365E-04 2.800266026E-03 2.799769863E-03 2.799271373E-03
 3.596180177E-04 2.802971518E-03 2.802456729E-03 2.801939845E-03
 3.707666765E-04 2.805538010E-03 2.805004362E-03 2.804468153E-03
 3.822602448E-04 2.807970159E-03 2.807416953E-03 2.806860721E-03
 3.941094328E-04 2.810271690E-03 2.809697995E-03 2.809121273E-03
 4.063252709E-04 2.812445862E-03 2.811851213E-03 2.811253304E-03
 4.189191386E-04 2.814495936E-03 2.813879400E-03 2.813259838E-03
 4.319027066E-04 2.816424705E-03 2.815785585E-03 2.815143438E-03
 4.452880821E-04 2.818234265E-03 2.817572095E-03 2.816906432E-03
 4.590877215E-04 2.819927176E-03 2.819241025E-03 2.818551147E-03
 4.733144306E-04 2.821505303E-03 2.820794238E-03 2.820079215E-03
 4.879814805E-04 2.822970040E-03 2.822233131E-03 2.821492497E-03
 5.031024921E-04 2.824322786E-03 2.823559567E-03 2.822791925E-03
 5.186916096E-04 2.825564938E-03 2.824774245E-03 2.823979128E-03
 5.347632105E-04 2.826697426E-03 2.825878095E-03 2.825054573E-03
 5.513323122E-04 2.827720949E-03 2.826872282E-03 2.826019190E-03
 5.684143398E-04 2.828635974E-03 2.827757038E-03 2.826873213E-03
 5.860251840E-04 2.829443198E-03 2.828532597E-03 2.827617107E-03
 6.041811430E-04 2.830142388E-03 2.829199424E-03 2.828251105E-03
 6.228992715E-04 2.830733778E-03 2.829757053E-03 2.828774974E-03
 6.421967992E-04 2.831217134E-03 2.830205718E-03 2.829188481E-03
 6.620918284E-04 2.831591992E-03 2.830544487E-03 2.829491161E-03
 6.826028111E-04 2.831858117E-03 2.830773359E-03 2.829682315E-03
 7.037487812E-04 2.832014579E-03 2.830890939E-03 2.829761244E-03
 7.255495293E-04 2.832060214E-03 2.830896759E-03 2.829726785E-03
 7.480251952E-04 2.831994090E-03 2.830789424E-03 2.829578007E-03
 7.711967919E-04 2.831815043E-03 2.830567770E-03 2.829313045E-03
 7.950857980E-04 2.831521677E-03 2.830230165E-03 2.828930737E-03
 8.197145071E-04 2.831112128E-03 2.829774749E-03 2.828429220E-03
 8.451058529E-04 2.830584301E-03 2.829199657E-03 2.827806631E-03
 8.712833514E-04 2.829936566E-03 2.828502795E-03 2.827060409E-03
 8.982714498E-04 2.829166129E-03 2.827681834E-03 2.826188225E-03
 9.260951774E-04 2.828270895E-03 2.826733980E-03 2.825187752E-03
 9.547804948E-04 2.827247838E-03 2.825656906E-03 2.824055729E-03
 9.843540611E-04 2.826094162E-03 2.824446885E-03 2.822789364E-03
 1.014843350E-03 2.824806375E-03 2.823101124E-03 2.821385162E-03
 1.046276768E-03 2.823381452E-03 2.821615897E-03 2.819839399E-03
 1.078683534E-03 2.821814967E-03 2.819987480E-03 2.818148350E-03
 1.112093800E-03 2.820103429E-03 2.818211680E-03 2.816307591E-03
 1.146538649E-03 2.818242181E-03 2.816283843E-03 2.814312931E-03
 1.182050211E-03 2.816226566E-03 2.814199543E-03 2.812159481E-03
 1.218661433E-03 2.814051928E-03 2.811953891E-03 2.809842117E-03
 1.256406307E-03 2.811712679E-03 2.809541300E-03 2.807355253E-03
 1.295320108E-03 2.809203463E-03 2.806955948E-03 2.804693533E-03
 1.335438923E-03 2.806517761E-03 2.804192016E-03 2.801850438E-03
