VARIABLES = "y","uuprime_nok","wwprime_nok","vvprime_nok"
ZONE T="CFL3D, SA-QCR2000"
 4.999999987E-07 1.134110340E-11 -3.322071336E-19 -1.134110340E-11
 1.000465204E-06 9.783211741E-11 -2.893181652E-18 -9.783211047E-11
 1.501861107E-06 4.206259507E-10 -1.230155710E-17 -4.206259230E-10
 2.004654107E-06 1.251154513E-09 -3.632885930E-17 -1.251154513E-09
 2.509312253E-06 2.976420443E-09 -8.582007458E-17 -2.976420443E-09
 3.016304618E-06 6.106117389E-09 -1.747111862E-16 -6.106117389E-09
 3.526103228E-06 1.128197002E-08 -3.203045826E-16 -1.128197002E-08
 4.039182386E-06 1.928941273E-08 -5.433177432E-16 -1.928941096E-08
 4.556018666E-06 3.107176738E-08 -8.679258619E-16 -3.107176383E-08
 5.077094102E-06 4.774721063E-08 -1.321891582E-15 -4.774720708E-08
 5.602892543E-06 7.062852347E-08 -1.937144022E-15 -7.062852347E-08
 6.133903298E-06 1.012462434E-07 -2.750145303E-15 -1.012462363E-07
 6.670620678E-06 1.413752955E-07 -3.802282196E-15 -1.413752955E-07
 7.213543540E-06 1.930654605E-07 -5.140516325E-15 -1.930654463E-07
 7.763177564E-06 2.586761809E-07 -6.818145122E-15 -2.586761809E-07
 8.320033885E-06 3.409161309E-07 -8.895871202E-15 -3.409161309E-07
 8.884630006E-06 4.428878526E-07 -1.144290266E-14 -4.428878242E-07
 9.457491615E-06 5.681383186E-07 -1.453836170E-14 -5.681383186E-07
 1.003915168E-05 7.207158887E-07 -1.827307735E-14 -7.207158319E-07
 1.063015134E-05 9.052334349E-07 -2.275146421E-14 -9.052334349E-07
 1.123103993E-05 1.126939992E-06 -2.809381789E-14 -1.126939992E-06
 1.184237772E-05 1.391801220E-06 -3.443883498E-14 -1.391801106E-06
 1.246473221E-05 1.706585294E-06 -4.194651150E-14 -1.706585181E-06
 1.309868276E-05 2.078962780E-06 -5.080062144E-14 -2.078962552E-06
 1.374481872E-05 2.517613439E-06 -6.121131705E-14 -2.517613439E-06
 1.440374217E-05 3.032346513E-06 -7.341813247E-14 -3.032346513E-06
 1.507606521E-05 3.634226232E-06 -8.768968218E-14 -3.634226005E-06
 1.576241448E-05 4.335719041E-06 -1.043226920E-13 -4.335718586E-06
 1.646342571E-05 5.150835932E-06 -1.236392987E-13 -5.150835932E-06
 1.717975465E-05 6.095306162E-06 -1.459768450E-13 -6.095305707E-06
 1.791206523E-05 7.186737548E-06 -1.716702952E-13 -7.186737093E-06
 1.866104139E-05 8.444809282E-06 -2.010279828E-13 -8.444809282E-06
 1.942737617E-05 9.891437912E-06 -2.342893403E-13 -9.891437912E-06
 2.021178625E-05 1.155099017E-05 -2.715641839E-13 -1.155099017E-05
 2.101499740E-05 1.345043893E-05 -3.127479287E-13 -1.345043893E-05
 2.183776087E-05 1.561956560E-05 -3.574019065E-13 -1.561956560E-05
 2.268083881E-05 1.809108289E-05 -4.045952484E-13 -1.809108289E-05
 2.354501703E-05 2.090079943E-05 -4.527037924E-13 -2.090079943E-05
 2.443110134E-05 2.408769251E-05 -4.991504714E-13 -2.408769069E-05
 2.533991210E-05 2.769390630E-05 -5.400960170E-13 -2.769390630E-05
