VARIABLES = "N","h^2=1/N","h=sqrt(1/N)","C_f,x=0.97"
ZONE T="CFL3D, SA"
 2.088960000E+05 4.787069884E-06 2.187940059E-03 2.705621533E-03
 5.222400000E+04 1.914829954E-05 4.375880118E-03 2.706737490E-03
 1.305600000E+04 7.659310359E-05 8.751749992E-03 2.711151727E-03
 3.264000000E+03 3.063729964E-04 1.750349998E-02 2.728346968E-03
 8.160000000E+02 1.225490007E-03 3.500699997E-02 2.795685083E-03
ZONE T="FUN3D, SA"
 2.088960000E+05 4.787069884E-06 2.187940059E-03 2.705404768E-03
 5.222400000E+04 1.914829954E-05 4.375880118E-03 2.704484854E-03
 1.305600000E+04 7.659310359E-05 8.751749992E-03 2.702153986E-03
 3.264000000E+03 3.063729964E-04 1.750349998E-02 2.694976050E-03
 8.160000000E+02 1.225490007E-03 3.500699997E-02 2.667377703E-03
ZONE T="CFL3D, SA-QCR2000"
 2.088960000E+05 4.787069884E-06 2.187940059E-03 2.700142795E-03
 5.222400000E+04 1.914829954E-05 4.375880118E-03 2.701812889E-03
 1.305600000E+04 7.659310359E-05 8.751749992E-03 2.708533080E-03
 3.264000000E+03 3.063729964E-04 1.750349998E-02 2.735187532E-03
 8.160000000E+02 1.225490007E-03 3.500699997E-02 2.836273750E-03
ZONE T="FUN3D, SA-QCR2000"
 2.088960000E+05 4.787069884E-06 2.187940059E-03 2.699096920E-03
 5.222400000E+04 1.914829954E-05 4.375880118E-03 2.697578864E-03
 1.305600000E+04 7.659310359E-05 8.751749992E-03 2.693541814E-03
 3.264000000E+03 3.063729964E-04 1.750349998E-02 2.698718105E-03
 8.160000000E+02 1.225490007E-03 3.500699997E-02 2.644977998E-03
ZONE T="CFL3D, SA-QCR2013"
 2.088960000E+05 4.787069884E-06 2.187940059E-03 2.699564444E-03
 5.222400000E+04 1.914829954E-05 4.375880118E-03 2.701256424E-03
 1.305600000E+04 7.659310359E-05 8.751749992E-03 2.707984298E-03
 3.264000000E+03 3.063729964E-04 1.750349998E-02 2.734637586E-03
 8.160000000E+02 1.225490007E-03 3.500699997E-02 2.835721709E-03
ZONE T="FUN3D, SA-QCR2013"
 2.088960000E+05 4.787069884E-06 2.187940059E-03 2.699098783E-03
 5.222400000E+04 1.914829954E-05 4.375880118E-03 2.697565593E-03
 1.305600000E+04 7.659310359E-05 8.751749992E-03 2.693562303E-03
 3.264000000E+03 3.063729964E-04 1.750349998E-02 2.698776778E-03
 8.160000000E+02 1.225490007E-03 3.500699997E-02 2.645816421E-03
