VARIABLES = "y" "uuprime" "wwprime" "vvprime"
ZONE T="CFL3D, SA-QCR2013"
 4.999999987E-07 5.856817115E-11 4.723239508E-11 3.589661554E-11
 1.000465204E-06 5.052284147E-10 4.074422189E-10 3.096560230E-10
 1.501861107E-06 2.172212854E-09 1.751784162E-09 1.331355692E-09
 2.004654107E-06 6.461260416E-09 5.210692766E-09 3.960125117E-09
 2.509312253E-06 1.537094541E-08 1.239592073E-08 9.420896063E-09
 3.016304618E-06 3.153344608E-08 2.543019306E-08 1.932693650E-08
 3.526103228E-06 5.826279192E-08 4.698610567E-08 3.570941942E-08
 4.039182386E-06 9.961514280E-08 8.033476462E-08 6.105437933E-08
 4.556018666E-06 1.604620650E-07 1.294048388E-07 9.834760561E-08
 5.077094102E-06 2.465780824E-07 1.988532148E-07 1.511283187E-07
 5.602892543E-06 3.647427889E-07 2.941472417E-07 2.235517087E-07
 6.133903298E-06 5.228602049E-07 4.216611842E-07 3.204621919E-07
 6.670620678E-06 7.300965876E-07 5.887871453E-07 4.474778166E-07
 7.213543540E-06 9.970374322E-07 8.040618695E-07 6.110863637E-07
 7.763177564E-06 1.335867751E-06 1.077311936E-06 8.187560638E-07
 8.320033885E-06 1.760575742E-06 1.419818091E-06 1.079060326E-06
 8.884630006E-06 2.287183861E-06 1.844501639E-06 1.401819304E-06
 9.457491615E-06 2.934010126E-06 2.366135050E-06 1.798259973E-06
 1.003915168E-05 3.721960638E-06 3.001578307E-06 2.281195975E-06
 1.063015134E-05 4.674858701E-06 3.770043577E-06 2.865228453E-06
 1.123103993E-05 5.819811577E-06 4.693391475E-06 3.566971372E-06
 1.184237772E-05 7.187627489E-06 5.796467121E-06 4.405307209E-06
 1.246473221E-05 8.813260138E-06 7.107459624E-06 5.401659109E-06
 1.309868276E-05 1.073632393E-05 8.658314982E-06 6.580306035E-06
 1.374481872E-05 1.300164331E-05 1.048518243E-05 7.968721548E-06
 1.440374217E-05 1.565987623E-05 1.262891510E-05 9.597953976E-06
 1.507606521E-05 1.876816350E-05 1.513559437E-05 1.150302523E-05
 1.576241448E-05 2.239088826E-05 1.805714055E-05 1.372339375E-05
 1.646342571E-05 2.660040809E-05 2.145190774E-05 1.630340921E-05
 1.717975465E-05 3.147795360E-05 2.538540502E-05 1.929285645E-05
 1.791206523E-05 3.711446334E-05 2.993097041E-05 2.274747203E-05
 1.866104139E-05 4.361156971E-05 3.517056030E-05 2.672954724E-05
 1.942737617E-05 5.108245750E-05 4.119545338E-05 3.130845289E-05
 2.021178625E-05 5.965296805E-05 4.810714017E-05 3.656131230E-05
 2.101499740E-05 6.946240319E-05 5.601795783E-05 4.257350884E-05
 2.183776087E-05 8.066456940E-05 6.505194324E-05 4.943930617E-05
 2.268083881E-05 9.342841804E-05 7.534533506E-05 5.726225572E-05
 2.354501703E-05 1.079388894E-04 8.704729407E-05 6.615569873E-05
 2.443110134E-05 1.243972656E-04 1.003201396E-04 7.624301361E-05
 2.533991210E-05 1.430212142E-04 1.153394114E-04 8.765760867E-05
 2.627229696E-05 1.640447881E-04 1.322938479E-04 1.005429149E-04
 2.722912359E-05 1.877175091E-04 1.513846946E-04 1.150518729E-04
 2.821128328E-05 2.143031015E-04 1.728246134E-04 1.313461253E-04
 2.921968553E-05 2.440771204E-04 1.968358411E-04 1.495945471E-04
 3.025527258E-05 2.773243759E-04 2.236480359E-04 1.699716959E-04
 3.131900667E-05 3.143346112E-04 2.534948871E-04 1.926551486E-04
 3.241187733E-05 3.553973220E-04 2.866098366E-04 2.178223513E-04
 3.353489956E-05 4.007952521E-04 3.232209128E-04 2.456465736E-04
 3.468912109E-05 4.507972044E-04 3.635448811E-04 2.762925869E-04
 3.587561514E-05 5.056484952E-04 4.077795893E-04 3.099106834E-04
 3.709548400E-05 5.655612913E-04 4.560961097E-04 3.466309572E-04
 3.834985910E-05 6.307036965E-04 5.086300662E-04 3.865564358E-04
 3.963991549E-05 7.011888665E-04 5.654726410E-04 4.297564155E-04
 4.096685007E-05 7.770628436E-04 6.266609416E-04 4.762590979E-04
 4.233189611E-05 8.582943119E-04 6.921698223E-04 5.260453327E-04
 4.373632328E-05 9.447652264E-04 7.619039388E-04 5.790427676E-04
 4.518143760E-05 1.036264119E-03 8.356928593E-04 6.351216580E-04
 4.666858513E-05 1.132481382E-03 9.132868145E-04 6.940924213E-04
 4.819914830E-05 1.233008923E-03 9.943568148E-04 7.557047647E-04
 4.977455319E-05 1.337344293E-03 1.078497502E-03 8.196507697E-04
 5.139626228E-05 1.444897731E-03 1.165233320E-03 8.855690248E-04
 5.306578896E-05 1.555006020E-03 1.254029456E-03 9.530529496E-04
 5.478467938E-05 1.666947035E-03 1.344303484E-03 1.021660049E-03
 5.655453788E-05 1.779960934E-03 1.435442595E-03 1.090924372E-03
 5.837701246E-05 1.893269829E-03 1.526819658E-03 1.160369371E-03
 6.025379116E-05 2.006100491E-03 1.617810805E-03 1.229521004E-03
 6.218662747E-05 2.117706928E-03 1.707814634E-03 1.297922106E-03
 6.417731493E-05 2.227388090E-03 1.796265598E-03 1.365142874E-03
 6.622770888E-05 2.334505785E-03 1.882649143E-03 1.430792152E-03
 6.833971565E-05 2.438497730E-03 1.966511831E-03 1.494525466E-03
 7.051529974E-05 2.538886387E-03 2.047468210E-03 1.556050032E-03
 7.275648386E-05 2.635283396E-03 2.125205705E-03 1.615127898E-03
 7.506535621E-05 2.727391664E-03 2.199484501E-03 1.671576872E-03
 7.744405593E-05 2.815001179E-03 2.270134864E-03 1.725268085E-03
 7.989480946E-05 2.897985047E-03 2.337054582E-03 1.776123885E-03
 8.241988689E-05 2.976291114E-03 2.400201745E-03 1.824112260E-03
 8.502163837E-05 3.049933119E-03 2.459587529E-03 1.869241707E-03
 8.770249406E-05 3.118981840E-03 2.515268978E-03 1.911555650E-03
 9.046493506E-05 3.183553927E-03 2.567339921E-03 1.951125450E-03
 9.331152978E-05 3.243803745E-03 2.615924925E-03 1.988045638E-03
 9.624494123E-05 3.299914068E-03 2.661171369E-03 2.022428438E-03
 9.926789062E-05 3.352086991E-03 2.703242237E-03 2.054397482E-03
 1.023831865E-04 3.400538350E-03 2.742311684E-03 2.084085252E-03
 1.055937319E-04 3.445490729E-03 2.778559458E-03 2.111628186E-03
 1.089025172E-04 3.487169277E-03 2.812166698E-03 2.137163887E-03
 1.123126131E-04 3.525796346E-03 2.843312919E-03 2.160829259E-03
 1.158271916E-04 3.561589867E-03 2.872173674E-03 2.182757249E-03
 1.194495271E-04 3.594759619E-03 2.898918465E-03 2.203077078E-03
 1.231829810E-04 3.625506070E-03 2.923708642E-03 2.221911214E-03
 1.270310458E-04 3.654019209E-03 2.946697641E-03 2.239376074E-03
 1.309972722E-04 3.680477384E-03 2.968029352E-03 2.255581087E-03
 1.350853854E-04 3.705048235E-03 2.987838816E-03 2.270628931E-03
 1.392991544E-04 3.727886593E-03 3.006250830E-03 2.284614602E-03
 1.436425227E-04 3.749136347E-03 3.023381345E-03 2.297626110E-03
 1.481195213E-04 3.768929513E-03 3.039337462E-03 2.309744712E-03
 1.527343265E-04 3.787388559E-03 3.054216970E-03 2.321045147E-03
 1.574912167E-04 3.804624313E-03 3.068110207E-03 2.331595402E-03
 1.623946155E-04 3.820739221E-03 3.081099130E-03 2.341458341E-03
 1.674490923E-04 3.835825948E-03 3.093258711E-03 2.350690775E-03
 1.726593473E-04 3.849969245E-03 3.104657168E-03 2.359344391E-03
 1.780302409E-04 3.863245947E-03 3.115356667E-03 2.367466688E-03
 1.835667499E-04 3.875725670E-03 3.125413321E-03 2.375100041E-03
 1.892740256E-04 3.887471976E-03 3.134878119E-03 2.382283332E-03
 1.951573940E-04 3.898541676E-03 3.143797163E-03 2.389051719E-03
 2.012223267E-04 3.908987157E-03 3.152212594E-03 2.395436866E-03
 2.074744407E-04 3.918854985E-03 3.160161898E-03 2.401467646E-03
 2.139195858E-04 3.928187769E-03 3.167679533E-03 2.407169901E-03
 2.205637284E-04 3.937023692E-03 3.174796002E-03 2.412567148E-03
 2.274130820E-04 3.945397213E-03 3.181539476E-03 2.417680575E-03
 2.344739914E-04 3.953339998E-03 3.187935334E-03 2.422529273E-03
 2.417530341E-04 3.960879985E-03 3.194006160E-03 2.427130705E-03
 2.492569620E-04 3.968043253E-03 3.199772676E-03 2.431500470E-03
 2.569928183E-04 3.974852618E-03 3.205253277E-03 2.435652772E-03
 2.649677335E-04 3.981328569E-03 3.210464958E-03 2.439599950E-03
 2.731891291E-04 3.987490200E-03 3.215423087E-03 2.443354111E-03
 2.816647175E-04 3.993355203E-03 3.220141167E-03 2.446925733E-03
 2.904023277E-04 3.998938017E-03 3.224631771E-03 2.450323664E-03
 2.994100796E-04 4.004253540E-03 3.228906076E-03 2.453556750E-03
 3.086963843E-04 4.009313881E-03 3.232974326E-03 2.456633141E-03
 3.182698856E-04 4.014130682E-03 3.236845834E-03 2.459559124E-03
 3.281394893E-04 4.018714186E-03 3.240528982E-03 2.462341450E-03
 3.383143339E-04 4.023074172E-03 3.244030988E-03 2.464985708E-03
 3.488039365E-04 4.027218558E-03 3.247359069E-03 2.467497019E-03
 3.596180177E-04 4.031155724E-03 3.250519279E-03 2.469880274E-03
 3.707666765E-04 4.034892190E-03 3.253517207E-03 2.472139662E-03
 3.822602448E-04 4.038434476E-03 3.256357741E-03 2.474278910E-03
 3.941094328E-04 4.041787703E-03 3.259045770E-03 2.476301277E-03
 4.063252709E-04 4.044957459E-03 3.261585254E-03 2.478210256E-03
 4.189191386E-04 4.047947936E-03 3.263979685E-03 2.480008174E-03
 4.319027066E-04 4.050764255E-03 3.266232554E-03 2.481698059E-03
 4.452880821E-04 4.053408746E-03 3.268346656E-03 2.483281540E-03
 4.590877215E-04 4.055885598E-03 3.270324785E-03 2.484760713E-03
 4.733144306E-04 4.058197141E-03 3.272168804E-03 2.486137440E-03
 4.879814805E-04 4.060345702E-03 3.273881273E-03 2.487413120E-03
 5.031024921E-04 4.062334076E-03 3.275463358E-03 2.488588914E-03
 5.186916096E-04 4.064163659E-03 3.276916919E-03 2.489665989E-03
 5.347632105E-04 4.065836314E-03 3.278242890E-03 2.490645507E-03
 5.513323122E-04 4.067352507E-03 3.279442200E-03 2.491527470E-03
 5.684143398E-04 4.068714101E-03 3.280515783E-03 2.492312808E-03
 5.860251840E-04 4.069921095E-03 3.281463869E-03 2.493001986E-03
 6.041811430E-04 4.070973955E-03 3.282286925E-03 2.493595006E-03
 6.228992715E-04 4.071872681E-03 3.282984952E-03 2.494091634E-03
 6.421967992E-04 4.072617739E-03 3.283557715E-03 2.494491870E-03
 6.620918284E-04 4.073208198E-03 3.284004750E-03 2.494795714E-03
 6.826028111E-04 4.073643126E-03 3.284325590E-03 2.495002234E-03
 7.037487812E-04 4.073921591E-03 3.284519538E-03 2.495110966E-03
 7.255495293E-04 4.074043129E-03 3.284585429E-03 2.495120978E-03
 7.480251952E-04 4.074005876E-03 3.284522099E-03 2.495031338E-03
 7.711967919E-04 4.073807504E-03 3.284327919E-03 2.494841116E-03
 7.950857980E-04 4.073447082E-03 3.284001490E-03 2.494548680E-03
 8.197145071E-04 4.072921351E-03 3.283540718E-03 2.494152868E-03
 8.451058529E-04 4.072227981E-03 3.282943740E-03 2.493651584E-03
 8.712833514E-04 4.071364179E-03 3.282207763E-03 2.493043197E-03
 8.982714498E-04 4.070326686E-03 3.281330457E-03 2.492325613E-03
 9.260951774E-04 4.069112241E-03 3.280308796E-03 2.491496503E-03
 9.547804948E-04 4.067716654E-03 3.279139986E-03 2.490553539E-03
 9.843540611E-04 4.066135734E-03 3.277820069E-03 2.489494160E-03
 1.014843350E-03 4.064365290E-03 3.276345553E-03 2.488315571E-03
 1.046276768E-03 4.062400199E-03 3.274712712E-03 2.487014281E-03
 1.078683534E-03 4.060235340E-03 3.272916889E-03 2.485587029E-03
 1.112093800E-03 4.057864659E-03 3.270953661E-03 2.484030556E-03
 1.146538649E-03 4.055282567E-03 3.268817905E-03 2.482340671E-03
 1.182050211E-03 4.052482080E-03 3.266504267E-03 2.480513416E-03
 1.218661433E-03 4.049456678E-03 3.264007391E-03 2.478544367E-03
 1.256406307E-03 4.046198446E-03 3.261320759E-03 2.476428868E-03
 1.295320108E-03 4.042699467E-03 3.258438082E-03 2.474161796E-03
 1.335438923E-03 4.038951825E-03 3.255352611E-03 2.471737796E-03
 1.376800123E-03 4.034945741E-03 3.252056660E-03 2.469151514E-03
 1.419442124E-03 4.030671902E-03 3.248542780E-03 2.466396661E-03
 1.463404740E-03 4.026119597E-03 3.244802356E-03 2.463467186E-03
 1.508728717E-03 4.021279048E-03 3.240826540E-03 2.460355638E-03
 1.555456314E-03 4.016137682E-03 3.236606251E-03 2.457055496E-03
 1.603630953E-03 4.010683857E-03 3.232131246E-03 2.453558613E-03
 1.653297455E-03 4.004904069E-03 3.227391047E-03 2.449857071E-03
 1.704502036E-03 3.998785280E-03 3.222374711E-03 2.445942489E-03
 1.757292310E-03 3.992312122E-03 3.217070131E-03 2.441805787E-03
 1.811717520E-03 3.985469230E-03 3.211464966E-03 2.437437186E-03
 1.867828076E-03 3.978240769E-03 3.205545945E-03 2.432826441E-03
 1.925676246E-03 3.970609047E-03 3.199298866E-03 2.427963074E-03
 1.985315932E-03 3.962555900E-03 3.192709293E-03 2.422835678E-03
 2.046802780E-03 3.954061773E-03 3.185760928E-03 2.417432377E-03
 2.110193484E-03 3.945106175E-03 3.178437706E-03 2.411740134E-03
 2.175547648E-03 3.935667221E-03 3.170721931E-03 2.405745909E-03
 2.242925344E-03 3.925722558E-03 3.162594978E-03 2.399435500E-03
 2.312389901E-03 3.915247973E-03 3.154037520E-03 2.392794006E-03
 2.384005813E-03 3.904217621E-03 3.145028837E-03 2.385805827E-03
 2.457839437E-03 3.892604494E-03 3.135547042E-03 2.378453966E-03
 2.533959458E-03 3.880380187E-03 3.125569317E-03 2.370721428E-03
 2.612437122E-03 3.867514897E-03 3.115071449E-03 2.362589352E-03
 2.693345072E-03 3.853976494E-03 3.104027594E-03 2.354038646E-03
 2.776758745E-03 3.839731682E-03 3.092410974E-03 2.345048590E-03
 2.862755442E-03 3.824745305E-03 3.080193186E-03 2.335597528E-03
 2.951415488E-03 3.808980342E-03 3.067344194E-03 2.325662645E-03
 3.042821307E-03 3.792396979E-03 3.053832334E-03 2.315220423E-03
 3.137057880E-03 3.774954472E-03 3.039624309E-03 2.304245252E-03
 3.234212985E-03 3.756608814E-03 3.024685429E-03 2.292710822E-03
 3.334376728E-03 3.737314604E-03 3.008978209E-03 2.280588960E-03
 3.437642707E-03 3.717023414E-03 2.992464462E-03 2.267850330E-03
 3.544106614E-03 3.695684485E-03 2.975102980E-03 2.254464198E-03
 3.653867636E-03 3.673244501E-03 2.956851153E-03 2.240398200E-03
 3.767027752E-03 3.649647115E-03 2.937663579E-03 2.225618111E-03
 3.883692669E-03 3.624833655E-03 2.917493228E-03 2.210088307E-03
 4.003970418E-03 3.598741954E-03 2.896290040E-03 2.193771303E-03
 4.127973225E-03 3.571307287E-03 2.874002093E-03 2.176627750E-03
 4.255816340E-03 3.542461200E-03 2.850574441E-03 2.158616204E-03
 4.387618508E-03 3.512132447E-03 2.825950505E-03 2.139694057E-03
 4.523502663E-03 3.480246291E-03 2.800069749E-03 2.119815908E-03
 4.663594998E-03 3.446724731E-03 2.772869775E-03 2.098935191E-03
 4.808025900E-03 3.411485581E-03 2.744285157E-03 2.077002311E-03
 4.956929944E-03 3.374444321E-03 2.714248141E-03 2.053966513E-03
 5.110444967E-03 3.335512243E-03 2.682687482E-03 2.029774478E-03
 5.268714856E-03 3.294596449E-03 2.649529371E-03 2.004371025E-03
 5.431886297E-03 3.251601709E-03 2.614697441E-03 1.977699110E-03
 5.600110628E-03 3.206428839E-03 2.578112530E-03 1.949699363E-03
 5.773545243E-03 3.158975160E-03 2.539693145E-03 1.920311013E-03
 5.952350795E-03 3.109135665E-03 2.499355003E-03 1.889471314E-03
 6.136693992E-03 3.056801856E-03 2.457011957E-03 1.857116004E-03
 6.326746196E-03 3.001863137E-03 2.412575763E-03 1.823179773E-03
 6.522683892E-03 2.944206819E-03 2.365957247E-03 1.787596266E-03
 6.724690087E-03 2.883719048E-03 2.317065606E-03 1.750298077E-03
 6.932952441E-03 2.820285037E-03 2.265810268E-03 1.711218385E-03
 7.147664204E-03 2.753791399E-03 2.212100662E-03 1.670290600E-03
 7.369025610E-03 2.684125211E-03 2.155848080E-03 1.627449063E-03
 7.597242948E-03 2.611177275E-03 2.096965909E-03 1.582630677E-03
 7.832527161E-03 2.534843748E-03 2.035372658E-03 1.535775606E-03
 8.075099438E-03 2.455025911E-03 1.970990561E-03 1.486827852E-03
 8.325182833E-03 2.371637151E-03 1.903752447E-03 1.435738755E-03
 8.583012037E-03 2.284602029E-03 1.833599177E-03 1.382466522E-03
 8.848825470E-03 2.193862805E-03 1.760486863E-03 1.326980535E-03
 9.122870862E-03 2.099381993E-03 1.684387913E-03 1.269263332E-03
 9.405404329E-03 2.001149347E-03 1.605296275E-03 1.209313050E-03
 9.696686640E-03 1.899188384E-03 1.523233717E-03 1.147149713E-03
 9.996990673E-03 1.793562900E-03 1.438253792E-03 1.082816860E-03
 1.030659489E-02 1.684388379E-03 1.350451959E-03 1.016390161E-03
 1.062578708E-02 1.571841887E-03 1.259973156E-03 9.479821892E-04
