VARIABLES = "N","h^2=1/N","h=sqrt(1/N)","C_f,x=0.97"
ZONE T="CFL3D, SA"
 2.088960000E+05 4.787069884E-06 2.187940059E-03 2.705621533E-03
 5.222400000E+04 1.914829954E-05 4.375880118E-03 2.706737490E-03
 1.305600000E+04 7.659310359E-05 8.751749992E-03 2.711151727E-03
 3.264000000E+03 3.063729964E-04 1.750349998E-02 2.728346968E-03
 8.160000000E+02 1.225490007E-03 3.500699997E-02 2.795685083E-03
ZONE T="FUN3D, SA"
 2.088960000E+05 4.787069884E-06 2.187940059E-03 2.705404768E-03
 5.222400000E+04 1.914829954E-05 4.375880118E-03 2.704484854E-03
 1.305600000E+04 7.659310359E-05 8.751749992E-03 2.702153986E-03
 3.264000000E+03 3.063729964E-04 1.750349998E-02 2.694976050E-03
 8.160000000E+02 1.225490007E-03 3.500699997E-02 2.667377703E-03
ZONE T="TAU, SA"
 2.088960000E+05 4.787069884E-06 2.187940059E-03 2.703211969E-03
 5.222400000E+04 1.914829954E-05 4.375880118E-03 2.701748395E-03
 1.305600000E+04 7.659310359E-05 8.751749992E-03 2.700317185E-03
 3.264000000E+03 3.063729964E-04 1.750349998E-02 2.715599490E-03
 8.160000000E+02 1.225490007E-03 3.500699997E-02 2.898694249E-03
ZONE T="CFL3D, SA-RC-QCR2000"
 2.088960000E+05 4.787069884E-06 2.187940059E-03 2.696790034E-03
 5.222400000E+04 1.914829954E-05 4.375880118E-03 2.698506694E-03
 1.305600000E+04 7.659310359E-05 8.751749992E-03 2.705322113E-03
 3.264000000E+03 3.063729964E-04 1.750349998E-02 2.732159803E-03
 8.160000000E+02 1.225490007E-03 3.500699997E-02 2.833594568E-03
ZONE T="FUN3D, SA-RC-QCR2000"
 2.088960000E+05 4.787069884E-06 2.187940059E-03 2.695879666E-03
 5.222400000E+04 1.914829954E-05 4.375880118E-03 2.694657538E-03
 1.305600000E+04 7.659310359E-05 8.751749992E-03 2.691280795E-03
 3.264000000E+03 3.063729964E-04 1.750349998E-02 2.697894815E-03
 8.160000000E+02 1.225490007E-03 3.500699997E-02 2.649656497E-03
ZONE T="TAU, SA-RC-QCR2000"
 2.088960000E+05 4.787069884E-06 2.187940059E-03 2.694353461E-03
 5.222400000E+04 1.914829954E-05 4.375880118E-03 2.692952286E-03
 1.305600000E+04 7.659310359E-05 8.751749992E-03 2.691522939E-03
 3.264000000E+03 3.063729964E-04 1.750349998E-02 2.706813626E-03
 8.160000000E+02 1.225490007E-03 3.500699997E-02 2.890202682E-03
