VARIABLES = "N","h^2=1/N","h=sqrt(1/N)","C_D"
ZONE T="CFL3D, SA"
 2.088960000E+05 4.787069884E-06 2.187940059E-03 2.859852975E-03
 5.222400000E+04 1.914829954E-05 4.375880118E-03 2.861309564E-03
 1.305600000E+04 7.659310359E-05 8.751749992E-03 2.866209252E-03
 3.264000000E+03 3.063729964E-04 1.750349998E-02 2.884378890E-03
 8.160000000E+02 1.225490007E-03 3.500699997E-02 2.954381518E-03
ZONE T="FUN3D, SA"
 2.088960000E+05 4.787069884E-06 2.187940059E-03 2.852468984E-03
 5.222400000E+04 1.914829954E-05 4.375880118E-03 2.847932978E-03
 1.305600000E+04 7.659310359E-05 8.751749992E-03 2.840044908E-03
 3.264000000E+03 3.063729964E-04 1.750349998E-02 2.822641050E-03
 8.160000000E+02 1.225490007E-03 3.500699997E-02 2.773859072E-03
ZONE T="TAU, SA"
 2.088960000E+05 4.787069884E-06 2.187940059E-03 2.851983299E-03
 5.222400000E+04 1.914829954E-05 4.375880118E-03 2.849772805E-03
 1.305600000E+04 7.659310359E-05 8.751749992E-03 2.848142292E-03
 3.264000000E+03 3.063729964E-04 1.750349998E-02 2.866626950E-03
 8.160000000E+02 1.225490007E-03 3.500699997E-02 3.058475675E-03
ZONE T="CFL3D, SA-RC-QCR2000"
 2.088960000E+05 4.787069884E-06 2.187940059E-03 2.849766053E-03
 5.222400000E+04 1.914829954E-05 4.375880118E-03 2.851849655E-03
 1.305600000E+04 7.659310359E-05 8.751749992E-03 2.859172644E-03
 3.264000000E+03 3.063729964E-04 1.750349998E-02 2.886997769E-03
 8.160000000E+02 1.225490007E-03 3.500699997E-02 2.993586706E-03
ZONE T="FUN3D, SA-RC-QCR2000"
 2.088960000E+05 4.787069884E-06 2.187940059E-03 2.840647940E-03
 5.222400000E+04 1.914829954E-05 4.375880118E-03 2.834571060E-03
 1.305600000E+04 7.659310359E-05 8.751749992E-03 2.822861075E-03
 3.264000000E+03 3.063729964E-04 1.750349998E-02 2.815084066E-03
 8.160000000E+02 1.225490007E-03 3.500699997E-02 2.734425012E-03
ZONE T="TAU, SA-RC-QCR2000"
 2.088960000E+05 4.787069884E-06 2.187940059E-03 2.842325019E-03
 5.222400000E+04 1.914829954E-05 4.375880118E-03 2.840013476E-03
 1.305600000E+04 7.659310359E-05 8.751749992E-03 2.838433720E-03
 3.264000000E+03 3.063729964E-04 1.750349998E-02 2.856872277E-03
 8.160000000E+02 1.225490007E-03 3.500699997E-02 3.048731247E-03
