VARIABLES = "y","u'u'_nok","v'v'_nok","w'w'_nok"
ZONE T="SA, X=0.97008"
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 4.999999987E-07 8.657005939E-18 -1.623556357E-17 7.578557635E-18
 1.000465204E-06 1.103060368E-16 -1.860214716E-16 7.571544136E-17
 1.501861107E-06 -2.505975760E-17 3.138100104E-16 -2.887502495E-16
 2.004654107E-06 1.780313119E-15 -2.443405450E-15 6.630923842E-16
 2.509312253E-06 2.238522791E-15 -1.043766408E-15 -1.194756489E-15
 3.016304618E-06 1.040748535E-14 -1.219902102E-14 1.791536517E-15
 3.526103228E-06 1.633775783E-14 -1.386544738E-14 -2.472310237E-15
 4.039182386E-06 4.010520079E-14 -4.311100224E-14 3.005805892E-15
 4.556018666E-06 6.405014458E-14 -6.036628310E-14 -3.683864449E-15
 5.077094102E-06 1.202786379E-13 -1.241635917E-13 3.884949647E-15
 5.602892543E-06 1.859791075E-13 -1.814636901E-13 -4.515421680E-15
 6.133903298E-06 3.037226774E-13 -3.078977232E-13 4.175073254E-15
 6.670620678E-06 4.505408091E-13 -4.455025758E-13 -5.038253191E-15
 7.213543540E-06 6.774780389E-13 -6.813327571E-13 3.854739793E-15
 7.763177564E-06 9.668042191E-13 -9.613067720E-13 -5.497411964E-15
 8.320033885E-06 1.377341275E-12 -1.380181017E-12 2.839873620E-15
 8.884630006E-06 1.902277164E-12 -1.896381923E-12 -5.895255716E-15
 9.457491615E-06 2.608679332E-12 -2.610096817E-12 1.417593917E-15
 1.003915168E-05 3.505869640E-12 -3.498933782E-12 -6.935901760E-15
 1.063015134E-05 4.672723146E-12 -4.671236922E-12 -1.486658125E-15
 1.123103993E-05 6.141573795E-12 -6.132404046E-12 -9.170207386E-15
 1.184237772E-05 8.008141025E-12 -8.002997570E-12 -5.142791032E-15
 1.246473221E-05 1.033459256E-11 -1.032284327E-11 -1.174820383E-14
 1.309868276E-05 1.323974264E-11 -1.322905934E-11 -1.068326319E-14
 1.374481872E-05 1.682763651E-11 -1.681048183E-11 -1.715487866E-14
 1.440374217E-05 2.125293691E-11 -2.123526181E-11 -1.767423352E-14
 1.507606521E-05 2.666889626E-11 -2.664314082E-11 -2.575485161E-14
 1.576241448E-05 3.328608569E-11 -3.325865278E-11 -2.743344052E-14
 1.646342571E-05 4.132368406E-11 -4.128881265E-11 -3.487114704E-14
 1.717975465E-05 5.106429168E-11 -5.102715819E-11 -3.713683481E-14
 1.791206523E-05 6.281424686E-11 -6.276791586E-11 -4.633551436E-14
 1.866104139E-05 7.695656612E-11 -7.690455217E-11 -5.201220382E-14
 1.942737617E-05 9.392124578E-11 -9.386209171E-11 -5.915219351E-14
 2.021178625E-05 1.142212089E-10 -1.141594666E-10 -6.174525951E-14
 2.101499740E-05 1.384436177E-10 -1.383814868E-10 -6.212367318E-14
 2.183776087E-05 1.672757488E-10 -1.672187250E-10 -5.702501595E-14
 2.268083881E-05 2.015047434E-10 -2.014534789E-10 -5.125753134E-14
 2.354501703E-05 2.420553480E-10 -2.420206535E-10 -3.469263993E-14
 2.443110134E-05 2.899829821E-10 -2.899774310E-10 -5.538607835E-15
 2.533991210E-05 3.465049359E-10 -3.465479848E-10 4.307031755E-14
 2.627229696E-05 4.130156772E-10 -4.131348597E-10 1.191972275E-13
 2.722912359E-05 4.911016038E-10 -4.913278673E-10 2.262924142E-13
 2.821128328E-05 5.825580573E-10 -5.829167149E-10 3.586838671E-13
 2.921968553E-05 6.894583793E-10 -6.900062743E-10 5.479347445E-13
 3.025527258E-05 8.141107788E-10 -8.149078079E-10 7.969715382E-13
 3.131900667E-05 9.591326622E-10 -9.602642015E-10 1.131519032E-12
 3.241187733E-05 1.127434479E-09 -1.128996119E-09 1.561772738E-12
 3.353489956E-05 1.322225218E-09 -1.324292453E-09 2.067300541E-12
 3.468912109E-05 1.547158845E-09 -1.549883666E-09 2.724797601E-12
 3.587561514E-05 1.806135352E-09 -1.809629113E-09 3.493776666E-12
 3.709548400E-05 2.103494046E-09 -2.107892749E-09 4.398573953E-12
 3.834985910E-05 2.443958369E-09 -2.449424441E-09 5.465889460E-12
 3.963991549E-05 2.832581281E-09 -2.839251501E-09 6.670043858E-12
 4.096685007E-05 3.274822413E-09 -3.282835559E-09 8.012929729E-12
 4.233189611E-05 3.776416513E-09 -3.785820546E-09 9.404036577E-12
 4.373632328E-05 4.343545967E-09 -4.354393290E-09 1.084744360E-11
 4.518143760E-05 4.982679602E-09 -4.994981317E-09 1.230216276E-11
 4.666858513E-05 5.700561800E-09 -5.714257068E-09 1.369490892E-11
 4.819914830E-05 6.504237593E-09 -6.519208284E-09 1.497037737E-11
 4.977455319E-05 7.400954960E-09 -7.416978587E-09 1.602324003E-11
 5.139626228E-05 8.398187923E-09 -8.414934527E-09 1.674662665E-11
 5.306578896E-05 9.503722254E-09 -9.520865873E-09 1.714361812E-11
 5.478467938E-05 1.072549072E-08 -1.074267963E-08 1.718873655E-11
 5.655453788E-05 1.207160327E-08 -1.208848222E-08 1.687850033E-11
 5.837701246E-05 1.355038393E-08 -1.356667667E-08 1.629294095E-11
 6.025379116E-05 1.517017623E-08 -1.518560389E-08 1.542830794E-11
 6.218662747E-05 1.693938323E-08 -1.695364737E-08 1.426458084E-11
 6.417731493E-05 1.886679257E-08 -1.887992340E-08 1.312972821E-11
 6.622770888E-05 2.096091123E-08 -2.097299223E-08 1.208016239E-11
 6.833971565E-05 2.323037229E-08 -2.324173742E-08 1.136537999E-11
 7.051529974E-05 2.568352819E-08 -2.569462865E-08 1.110118161E-11
 7.275648386E-05 2.832821444E-08 -2.833930957E-08 1.109823258E-11
 7.506535621E-05 3.117276748E-08 -3.118475789E-08 1.198957426E-11
 7.744405593E-05 3.422417549E-08 -3.423764383E-08 1.346815107E-11
 7.989480946E-05 3.748937516E-08 -3.750505684E-08 1.568498977E-11
 8.241988689E-05 4.097475781E-08 -4.099361561E-08 1.885816676E-11
 8.502163837E-05 4.468566672E-08 -4.470852133E-08 2.285142561E-11
 8.770249406E-05 4.862687319E-08 -4.865460212E-08 2.772911241E-11
 9.046493506E-05 5.280188020E-08 -5.283498083E-08 3.310009905E-11
