VARIABLES = "y","u'u'","v'v'","w'w'"
ZONE T="SA, X=0.97008"
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 4.999999987E-07 1.595517989E-11 1.595515560E-11 1.595517815E-11
 1.000465204E-06 2.557573875E-10 2.557570822E-10 2.557573597E-10
 1.501861107E-06 1.298783081E-09 1.298783414E-09 1.298782748E-09
 2.004654107E-06 4.122601371E-09 4.122596931E-09 4.122600039E-09
 2.509312253E-06 1.012105511E-08 1.012105155E-08 1.012105155E-08
 3.016304618E-06 2.112995645E-08 2.112993336E-08 2.112994757E-08
 3.526103228E-06 3.946070493E-08 3.946067650E-08 3.946068716E-08
 4.039182386E-06 6.794243745E-08 6.794235219E-08 6.794239482E-08
 4.556018666E-06 1.099730795E-07 1.099729516E-07 1.099730085E-07
 5.077094102E-06 1.695804031E-07 1.695801615E-07 1.695802894E-07
 5.602892543E-06 2.514934465E-07 2.514930770E-07 2.514932476E-07
 6.133903298E-06 3.612257160E-07 3.612250907E-07 3.612254034E-07
 6.670620678E-06 5.051711582E-07 5.051702487E-07 5.051707035E-07
 7.213543540E-06 6.907141028E-07 6.907127386E-07 6.907134207E-07
 7.763177564E-06 9.263544598E-07 9.263525271E-07 9.263534935E-07
 8.320033885E-06 1.221850312E-06 1.221847583E-06 1.221848947E-06
 8.884630006E-06 1.588379405E-06 1.588375540E-06 1.588377472E-06
 9.457491615E-06 2.038720595E-06 2.038715365E-06 2.038717867E-06
 1.003915168E-05 2.587458084E-06 2.587451036E-06 2.587454446E-06
 1.063015134E-05 3.251212547E-06 3.251203225E-06 3.251207772E-06
 1.123103993E-05 4.048895789E-06 4.048883511E-06 4.048889878E-06
 1.184237772E-05 5.001998943E-06 5.001983027E-06 5.001991212E-06
 1.246473221E-05 6.134909654E-06 6.134888736E-06 6.134899195E-06
 1.309868276E-05 7.475263374E-06 7.475236544E-06 7.475249731E-06
 1.374481872E-05 9.054333532E-06 9.054299881E-06 9.054317161E-06
 1.440374217E-05 1.090746082E-05 1.090741898E-05 1.090743990E-05
 1.507606521E-05 1.307451566E-05 1.307446200E-05 1.307448929E-05
 1.576241448E-05 1.560040437E-05 1.560033706E-05 1.560037163E-05
 1.646342571E-05 1.853562208E-05 1.853553840E-05 1.853558024E-05
 1.717975465E-05 2.193682667E-05 2.193672481E-05 2.193677574E-05
 1.791206523E-05 2.586747541E-05 2.586734990E-05 2.586741175E-05
 1.866104139E-05 3.039844705E-05 3.039829244E-05 3.039837065E-05
 1.942737617E-05 3.560874029E-05 3.560855112E-05 3.560864570E-05
 2.021178625E-05 4.158610682E-05 4.158588126E-05 4.158599404E-05
 2.101499740E-05 4.842776616E-05 4.842748967E-05 4.842762792E-05
 2.183776087E-05 5.624097321E-05 5.624063851E-05 5.624080586E-05
 2.268083881E-05 6.514363486E-05 6.514322740E-05 6.514343113E-05
 2.354501703E-05 7.526473200E-05 7.526425179E-05 7.526449190E-05
 2.443110134E-05 8.674466517E-05 8.674408309E-05 8.674437413E-05
 2.533991210E-05 9.973529086E-05 9.973459964E-05 9.973494889E-05
 2.627229696E-05 1.143998816E-04 1.143990521E-04 1.143994668E-04
 2.722912359E-05 1.309124491E-04 1.309114741E-04 1.309119689E-04
 2.821128328E-05 1.494569296E-04 1.494557655E-04 1.494563476E-04
 2.921968553E-05 1.702256268E-04 1.702242444E-04 1.702249428E-04
 3.025527258E-05 1.934171305E-04 1.934155007E-04 1.934163156E-04
 3.131900667E-05 2.192334796E-04 2.192315587E-04 2.192325192E-04
 3.241187733E-05 2.478766255E-04 2.478743845E-04 2.478755196E-04
 3.353489956E-05 2.795438922E-04 2.795412438E-04 2.795425826E-04
 3.468912109E-05 3.144227085E-04 3.144196235E-04 3.144211660E-04
 3.587561514E-05 3.526842338E-04 3.526806249E-04 3.526824294E-04
 3.709548400E-05 3.944766941E-04 3.944725031E-04 3.944745986E-04
 3.834985910E-05 4.399175523E-04 4.399126628E-04 4.399151076E-04
 3.963991549E-05 4.890857381E-04 4.890800337E-04 4.890828859E-04
 4.096685007E-05 5.420137313E-04 5.420071539E-04 5.420104717E-04
 4.233189611E-05 5.986803444E-04 5.986727774E-04 5.986765609E-04
 4.373632328E-05 6.590037956E-04 6.589951226E-04 6.589994882E-04
 4.518143760E-05 7.228371687E-04 7.228272152E-04 7.228322211E-04
 4.666858513E-05 7.899653865E-04 7.899539778E-04 7.899597404E-04
 4.819914830E-05 8.601047448E-04 8.600917063E-04 8.600982837E-04
 4.977455319E-05 9.329055320E-04 9.328906890E-04 9.328981396E-04
 5.139626228E-05 1.007957384E-03 1.007940620E-03 1.007949002E-03
 5.306578896E-05 1.084798365E-03 1.084779389E-03 1.084788935E-03
 5.478467938E-05 1.162925386E-03 1.162903965E-03 1.162914676E-03
 5.655453788E-05 1.241808175E-03 1.241783961E-03 1.241796068E-03
 5.837701246E-05 1.320904121E-03 1.320876996E-03 1.320890617E-03
 6.025379116E-05 1.399673405E-03 1.399643137E-03 1.399658271E-03
 6.218662747E-05 1.477594138E-03 1.477560261E-03 1.477577258E-03
 6.417731493E-05 1.554175629E-03 1.554137911E-03 1.554156770E-03
 6.622770888E-05 1.628970960E-03 1.628929051E-03 1.628950005E-03
 6.833971565E-05 1.701585599E-03 1.701539150E-03 1.701562433E-03
 7.051529974E-05 1.771683921E-03 1.771632466E-03 1.771658193E-03
 7.275648386E-05 1.838992583E-03 1.838935888E-03 1.838964294E-03
 7.506535621E-05 1.903302153E-03 1.903239754E-03 1.903270953E-03
 7.744405593E-05 1.964463852E-03 1.964395400E-03 1.964429626E-03
 7.989480946E-05 2.022387460E-03 2.022312488E-03 2.022349974E-03
 8.241988689E-05 2.077035373E-03 2.076953417E-03 2.076994395E-03
 8.502163837E-05 2.128416207E-03 2.128326800E-03 2.128371503E-03
 8.770249406E-05 2.176578389E-03 2.176481066E-03 2.176529728E-03
 9.046493506E-05 2.221603878E-03 2.221498173E-03 2.221551025E-03
 9.331152978E-05 2.263600472E-03 2.263485920E-03 2.263543196E-03
 9.624494123E-05 2.302695764E-03 2.302572131E-03 2.302634064E-03
 9.926789062E-05 2.339032479E-03 2.338899067E-03 2.338965889E-03
 1.023831865E-04 2.372761955E-03 2.372618066E-03 2.372690011E-03
 1.055937319E-04 2.404040191E-03 2.403885592E-03 2.403962892E-03
 1.089025172E-04 2.433026209E-03 2.432860434E-03 2.432943322E-03
 1.123126131E-04 2.459876239E-03 2.459698590E-03 2.459787531E-03
 1.158271916E-04 2.484743716E-03 2.484553959E-03 2.484648954E-03
 1.194495271E-04 2.507776255E-03 2.507573925E-03 2.507675206E-03
 1.231829810E-04 2.529115183E-03 2.528899582E-03 2.529007616E-03
 1.270310458E-04 2.548893914E-03 2.548664808E-03 2.548779594E-03
 1.309972722E-04 2.567238873E-03 2.566995565E-03 2.567117568E-03
 1.350853854E-04 2.584266476E-03 2.584008733E-03 2.584137954E-03
 1.392991544E-04 2.600086387E-03 2.599813743E-03 2.599950414E-03
 1.436425227E-04 2.614799887E-03 2.614511643E-03 2.614655998E-03
 1.481195213E-04 2.628499409E-03 2.628195332E-03 2.628347836E-03
 1.527343265E-04 2.641270403E-03 2.640950028E-03 2.641110681E-03
 1.574912167E-04 2.653191797E-03 2.652854659E-03 2.653023461E-03
 1.623946155E-04 2.664333908E-03 2.663979540E-03 2.664157189E-03
 1.674490923E-04 2.674762858E-03 2.674390795E-03 2.674577292E-03
 1.726593473E-04 2.684537088E-03 2.684146632E-03 2.684342209E-03
 1.780302409E-04 2.693710616E-03 2.693301300E-03 2.693506423E-03
 1.835667499E-04 2.702332102E-03 2.701903693E-03 2.702118363E-03
 1.892740256E-04 2.710445551E-03 2.709997119E-03 2.710221801E-03
 1.951573940E-04 2.718091011E-03 2.717622323E-03 2.717857249E-03
