VARIABLES = "N","h^2=1/N","h=sqrt(1/N)","C_D"
ZONE T="CFL3D, SA"
 2.088960000E+05 4.787069884E-06 2.187940059E-03 2.859852975E-03
 5.222400000E+04 1.914829954E-05 4.375880118E-03 2.861309564E-03
 1.305600000E+04 7.659310359E-05 8.751749992E-03 2.866209252E-03
 3.264000000E+03 3.063729964E-04 1.750349998E-02 2.884378890E-03
 8.160000000E+02 1.225490007E-03 3.500699997E-02 2.954381518E-03
ZONE T="FUN3D, SA"
 2.088960000E+05 4.787069884E-06 2.187940059E-03 2.852468984E-03
 5.222400000E+04 1.914829954E-05 4.375880118E-03 2.847932978E-03
 1.305600000E+04 7.659310359E-05 8.751749992E-03 2.840044908E-03
 3.264000000E+03 3.063729964E-04 1.750349998E-02 2.822641050E-03
 8.160000000E+02 1.225490007E-03 3.500699997E-02 2.773859072E-03
ZONE T="Overflow, SA"
 2.088960000E+05 4.787069884E-06 2.187940059E-03 2.853868995E-03
 5.222400000E+04 1.914829954E-05 4.375880118E-03 2.852591686E-03
 1.305600000E+04 7.659310359E-05 8.751749992E-03 2.853712300E-03
ZONE T="CFL3D, SA-RC-QCR2013"
 2.088960000E+05 4.787069884E-06 2.187940059E-03 2.848716918E-03
 5.222400000E+04 1.914829954E-05 4.375880118E-03 2.850877121E-03
 1.305600000E+04 7.659310359E-05 8.751749992E-03 2.858224791E-03
 3.264000000E+03 3.063729964E-04 1.750349998E-02 2.885981463E-03
 8.160000000E+02 1.225490007E-03 3.500699997E-02 2.992286114E-03
ZONE T="FUN3D, SA-RC-QCR2013"
 2.088960000E+05 4.787069884E-06 2.187940059E-03 2.841108944E-03
 5.222400000E+04 1.914829954E-05 4.375880118E-03 2.834900981E-03
 1.305600000E+04 7.659310359E-05 8.751749992E-03 2.823178889E-03
 3.264000000E+03 3.063729964E-04 1.750349998E-02 2.815444954E-03
 8.160000000E+02 1.225490007E-03 3.500699997E-02 2.735595917E-03
ZONE T="Overflow, SA-RC-QCR2013"
 2.088960000E+05 4.787069884E-06 2.187940059E-03 2.843684051E-03
 5.222400000E+04 1.914829954E-05 4.375880118E-03 2.842492890E-03
 1.305600000E+04 7.659310359E-05 8.751749992E-03 2.843799535E-03
