VARIABLES = "y" "uuprime" "wwprime" "vvprime"
ZONE T="CFL3D, SA-RC-QCR2013"
 4.999999987E-07 5.835106009E-11 4.705730250E-11 3.576354490E-11
 1.000465204E-06 5.033555239E-10 4.059318437E-10 3.085081357E-10
 1.501861107E-06 2.164160406E-09 1.745290357E-09 1.326420307E-09
 2.004654107E-06 6.437308908E-09 5.191377106E-09 3.945445304E-09
 2.509312253E-06 1.531396521E-08 1.234996905E-08 9.385972888E-09
 3.016304618E-06 3.141655469E-08 2.533592536E-08 1.925529425E-08
 3.526103228E-06 5.804681535E-08 4.681193388E-08 3.557704886E-08
 4.039182386E-06 9.924589506E-08 8.003697616E-08 6.082806436E-08
 4.556018666E-06 1.598672839E-07 1.289251657E-07 9.798305456E-08
 5.077094102E-06 2.456641255E-07 1.981161404E-07 1.505681411E-07
 5.602892543E-06 3.633908818E-07 2.930570133E-07 2.227231306E-07
 6.133903298E-06 5.209223559E-07 4.200984165E-07 3.192745055E-07
 6.670620678E-06 7.273908409E-07 5.866051538E-07 4.458194667E-07
 7.213543540E-06 9.933427236E-07 8.010823080E-07 6.088218925E-07
 7.763177564E-06 1.330918053E-06 1.073320163E-06 8.157223874E-07
 8.320033885E-06 1.754053301E-06 1.414557914E-06 1.075062642E-06
 8.884630006E-06 2.278711690E-06 1.837669174E-06 1.396626658E-06
 9.457491615E-06 2.923143711E-06 2.357371841E-06 1.791599971E-06
 1.003915168E-05 3.708179065E-06 2.990464054E-06 2.272749271E-06
 1.063015134E-05 4.657553291E-06 3.756087608E-06 2.854621926E-06
 1.123103993E-05 5.798274287E-06 4.676022854E-06 3.553770966E-06
 1.184237772E-05 7.161037502E-06 5.775023965E-06 4.389009973E-06
 1.246473221E-05 8.780670214E-06 7.081177046E-06 5.381684332E-06
 1.309868276E-05 1.069664086E-05 8.626312592E-06 6.555984328E-06
 1.374481872E-05 1.295361380E-05 1.044644978E-05 7.939284842E-06
 1.440374217E-05 1.560206329E-05 1.258229258E-05 9.562520972E-06
 1.507606521E-05 1.869892913E-05 1.507975958E-05 1.146059094E-05
 1.576241448E-05 2.230835889E-05 1.799058555E-05 1.367281129E-05
 1.646342571E-05 2.650245915E-05 2.137291631E-05 1.624337528E-05
 1.717975465E-05 3.136217128E-05 2.529203448E-05 1.922189404E-05
 1.791206523E-05 3.697812281E-05 2.982101796E-05 2.266391130E-05
 1.866104139E-05 4.345159687E-05 3.504154665E-05 2.663149826E-05
 1.942737617E-05 5.089538899E-05 4.104459367E-05 3.119379835E-05
 2.021178625E-05 5.943492215E-05 4.793129483E-05 3.642767115E-05
 2.101499740E-05 6.920904707E-05 5.581363439E-05 4.241822535E-05
 2.183776087E-05 8.037106454E-05 6.481524179E-05 4.925941903E-05
 2.268083881E-05 9.308940207E-05 7.507193368E-05 5.705446893E-05
 2.354501703E-05 1.075484179E-04 8.673240518E-05 6.591638521E-05
 2.443110134E-05 1.239488192E-04 9.995850269E-05 7.596816431E-05
 2.533991210E-05 1.425076625E-04 1.149252566E-04 8.734285075E-05
 2.627229696E-05 1.634583459E-04 1.318209106E-04 1.001834826E-04
 2.722912359E-05 1.870497363E-04 1.508461719E-04 1.146426002E-04
 2.821128328E-05 2.135449758E-04 1.722132147E-04 1.308814681E-04
 2.921968553E-05 2.432189940E-04 1.961438102E-04 1.490685972E-04
 3.025527258E-05 2.763560915E-04 2.228671510E-04 1.693782251E-04
 3.131900667E-05 3.132454876E-04 2.526165626E-04 1.919876231E-04
 3.241187733E-05 3.541763872E-04 2.856252249E-04 2.170740481E-04
