# SSG/LRR-RSM-w2012 model
VARIABLES = "x","cf"
T="Surface skin friction coefficient on finest 545 x 385 grid"
ZONE T="CFL3D"
 0.000000000E+00 1.187981106E-02
 1.000000047E-03 1.512902509E-02
 2.001968445E-03 5.928074475E-03
 3.005924402E-03 5.305210594E-03
 4.011887591E-03 5.238808226E-03
 5.019877572E-03 5.409738515E-03
 6.029913668E-03 5.626215134E-03
 7.042016368E-03 5.774150137E-03
 8.056204766E-03 5.831312854E-03
 9.072500281E-03 5.820242688E-03
 1.009092201E-02 5.770992488E-03
 1.111149136E-02 5.704384763E-03
 1.213422790E-02 5.631414708E-03
 1.315915212E-02 5.557182245E-03
 1.418628637E-02 5.484117195E-03
 1.521565020E-02 5.413532257E-03
 1.624726504E-02 5.346158985E-03
 1.728115417E-02 5.282329395E-03
 1.831733435E-02 5.222100299E-03
 1.935583353E-02 5.165359005E-03
 2.039666846E-02 5.111906677E-03
 2.143986151E-02 5.061509088E-03
 2.248543687E-02 5.013926886E-03
 2.353341691E-02 4.968930036E-03
 2.458382212E-02 4.926306196E-03
 2.563667670E-02 4.885859322E-03
 2.669200115E-02 4.847412929E-03
 2.774982154E-02 4.810805898E-03
 2.881015837E-02 4.775894340E-03
 2.987303585E-02 4.742546938E-03
 3.093848005E-02 4.710644484E-03
 3.200650960E-02 4.680079408E-03
 3.307715058E-02 4.650753457E-03
 3.415042907E-02 4.622579552E-03
 3.522636741E-02 4.595478531E-03
 3.630498797E-02 4.569378681E-03
 3.738632053E-02 4.544215742E-03
 3.847038746E-02 4.519930575E-03
 3.955721110E-02 4.496469162E-03
 4.064681754E-02 4.473781679E-03
 4.173923656E-02 4.451822024E-03
 4.283448681E-02 4.430546891E-03
 4.393260181E-02 4.409917165E-03
 4.503360018E-02 4.389896523E-03
 4.613751546E-02 4.370452836E-03
 4.724436626E-02 4.351555370E-03
 4.835418612E-02 4.333176184E-03
 4.946699739E-02 4.315290134E-03
 5.058282986E-02 4.297872540E-03
 5.170170963E-02 4.280901514E-03
 5.282366648E-02 4.264354706E-03
 5.394872278E-02 4.248213489E-03
 5.507691577E-02 4.232458770E-03
 5.620826408E-02 4.217072856E-03
 5.734280124E-02 4.202039912E-03
 5.848055333E-02 4.187344573E-03
 5.962155387E-02 4.172972869E-03
 6.076582894E-02 4.158910364E-03
 6.191340834E-02 4.145145416E-03
 6.306432188E-02 4.131665919E-03
 6.421860307E-02 4.118460231E-03
 6.537627429E-02 4.105518106E-03
 6.653737277E-02 4.092829302E-03
 6.770192832E-02 4.080384038E-03
 6.886997819E-02 4.068173934E-03
 7.004153728E-02 4.056189675E-03
 7.121665031E-02 4.044423811E-03
 7.239534706E-02 4.032868426E-03
 7.357765734E-02 4.021516070E-03
 7.476361841E-02 4.010359757E-03
 7.595326006E-02 3.999393433E-03
 7.714661211E-02 3.988610581E-03
 7.834371924E-02 3.978005145E-03
 7.954459637E-02 3.967571072E-03
 8.074929565E-02 3.957303707E-03
 8.195784688E-02 3.947196994E-03
 8.317027986E-02 3.937245812E-03
 8.438663185E-02 3.927446436E-03
 8.560694009E-02 3.917793278E-03
 8.683124185E-02 3.908282146E-03
 8.805956692E-02 3.898908850E-03
 8.929195255E-02 3.889669431E-03
 9.052844346E-02 3.880560165E-03
 9.176907688E-02 3.871577093E-03
 9.301388264E-02 3.862716723E-03
 9.426289797E-02 3.853975795E-03
 9.551616758E-02 3.845351050E-03
 9.677372128E-02 3.836839227E-03
 9.803561121E-02 3.828437533E-03
 9.930186719E-02 3.820142709E-03
 1.005725339E-01 3.811952192E-03
 1.018476486E-01 3.803863190E-03
 1.031272486E-01 3.795873141E-03
 1.044113860E-01 3.787979484E-03
 1.057000905E-01 3.780179657E-03
 1.069934070E-01 3.772471333E-03
 1.082913801E-01 3.764852416E-03
 1.095940545E-01 3.757320344E-03
 1.109014750E-01 3.749873489E-03
 1.122136712E-01 3.742509522E-03
 1.135307029E-01 3.735226346E-03
 1.148526073E-01 3.728022100E-03
 1.161794290E-01 3.720895154E-03
 1.175112203E-01 3.713843646E-03
 1.188480183E-01 3.706865478E-03
 1.201898679E-01 3.699959489E-03
 1.215368286E-01 3.693123581E-03
 1.228889376E-01 3.686356591E-03
 1.242462471E-01 3.679656889E-03
 1.256088018E-01 3.673022846E-03
 1.269766539E-01 3.666453063E-03
 1.283498406E-01 3.659946378E-03
 1.297284365E-01 3.653501160E-03
 1.311124712E-01 3.647116013E-03
 1.325020045E-01 3.640790004E-03
 1.338970959E-01 3.634521738E-03
 1.352977753E-01 3.628310049E-03
 1.367041171E-01 3.622153541E-03
 1.381161511E-01 3.616051516E-03
 1.395339519E-01 3.610002343E-03
 1.409575790E-01 3.604005091E-03
 1.423870623E-01 3.598058829E-03
 1.438224763E-01 3.592162626E-03
 1.452638805E-01 3.586315317E-03
 1.467113197E-01 3.580515971E-03
 1.481648535E-01 3.574763425E-03
 1.496245414E-01 3.569057211E-03
 1.510904431E-01 3.563396167E-03
 1.525626183E-01 3.557779361E-03
 1.540411264E-01 3.552205861E-03
 1.555260271E-01 3.546675202E-03
 1.570173800E-01 3.541186452E-03
 1.585152596E-01 3.535738448E-03
 1.600197256E-01 3.530330956E-03
 1.615308374E-01 3.524962813E-03
 1.630486548E-01 3.519633552E-03
 1.645732373E-01 3.514342243E-03
 1.661046743E-01 3.509088187E-03
 1.676430106E-01 3.503870917E-03
 1.691883355E-01 3.498689737E-03
 1.707406938E-01 3.493543714E-03
 1.723001748E-01 3.488432616E-03
 1.738668382E-01 3.483355511E-03
 1.754407436E-01 3.478311934E-03
 1.770219952E-01 3.473301185E-03
 1.786106378E-01 3.468322800E-03
 1.802067459E-01 3.463376081E-03
 1.818104088E-01 3.458460327E-03
 1.834216863E-01 3.453575540E-03
 1.850406677E-01 3.448720556E-03
 1.866674274E-01 3.443895373E-03
 1.883020550E-01 3.439099062E-03
 1.899445951E-01 3.434331389E-03
 1.915951520E-01 3.429591656E-03
 1.932538152E-01 3.424879396E-03
