variables="log(y+)","u+"
zone,t="x=     0.97008"
  -0.104165E+01   0.908548E-01
  -0.740420E+00   0.181794E+00
  -0.563993E+00   0.272902E+00
  -0.438583E+00   0.364264E+00
  -0.341068E+00   0.455965E+00
  -0.261147E+00   0.548088E+00
  -0.193327E+00   0.640719E+00
  -0.134329E+00   0.733944E+00
  -0.820368E-01   0.827846E+00
  -0.350070E-01   0.922511E+00
   0.779004E-02   0.101802E+01
   0.471147E-01   0.111447E+01
   0.835440E-01   0.121193E+01
   0.117526E+00   0.131050E+01
   0.149417E+00   0.141025E+01
   0.179503E+00   0.151127E+01
   0.208017E+00   0.161365E+01
   0.235154E+00   0.171746E+01
   0.261075E+00   0.182279E+01
   0.285917E+00   0.192972E+01
   0.309798E+00   0.203833E+01
   0.332817E+00   0.214869E+01
   0.355061E+00   0.226088E+01
   0.376605E+00   0.237498E+01
   0.397517E+00   0.249104E+01
   0.417853E+00   0.260915E+01
   0.437666E+00   0.272935E+01
   0.457000E+00   0.285171E+01
   0.475898E+00   0.297628E+01
   0.494395E+00   0.310311E+01
   0.512523E+00   0.323224E+01
   0.530314E+00   0.336370E+01
   0.547792E+00   0.349751E+01
   0.564982E+00   0.363368E+01
   0.581907E+00   0.377223E+01
   0.598586E+00   0.391316E+01
   0.615037E+00   0.405643E+01
   0.631277E+00   0.420202E+01
   0.647321E+00   0.434990E+01
   0.663183E+00   0.450000E+01
   0.678876E+00   0.465225E+01
   0.694411E+00   0.480658E+01
   0.709801E+00   0.496287E+01
   0.725053E+00   0.512102E+01
   0.740179E+00   0.528091E+01
   0.755186E+00   0.544237E+01
   0.770082E+00   0.560527E+01
   0.784875E+00   0.576943E+01
   0.799571E+00   0.593466E+01
   0.814177E+00   0.610079E+01
   0.828699E+00   0.626762E+01
   0.843141E+00   0.643493E+01
   0.857511E+00   0.660253E+01
   0.871810E+00   0.677020E+01
   0.886045E+00   0.693773E+01
   0.900220E+00   0.710492E+01
   0.914338E+00   0.727157E+01
   0.928402E+00   0.743747E+01
   0.942417E+00   0.760245E+01
   0.956385E+00   0.776633E+01
   0.970309E+00   0.792895E+01
   0.984192E+00   0.809016E+01
   0.998037E+00   0.824982E+01
   0.101185E+01   0.840782E+01
   0.102562E+01   0.856406E+01
   0.103936E+01   0.871844E+01
   0.105307E+01   0.887090E+01
   0.106676E+01   0.902138E+01
   0.108042E+01   0.916984E+01
   0.109405E+01   0.931625E+01
   0.110766E+01   0.946059E+01
   0.112125E+01   0.960287E+01
   0.113482E+01   0.974308E+01
   0.114837E+01   0.988125E+01
   0.116190E+01   0.100174E+02
   0.117541E+01   0.101515E+02
   0.118891E+01   0.102837E+02
   0.120239E+01   0.104140E+02
   0.121586E+01   0.105424E+02
   0.122931E+01   0.106690E+02
   0.124276E+01   0.107939E+02
   0.125619E+01   0.109170E+02
   0.126961E+01   0.110385E+02
   0.128302E+01   0.111583E+02
   0.129642E+01   0.112766E+02
   0.130981E+01   0.113934E+02
   0.132319E+01   0.115088E+02
   0.133656E+01   0.116227E+02
   0.134993E+01   0.117353E+02
   0.136329E+01   0.118466E+02
   0.137664E+01   0.119567E+02
   0.138999E+01   0.120656E+02
   0.140333E+01   0.121733E+02
   0.141666E+01   0.122799E+02
   0.142999E+01   0.123854E+02
   0.144331E+01   0.124899E+02
   0.145663E+01   0.125934E+02
   0.146995E+01   0.126960E+02
   0.148326E+01   0.127976E+02
   0.149657E+01   0.128983E+02
   0.150987E+01   0.129982E+02
   0.152317E+01   0.130972E+02
   0.153647E+01   0.131955E+02
   0.154976E+01   0.132929E+02
   0.156305E+01   0.133897E+02
   0.157634E+01   0.134857E+02
   0.158963E+01   0.135811E+02
   0.160291E+01   0.136757E+02
   0.161619E+01   0.137698E+02
   0.162947E+01   0.138632E+02
   0.164275E+01   0.139560E+02
   0.165603E+01   0.140482E+02
   0.166930E+01   0.141399E+02
   0.168257E+01   0.142310E+02
   0.169584E+01   0.143216E+02
   0.170911E+01   0.144117E+02
   0.172238E+01   0.145014E+02
   0.173564E+01   0.145905E+02
   0.174891E+01   0.146792E+02
   0.176217E+01   0.147675E+02
   0.177544E+01   0.148553E+02
   0.178870E+01   0.149428E+02
   0.180196E+01   0.150298E+02
   0.181522E+01   0.151164E+02
   0.182848E+01   0.152027E+02
   0.184174E+01   0.152886E+02
   0.185499E+01   0.153742E+02
   0.186825E+01   0.154595E+02
   0.188151E+01   0.155444E+02
   0.189476E+01   0.156290E+02
   0.190802E+01   0.157133E+02
   0.192127E+01   0.157973E+02
   0.193453E+01   0.158811E+02
   0.194778E+01   0.159645E+02
   0.196103E+01   0.160478E+02
   0.197429E+01   0.161307E+02
   0.198754E+01   0.162135E+02
   0.200079E+01   0.162959E+02
   0.201404E+01   0.163782E+02
   0.202729E+01   0.164603E+02
   0.204054E+01   0.165421E+02
   0.205380E+01   0.166238E+02
   0.206705E+01   0.167053E+02
   0.208030E+01   0.167866E+02
   0.209355E+01   0.168677E+02
   0.210680E+01   0.169486E+02
   0.212004E+01   0.170294E+02
   0.213329E+01   0.171101E+02
   0.214654E+01   0.171906E+02
   0.215979E+01   0.172710E+02
   0.217304E+01   0.173512E+02
   0.218629E+01   0.174314E+02
   0.219954E+01   0.175114E+02
   0.221279E+01   0.175913E+02
   0.222603E+01   0.176712E+02
   0.223928E+01   0.177509E+02
   0.225253E+01   0.178306E+02
   0.226578E+01   0.179102E+02
   0.227902E+01   0.179898E+02
   0.229227E+01   0.180692E+02
   0.230552E+01   0.181487E+02
