variables="u","y"
zone,t="x=     0.97008"
   0.000000E+00   0.000000E+00
   0.334459E-02   0.500000E-06
   0.669229E-02   0.100047E-05
   0.100462E-01   0.150186E-05
   0.134095E-01   0.200465E-05
   0.167852E-01   0.250931E-05
   0.201765E-01   0.301630E-05
   0.235865E-01   0.352610E-05
   0.270183E-01   0.403918E-05
   0.304751E-01   0.455602E-05
   0.339599E-01   0.507709E-05
   0.374760E-01   0.560289E-05
   0.410264E-01   0.613390E-05
   0.446143E-01   0.667062E-05
   0.482427E-01   0.721354E-05
   0.519149E-01   0.776318E-05
   0.556338E-01   0.832003E-05
   0.594025E-01   0.888463E-05
   0.632241E-01   0.945749E-05
   0.671016E-01   0.100392E-04
   0.710379E-01   0.106302E-04
   0.750360E-01   0.112310E-04
   0.790987E-01   0.118424E-04
   0.832287E-01   0.124647E-04
   0.874288E-01   0.130987E-04
   0.917014E-01   0.137448E-04
   0.960492E-01   0.144037E-04
   0.100474E+00   0.150761E-04
   0.104979E+00   0.157624E-04
   0.109564E+00   0.164634E-04
   0.114233E+00   0.171798E-04
   0.118987E+00   0.179121E-04
   0.123826E+00   0.186610E-04
   0.128752E+00   0.194274E-04
   0.133765E+00   0.202118E-04
   0.138865E+00   0.210150E-04
   0.144053E+00   0.218378E-04
   0.149327E+00   0.226808E-04
   0.154687E+00   0.235450E-04
   0.160131E+00   0.244311E-04
   0.165656E+00   0.253399E-04
   0.171261E+00   0.262723E-04
   0.176942E+00   0.272291E-04
   0.182696E+00   0.282113E-04
   0.188518E+00   0.292197E-04
   0.194403E+00   0.302553E-04
   0.200347E+00   0.313190E-04
   0.206344E+00   0.324119E-04
   0.212387E+00   0.335349E-04
   0.218470E+00   0.346891E-04
   0.224585E+00   0.358756E-04
   0.230727E+00   0.370955E-04
   0.236886E+00   0.383499E-04
   0.243056E+00   0.396399E-04
   0.249228E+00   0.409669E-04
   0.255395E+00   0.423319E-04
   0.261550E+00   0.437363E-04
   0.267685E+00   0.451814E-04
   0.273792E+00   0.466686E-04
   0.279865E+00   0.481991E-04
   0.285898E+00   0.497746E-04
   0.291884E+00   0.513963E-04
   0.297819E+00   0.530658E-04
   0.303696E+00   0.547847E-04
   0.309513E+00   0.565545E-04
   0.315264E+00   0.583770E-04
   0.320947E+00   0.602538E-04
   0.326560E+00   0.621866E-04
   0.332099E+00   0.641773E-04
   0.337565E+00   0.662277E-04
   0.342954E+00   0.683397E-04
   0.348268E+00   0.705153E-04
   0.353505E+00   0.727565E-04
   0.358667E+00   0.750654E-04
   0.363753E+00   0.774441E-04
   0.368765E+00   0.798948E-04
   0.373704E+00   0.824199E-04
   0.378570E+00   0.850216E-04
   0.383366E+00   0.877025E-04
   0.388093E+00   0.904649E-04
   0.392754E+00   0.933115E-04
   0.397349E+00   0.962449E-04
   0.401882E+00   0.992679E-04
   0.406353E+00   0.102383E-03
   0.410765E+00   0.105594E-03
   0.415120E+00   0.108903E-03
   0.419419E+00   0.112313E-03
   0.423666E+00   0.115827E-03
   0.427861E+00   0.119450E-03
   0.432006E+00   0.123183E-03
   0.436104E+00   0.127031E-03
   0.440156E+00   0.130997E-03
   0.444164E+00   0.135085E-03
   0.448129E+00   0.139299E-03
   0.452053E+00   0.143643E-03
   0.455938E+00   0.148120E-03
   0.459785E+00   0.152734E-03
   0.463595E+00   0.157491E-03
   0.467370E+00   0.162395E-03
   0.471110E+00   0.167449E-03
   0.474818E+00   0.172659E-03
   0.478495E+00   0.178030E-03
   0.482141E+00   0.183567E-03
   0.485758E+00   0.189274E-03
   0.489346E+00   0.195157E-03
   0.492908E+00   0.201222E-03
   0.496443E+00   0.207474E-03
   0.499952E+00   0.213920E-03
   0.503437E+00   0.220564E-03
   0.506899E+00   0.227413E-03
   0.510338E+00   0.234474E-03
   0.513754E+00   0.241753E-03
   0.517150E+00   0.249257E-03
   0.520524E+00   0.256993E-03
   0.523879E+00   0.264968E-03
   0.527215E+00   0.273189E-03
   0.530532E+00   0.281665E-03
   0.533832E+00   0.290402E-03
   0.537114E+00   0.299410E-03
   0.540379E+00   0.308696E-03
   0.543628E+00   0.318270E-03
   0.546862E+00   0.328139E-03
   0.550080E+00   0.338314E-03
   0.553284E+00   0.348804E-03
   0.556474E+00   0.359618E-03
   0.559650E+00   0.370767E-03
   0.562813E+00   0.382260E-03
   0.565963E+00   0.394109E-03
   0.569101E+00   0.406325E-03
   0.572227E+00   0.418919E-03
   0.575342E+00   0.431903E-03
   0.578446E+00   0.445288E-03
   0.581539E+00   0.459088E-03
   0.584622E+00   0.473314E-03
   0.587695E+00   0.487981E-03
   0.590758E+00   0.503102E-03
   0.593812E+00   0.518692E-03
   0.596858E+00   0.534763E-03
   0.599894E+00   0.551332E-03
   0.602923E+00   0.568414E-03
   0.605944E+00   0.586025E-03
   0.608957E+00   0.604181E-03
   0.611963E+00   0.622899E-03
   0.614962E+00   0.642197E-03
   0.617955E+00   0.662092E-03
   0.620941E+00   0.682603E-03
   0.623921E+00   0.703749E-03
   0.626896E+00   0.725550E-03
   0.629865E+00   0.748025E-03
   0.632829E+00   0.771197E-03
   0.635788E+00   0.795086E-03
   0.638742E+00   0.819715E-03
   0.641692E+00   0.845106E-03
   0.644639E+00   0.871283E-03
